,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,4.04933367687975,0.0,0.0,0.0,0.0,0.219025259854897,0.044858291532300004,0.335627105921152,0.0,4.4409800000000015,0.0,4.9876413723865305,-0.546661372386529,4.4409800000000015,119.04,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9498.000096239955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9344.433218802762,0.0,0.0,0.0,4702.650636855483,4790.167868503061,
2020-02-02,0,,,,,,,11.807769512339108,3.9197381763731096,0.0,0.0,0.0,0.0,0.24595303773011398,0.0532699225257608,0.36883993239939505,0.0,4.34540126361651,0.0,4.986901350410048,-0.6415000867935383,4.34540126361651,82.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4526.612392397897,0.0,4631.087150066296,4468.010613981975,0.0,0.0,
2020-02-03,0,,,,,,,11.807769512339108,4.06303840801551,0.0,0.0,0.0,0.0,0.15337817452834698,0.0473944029758931,0.4050695137868471,0.0,4.244191766360799,0.0,4.984806794439902,-0.7406150280791035,4.244191766360799,101.77,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5699.697323498675,0.0,0.0,0.0,0.0,3727.7554515400957,0.0,0.0,0.0,0.0,0.0,0.0,3789.003102167354,0.0,7647.447777977013,0.0,0.0,6370.198611042027,
2020-02-04,0,,,,,,,11.807769512339108,4.06607315275843,0.0,0.0,0.0,0.0,0.151433052884517,0.0472318314555225,0.406940730937402,0.0,4.13766685489004,0.0,4.981545969415048,-0.8438791145250084,4.13766685489004,102.76,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4034.3818825989947,4123.617700166848,4122.031379339735,0.0,6160.7429907978885,6009.242029494589,
2020-02-05,0,,,,,,,,4.02433062752704,0.0,0.0,0.0,0.0,0.167979332000008,0.0497100445803631,0.41182734519409797,0.0,4.0261418758614065,0.0,4.9773071402744336,-0.9511652644130271,4.0261418758614065,106.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3998.983314166552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8063.612546242592,0.0,3942.8674093002173,0.0,
2020-02-06,0,,,,,,,,4.029601801538971,0.0,0.0,0.0,0.0,0.181491760766989,0.0466153384843922,0.39285908271525105,0.0,3.909932175932074,0.0,4.972278571957016,-1.062346396024942,3.909932175932074,113.41,10.0,0.0,0.0,0.0,0.0,0.0,4011.1052558302663,0.0,0.0,0.0,0.0,0.0,0.0,4053.290553928853,0.0,0.0,0.0,0.0,0.0,0.0,8271.822696428602,0.0,6223.912008112912,4240.590717967276,4022.0418107816254,4231.763509348834,
2020-02-07,0,,,,,,,,4.15610615234392,0.0,0.0,0.0,0.0,0.136819080165527,0.0357755401657655,0.370804955745399,0.0,3.7893531017592137,0.0,4.966648529401747,-1.177295427642533,3.7893531017592137,131.27,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6314.540970009878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8386.16827422866,0.0,4191.203039862383,0.0,4184.235527696018,12848.413386572316,
2020-02-08,0,,,,,,,,4.05670048456609,0.0,0.0,0.0,0.0,0.21761135652979502,0.04476431217647799,0.33401926029237,0.0,3.6647199999999986,0.0,4.960605277547577,-1.2958852775475784,3.6647199999999986,123.14,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9121.224756580408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7055.604577265062,0.0,4562.514218028835,0.0,7230.530048218459,9612.608282799696,
2020-02-09,0,,,,,,,,3.9367144970098003,0.0,0.0,0.0,0.0,0.244432478573515,0.0503881643387374,0.364699181946901,0.0,3.623665188363916,0.0,4.954754106275223,-1.3310889179113068,3.623665188363916,94.15,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4731.733065010947,0.0,0.0,0.0,4686.0356149533145,0.0,0.0,10103.156225767836,0.0,4660.758245591588,0.0,9356.457619820198,0.0,
2020-02-10,0,,,,,,,,4.0258296254412205,0.0,0.0,0.0,0.0,0.169458114606328,0.0504222554533139,0.405350694971911,0.0,3.585604292228794,0.0,4.947867571719283,-1.362263279490489,3.585604292228794,102.66,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.843999665135,3930.2723470069373,5949.943480590215,0.0,3933.546209751045,0.0,
2020-02-11,0,,,,,,,,4.04635753566346,0.0,0.0,0.0,0.0,0.16042254856114402,0.0481743930456442,0.407315636735326,0.0,3.5517482103355604,0.0,4.940049831030954,-1.388301620695394,3.5517482103355604,106.55,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4020.9687128848623,0.0,3994.3177185662516,0.0,
2020-02-12,0,,,,,,,,4.06925524526084,0.0,0.0,0.0,0.0,0.14666044110558699,0.0463182972802081,0.41034749131918996,0.0,3.5233078414251398,0.0,4.93140504136143,-1.40809719993629,3.5233078414251398,105.08,5.0,0.0,0.0,0.0,0.0,4101.722727740636,0.0,0.0,4091.481217863095,0.0,0.0,0.0,0.0,3985.3040510274905,0.0,0.0,0.0,0.0,0.0,0.0,6046.07795459423,0.0,4113.471560013059,0.0,4052.3579563070216,4118.586316810027,
2020-02-13,0,,,,,,,,4.1015662843719705,0.0,0.0,0.0,0.0,0.143979417590434,0.0414239560121888,0.39655602369937704,0.0,3.5014940842384568,0.0,4.922037359861903,-1.4205432756234466,3.5014940842384568,118.67,5.0,0.0,0.0,0.0,0.0,4214.075018317577,0.0,0.0,4171.869951034699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.137898626186,0.0,8389.229527964551,4175.35086076778,0.0,4166.659455358852,
2020-02-14,0,,,,,,,,4.19008809529564,0.0,0.0,0.0,0.0,0.129900457297829,0.0337860265362622,0.35760735441865293,0.0,3.4875178375164357,0.0,4.912050943683573,-1.4245331061671371,3.4875178375164357,142.33,8.0,0.0,0.0,0.0,0.0,4205.236507231802,0.0,0.0,4139.099988973387,4168.405679030811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6199.943178348653,0.0,4144.190873371855,0.0,4213.986477283205,0.0,
2020-02-15,0,,,,,,,,4.088056626718201,0.0,0.0,0.0,0.0,0.205593800889644,0.0458137901398729,0.32637015749882503,0.0,3.48259,0.0,4.901549949977631,-1.4189599499776309,3.48259,130.53,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4876.093918827889,0.0,0.0,0.0,0.0,0.0,0.0,4663.380799137968,0.0,4732.813809828803,0.0,0.0,0.0,
2020-02-16,0,,,,,,,,3.9092538293592596,4.96201788475099,0.0,0.0,0.0,0.262793730735204,0.0512793193960315,0.35177127408666303,0.0,3.5853821574344025,0.0,4.890928990246782,-1.3055468328123796,3.5853821574344025,102.35,6.0,9407.463263223237,0.0,0.0,0.0,0.0,0.0,0.0,4696.457278697257,0.0,0.0,0.0,0.0,4831.17385672326,0.0,0.0,0.0,0.0,0.0,0.0,4713.494462137639,0.0,4732.066794817146,0.0,9458.399128705025,9328.358220645145,
2020-02-17,0,,,,,,,,4.05317353530912,5.03785848553088,0.0,0.0,0.0,0.198687083989531,0.048623372451282,0.353424801991916,0.0,3.8739435860058307,0.0,4.879472810478664,-1.0055292244728338,3.8739435860058307,108.8,7.0,4224.042496094608,4282.8632167680435,0.0,0.0,4230.0938248764805,0.0,0.0,4341.560896684747,0.0,0.0,0.0,0.0,4281.081657560205,0.0,0.0,0.0,0.0,0.0,0.0,4305.761801002996,0.0,6476.1424496896,0.0,0.0,0.0,
2020-02-18,0,,,,,,,,4.04943353757331,4.68507371143438,0.0,0.0,0.0,0.163358170818577,0.048074218545266,0.401128330705026,0.0,4.318551720116618,0.0,4.8672373653080525,-0.5486856451914344,4.318551720116618,106.72,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.428425993667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5886.011422309724,0.0,0.0,0.0,3845.922013851717,0.0,
2020-02-19,0,,,,,,,,4.08259911521462,5.1020351088693205,0.0,0.0,0.0,0.146019786406849,0.0450513896647178,0.40319448607995795,0.0,4.889483994169097,0.0,4.854278609369724,0.0352053847993723,4.889483994169097,108.95,10.0,0.0,0.0,0.0,0.0,3968.180697772923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5295.585134109733,0.0,0.0,0.0,0.0,0.0,
2020-02-20,0,,,,,,,,4.05131499063438,5.03583798217897,0.0,0.0,0.0,0.16473343319031303,0.0461263305469888,0.40090600693201506,0.0,5.557017842565597,0.0,4.840652497298456,0.7163653452671408,5.557017842565597,112.84,8.0,3951.007506914264,0.0,0.0,0.0,0.0,0.0,0.0,3970.951914470632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3963.696338391549,0.0,5948.893796062956,0.0,3958.443874463379,5950.513318017379,
2020-02-21,0,,,,,,,,4.16856960831989,4.913790164843929,0.0,0.0,0.0,0.135614686078829,0.0354429645277485,0.364778822774721,0.0,6.291430699708455,0.0,4.82641498372902,1.465015715979435,6.291430699708455,131.76,8.0,3960.152206687323,0.0,0.0,0.0,3926.187675787856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5920.236736859993,0.0,3905.009067959344,0.0,0.0,3921.2799394695257,
