,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,3,,,,,,,8.996167232378502,3.87663720908831,0.0,0.0,0.0,0.0,0.223606559328125,0.0590902687395507,0.39896006868055894,0.0,4.98209,5.25203539020462,5.039006739479616,-0.05691673947961551,-0.2699453902046196,121.9,714.0,0.0,0.0,0.0,0.0,0.0,59.104781553481466,0.0,493.2058954021042,0.0,0.0,88.52984893901001,0.0,1184.9267878762778,0.0,0.0,0.0,118.24927312080057,119.19354389999829,0.0,4367.634015627258,354.85780961484215,4005.417340587651,415.21252355064894,1243.983466458245,1982.2113625109216,
2020-02-02,3,,,,,,,9.577769373682886,3.67107903793483,0.0,0.0,0.0,0.0,0.287033656725515,0.074169912433684,0.39212274834844896,0.0,4.996690153640678,5.244794027058386,5.037153043327576,-0.04046288968689815,-0.24810387341770834,84.06,585.0,0.0,0.0,57.617471964897824,58.741171267409584,0.0,0.0,0.0,853.2278808622632,0.0,0.0,96.85651021181187,0.0,853.2409194606635,0.0,0.0,0.0,115.47531732397314,87.02512910417656,0.0,4678.209018741538,465.38077696254135,3760.153932629648,290.9430654289925,1570.16914907819,1732.51046956071,
2020-02-03,6,,,,,,,6.178344346707983,3.86767520229573,0.0,0.0,0.0,0.0,0.178708696370992,0.0736812978412036,0.451266264702974,0.0,5.010556177108651,5.224103936252325,5.031826654999558,-0.021270477890907635,-0.2135477591436743,100.77,622.0,0.0,0.0,0.0,47.578772660009435,0.0,0.0,47.838220630856746,678.2619318487657,0.0,0.0,78.8832154978044,0.0,900.0569580293187,0.0,0.0,0.0,110.86529396346712,79.09368646099041,0.0,3794.801868047232,268.19782010586147,3426.628534038236,347.63384771637726,1342.959358214968,1728.5669467849232,
2020-02-04,6,,,,,,,5.749853102737825,3.89465353602495,0.0,0.0,0.0,0.0,0.165289014707531,0.0729138350751142,0.456977307366067,0.0,5.023296803493691,5.191516115735394,5.023379624687716,-8.28211940246959e-05,-0.1682193122417024,105.21,616.0,0.0,0.0,0.0,49.590613022888355,0.0,0.0,0.0,743.7707524594788,0.0,0.0,49.56069854149219,0.0,859.5563170599916,0.0,0.0,0.0,99.3623103333238,49.83659471687196,0.0,3989.26383163169,429.2444276122993,4068.5476652175134,314.3352424977884,1785.6031696262687,1577.1471782206586,
2020-02-05,6,,,,,,,3.9509585911883653,3.90586886973651,0.0,0.0,0.0,0.0,0.16105838805490197,0.0711249982421034,0.457667522745802,0.0,5.034520765885576,5.148581563456551,5.012164002584201,0.02235676330137526,-0.11406079757097487,108.44,629.0,0.0,0.0,50.14882192564588,50.00291928214485,0.0,0.0,49.98214529342019,935.2900589009012,0.0,0.0,74.98680654560778,0.0,1069.2052942065636,0.0,0.0,0.0,100.42339043932994,100.1908452485035,0.0,3395.6830934587047,384.19276612740776,3694.597744927377,200.4081887216172,1604.8246367335678,1628.1315267087218,
2020-02-06,6,,,,,,,3.8045669601556034,3.9165928744686602,0.0,0.0,0.0,0.0,0.15755165865665197,0.070794402680643,0.45528860502249896,0.0,5.043836797374072,5.096851277364754,4.998531838881164,0.04530495849290794,-0.053014479990681984,114.26,621.0,0.0,0.0,0.0,50.25115942337331,0.0,0.0,0.0,617.813985785757,0.0,0.0,66.75204345925562,0.0,918.7998586513356,0.0,0.0,50.83098792527196,100.43496826232366,0.0,0.0,4397.765065194609,316.9906742586252,3809.684742301561,234.03720340048386,1771.9883090035205,1895.508247630268,
2020-02-07,6,,,,,,,10.422626691496141,3.95288975949367,0.0,0.0,0.0,0.0,0.153644253240024,0.0627648969138432,0.446318365986724,0.0,5.050853631048956,5.037876255408963,4.982835183770762,0.0680184472781944,0.012977375639993127,130.28,573.0,0.0,0.0,50.79085649536865,0.0,0.0,0.0,0.0,925.928902149431,0.0,0.0,117.79229019166132,0.0,1095.0892659218252,0.0,0.0,51.00672578827076,101.31666226535678,101.55174957853279,0.0,4165.627533836931,353.1137296644751,3316.804129113877,235.775057788726,1398.7239012496511,1709.0139368944074,
2020-02-08,6,,,,,,,18.92342423608772,3.8836069096222,0.0,0.0,0.0,0.0,0.22296399727431,0.0587805080986395,0.39602004491506204,0.0,5.05518,4.973207495538135,4.965426087445142,0.08975391255485832,0.08197250446186466,125.41,529.0,0.0,0.0,59.44657974005163,59.825646780909615,0.0,59.17524681683706,0.0,734.5327666559675,0.0,0.0,59.43738243034812,0.0,1092.038272960877,0.0,0.0,0.0,199.15759391015428,59.677244304148566,0.0,4491.540908237667,297.84925262519687,3749.4641130084656,218.2881332385238,1667.5645731120767,1475.6128469523,
2020-02-09,6,,,,,,,22.326593592661307,3.70349983487243,0.0,0.0,0.0,0.0,0.29212028700102,0.0652336981266019,0.38394972751350603,0.0,5.048438221574345,4.929584652216696,4.948766803238424,0.09967141833592041,0.11885356935764868,93.45,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.326250754247,0.0,0.0,58.12464246850172,0.0,873.9204869207722,0.0,0.0,0.0,320.1529760575232,58.37956349751024,0.0,4705.288212926734,640.1161606077627,3921.5860577657127,272.318866643812,1943.147680203338,1404.4103248673887,
2020-02-10,6,,,,,,,16.785576940084916,3.87594721916089,0.0,0.0,0.0,0.0,0.191918854818965,0.0684079176031786,0.43844485781893394,0.0,5.029262915451894,4.884835579992682,4.928675876051392,0.1005870394005024,0.14442733545921183,107.18,485.0,0.0,0.0,48.067168473351366,48.63418475786873,0.0,0.0,0.0,875.5136031075871,0.0,0.0,197.2271126160231,0.0,794.5592642831697,0.0,0.0,0.0,97.54407726082391,73.50692727571625,0.0,4075.037389668996,324.12061472224116,3665.007829780247,422.0700839578327,1215.9693109262653,1612.5822749055114,
2020-02-11,7,,,,,,,11.407470450123506,3.90311308050304,0.0,0.0,0.0,0.0,0.160189245792701,0.0722927620200338,0.460060076033089,0.0,4.999229125364431,4.838994857672693,4.905520022469544,0.09370910289488776,0.1602342676917381,111.65,604.0,336.37969115748587,0.0,47.82253927442878,0.0,159.77167692281554,71.361646510795,47.67694029103555,910.2228916541047,0.0,0.0,95.80294296196604,0.0,862.7655979713498,0.0,0.0,0.0,112.0867428659844,71.53011364336706,0.0,4589.093642146819,350.95449472950867,3818.338450434093,159.5659160830999,1406.1436309304636,1892.872927430154,
2020-02-12,7,,,,,,,9.361979356652666,3.91854207945692,0.0,0.0,0.0,0.0,0.154466728688309,0.0700705369979044,0.459923707366735,0.0,4.959911895043732,4.792097064063334,4.8796659590783875,0.0802459359653449,0.16781483098039818,114.05,548.0,553.3311246420714,0.0,97.28871585386494,48.725499491506454,324.6334361232781,0.0,0.0,746.0586673296323,48.66455508177263,48.66484028375977,73.02754974612606,0.0,746.6757467556508,48.644357946158685,48.80742746360832,0.0,211.36739601719557,194.98330877104283,0.0,4159.801834740723,356.48456113890154,3896.811457135685,244.01467593517788,1931.3069516150244,1418.0836063834458,
2020-02-13,8,,,,,,,8.713648610850463,3.93593699320781,0.0,0.0,0.0,0.0,0.15234307962802,0.0670214172124541,0.45393116124381294,0.0,4.912886268221574,4.744176777971209,4.8514804024634275,0.06140586575814666,0.1687094902503654,124.88,557.0,796.0821115144226,0.0,49.73212299938818,0.0,611.884390363993,49.649442868290635,0.0,958.6766874788736,49.855024276549855,0.0,49.5166452263779,0.0,760.7856990560597,49.73212301904432,66.10202031922584,0.0,99.54281812599407,99.67172255819179,49.406598889207494,4271.036320650909,297.23601124722666,3554.094804302423,281.1077467713721,1588.3254333145846,1942.9930745708616,
2020-02-14,8,,,,,,,9.223729093118726,3.98009608184417,0.0,0.0,0.0,0.0,0.153045476045233,0.0597016243971341,0.43151063002498297,0.0,4.859727288629737,4.695268578202919,4.8213300692101715,0.038397219419565864,0.16445871042681848,150.11,644.0,873.5009747001945,0.0,50.757095935765406,51.11524895543899,512.6594887309661,0.0,51.910873586015995,768.5717073260942,204.1936868098444,51.52753836743989,77.27092402434045,0.0,683.3221456690652,51.63479804224652,0.0,0.0,136.68367167220225,102.73121502549769,0.0,3950.2402137690838,341.61964536971533,3398.148176485243,222.0797998904731,1332.348723807878,1612.6188620677667,
2020-02-15,8,,,,,,,16.3464875795022,3.8928576723160804,0.0,0.0,0.0,0.0,0.220765088672894,0.0605166887411065,0.386409793088374,0.0,4.80201,4.645407043565067,4.789581675904119,0.012428324095880683,0.15660295643493338,130.03,479.0,586.8974514831715,0.0,0.0,0.0,484.38740488347497,0.0,0.0,746.7972314247587,0.0,0.0,60.48277586188864,0.0,464.3904403940976,0.0,60.448873775749256,0.0,141.64438719894645,0.0,0.0,4525.400429978881,342.73732621249604,3589.8787653267273,303.6815544037983,1311.8381536977295,1276.811513600799,
2020-02-16,8,,,,,,,15.782421719404509,3.7951289451786,6.718168203323731,0.0,0.0,0.0,0.258076228635387,0.0642397622212151,0.380770979920009,0.0,4.763123990153804,4.605576034066707,4.757992594025873,0.005131396127930898,0.1575479560870967,106.16,501.0,681.8001667112277,0.0,59.87740070628379,0.0,400.20076040328246,0.0,0.0,759.7352089368035,79.94051756385757,0.0,99.92520070066816,0.0,500.2083329218864,179.0876110892363,0.0,0.0,100.1673304698652,100.1918144930358,0.0,4686.022431490344,359.65799093065567,3937.8595342065255,380.5266039699297,1820.9377158583093,1908.7513856916241,
2020-02-17,8,,,,,,,13.113420875932224,3.8087857349481404,6.81423040321147,0.0,0.0,0.0,0.25329299403148997,0.0633388800867411,0.38450405867219895,0.0,4.723457469317924,4.567007948115967,4.723935301320286,-0.0004778320023621774,0.15644952120195654,111.6,505.0,793.1764675603567,0.0,53.665124552065805,0.0,485.4003494265224,0.0,0.0,808.7562481884929,53.28044872006504,0.0,89.87536905590672,0.0,503.5449827176294,0.0,0.0,0.0,126.24296384852778,72.0366977412323,53.43559143430564,4680.478215465159,431.0248951047335,4010.2844144812207,306.17527054523936,1959.868197674569,1787.8186719827,
2020-02-18,8,,,,,,,4.210398262708745,3.90522869020725,6.9610968358758,0.0,0.0,0.0,0.16823590615510098,0.0711113605432512,0.447324643616311,0.0,4.683029946055411,4.529796943727716,4.68757452641565,-0.004544580360239081,0.15323300232769554,113.94,547.0,740.5345327264425,0.0,0.0,97.1132531577737,497.32420233234654,48.39517480893857,48.408783456737176,850.8372874627178,48.227099554320574,0.0,128.35374649190015,0.0,529.7086348669185,0.0,48.059828472593146,0.0,96.9574721810913,96.04195382766622,0.0,4323.968819960281,224.60394975465496,3741.9759606832977,290.6124642220457,1717.1749155259326,1531.9580914550659,
2020-02-19,8,,,,,,,5.1872709057103465,3.9182434313311805,7.2536204706881495,0.0,0.0,0.0,0.160894139128203,0.0703842779262889,0.450996158774826,0.0,4.641860928929313,4.494037178916824,4.64907499794025,-0.007214069010936797,0.14782375001248926,114.47,528.0,697.25695521969,0.0,0.0,47.40055014402125,379.5904599927199,71.14772748053268,47.400550129946865,743.0356792279653,63.234408293830484,0.0,47.24294231908585,0.0,664.3742617144876,0.0,47.53653552116751,0.0,79.25734250753142,79.26366929561037,47.24294232529961,4638.378656612976,442.3062954456007,3272.59948024436,268.8687076481207,1549.2803511370435,1953.55268517742,
2020-02-20,8,,,,,,,6.0376245588390764,3.9264872249824703,6.895669159525401,0.0,0.0,0.0,0.161231915668501,0.0688678486827709,0.445902852871807,0.0,4.59996992650268,4.459822811698161,4.60860144452237,-0.008631518019690532,0.14014711480451858,120.36,534.0,780.9281739842372,0.0,71.55651904191514,0.0,556.5694618534482,47.576556382288494,0.0,841.7104465638721,47.713889874517385,0.0,47.62090951271189,0.0,540.2061854407629,0.0,47.555769130907784,0.0,159.27378435669522,95.584381111315,0.0,3770.2668748278056,365.365533968,3240.028394503305,174.94190801260746,1413.3082553586414,1436.1898054008407,
2020-02-21,10,,,,,,,8.733258397189037,3.96019436904806,6.73721837343856,0.0,0.0,0.0,0.156208810336208,0.0619008264381294,0.43789004950984,0.0,4.557376447338559,4.427248000086597,4.566318594790298,-0.008942147451739046,0.1301284472519617,137.45,577.0,1172.6581490024091,0.0,0.0,48.19605349287704,416.58724079214215,47.91842383911433,96.91773501617556,624.8818791350292,48.04727382539125,0.0,144.2271414054479,0.0,512.6336495449453,47.91842378720416,48.067268849200595,48.788931749214214,96.3281414086426,120.3538846685218,0.0,3784.945083890946,416.09539530183207,3348.021354143496,192.47602119346368,1521.845617810364,1576.577639959382,
2020-02-22,10,,,,,,,10.63185994133422,3.86601616455231,6.92231158430993,0.0,0.0,0.0,0.234369389664194,0.0585023357561105,0.39092138066267795,0.0,4.5141,4.396406902097004,4.522391177372318,-0.008291177372318437,0.11769309790299598,129.22,542.0,1124.9232971447143,0.0,0.0,0.0,404.77525617058467,0.0,0.0,680.4136382882826,110.44770709066587,0.0,73.50907908621727,0.0,699.0252363233561,0.0,0.0,55.853798376648896,110.16015301417156,82.9502629198957,0.0,3941.25174681449,275.31697031969526,3805.7689656258503,386.23130370014974,1729.8295107901786,1681.2874822226481,
2020-02-23,10,,,,,,,14.036206176026447,3.76121933457647,6.73435131692791,0.0,0.0,0.0,0.269250896863023,0.0639532097792242,0.386580893619816,0.0,4.4732264079376405,4.360249657691768,4.478563679226184,-0.005337271288543555,0.11297675024587228,103.92,567.0,1500.664909598022,0.0,0.0,0.0,467.86579509894034,56.70878894673542,0.0,747.9804501807904,140.75905508296609,0.0,56.06908623920724,0.0,579.9878371042654,55.85528048618614,0.0,0.0,140.50779131316452,56.32627212567969,0.0,3633.3298215889567,373.2921008130169,3195.119238510127,318.2807335690282,1588.9043536823053,995.5828459970807,
2020-02-24,10,,,,,,,20.17483415606536,3.8861052215800695,6.41199682572797,0.0,0.0,0.0,0.166808683541077,0.0740713924134899,0.4563549445313,0.0,4.4324161448113495,4.323941272540061,4.4329017778766175,-0.00048563306526805405,0.10847487227128827,111.7,641.0,2261.773207204929,0.0,0.0,47.98562968879494,816.029768884312,96.21608893998362,48.023610845073186,671.7584294724801,127.90597958916985,0.0,111.95026037436413,0.0,911.9838374916307,96.52851513779352,48.22254930755764,0.0,192.33277793852074,72.05837915568573,47.86393135072604,4148.446662480248,287.70895586395704,3276.942963349987,304.4840968918324,1327.318997406548,1671.3482860512265,
2020-02-25,10,,,,,,,28.060549425027013,3.91236175534572,6.280403483483701,0.0,0.0,0.0,0.15521921763677998,0.0719899470438911,0.460468459423438,0.0,4.391669360243385,4.2874826547400335,4.385486772640709,0.00618258760267576,0.10418670550335118,114.15,873.0,2821.273569295275,0.0,46.323472750425395,46.38344624035865,901.9204821415269,46.30646128041004,0.0,497.16894952614217,108.7152749807301,0.0,46.314923604272835,0.0,979.38292181574,69.5895170889793,46.43947480971379,0.0,108.95471032438627,0.0,0.0,3486.6550811569155,341.62616440456515,3389.6227218065865,326.7026881923655,1461.1923274026801,1780.2738744473138,
