,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,1.5827793605571383,3.86118825645591,0.0,0.0,0.0,0.0,0.24471516896775397,0.0576630205154882,0.387007032419736,0.0,7.8799899999999985,8.006310163885358,6.605126518869308,1.2748634811306907,-0.12632016388535927,116.4,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.2094040971198,0.0,0.0,0.0,0.0,604.6908838107968,0.0,0.0,0.0,402.85293161264815,0.0,0.0,4180.594018315857,606.5645124866722,3765.588016121544,0.0,2161.278754062601,1882.7519921422684,
2020-02-02,0,,,,,,,1.644304130491975,3.67185162112824,0.0,0.0,0.0,0.0,0.29773424418887606,0.0738357277715622,0.376511295993979,0.0,7.8770355685131195,8.029795229415184,6.610151133916572,1.2668844345965473,-0.15275966090206428,85.08,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.7233167791262,0.0,0.0,0.0,0.0,1056.6569855282362,0.0,0.0,0.0,403.2653112688109,393.0175673253397,0.0,4628.59509966837,393.7872589670983,2374.252983749044,397.7828964404836,1459.8812430869425,1320.5747232883873,
2020-02-03,0,,,,,,,3.0353375292038782,3.7593076747941203,0.0,0.0,0.0,0.0,0.24073431226854297,0.0779940491957502,0.42798136397312,0.0,7.866943527696793,8.054907557980354,6.614954200957077,1.2519893267397162,-0.18796403028356057,85.85,63.0,0.0,0.0,303.1983630999951,0.0,0.0,0.0,0.0,610.2286123840287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.6387298867563,0.0,0.0,3870.2539367073405,460.6778112506897,2744.022331692401,605.1344516320706,715.7986720280783,1830.2821522657928,
2020-02-04,0,,,,,,,3.0353375292038782,3.6968240322750803,0.0,0.0,0.0,0.0,0.272475529506397,0.0764333997717659,0.41131204543613004,0.0,7.847870758017493,8.081546147329155,6.619334717018668,1.2285360409988249,-0.23367538931166187,81.32,92.0,0.0,0.0,0.0,321.14259621500975,0.0,0.0,0.0,1061.3738926399838,0.0,0.0,316.46112962419016,0.0,478.5429338457397,0.0,0.0,0.0,0.0,316.06686731260936,0.0,3613.3819436463564,316.74743907761746,4559.5793138304325,424.48022191415697,1600.482744792903,1802.8156096530506,
2020-02-05,0,,,,,,,4.311551498622826,3.8869019589026497,0.0,0.0,0.0,0.0,0.18916624837970303,0.0691273234653921,0.44220456927901497,0.0,7.8179741399416915,8.10960999520987,6.623091679129199,1.1948824608124928,-0.29163585526817926,99.4,64.0,0.0,0.0,0.0,0.0,0.0,328.9220793435265,0.0,331.23153348823826,0.0,0.0,0.0,0.0,330.7660236355516,0.0,0.0,0.0,0.0,330.0904193512689,0.0,4528.191794800897,662.8986399793816,3525.9701001657168,331.0844775791355,1662.1549026279085,1764.6082487272452,
2020-02-06,0,,,,,,,2.920518099910923,3.9055813539881803,0.0,0.0,0.0,0.0,0.18164550517152897,0.0680371913951086,0.44000405528692893,0.0,7.775410553935861,8.138998099370799,6.6260240843165255,1.1493864696193352,-0.363587545434938,111.29,47.0,0.0,0.0,0.0,0.0,0.0,336.9623559377091,0.0,843.1013783703513,0.0,0.0,671.9631846544472,0.0,505.21065984351424,0.0,0.0,0.0,339.2137344592552,339.6389923469443,0.0,4726.184975557439,676.3760831163015,3144.173814816315,337.6623366877007,1808.3510028262835,1689.987551761524,
2020-02-07,0,,,,,,,11.148939065927543,3.6355561759979302,0.0,0.0,0.0,0.0,0.306877667262428,0.0713153787518195,0.37698313919852794,0.0,7.718336880466473,8.169609457560217,6.627930929608498,1.090405950857975,-0.4512725770937438,104.75,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0212658600129,0.0,0.0,337.05944583724875,0.0,1176.387935986952,0.0,0.0,0.0,334.47006813916823,0.0,0.0,3131.8431139362046,334.92116642952726,2232.1387039677256,503.1605559783687,1123.8941344564998,1787.280473343486,
2020-02-08,0,,,,,,,8.228420966016621,3.83036143176293,0.0,0.0,0.0,0.0,0.25722847045487096,0.0587875323011567,0.38700026894285905,0.0,7.64491,8.201343067526416,6.628611212032964,1.0162987879670364,-0.5564330675264157,119.48,89.0,0.0,0.0,0.0,0.0,0.0,397.5569954672577,0.0,1069.4442569288487,0.0,0.0,0.0,0.0,935.6880396656737,0.0,0.0,0.0,0.0,399.5616541958872,0.0,4551.983919766968,402.1301276857755,3072.687773088277,400.5597269416269,1611.59996172143,2004.6523320829592,
2020-02-09,0,,,,,,,13.085855269217667,3.4873998941007502,0.0,0.0,0.0,0.0,0.36643970628047795,0.0693597921871876,0.348968397104713,0.0,7.563773603806842,8.150877514534388,6.628056628846495,0.9357169749603473,-0.5871039107275458,80.31,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.704649317228,0.0,0.0,388.78835426013194,0.0,785.3854894075638,0.0,0.0,0.0,392.71581982167737,0.0,0.0,2876.501842568249,784.6675107084241,3521.9826441339146,586.7733241972059,1049.8710244953286,1696.6856598178101,
2020-02-10,0,,,,,,,4.857434303201049,3.86234583239449,0.0,0.0,0.0,0.0,0.19840495356077398,0.0721733305629029,0.439140115212264,0.0,7.438095549504968,8.008777913488787,6.626407940033918,0.8116876094710506,-0.5706823639838188,103.81,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.8093431889673,0.0,0.0,0.0,0.0,549.2831477846472,0.0,0.0,0.0,330.14635543415045,0.0,0.0,4730.949428383854,329.13785483113577,2854.8464881174104,329.871462796521,1215.7005071416909,2745.342482920566,
2020-02-11,0,,,,,,,4.857434303201049,3.87527092841897,0.0,0.0,0.0,0.0,0.193782568818839,0.07088854884990599,0.44145537668725604,0.0,7.274195825483951,7.788989851285338,6.6236877367154765,0.6505080887684747,-0.514794025801387,110.09,66.0,328.31017251624934,0.0,0.0,0.0,327.1385326397888,0.0,0.0,762.0827320104377,0.0,0.0,328.8696072831052,0.0,489.9250712712516,0.0,0.0,0.0,326.3707444122158,325.2864561953033,0.0,4471.284591913702,655.1249682815351,2719.9926898724325,326.09899549450137,1313.5647172656852,1631.0756899388255,
2020-02-12,0,,,,,,,1.490823978412868,3.89830021368902,0.0,0.0,0.0,0.0,0.181586777114886,0.06945793318110201,0.445766381239236,0.0,7.078394420133373,7.505458914819765,6.619918610011418,0.45847581012195526,-0.42706449468639196,110.41,86.0,498.81013725766763,0.0,0.0,330.7207730604255,993.9997491986054,333.5069864173784,0.0,772.7767374769496,0.0,0.0,0.0,0.0,829.9183265709876,0.0,0.0,0.0,331.7623299530173,0.0,0.0,2764.0901951771343,827.6189415161406,3640.55478222552,330.7207731804466,1220.9751541237981,1879.452396836413,
2020-02-13,0,,,,,,,3.205854505956257,3.9198201976366205,0.0,0.0,0.0,0.0,0.18184788706031502,0.0647421184933145,0.436951045479062,0.0,6.857011321842803,7.172130690987791,6.615123151041982,0.24188817080082092,-0.3151193691449876,124.65,80.0,344.3086653715441,0.0,0.0,341.84436490960223,344.1242772563866,0.0,342.98053214456297,1379.2330318728991,0.0,0.0,347.0165802066951,0.0,687.7166619635368,0.0,0.0,0.0,0.0,0.0,0.0,3221.151162559011,344.3086656893396,2871.603864564049,347.8848452646821,1155.5047090668072,2069.8784327086664,
2020-02-14,0,,,,,,,3.205854505956257,3.9945190094849803,0.0,0.0,0.0,0.0,0.173512665183331,0.0540173699990911,0.409340699040376,0.0,6.61636651900182,6.802950766685142,6.609323950927419,0.007042568074401068,-0.1865842476833217,144.99,73.0,1092.6606620737427,0.0,0.0,0.0,364.52399076989235,0.0,0.0,725.2600208442308,365.4383489032767,0.0,363.6941252382943,0.0,542.7155454007171,0.0,0.0,0.0,0.0,0.0,0.0,3754.0946718856317,364.22022102742136,1932.3909120215078,363.9169569061632,726.7802680317294,1814.66893343992,
