,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.89822096347992,0.0,0.0,0.0,0.0,0.240093662622926,0.0493858286576962,0.386865918686848,0.0,9.08556,9.984551334215011,7.743663402149722,1.341896597850277,-0.8989913342150118,119.92,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.5763101309476,0.0,0.0,0.0,0.0,629.4501468047225,0.0,0.0,0.0,629.7354058461137,0.0,0.0,3755.7080070714082,1242.1908588386202,4160.251449334083,939.1307830380913,2285.723069557039,627.4817157255047,
2020-02-02,0,,,,,,,1.8642803877703202,3.70624935859792,0.0,0.0,0.0,0.0,0.294209516889441,0.0621547966594562,0.39570477082488,0.0,9.277433518628174,10.066731449229641,7.7788149306803325,1.498618587947841,-0.7892979306014674,86.23,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.9893465996836,0.0,0.0,609.3122568596223,0.0,608.4993597610704,0.0,0.0,0.0,610.7269279081899,0.0,0.0,4072.8505199378,611.7610253351124,2845.3079092091657,607.8487272609971,2433.1195778198608,1626.4907906339358,
2020-02-03,0,,,,,,,3.5753492925151154,3.8825235454346503,0.0,0.0,0.0,0.0,0.18248163519653196,0.0669864197725026,0.442604088755584,0.0,9.460867075192189,10.141226793230322,7.812237649568843,1.648629425623346,-0.6803597180381331,98.65,40.0,0.0,0.0,0.0,0.0,0.0,455.0309985268754,0.0,1764.7712879390485,0.0,0.0,0.0,0.0,904.9765207617577,0.0,0.0,0.0,0.0,0.0,0.0,4972.948154598785,674.3156578637767,3906.5940952589867,454.98978415584367,901.1396126317236,1656.425902988191,
2020-02-04,0,,,,,,,3.5753492925151154,3.90903652406116,0.0,0.0,0.0,0.0,0.171153984478401,0.0671324180299503,0.44507676352366105,0.0,9.634651086062057,10.206230126772716,7.843576215555955,1.791074870506102,-0.5715790407106596,101.23,43.0,0.0,0.0,0.0,0.0,0.0,0.0,514.383860903286,768.2425788447247,0.0,0.0,0.0,0.0,1202.2408184987835,0.0,0.0,0.0,0.0,0.0,0.0,5332.290281019128,0.0,3772.2299896265295,1022.0240744113572,1885.6746848721427,1720.3942020303386,
2020-02-05,0,,,,,,,1.7110689047447931,3.9190798200055896,0.0,0.0,0.0,0.0,0.168822194341388,0.0646783644347498,0.44596985058006205,0.0,9.797575967607765,10.259934210412498,7.87247528538236,1.9251006822254046,-0.4623582428047328,101.17,40.0,0.0,0.0,0.0,512.391447970277,0.0,0.0,0.0,1536.3948209302273,0.0,0.0,0.0,0.0,510.4715799156881,0.0,0.0,0.0,512.1774169948118,0.0,0.0,4284.338213178044,513.46429427483,5307.124522904339,1031.483669063539,2223.652837996292,1714.7215596700225,
2020-02-06,0,,,,,,,,3.89415939734116,0.0,0.0,0.0,0.0,0.181041214317328,0.0639049322491335,0.4444410365011379,0.0,9.948432136199324,10.300531804705324,7.8985795157887555,2.0498526204105687,-0.35209966850599983,101.88,45.0,0.0,0.0,0.0,510.29246983540634,0.0,0.0,0.0,1021.1740832347442,0.0,0.0,0.0,0.0,514.5680665161976,0.0,0.0,0.0,0.0,0.0,0.0,3759.450144032769,512.7181843671601,2218.631226596269,1022.8120946489954,1535.1478862564056,2736.590836134111,
2020-02-07,0,,,,,,,,3.95637064542985,0.0,0.0,0.0,0.0,0.168023621775582,0.0540089546466858,0.43503202262222296,0.0,10.086010008206737,10.326215670206867,7.921533563515835,2.1644764446909015,-0.24020566200013072,121.7,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.2735349298284,0.0,0.0,536.4294349391122,0.0,1072.1523013324188,0.0,0.0,0.0,1077.1287999039346,532.3020065908474,0.0,4460.935355296538,1061.506662475276,1961.6779519460558,532.7461470740034,889.8945775126876,1071.0321027801108,
2020-02-08,0,,,,,,,14.747087450228575,3.9216613352077205,0.0,0.0,0.0,0.0,0.23169411355608502,0.0498456669196317,0.38101005873955895,0.0,10.2091,10.335178567472786,7.9409820853042925,2.268117914695707,-0.12607856747278667,124.01,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.6410667520888,0.0,0.0,637.9697634141019,0.0,1284.9440852453747,0.0,0.0,0.0,642.9583440192258,639.8347773328642,0.0,5565.20566007805,1286.100054310255,4487.367343684139,642.6150775785642,2247.5424236819745,1068.8910025912294,
2020-02-09,0,,,,,,,18.5156949497575,3.7299947555656403,0.0,0.0,0.0,0.0,0.30446136979012,0.0576015911132039,0.367567774601134,0.0,10.183247288629737,10.291076258798682,7.949542623072372,2.233704665557365,-0.10782897016894566,92.74,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.1604657587968,0.0,0.0,620.0696818686973,0.0,1559.8851553260488,0.0,0.0,0.0,0.0,628.0414542405075,0.0,3947.7357969055042,624.8168832305837,4579.953438149584,624.9483268085331,1564.3194478131472,1874.7240260477301,
2020-02-10,0,,,,,,,22.030015807251797,3.87955857933629,0.0,0.0,0.0,0.0,0.18474168339861802,0.0668827234599839,0.44374350760162895,0.0,10.106273819241984,10.166158662946867,7.957342939888643,2.1489308793533413,-0.05988484370488223,98.74,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.393989030687,0.0,0.0,501.3631878926537,0.0,1520.39858032629,0.0,0.0,0.0,0.0,0.0,0.0,4225.77242958553,1009.3298463351857,2191.5686204850563,501.99628866000086,841.2754467272099,1350.4214989008708,
