,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,9.695559433779326,3.9383178146037596,0.0,0.0,0.0,0.0,0.26182644845470304,0.04663830631228799,0.347869741350607,0.0,2.60014,0.0,2.4082377538029482,0.19190224619705187,2.60014,111.72,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2744.4891986789403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3622.73742382424,0.0,2716.027245852047,5498.176514450833,2751.243949678916,2704.036330420187,
2020-02-02,0,,,,,,,,3.73542067061181,0.0,0.0,0.0,0.0,0.32031298045348605,0.0570228289343712,0.353243058930723,0.0,2.5628335860058318,0.0,2.4407342155987557,0.12209937040707608,2.5628335860058318,81.44,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2595.051453210705,0.0,0.0,0.0,0.0,2613.417765137756,0.0,0.0,0.0,0.0,0.0,0.0,7821.8726904098085,2668.7575814409456,0.0,0.0,0.0,5299.361629383605,
2020-02-03,0,,,,,,,8.929368693633359,3.9811319812908703,0.0,0.0,0.0,0.0,0.215539168594388,0.0502666223161987,0.38939724982133905,0.0,2.454819300291545,0.0,2.4726389103509274,-0.017819610059382374,2.454819300291545,101.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3701.918799339444,0.0,5553.8691399983445,0.0,2210.8069223858442,2229.146297665735,
2020-02-04,0,,,,,,,8.929368693633359,3.9889812679731103,0.0,0.0,0.0,0.0,0.19791361560010298,0.0506665234082683,0.4056684632108471,0.0,2.281954577259475,0.0,2.5039316613247604,-0.22197708406528527,2.281954577259475,96.92,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2374.586201615843,0.0,0.0,0.0,2478.536371282959,2427.959999975488,0.0,4816.897887147387,2374.599349971333,7161.1233952136645,0.0,0.0,2435.504594118487,
2020-02-05,0,,,,,,,8.929368693633359,3.9959594817597095,0.0,0.0,0.0,0.0,0.19355200224613,0.0485838836216209,0.405419215746997,0.0,2.0500968513119533,0.0,2.5345922917855583,-0.48449544047360504,2.0500968513119533,98.86,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5675.1231646053575,2457.532710378601,7293.811674288338,0.0,4844.990474278672,4943.929062479754,
2020-02-06,0,,,,,,,,3.9933950231559803,0.0,0.0,0.0,0.0,0.198567789615588,0.0469304425206435,0.404827398715265,0.0,1.7651035568513116,0.0,2.5646006249986177,-0.7994970681473061,1.7651035568513116,101.58,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436.9316104879267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4817.911808109205,2434.860643616187,2443.2411393226307,0.0,0.0,2432.00586805972,
2020-02-07,0,,,,,,,22.799817601459196,4.02365544621659,0.0,0.0,0.0,0.0,0.188460136735561,0.0447962980356543,0.393510516705401,0.0,1.4328321282798837,0.0,2.59393648422924,-1.1611043559493563,1.4328321282798837,115.57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.8084992224262,0.0,0.0,0.0,0.0,0.0,0.0,5562.870948787384,0.0,7113.9543719000685,0.0,2363.264684861077,2415.555018399325,
2020-02-08,0,,,,,,,22.799817601459196,3.9678719441965002,0.0,0.0,0.0,0.0,0.251170591477917,0.0449977909447076,0.344447909136322,0.0,1.05914,0.0,2.622579692742723,-1.5634396927427232,1.05914,114.67,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4075.4556544378606,0.0,0.0,0.0,0.0,2725.228523246395,0.0,0.0,0.0,0.0,0.0,0.0,9586.612016508898,0.0,5435.493746894318,0.0,0.0,2745.804913443097,
2020-02-09,0,,,,,,,22.799817601459196,3.78822749159429,0.0,0.0,0.0,0.0,0.311478180389793,0.0547475077706098,0.351888338593099,0.0,1.0935230903790083,0.0,2.6491853401589025,-1.5556622497798942,1.0935230903790083,92.84,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2711.770698594812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4496.534150001988,0.0,4040.891044864092,0.0,2715.5708994962524,2717.833877413249,
2020-02-10,0,,,,,,,,3.97046099389199,0.0,0.0,0.0,0.0,0.20871375220678304,0.0493012878354027,0.405534497064586,0.0,1.1960855393586003,0.0,2.6750334982169464,-1.478947958858346,1.1960855393586003,101.73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2344.544485884089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3027.928591154397,0.0,6816.810812534493,2244.84882975857,2290.787556822417,2345.5221940298893,
