,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,4.01556542566222,0.0,0.0,0.0,0.0,0.226510095486825,0.0426564531693247,0.35410099091873104,0.0,4.47657,0.0,3.993542203975382,0.48302779602461765,4.47657,110.86,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.905015730804,0.0,0.0,0.0,0.0,0.0,0.0,3258.0906547403233,0.0,5696.450344535251,1931.0653770140561,3191.5657527023827,2549.825530337817,
2020-02-02,0,,,,,,,,3.8840659559520203,0.0,0.0,0.0,0.0,0.263641170691028,0.0525197688646946,0.370974387933795,0.0,4.558435942443834,0.0,4.007787033211342,0.5506489092324927,4.558435942443834,82.55,15.0,0.0,0.0,1967.928281821342,0.0,0.0,0.0,0.0,1867.335544763306,0.0,0.0,0.0,0.0,1898.056451023638,0.0,0.0,0.0,0.0,0.0,0.0,4519.594301009205,0.0,5734.201133283227,0.0,2895.3794653692034,5632.41418787989,
2020-02-03,0,,,,,,,,4.01715316714599,0.0,0.0,0.0,0.0,0.170376413051936,0.0491986812973462,0.41364225223984397,0.0,4.63607955724909,0.0,4.021810417358627,0.614269139890463,4.63607955724909,98.52,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648.0626056489884,0.0,0.0,0.0,0.0,3262.4832343966923,0.0,0.0,0.0,0.0,0.0,0.0,5809.459527205088,1628.9398607589471,5973.579994167205,0.0,3296.1252128197657,1623.6228184466693,
2020-02-04,0,,,,,,,15.01163401636268,4.0293408627884,0.0,0.0,0.0,0.0,0.16250071391500698,0.0491627721057872,0.415805802970963,0.0,4.708362481081574,0.0,4.035606145443944,0.6727563356376303,4.708362481081574,100.37,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.0196139170148,0.0,0.0,0.0,0.0,2294.4782363405043,0.0,0.0,0.0,0.0,1723.7451437860075,0.0,10428.192173211824,0.0,7437.41737457772,0.0,1717.7809780378893,1737.3657572253976,
2020-02-05,0,,,,,,,15.01163401636268,4.02539782469367,0.0,0.0,0.0,0.0,0.166877273375685,0.0485262987241492,0.41583751954184295,0.0,4.774146350607098,0.0,4.049168006493987,0.7249783441131115,4.774146350607098,101.73,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710.3661855501502,0.0,0.0,0.0,1721.6927570628295,0.0,0.0,3459.062589998138,1728.6041237134539,6827.6721487054665,0.0,4301.277718293723,1724.4299950037591,
2020-02-06,0,,,,,,,15.01163401636268,3.9611070006681097,0.0,0.0,0.0,0.0,0.200193293808699,0.0512903653644487,0.409749053143431,0.0,4.832292802491472,0.0,4.0624897895354595,0.7698030129560127,4.832292802491472,105.01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689.556885476761,0.0,0.0,0.0,0.0,1676.3519986752058,0.0,0.0,0.0,0.0,0.0,0.0,8875.896961179385,1679.6091510617593,2258.2825707451043,0.0,3384.7592521994025,1695.1864269056161,
2020-02-07,0,,,,,,,12.01634222542658,4.09983499853413,0.0,0.0,0.0,0.0,0.15237573903214802,0.0391783209568615,0.38771712133765296,0.0,4.881663473400502,0.0,4.075565283595064,0.8060981898054385,4.881663473400502,110.56,14.0,0.0,0.0,1731.8392776645746,0.0,0.0,0.0,0.0,1709.3453846494315,0.0,0.0,0.0,0.0,3448.190255399815,0.0,0.0,0.0,0.0,0.0,0.0,5834.923654508388,0.0,1704.1691487910214,1723.2160131805585,3424.0383473658503,1724.645047008876,
2020-02-08,0,,,,,,,12.01634222542658,3.8434762894341294,0.0,0.0,0.0,0.0,0.279055207853585,0.0525766840555269,0.34383418671699606,0.0,4.921119999999998,0.0,4.088388277699496,0.832731722300502,4.921119999999998,115.33,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.872828156104,0.0,0.0,0.0,0.0,0.0,0.0,3339.315043947672,0.0,2947.6585203299146,0.0,1968.545727046756,1985.8245998671482,
2020-02-09,0,,,,,,,29.491222085627538,3.8775807822513997,0.0,0.0,0.0,0.0,0.277354833756831,0.0487481984906319,0.35959127639667804,0.0,4.904467959183672,0.0,4.100830957703914,0.8036370014797587,4.904467959183672,95.47,9.0,0.0,0.0,1991.2046128354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.8657619422083,0.0,0.0,0.0,0.0,0.0,0.0,2005.1572170254776,1990.4086044175006,3317.792408850512,0.0,6077.855033324186,1992.036014305125,
2020-02-10,0,,,,,,,17.474879860200957,4.00726836133031,0.0,0.0,0.0,0.0,0.175862421123758,0.0486512542339685,0.414153438902022,0.0,4.8560277551020405,0.0,4.113039812553126,0.7429879425489148,4.8560277551020405,111.39,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4624.4563469847635,0.0,0.0,0.0,0.0,3487.225575574123,0.0,0.0,0.0,0.0,1747.9461605004776,0.0,4735.446414243329,3513.408276619479,6365.541640961735,1777.4847536018212,3523.7072138175627,1727.6689318768438,
