,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.9411587717155703,0.0,0.0,0.0,0.0,0.21577087138106302,0.0626362929293607,0.35725511896474305,0.0,7.773560000000002,6.805180907508168,8.401353737723197,-0.627793737723195,0.9683790924918334,132.8,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.1590051882856,0.0,0.0,0.0,0.0,1040.2835100104885,0.0,0.0,0.0,0.0,0.0,0.0,5564.830197218385,1043.1761235686965,4164.788688648341,0.0,4125.2855391752255,2424.229132771919,
2020-02-02,0,,,,,,,,3.68263991586704,0.0,0.0,0.0,0.0,0.267969590657385,0.0867940361014009,0.38862923227524293,0.0,7.903028401731956,6.954214950223285,8.411805993803593,-0.5087775920716373,0.9488134515086708,83.42,22.0,0.0,0.0,0.0,0.0,0.0,1044.1534687812434,0.0,1045.8933703670123,0.0,0.0,0.0,0.0,2111.2709858284975,0.0,0.0,0.0,0.0,0.0,0.0,5559.9162335720985,1040.4071728982408,2076.8038911238173,0.0,1558.771411567854,3606.4023251783806,
2020-02-03,0,,,,,,,,3.8592191159225697,0.0,0.0,0.0,0.0,0.17957327568875897,0.0842603401608635,0.421463889677974,0.0,8.025797372020007,7.110562349768933,8.420988419691032,-0.395191047671025,0.9152350222510739,97.73,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1531.852567541486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3827.069654416122,762.4624740753989,2036.8033035099886,0.0,754.9970683231978,3302.8725388386506,
2020-02-04,0,,,,,,,,3.86762323995718,0.0,0.0,0.0,0.0,0.17335438953601998,0.0845978381152622,0.426497012695709,0.0,8.138934603669819,7.273860665373457,8.42877774287189,-0.2898431392020715,0.8650739382963621,101.22,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.984298914139,0.0,0.0,0.0,0.0,1075.431546068969,0.0,0.0,0.0,793.4869600056751,0.0,0.0,4044.9984430157424,0.0,3493.4869625500464,813.7580023399311,1199.316777209035,1880.2128855193139,
2020-02-05,0,,,,,,,,3.8346445629332995,0.0,0.0,0.0,0.0,0.206283141701802,0.0797628145456658,0.405570762099222,0.0,8.239507789487059,7.443747456265191,8.435050690832558,-0.19554290134549923,0.7957603332218675,96.02,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.3096579817045,0.0,0.0,0.0,0.0,856.6370524903789,0.0,0.0,0.0,0.0,0.0,0.0,3980.507870966112,0.0,4818.976003891484,0.0,2263.3619769990587,1690.8016884858966,
2020-02-06,0,,,,,,,,3.90786296571745,0.0,0.0,0.0,0.0,0.16059452767639198,0.0801958372799877,0.427166746257266,0.0,8.32458462227739,7.619860281672481,8.439683991059415,-0.11509936878202431,0.7047243406049093,106.24,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2973.4483054901257,0.0,0.0,0.0,0.0,1688.8097549390616,0.0,0.0,0.0,0.0,0.0,0.0,5946.510198321474,1720.8670794288653,2822.5464219370897,0.0,1971.8900188172256,1409.7985232634012,
2020-02-07,0,,,,,,,,3.9808907441497796,0.0,0.0,0.0,0.0,0.15098172066670199,0.0686366508236358,0.40992893083630705,0.0,8.391232794846484,7.801836700823664,8.442554371038849,-0.05132157619236466,0.5893960940228204,122.6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.9895238402626,0.0,0.0,0.0,0.0,2612.443925335509,0.0,0.0,0.0,870.7793574803359,0.0,0.0,3785.944830129467,869.690884192413,2611.749546398998,871.3637032718368,1738.7325141797285,1741.7734175787698,
2020-02-08,0,,,,,,,,3.9432267379863597,0.0,0.0,0.0,0.0,0.22198054554740498,0.0605817636578559,0.35675251556708704,0.0,8.43652,7.989314272947081,8.443538558257243,-0.007018558257243512,0.4472057270529186,128.67,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.1989706599713,0.0,0.0,0.0,2076.4441579572394,0.0,0.0,3131.8238805389783,0.0,3819.597346826989,1033.387573363813,3132.065614920594,1566.4684501653478,
2020-02-09,0,,,,,,,,3.6933267214233196,0.0,0.0,0.0,0.0,0.289430617457602,0.0741558797973733,0.360836932991805,0.0,8.431466588921285,8.008186368615942,8.432686961665754,-0.001220372744468179,0.42328022030534385,91.15,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.5113900393187,2020.876119371894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6874.588441827603,1552.250218145322,4115.312616851238,1553.9754174437135,2551.6196273275727,2738.8202510432243,
2020-02-10,0,,,,,,,,3.86605855946688,0.0,0.0,0.0,0.0,0.168890335866357,0.0865966516731226,0.43147310209528006,0.0,8.4146110787172,8.024579821889969,8.402130308268637,0.01248077044856366,0.39003125682723194,101.18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.5678407902415,0.0,0.0,0.0,0.0,1627.9469515713795,0.0,0.0,0.0,816.350535708999,0.0,0.0,6020.020280799095,0.0,4639.039656711318,820.8521635932179,1089.3252595896572,1634.6107874130573,
2020-02-11,0,,,,,,,,3.8968903720299704,0.0,0.0,0.0,0.0,0.158462604464534,0.0838307008231946,0.4307991370960929,0.0,8.38341055393586,8.03833981481948,8.354865802631902,0.028544751303957838,0.3450707391163803,107.49,13.0,0.0,0.0,0.0,0.0,812.224911754485,0.0,0.0,1079.5295147543911,0.0,0.0,0.0,0.0,808.8182882040646,0.0,0.0,0.0,0.0,0.0,0.0,8116.013081847015,810.8552817797728,3776.2735653531945,808.4971652948215,2692.811887578238,1347.5270633376695,
2020-02-12,0,,,,,,,11.739845034045553,3.8298912986595295,0.0,0.0,0.0,0.0,0.18065878341039102,0.0883003313446678,0.438274860698663,0.0,8.335322099125364,8.049311529454817,8.293890649321566,0.041431449803797094,0.2860105696705464,95.19,16.0,2425.498254819008,0.0,0.0,0.0,803.6524397582654,0.0,0.0,1204.134562096544,0.0,0.0,792.2509844276308,0.0,0.0,0.0,0.0,0.0,810.1858998029833,0.0,0.0,3225.255716000725,1609.1879451617083,4827.032731364391,0.0,2405.313876641389,1604.9136278366236,
2020-02-13,0,,,,,,,11.739845034045553,3.86117591336885,0.0,0.0,0.0,0.0,0.203043141263788,0.0779592775780978,0.40490706295452294,0.0,8.26780279883382,8.057340147846316,8.222202052903633,0.04560074593018726,0.2104626509875036,107.69,14.0,835.6687689144737,0.0,0.0,0.0,1678.3247354508105,0.0,0.0,1669.9258358499922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4181.277225479649,0.0,4721.987635633344,829.1893584091747,1248.715130618582,1387.8822000116638,
2020-02-14,0,,,,,,,23.22617629983925,4.01296671852016,0.0,0.0,0.0,0.0,0.156474399759398,0.0633796372190537,0.39220174980880396,0.0,8.178309737609329,8.062270852044302,8.142797217944121,0.03551251966520752,0.11603888556502717,140.81,12.0,0.0,0.0,0.0,0.0,881.4905278512769,0.0,884.4312799104238,887.4244116116963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3263.1908867892707,881.6455374863559,4437.379297376277,882.5335871660309,2360.9682827599977,3548.334336623951,
2020-02-15,0,,,,,,,11.486331265793705,3.9476150282100098,0.0,0.0,0.0,0.0,0.223131105883517,0.0605029824872097,0.35059477044508397,0.0,8.0643,8.063948824099112,8.058673349009045,0.005626650990954829,0.0003511759008869575,141.5,10.0,1023.8089210325354,0.0,0.0,0.0,1535.2036384714356,0.0,0.0,0.0,0.0,0.0,1025.9374215886494,0.0,1029.8328203112594,1027.2614529901616,0.0,0.0,0.0,0.0,0.0,4793.7095519401955,1026.8148482446916,3084.3103730920416,0.0,2725.531842104555,2051.8748431772988,
2020-02-16,0,,,,,,,11.486331265793705,3.74219366953775,9.323890625694439,0.0,0.0,0.0,0.27412822034097,0.0722272576224606,0.36068965146172705,0.0,7.999338053452478,8.095890683954362,7.979807262141827,0.019530791310651274,-0.09655263050188445,102.77,13.0,0.0,0.0,0.0,0.0,1017.4170233373036,0.0,0.0,1527.4927873795148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.90313657796,0.0,0.0,5788.500728213418,1017.5344774792436,4070.6537142566576,2011.8374474844186,2370.098124494107,2035.4608131559803,
2020-02-17,0,,,,,,,3.73482726423903,3.87210882588435,8.70381625394742,0.0,0.0,0.0,0.2063523089017,0.0783671904254005,0.389027347300891,0.0,7.930101944987853,8.15145492579202,7.889548917851361,0.040553027136492226,-0.2213529808041672,113.02,10.0,870.9511168631989,0.0,0.0,0.0,869.9906793998417,0.0,0.0,866.820828858572,864.2100099586409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3493.1592240150776,865.5566346455215,4643.742704811838,867.4521485847259,2316.5515265092213,2900.0589740830787,
2020-02-18,0,,,,,,,3.73482726423903,3.90544912193094,8.43600151599254,0.0,0.0,0.0,0.164712105563009,0.0837133170130486,0.422696029597969,0.0,7.856848561065888,8.227099142508353,7.788947526799138,0.06790103426675032,-0.37025058144246437,110.22,18.0,1183.0617703010425,0.0,0.0,0.0,787.4324897666461,0.0,0.0,789.6342396040144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.2952468212828,0.0,0.0,5822.880420918513,1586.6047571836978,5805.145169459775,786.7784758589827,1052.865550527994,1581.489288093058,
2020-02-19,0,,,,,,,3.73482726423903,3.89321266648457,8.52778166308194,0.0,0.0,0.0,0.156478577852931,0.0847171977652611,0.43569338979710204,0.0,7.779834788146354,8.319280926999639,7.679052299646642,0.1007824884997115,-0.5394461388532852,108.08,22.0,800.3272086054158,0.0,0.0,0.0,0.0,0.0,0.0,2419.8545302730827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.1790956652109,0.0,0.0,5893.641964193856,807.5788798274426,4809.635709294695,807.9155108138755,1867.165273487038,2935.671233921589,
2020-02-20,0,,,,,,,,3.87843586147864,9.00539484588646,0.0,0.0,0.0,0.171158731038029,0.0830826673097318,0.42611094439281,0.0,7.699317512689017,8.42445787216214,7.560912447055366,0.13840506563365107,-0.7251403594731229,112.12,24.0,1597.6019678630364,0.0,0.0,0.0,806.924344635445,0.0,0.0,808.6040374490321,801.9156902745258,0.0,0.0,0.0,1209.0465461044635,0.0,0.0,0.0,0.0,796.4769589814905,0.0,3762.712032788071,0.0,3752.646411563322,804.9241278120952,2408.748001952369,1873.7505426331925,
2020-02-21,0,,,,,,,11.399908800729598,4.0001683474706295,8.85477444411489,0.0,0.0,0.0,0.149235589932445,0.0678761954977289,0.40115021810706897,0.0,7.615553621153643,8.53908757089214,7.4355771796867955,0.17997644146684788,-0.9235339497384958,136.84,19.0,0.0,0.0,0.0,0.0,840.7919846508875,0.0,0.0,2543.409456078239,0.0,0.0,0.0,0.0,843.9489012086016,0.0,0.0,0.0,0.0,0.0,0.0,3356.0149043470033,852.7624129449351,5050.910175958103,2485.7552464709465,840.2586674984483,3085.807361772089,
2020-02-22,0,,,,,,,24.31479966990177,3.95800350889555,8.65132748687913,0.0,0.0,0.0,0.21544290116782996,0.0601811507053226,0.35460344388755893,0.0,7.5288,8.659627616085903,7.304095708202414,0.2247042917975861,-1.1308276160859023,140.96,17.0,1348.9914460900916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.8226664711678,0.0,0.0,0.0,1006.6785289277373,0.0,0.0,1007.5195305444652,0.0,4402.000942840056,1013.9583836285268,4046.977642255085,0.0,2518.821752033376,2359.993003838003,
2020-02-23,0,,,,,,,24.31479966990177,3.7128558868312402,8.1871710982368,0.0,0.0,0.0,0.28181962230076096,0.0728388579128738,0.36102444517403603,0.0,7.407646868028317,8.627899198850482,7.176900199588316,0.23074666844000102,-1.2202523308221647,96.19,15.0,2442.443289732124,0.0,0.0,0.0,973.067292565634,0.0,0.0,977.19322047012,0.0,0.0,0.0,0.0,973.3490545506266,0.0,0.0,0.0,0.0,0.0,0.0,4571.82558284885,1458.1902331747306,3581.3397850824763,0.0,2922.434959854478,1625.7678336547367,
