,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.9782138242569305,0.0,0.0,0.0,0.0,0.24415425471854998,0.0486592582585372,0.345577942198277,0.0,9.32507,10.09246766065751,9.428282718106251,-0.10321271810625099,-0.7673976606575099,119.55,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.29414802802,0.0,0.0,0.0,0.0,1255.9923740149875,0.0,0.0,0.0,632.7544441582766,0.0,0.0,6646.323779253006,624.7219224648156,4174.627034289481,623.0356310051037,1244.7621090326402,1458.284755493526,
2020-02-02,0,,,,,,,,3.83073786726115,0.0,0.0,0.0,0.0,0.274004144586555,0.0609221813958332,0.37651862049201795,0.0,9.562492025678717,10.389052872931476,9.43812789999445,0.12436412568426647,-0.8265608472527592,85.99,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668.0403219395043,0.0,0.0,0.0,0.0,938.5776123201737,0.0,0.0,0.0,634.5535615340026,0.0,0.0,6660.991872014061,942.6341972958496,3981.737754979522,625.3282017838632,2296.0695138507353,2087.8301518510384,
2020-02-03,0,,,,,,,,3.98593817087885,0.0,0.0,0.0,0.0,0.181808745736723,0.0562139599743838,0.419529290260132,0.0,9.805133028862162,10.6708707977228,9.446965289636166,0.3581677392259959,-0.8657377688606385,98.24,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.4101838427837,0.0,0.0,0.0,0.0,494.73502702850783,0.0,0.0,0.0,501.05376721824007,492.94436329568185,0.0,4458.97905569115,500.0362446766793,4314.3497873196775,0.0,1490.907053420339,1653.5124734822525,
2020-02-04,0,,,,,,,,3.97840531488907,0.0,0.0,0.0,0.0,0.18536881828988397,0.0550184523015237,0.42222002440722495,0.0,10.0528523607689,10.934713263396564,9.454610146903207,0.598242213865694,-0.8818609026276629,102.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.8728637857453,0.0,0.0,524.6358232513089,0.0,0.0,0.0,0.0,0.0,524.2029520807619,0.0,0.0,7138.377316085316,524.380646611197,5249.9128703613815,523.416572103044,2268.543654306081,2965.842874795379,
2020-02-05,0,,,,,,,,3.98242142819103,0.0,0.0,0.0,0.0,0.18512950732003897,0.0546234556634333,0.4195897701698221,0.0,10.305509372617493,11.177372098317864,9.460877731667392,0.8446316409501016,-0.871862725700371,104.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747.3645020792874,0.0,0.0,531.1352877647805,0.0,522.5228929830381,0.0,0.0,0.0,527.6328286997774,521.5587903671856,0.0,5578.052021147138,531.5795664481997,2805.917276499107,521.8708712662145,1224.179755131385,1747.729131448445,
2020-02-06,0,,,,,,,,3.97950605604886,0.0,0.0,0.0,0.0,0.19229853247057002,0.0556752471402329,0.4060304361392689,0.0,10.562963415626497,11.395639130851785,9.46558330380052,1.0973801118259772,-0.8326757152252888,107.91,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.3693169048026,0.0,0.0,538.4084225152035,0.0,713.6511413333967,0.0,0.0,0.0,536.2305771511533,1073.459658243913,0.0,10141.017505697917,808.9371333746361,3578.775541346152,801.3000358498883,1783.83040602035,2675.379852941816,
2020-02-07,0,,,,,,,,3.98856977908496,0.0,0.0,0.0,0.0,0.219276186779224,0.0505236363599241,0.37132435459212804,0.0,10.825073841014481,11.58630618936342,9.468542123174403,1.3565317178400775,-0.7612323483489387,115.24,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.6395649797599,0.0,0.0,555.4340239437925,0.0,834.5611443363359,0.0,0.0,0.0,554.7385719373922,0.0,0.0,6090.053907525808,556.8808077871091,4456.641370982091,553.8140078446056,1480.5933513215173,2403.927507260393,
2020-02-08,0,,,,,,,,3.9408199461092104,0.0,0.0,0.0,0.0,0.257866047461278,0.0505436955954157,0.342913856806307,0.0,11.0917,11.746165102217855,9.469569449660849,1.6221305503391505,-0.6544651022178556,113.47,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.3205719024324,0.0,0.0,617.0619080074375,0.0,619.017271635032,0.0,0.0,0.0,616.2892924968683,0.0,0.0,6150.600757080772,619.1218768111198,4740.808153715811,611.145787188151,1850.316757081614,2671.553976523121,
2020-02-09,0,,,,,,,3.8239455470154113,3.8116934207041697,0.0,0.0,0.0,0.0,0.29201057414378806,0.0575880054993583,0.36302396455147995,0.0,11.066508134110782,11.671318019909418,9.46403781245265,1.6024703216581315,-0.6048098857986357,87.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.4894653276258,0.0,0.0,0.0,0.0,633.9441971507807,0.0,0.0,0.0,0.0,637.7088872456729,0.0,3368.516048219273,956.0646208511956,2328.6329991221883,628.9149965682495,946.4213086836237,2321.0527440076207,
2020-02-10,0,,,,,,,7.135423128312183,3.9664782865576202,0.0,0.0,0.0,0.0,0.19025510473885898,0.0569988243632779,0.41991929824835206,0.0,10.988760174927114,11.454996403970034,9.44838071099804,1.5403794639290744,-0.46623622904292006,100.67,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1882.9035888320866,0.0,0.0,0.0,0.0,685.3329402773683,0.0,0.0,0.0,516.7277902311806,1031.7119712645263,0.0,4784.460616629731,514.4113830154037,4639.04834758438,685.3332373659823,1027.7496498370112,2912.3669350479113,
2020-02-11,0,,,,,,,7.135423128312183,3.99388937831393,0.0,0.0,0.0,0.0,0.17370814957995098,0.0556776187329681,0.425805149914885,0.0,10.855197580174927,11.109529700878609,9.424004860552003,1.4311927196229242,-0.2543321207036815,106.22,14.0,520.930123956137,0.0,510.0323869700062,0.0,0.0,0.0,0.0,1030.4208690713783,0.0,0.0,0.0,0.0,520.9301243852585,0.0,0.0,0.0,0.0,515.7470003665429,0.0,5306.896544613283,1024.7576693171673,4818.812402262812,1030.8496756830175,686.5671994788783,1373.5662714069467,
2020-02-12,0,,,,,,,3.311477581296773,3.99064441382606,0.0,0.0,0.0,0.0,0.17669280387956102,0.0547403420858163,0.42679735160533294,0.0,10.662561807580175,10.647247357114026,9.392316976369523,1.2702448312106522,0.015314450466149765,109.37,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.2108749548697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.1350073845998,520.8632530632525,0.0,6585.049936141671,525.3052115821408,4178.437917523189,522.2066068978278,2083.7400470145653,1909.5444044038147,
2020-02-13,0,,,,,,,,4.01746481798576,0.0,0.0,0.0,0.0,0.170589908764024,0.0510816174527415,0.416401373540663,0.0,10.407594314868804,10.080478819155193,9.354723773705578,1.0528705411632266,0.32711549571361154,120.79,28.0,806.9041443456184,0.0,0.0,538.8031531304051,537.6011506729528,0.0,0.0,895.6181981123126,0.0,0.0,542.1875952529164,0.0,1617.7559079706793,0.0,0.0,0.0,539.7015328953621,539.2519690747996,0.0,5007.26660530843,0.0,3054.915057879391,1077.1830370124908,896.4377723045653,1433.6467417670942,
2020-02-14,0,,,,,,,,4.09247585270731,0.0,0.0,0.0,0.0,0.16191999168656698,0.0423041701360553,0.38552242246167695,0.0,10.087036559766764,9.421553533480996,9.312631967815156,0.7744045919516083,0.6654830262857683,148.93,15.0,0.0,0.0,0.0,0.0,837.2524272555366,0.0,0.0,1954.0419541307763,0.0,0.0,558.8790087224003,0.0,560.3855131095959,0.0,0.0,0.0,0.0,0.0,0.0,5189.315963029273,1123.109863606768,2793.5548231246366,557.2489447497267,2043.529808224473,1672.9034094492706,
2020-02-15,0,,,,,,,8.82301041115228,4.002973686745721,0.0,0.0,0.0,0.0,0.23471390236173198,0.05029333499497099,0.339555957084644,0.0,9.69763,8.682800946570342,9.267448273953233,0.43018172604676685,1.0148290534296578,135.15,19.0,931.8727653337855,0.0,0.0,0.0,623.4661112191873,0.0,0.0,1656.2260449915539,0.0,0.0,0.0,0.0,621.6124582660143,0.0,0.0,0.0,622.3270667941363,0.0,0.0,4962.401874004172,627.2188733935811,3943.91364461084,620.3837308627342,3101.4017727502437,934.223822328493,
2020-02-16,0,,,,,,,12.577609795397981,3.84513979744484,6.85847891627392,0.0,0.0,0.0,0.279855717910294,0.0580290884881123,0.359651154121435,0.0,9.489801391769438,8.568678333273864,9.224277936018382,0.2655234557510564,0.9211230584955743,96.72,10.0,626.8364602121992,0.0,0.0,0.0,627.0493635482579,0.0,0.0,831.9698166945725,0.0,0.0,0.0,0.0,1041.6283377442862,0.0,0.0,0.0,0.0,1245.4666932986886,0.0,7064.880849763348,624.45694575819,4175.563228928174,626.0542726364035,2291.2697164452416,2082.0460064676417,
2020-02-17,0,,,,,,,12.577609795397981,3.9671136651034202,6.590204124094599,0.0,0.0,0.0,0.21141751369614703,0.057677632979399006,0.38820747578531706,0.0,9.279618826437147,8.465823159051695,9.173818875826386,0.10579995061076097,0.8137956673854525,110.72,12.0,553.6971122352959,0.0,0.0,0.0,553.5177113117525,0.0,0.0,1470.0545515117014,548.7672284552425,0.0,551.052806577756,0.0,550.314906655977,0.0,0.0,0.0,554.906242012607,0.0,0.0,4586.169587692972,1384.8156895193624,2581.512801787583,1100.072553013313,1655.520811233786,2022.0999896946219,
2020-02-18,0,,,,,,,7.284551023908238,3.9743300438609803,6.07780262825404,0.0,0.0,0.0,0.18099822815941602,0.0570283435740006,0.42579713184140705,0.0,9.067118114195988,8.376527999192444,9.116790077478829,-0.04967196328284018,0.6905901150035447,105.26,21.0,504.2228367046848,0.0,0.0,0.0,998.8152707223936,0.0,0.0,1339.4344925344208,0.0,0.0,0.0,0.0,838.0439216564249,0.0,0.0,0.0,0.0,500.0316348284911,0.0,4847.4472418951345,0.0,2854.572167872561,1257.8219822077992,1675.3898804248306,1675.5330282914292,
2020-02-19,0,,,,,,,3.5299516396625368,4.01040486979453,5.622547829743629,0.0,0.0,0.0,0.16351295169109,0.0543460995398202,0.428798795273652,0.0,8.85233506523883,8.303085428984708,9.053910525077312,-0.20157545983848202,0.549249636254121,111.72,27.0,509.1988222856832,0.0,0.0,0.0,0.0,0.0,0.0,1285.4712443368235,0.0,0.0,0.0,0.0,517.6699724251844,519.0278351934807,0.0,0.0,0.0,0.0,0.0,4798.12184292109,781.0412747888429,4478.175573909514,1016.2803939343663,2233.3090617869448,2919.776534977976,
2020-02-20,0,,,,,,,3.5299516396625368,4.011823503999899,5.46018278498978,0.0,0.0,0.0,0.16896328653148598,0.0534031065197428,0.42050443569655394,0.0,8.635305489758531,8.247788023717103,8.985899202723422,-0.3505937129648906,0.38751746604142845,114.84,22.0,525.0096981383329,0.0,0.0,0.0,521.3426783593529,519.3868285170746,0.0,1395.9229332735965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.5110737790626,0.0,6096.451812638762,527.6098031611608,4379.12188123911,526.291877069974,1045.4692809439014,1572.1122512094707,
2020-02-21,0,,,,,,,,4.0762974481437,5.01948077028174,0.0,0.0,0.0,0.157191647069436,0.0435115860850805,0.400132723596354,0.0,8.416065197947969,8.212928358678228,8.913475094518757,-0.4974098965707885,0.20313683926974058,139.52,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.912929096651,0.0,0.0,532.7722049172288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.35396554988,539.7141897265077,4274.295261781935,532.2470490728219,2123.1543856252883,1597.255825500901,
2020-02-22,0,,,,,,,,4.00549322844731,5.17718337908949,0.0,0.0,0.0,0.228631984092655,0.0501353541040886,0.34615504031752103,0.0,8.19465,8.200799009156691,8.83735718456491,-0.6427071845649106,-0.006149009156692031,135.68,24.0,825.3126393368576,0.0,0.0,0.0,0.0,0.0,0.0,615.8422615213536,0.0,0.0,624.5532427210666,0.0,621.1716554076561,0.0,0.0,0.0,629.517958895064,621.1716551211061,0.0,4111.2129458922855,827.467819748383,1859.2799733827649,1250.1362868235615,1647.8720750562532,1236.0783523534005,
2020-02-23,0,,,,,,,,3.85565127934795,5.20314907770433,0.0,0.0,0.0,0.273508891974019,0.0575119326576468,0.36514206211959005,0.0,8.138510560578457,8.103106693814336,8.761832611192437,-0.6233220506139805,0.03540386676412055,95.97,11.0,613.6245078177279,0.0,0.0,0.0,618.3114978269801,0.0,0.0,2048.1677215918166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1837.8940717449066,0.0,0.0,3678.0642420602644,621.4881089870405,3493.536560097149,0.0,919.1165328464683,2458.6233239332228,
2020-02-24,0,,,,,,,9.99000999000999,3.9778948307529105,5.19046948736746,0.0,0.0,0.0,0.183922053582048,0.0561742700078179,0.422849463242723,0.0,8.087905018944003,7.991906503697566,8.681145596454062,-0.5932405775100591,0.09599851524643732,103.73,27.0,764.2960387418823,0.0,0.0,0.0,512.0670437974637,0.0,0.0,1186.174899679712,0.0,0.0,510.7874096948852,0.0,761.6648500753969,0.0,0.0,0.0,0.0,0.0,0.0,4229.684321910722,510.59840561199286,2040.3262330559576,508.36318894263593,1187.1610889429114,2204.459386579989,
2020-02-25,0,,,,,,,20.02211271874193,4.0120925781679,5.12672633469988,0.0,0.0,0.0,0.167064185574176,0.0546312526029025,0.4220043379031671,0.0,8.04396435288012,7.868417629292788,8.595613887589595,-0.5516495347094743,0.17554672358733292,110.97,34.0,1821.3495347496955,0.0,0.0,0.0,701.3890380465907,0.0,0.0,415.8261750892756,424.60536468212575,0.0,420.4496615273932,0.0,1047.3028978594657,0.0,0.0,0.0,422.833221867814,0.0,0.0,5302.52086194845,423.71744044929784,5050.625727572727,631.6249791745003,1538.071469858544,1117.107990806165,
