,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,17.74267994399382,4.01368083755689,0.0,0.0,0.0,0.0,0.20882588338592303,0.05091903052553,0.373422195780484,0.0,10.2689,11.640953267118773,10.112261997749496,0.15663800225050473,-1.3720532671187726,108.78,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.1406312234612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2406.269156050116,992.4791251460376,3497.3796643157257,667.6475591742623,2185.4941827804732,1527.3805498055276,
2020-02-02,0,,,,,,,17.523295136679632,3.8330325158156198,0.0,0.0,0.0,0.0,0.257574309298604,0.0663907789245807,0.38905436593768,0.0,10.414811057205817,11.649833673853905,10.07497554241306,0.33983551479275675,-1.235022616648088,69.82,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.8271033884613,0.0,0.0,658.764738044227,0.0,657.4927129327401,0.0,0.0,0.0,0.0,0.0,0.0,5034.579400702484,1636.9592368430096,5031.117176826195,661.0660426174221,1093.6559631080524,1745.2426077489097,
2020-02-03,0,,,,,,,10.65893489505415,3.99390380624842,0.0,0.0,0.0,0.0,0.16920862403739703,0.0560394122617843,0.43492898477419706,0.0,10.554716150881092,11.657388031598272,10.03503350543754,0.5196826454435524,-1.10267188071718,84.04,62.0,0.0,0.0,0.0,0.0,0.0,507.2888091750448,0.0,1010.4229770506496,0.0,0.0,505.1586330037408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3711.5335941144513,508.53693831286216,3370.9823379919153,509.7841304439177,2696.26101752878,1512.9127620962468,
2020-02-04,0,,,,,,,3.057262527133205,3.99831551173917,0.0,0.0,0.0,0.0,0.165785274916453,0.0558855252713179,0.43939260821024606,0.0,10.682630933417276,11.663601699886724,9.992603521370922,0.6900274120463532,-0.9809707664694489,87.38,49.0,0.0,0.0,0.0,545.1211038847271,0.0,0.0,543.5338127502264,1446.8301019468356,0.0,0.0,0.0,0.0,1086.6156223976134,0.0,0.0,0.0,0.0,0.0,0.0,5253.084552833067,542.9655701293851,3443.2899144973403,545.8253387508911,1629.1809661245209,1987.0422919155085,
2020-02-05,0,,,,,,,,3.98228846549842,0.0,0.0,0.0,0.0,0.17388719141358402,0.0569939697296014,0.438835038263682,0.0,10.792571057205816,11.668460038254112,9.947853224761179,0.8447178324446369,-0.8758889810482966,83.74,50.0,0.0,0.0,532.1564896524561,0.0,0.0,535.719043411996,0.0,885.4576783628193,0.0,0.0,0.0,0.0,533.4148826749511,0.0,0.0,0.0,534.2222676568451,0.0,0.0,6387.081809183332,1064.6491618613798,3725.174022880737,711.2917100489079,2304.8302875731,2299.830894060242,
2020-02-06,0,,,,,,,15.89875671722471,4.00383811409203,0.0,0.0,0.0,0.0,0.16939678695769697,0.053241075548055,0.43411238852267,0.0,10.87855217463815,11.67194840623529,9.900950250156292,0.9776019244818581,-0.7933962315971392,89.2,64.0,0.0,0.0,544.7237929544303,0.0,0.0,0.0,0.0,1627.3792834426727,0.0,0.0,534.6292915521232,0.0,1081.514231760168,0.0,0.0,0.0,0.0,0.0,0.0,3967.884810333568,540.4992643825196,3064.4774266081563,816.348386079498,1261.5582438558145,2339.6257715089064,
2020-02-07,0,,,,,,,23.047230518068233,4.08158983896837,0.0,0.0,0.0,0.0,0.146945974547552,0.0440559734767109,0.413791058108276,0.0,10.93458993810573,11.674052163365102,9.852062232104236,1.0825277060014944,-0.7394622252593717,112.79,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702.530358923288,0.0,0.0,568.3896370387021,0.0,854.8345632240391,0.0,0.0,0.0,570.0026303204131,0.0,0.0,4361.98830712562,0.0,3409.329083291753,575.7098074224515,1134.7898272856785,2081.428977296543,
2020-02-08,0,,,,,,,30.069209311692273,4.01524984907148,0.0,0.0,0.0,0.0,0.20812542582069102,0.0521507670047018,0.37254806871840795,0.0,10.9547,11.674756669178407,9.801356805152992,1.1533431948470092,-0.7200566691784065,110.46,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537.991632768911,0.0,0.0,656.3488358194894,0.0,1314.3405987002436,0.0,0.0,0.0,0.0,0.0,0.0,4837.434361875919,661.6802549638203,3299.262783120177,0.0,1538.449151923798,1535.078156810901,
2020-02-09,0,,,,,,,14.17045259446756,3.86422223620827,0.0,0.0,0.0,0.0,0.254925659167668,0.0621918876964588,0.38094283491042596,0.0,10.93803644314869,11.630622384779059,9.750158598099604,1.1878778450490852,-0.6925859416303695,80.8,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.6567133467272,0.0,0.0,0.0,0.0,669.7015228403693,0.0,0.0,0.0,668.0293589148882,0.0,0.0,3586.0850833375093,673.6173455458961,4029.8930556157284,671.6249702885486,1790.9877132286865,2005.7574546481408,
2020-02-10,0,,,,,,,7.02197879362404,3.9715586862922203,0.0,0.0,0.0,0.0,0.177832026222172,0.0585741152432116,0.438414450881307,0.0,10.888579300291548,11.506908415391251,9.696745183164316,1.1918341171272324,-0.6183291150997032,84.45,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957.8982882657745,0.0,0.0,0.0,0.0,534.6053486495399,0.0,0.0,0.0,533.4169629317453,0.0,0.0,6062.578087378579,536.2247969141433,3027.875656893333,533.6390349940895,1247.2024396545496,2134.0258233501095,
