,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.97665930717318,0.0,0.0,0.0,0.0,0.260452329781491,0.0518456250464454,0.30877290414075503,0.0,4.98946,0.0,4.991863712250491,-0.0024037122504907416,4.98946,130.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.2808706018545,0.0,0.0,0.0,0.0,2075.5543095301946,0.0,0.0,0.0,0.0,0.0,0.0,2790.119667935336,4291.325143099182,5595.598345709971,0.0,2067.393502238686,2113.4764000106893,
2020-02-02,0,,,,,,,,3.76547788840315,0.0,0.0,0.0,0.0,0.324774594563582,0.0598820382026191,0.31436569853894397,0.0,5.044794036410464,0.0,5.048091502095155,-0.0032974656846906925,5.044794036410464,95.72,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.091116676135,0.0,0.0,0.0,0.0,3905.116997190144,0.0,0.0,0.0,0.0,0.0,0.0,3957.2800285285252,2007.50938560198,8937.265127305716,0.0,1998.3388691053199,4034.384524820341,
2020-02-03,0,,,,,,,,3.96671208007493,0.0,0.0,0.0,0.0,0.20351981268653305,0.0630155074185902,0.37998654694476397,0.0,5.097314404311586,0.0,5.101714085624164,-0.004399681312578174,5.097314404311586,98.81,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.1458530933583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1569.7330194576864,1591.9254355866544,0.0,4201.66894181741,1570.9617094676144,3156.4598321216167,0.0,3121.2133286317894,1569.7330197170593,
2020-02-04,0,,,,,,,,3.98578729347548,0.0,0.0,0.0,0.0,0.195605943751244,0.0619607945615177,0.374146623362751,0.0,5.145614497526877,0.0,5.152298960031815,-0.00668446250493826,5.145614497526877,101.93,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.8314003982612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5789.873665814465,0.0,4635.761053151383,0.0,3476.8266965768544,4066.119603143211,
2020-02-05,0,,,,,,,3.3673435027107104,4.00917281932436,0.0,0.0,0.0,0.0,0.18458843810396,0.0605255233675428,0.37335689731862204,0.0,5.188287709879852,0.0,5.199413622512403,-0.011125912632551582,5.188287709879852,106.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.1353591194088,0.0,0.0,0.0,0.0,0.0,0.0,4145.052876767083,0.0,3537.098764942686,0.0,1809.500496679165,3567.726197280821,
2020-02-06,0,,,,,,,11.056693752614594,3.73615645890708,0.0,0.0,0.0,0.0,0.29950860303705895,0.0757270590187526,0.347223849989802,0.0,5.223927435194021,0.0,5.242625570260227,-0.01869813506620588,5.223927435194021,81.01,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2831.3733485790276,0.0,0.0,0.0,0.0,1701.2223227773654,0.0,0.0,0.0,0.0,0.0,0.0,7626.4106131604385,0.0,2272.6066774177025,0.0,3364.4031058016058,1705.1297768557822,
2020-02-07,0,,,,,,,11.056693752614594,3.33940443297267,0.0,0.0,0.0,0.0,0.39844824306532795,0.0724314243662116,0.296074513317749,0.0,5.2511270672929005,0.0,5.281502300469575,-0.030375233176674676,5.2511270672929005,87.62,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3590.1885113880794,0.0,0.0,0.0,0.0,3654.3565735627553,0.0,0.0,0.0,0.0,0.0,0.0,1826.6279706506646,0.0,6513.15185442585,0.0,0.0,1859.068684924758,
2020-02-08,0,,,,,,,7.6893502499038835,3.9952270652059103,0.0,0.0,0.0,0.0,0.255508242776948,0.0518558748799419,0.30600074169309,0.0,5.26848,0.0,5.3156113103347495,-0.047131310334749266,5.26848,131.45,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151.8705848260447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201.080346141933,0.0,9391.216619626572,2167.936701514018,8694.128231533186,0.0,2169.845993292545,3628.881077745214,
2020-02-09,0,,,,,,,,3.7690119213349904,0.0,0.0,0.0,0.0,0.328126010046685,0.057617980497758,0.29739626008591397,0.0,5.265412827988339,0.0,5.332153471086072,-0.06674064309773353,5.265412827988339,105.54,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.6379406579413,0.0,0.0,0.0,0.0,4149.067775779323,0.0,0.0,0.0,0.0,0.0,0.0,4077.9013309739894,0.0,3446.1916256045506,0.0,4231.859301113092,2081.6844871698995,
2020-02-10,0,,,,,,,6.241028521500343,3.9356075894396203,0.0,0.0,0.0,0.0,0.21571473470538002,0.0668614534828081,0.379863282380918,0.0,5.255685889212828,0.0,5.347438999015553,-0.09175310980272489,5.255685889212828,97.32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.1565901249364,0.0,0.0,0.0,0.0,1702.7717938557187,0.0,0.0,0.0,1684.2636029972693,1741.7732275435778,0.0,4317.920980464488,1724.7088346686817,5720.487491573876,0.0,5193.561872038542,3438.7898051223688,
