,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,5.871981696571362,3.9322625143553998,0.0,0.0,0.0,0.0,0.25266009966477,0.0515255712135642,0.36064569889505105,0.0,7.30775,0.0,6.955371184350463,0.3523788156495371,7.30775,119.11,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.8198736022498,0.0,0.0,363.87479473272873,0.0,1649.0829695476814,0.0,0.0,0.0,732.3151453433007,0.0,0.0,4017.197011841261,366.4077979724299,3652.180864954434,729.2651031118788,1830.3134348579279,1827.0031734956012,
2020-02-02,0,,,,,,,5.779130077848183,3.7386385325782996,0.0,0.0,0.0,0.0,0.309107096528322,0.0621476580191276,0.36416862854269805,0.0,7.299878279883382,0.0,6.9499286475090285,0.3499496323743534,7.299878279883382,84.57,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.1424098320185,0.0,0.0,0.0,0.0,725.2338744277743,0.0,0.0,0.0,0.0,0.0,0.0,4432.936429067489,540.950525610409,5030.662647709073,722.6317904640613,1792.431446392376,1198.7841329407554,
2020-02-03,0,,,,,,,9.032273427609887,3.96336008056082,0.0,0.0,0.0,0.0,0.188051972570427,0.06670795482783401,0.40927303611099,0.0,7.2751423615160355,0.0,6.934596515876595,0.3405458456394408,7.2751423615160355,98.24,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.5813611977147,0.0,0.0,0.0,0.0,482.65590776853753,0.0,0.0,0.0,584.2162963305037,435.8192617817221,0.0,4910.784862072464,871.6391323472717,3273.572895018181,385.7420626402449,1544.2240225803616,1638.1098919512576,
2020-02-04,0,,,,,,,5.060709823018762,3.98084888463062,0.0,0.0,0.0,0.0,0.19176533469623303,0.0633137315631125,0.39979205662547296,0.0,7.231861107871722,0.0,6.91086800779096,0.320993100080762,7.231861107871722,104.19,66.0,0.0,0.0,313.40881306751044,0.0,0.0,0.0,0.0,1257.5291221915359,0.0,0.0,314.80034690257685,0.0,622.7507255482262,0.0,0.0,0.0,311.97831645973577,0.0,316.07769864615864,6900.076707056146,626.6494158048512,2718.4332194553704,468.7144349212861,1260.0687538202749,2301.740850170973,
2020-02-05,0,,,,,,,3.2531433497617073,3.98420000852472,0.0,0.0,0.0,0.0,0.18139894219118302,0.0641926546892675,0.4088134910883421,0.0,7.168353381924199,0.0,6.880236341589924,0.2881170403342743,7.168353381924199,101.22,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.9457323245058,0.0,0.0,312.87868680368075,0.0,522.2215084309598,0.0,0.0,0.0,313.7459815808674,0.0,312.1943946475517,6253.777447083888,0.0,3231.3268432995314,417.5616846526143,1777.9135555763419,2295.981750836786,
2020-02-06,0,,,,,,,9.21370261853428,3.97712185170998,0.0,0.0,0.0,0.0,0.18697163478494197,0.0628200191612556,0.40690566365301706,0.0,7.082938046647231,0.0,6.844194735611287,0.23874331103594404,7.082938046647231,105.99,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.7329138459368,0.0,0.0,310.0628791299242,0.0,838.4949295566654,0.0,0.0,0.0,312.00806662409013,313.85514786454485,0.0,4282.604742705166,313.1859788879813,3863.677594778846,310.7085744781212,628.9186362021967,2507.9022005496413,
2020-02-07,0,,,,,,,21.423714828546494,4.01783559099679,0.0,0.0,0.0,0.0,0.17826925698600699,0.0549381505912272,0.399705515245992,0.0,6.973933965014577,0.0,6.804236408192849,0.1696975568217285,6.973933965014577,117.69,97.0,0.0,0.0,0.0,0.0,0.0,319.83106895184375,0.0,529.2985838983712,0.0,0.0,316.70860532224333,0.0,846.8190746972192,0.0,0.0,0.0,317.57499937186105,0.0,319.0311582188258,4651.111057596563,530.9785023340191,4120.475646424865,477.5502445830839,1060.7217764940433,1798.185836158307,
2020-02-08,0,,,,,,,25.62451298019531,3.9520097259099702,0.0,0.0,0.0,0.0,0.246148674372357,0.0500088166342002,0.35874497638343295,0.0,6.83966,0.0,6.761854577672409,0.07780542232759124,6.83966,118.74,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0575948601164,0.0,0.0,0.0,0.0,973.447039358778,0.0,0.0,0.0,363.5932259391143,0.0,0.0,4847.72061655764,729.6369500685007,4483.29284619577,547.2257511034976,1458.48485560838,1334.8515118337434,
2020-02-09,0,,,,,,,19.892280238242922,3.7935688432084103,0.0,0.0,0.0,0.0,0.30032119194561896,0.0567605981473778,0.35478414258459,0.0,6.747328989815159,0.0,6.7215389653932105,0.025790024421948665,6.747328989815159,92.35,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.1208464074423,0.0,0.0,366.20253124464205,0.0,548.5334751734929,0.0,0.0,0.0,368.6308880695971,365.7453500360707,0.0,4500.0911085853495,548.8344572530764,3890.950580538125,364.75821477202913,1463.9587802824115,1582.8196627295686,
2020-02-10,0,,,,,,,9.367471937903774,3.9560056882041206,0.0,0.0,0.0,0.0,0.194442858312832,0.0636459763861492,0.41025167125057005,0.0,6.6435952182806925,0.0,6.675015942156524,-0.03142072387583106,6.6435952182806925,102.48,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.9323604250683,0.0,0.0,0.0,0.0,911.9703258544008,0.0,0.0,0.0,300.7876709916831,0.0,0.0,5456.6046234169735,609.9087925135044,3334.9675800704413,301.28773357488814,1114.65499264092,2326.782875201893,
