,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,1,,,4.0,,,,,3.8328584230251606,0.0,0.0,0.0,0.0,0.249270406792564,0.0616061795236923,0.395409564881647,0.0,5.54626,5.8174834568921785,5.717889430806083,-0.17162943080608262,-0.2712234568921783,114.42,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.3480036488916,0.0,0.0,315.8826428908821,0.0,1167.8412977153137,0.0,0.0,0.0,317.1971774127516,0.0,0.0,5422.683499503979,801.6495936906509,3405.19052144823,531.2829722005696,957.8653848513518,2450.836021916695,
2020-02-02,1,,,4.0,,,,2.6946369987133103,3.64070929370947,0.0,0.0,0.0,0.0,0.30835192307504805,0.0742924685564737,0.383538078094383,0.0,5.6356501795259275,5.881479562004506,5.732742886508137,-0.09709270698220962,-0.24582938247857822,81.4,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.2693638106234,0.0,0.0,308.6467901914455,0.0,710.0643142703302,0.0,0.0,0.0,0.0,300.7530987638249,0.0,5378.137669422208,453.264919615046,4366.651846355108,614.4748886775942,1016.3152822544284,1729.3499751513455,
2020-02-03,1,,,7.0,,,,3.328266236900877,3.82632826171138,0.0,0.0,0.0,0.0,0.19081841797988,0.0840581160178092,0.448656995732022,0.0,5.729982233468549,5.942159096584931,5.746053328615184,-0.01607109514663474,-0.21217686311638229,93.87,126.0,0.0,0.0,0.0,236.51026834427898,0.0,0.0,0.0,787.071993407929,0.0,0.0,238.53428313589043,0.0,552.2387139560385,0.0,0.0,0.0,238.1370569846724,0.0,234.09423038311462,4336.950226249632,470.3325383719492,2763.460100308406,472.3025171651654,1184.4044931754747,2294.091546223352,
2020-02-04,1,,,9.0,,,,4.6210325629236175,3.8510820644968997,0.0,0.0,0.0,0.0,0.178997197977709,0.0841898828789938,0.451436853422916,0.0,5.828990715558377,5.998092679267047,5.757550259893513,0.07144045566486401,-0.1691019637086697,99.21,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.3219291505541,0.0,0.0,385.10271392403564,0.0,1025.8672906516324,0.0,0.0,0.0,257.19603367999474,0.0,0.0,4794.289194466155,515.1853755876442,3854.8271644097695,384.99352417965133,1541.7712600734421,2573.321732278113,
2020-02-05,1,,,9.0,,,,3.2472861086153437,3.8607048096667795,0.0,0.0,0.0,0.0,0.175620075754848,0.0831463114415667,0.450769007523841,0.0,5.932410179525927,6.047850928684441,5.7669631831094135,0.16544699641651395,-0.11544074915851343,100.86,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.5821068509424,0.0,0.0,0.0,0.0,867.6075115191193,0.0,0.0,0.0,261.15970675229323,259.5540907484288,0.0,3907.1652190888813,347.55163826514223,3127.1444056709806,261.00595235586565,1998.4405055895181,2177.0457173640243,
2020-02-06,1,,,10.0,,,,5.420201733047406,3.80948242638482,0.0,0.0,0.0,0.0,0.20175414606154002,0.0829367173424794,0.445437018560095,0.0,6.039975179101704,6.09000446347071,5.774021601029174,0.26595357807252995,-0.050029284369006,101.59,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.3555765200247,0.0,0.0,388.4541103652708,0.0,863.2158385609464,0.0,0.0,0.0,0.0,0.0,0.0,4488.4597887755735,259.3092440598699,3283.1331603466274,521.6106194538311,518.5043229204608,1557.3569927025421,
2020-02-07,1,,,10.0,,,,5.828462827586688,3.89711227131453,0.0,0.0,0.0,0.0,0.17703810565674302,0.0698103091417653,0.44444774734656,0.0,6.151420268016226,6.123123902259443,5.778455016419087,0.37296525159713934,0.02829636575678318,119.79,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.7457537866846,0.0,0.0,0.0,0.0,1147.7563393692399,0.0,0.0,0.0,0.0,0.0,0.0,4416.235901809114,353.58305272977026,2830.220997906015,263.8819555950768,1149.9610114887446,2215.688949363135,
2020-02-08,1,,,11.0,,,,4.5075722831816485,3.8529026429228597,0.0,0.0,0.0,0.0,0.24044462642733605,0.0618550124482344,0.396093891638373,0.0,6.2664800000000005,6.145779863684228,5.779992932045437,0.4864870679545632,0.12070013631577226,116.76,94.0,0.0,0.0,317.2762753416701,0.0,0.0,0.0,0.0,839.6502946422105,0.0,0.0,317.6707341940052,0.0,470.7268962933969,0.0,0.0,0.0,956.9781293850584,0.0,0.0,4310.843212989558,313.9051087399858,3470.600479886311,629.2483518428487,1577.914753545461,1580.598390353163,
2020-02-09,1,,,11.0,,,,6.986265091093517,3.6764683241946603,0.0,0.0,0.0,0.0,0.30848708369199107,0.0681229998367089,0.370224073010823,0.0,6.243501457725947,6.121063537967979,5.7710644333253445,0.47243702440060265,0.12243791975796814,89.38,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.7331736049348,0.0,0.0,0.0,0.0,729.2944911371222,0.0,0.0,0.0,315.8531653529206,0.0,0.0,4169.671277504236,313.3439656193604,3234.2874647197227,416.6535168350089,1565.5058187753204,2090.9647881842247,
2020-02-10,1,,,12.0,,,,7.193015681482143,3.8169134647108103,0.0,0.0,0.0,0.0,0.19297104050683,0.0858212928726867,0.4481354173847821,0.0,6.176221865889213,6.0505178406286335,5.745811153230558,0.43041071265865494,0.12570402526057922,96.08,84.0,0.0,0.0,0.0,252.1098234456995,0.0,0.0,0.0,923.1583472908604,0.0,0.0,250.30473793120697,0.0,758.1246461103232,0.0,0.0,0.0,0.0,251.79586353016117,0.0,3534.564172348766,254.79165635099102,2861.506837774113,1006.2229611245571,1094.937158432052,2024.6198092550494,
2020-02-11,1,,,12.0,,,,8.510851268314331,3.8396616378842903,0.0,0.0,0.0,0.0,0.181303080836543,0.0861514040492929,0.45146497451959294,0.0,6.0671252769679285,5.939547691380301,5.706531415859313,0.36059386110861524,0.12757758558762777,102.35,100.0,0.0,0.0,0.0,0.0,251.8170612263592,0.0,0.0,751.367519917231,0.0,0.0,252.97170379354182,0.0,501.79049648577677,0.0,0.0,0.0,252.640355992174,0.0,0.0,4943.438377280935,377.2271485733831,4190.5501605286045,418.7620759879716,1257.5755052934032,1595.3102084899397,
2020-02-12,1,,,13.0,,,,3.2256135977828313,3.8756367398456697,0.0,0.0,0.0,0.0,0.16744336595412,0.0828704375669568,0.452657627939087,0.0,5.9186957434402325,5.793558009937088,5.655523545309847,0.26317219813038584,0.12513773350314494,105.67,98.0,673.8222995219905,0.0,0.0,0.0,420.9468581890374,0.0,0.0,763.7123851776036,0.0,0.0,0.0,0.0,377.94755114623354,0.0,253.6862601923671,0.0,0.0,0.0,0.0,4808.673077764892,506.66929417999273,2362.8664755485784,505.6115492024103,1519.2542056726336,1605.6519361265343,
2020-02-13,1,,,13.0,,,,2.035839535853906,3.85869978054254,0.0,0.0,0.0,0.0,0.178967787124496,0.0807622787470038,0.452570357673418,0.0,5.733417317784256,5.6179537160131,5.595085865680392,0.13833145210386366,0.11546360177115567,108.94,140.0,345.77236460261275,0.0,260.5562282793761,0.0,261.78848737763184,0.0,0.0,645.8320163913837,0.0,0.0,0.0,0.0,345.8436968159643,0.0,0.0,0.0,0.0,256.6619458337775,0.0,4414.142079688812,433.24703469869087,4156.498228125049,387.9623093390706,1732.2780834783325,1733.9096340985495,
2020-02-14,1,,,13.0,,,,2.4777618063405518,3.94442132010562,0.0,0.0,0.0,0.0,0.16134387506675,0.0651850684556368,0.43791717348517,0.0,5.513774052478134,5.418139729322448,5.527516701069187,-0.013742648591053452,0.09563432315568576,134.08,144.0,635.4445532916163,0.0,0.0,0.0,269.42340401283224,0.0,0.0,1358.7021956220813,0.0,0.0,272.88365682337616,0.0,407.1786423360932,273.5638817654456,0.0,0.0,0.0,0.0,0.0,3995.017296760566,408.4869926751407,2997.491025479679,407.17864262695116,1908.1433949129214,1000.9853574451546,
2020-02-15,1,,,13.0,,,,4.367942318579472,3.8633500155088596,0.0,0.0,0.0,0.0,0.244481036501685,0.0608514827791632,0.379221640026505,0.0,5.26225,5.199520969579236,5.455114375574466,-0.1928643755744659,0.06272903042076372,119.11,169.0,857.3348982632785,0.0,0.0,0.0,319.7626836240755,0.0,0.0,534.4847031331202,322.2787157292913,0.0,0.0,0.0,322.53103512658083,0.0,0.0,0.0,0.0,0.0,0.0,5580.809161442231,644.2914040405195,2791.0814073991087,323.8754746975897,1395.9183605329008,1934.1125968749404,
2020-02-16,1,,,13.0,,,,4.863030055027338,3.74445928236052,8.76250124633749,0.0,0.0,0.0,0.288177075821514,0.0672735706473913,0.365257935389586,0.0,5.166565003290552,5.067797095157113,5.38794666802,-0.22138166472944754,0.09876790813343916,95.64,129.0,481.3441058993731,0.0,0.0,0.0,320.9404599653045,0.0,322.71673626829863,637.9757443713806,0.0,0.0,322.98589093480234,0.0,319.7857057491488,0.0,0.0,0.0,426.15600326580085,319.0521475126862,0.0,4902.052218481216,427.09508583329216,4582.834975850476,477.5870055643792,959.8611872548038,2883.465299438671,
2020-02-17,1,,,13.0,,,,4.461986310671999,3.79055137282534,8.41799477582439,0.0,0.0,0.0,0.263835853632541,0.0738917754261717,0.367776366598542,0.0,5.075824069196061,4.936894692665748,5.3107349108505915,-0.23491084165453024,0.1389293765303128,101.09,141.0,294.7651120922243,0.0,0.0,0.0,891.6139904421286,297.2046635395167,0.0,1180.3056703811349,0.0,0.0,0.0,0.0,689.5787854315619,293.57451177507306,0.0,0.0,0.0,298.3630769967126,0.0,5226.688206722926,592.8208662194232,2566.4678113074274,295.8327728457213,1777.416213713007,2669.697845598288,
2020-02-18,1,,,13.0,,,,4.559837845509677,3.85384947342822,8.526239874805219,0.0,0.0,0.0,0.22516345801658103,0.0795729169182208,0.393850291966762,0.0,4.99138204520373,4.806821991776262,5.224418767611005,-0.2330367224072747,0.18456005342746806,105.19,126.0,616.3030981952346,0.0,0.0,262.49913543393683,351.7034486292645,0.0,262.93645201518945,1053.4662673209814,0.0,0.0,0.0,0.0,660.2946304628916,0.0,0.0,0.0,263.2461089929731,264.2165098020019,0.0,3608.3552775294697,264.34744520010713,2995.5509517319238,394.2410820605484,1850.1166501172781,2206.639754064498,
2020-02-19,1,,,13.0,,,,3.3467461600400887,3.90620831713339,8.09855052043214,0.0,0.0,0.0,0.20199248062914302,0.0784632425111526,0.39556528010199504,0.0,4.914593778800755,4.677587222159776,5.129937901845991,-0.21534412304523531,0.23700655664097958,109.47,89.0,536.1003482048292,0.0,0.0,0.0,399.80244635942734,0.0,0.0,1069.8654933997084,0.0,0.0,529.7269840650824,0.0,445.97681028142097,0.0,0.0,0.0,0.0,266.4427081266178,0.0,3840.914304629914,539.0723645583445,3038.804897514001,405.0897436338809,983.7487532607988,2149.1026425766804,
2020-02-20,1,,,14.0,,,,1.9880320470765984,3.9068353979335697,7.654877402226781,0.0,0.0,0.0,0.205081954156149,0.0752058292719103,0.395006268378133,0.0,4.846814117474342,4.5491986134874125,5.0282319771003054,-0.18141785962596302,0.29761550398692993,110.32,81.0,711.3211911459141,0.0,0.0,0.0,267.23375464722017,0.0,0.0,1153.3057466064881,0.0,0.0,355.21935191084367,0.0,264.6930214767336,0.0,267.850360834563,0.0,265.7963689433572,0.0,0.0,3200.2167895868542,267.1772144346722,3915.8557245655456,533.3614844961974,1958.8152495206225,1960.4936652720266,
