,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.6586005285312497,0.0,0.0,0.0,0.0,0.27759204833401097,0.0869271802977948,0.37018167493207,0.0,3.738159999999999,3.856741427510369,3.3200982284376788,0.41806177156232005,-0.11858142751037004,136.01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3116.6819772245467,0.0,0.0,0.0,0.0,0.0,0.0,7191.240566587872,0.0,3120.438782894812,0.0,6225.546196615019,0.0,
2020-02-02,0,,,,,,,,3.36185782214079,0.0,0.0,0.0,0.0,0.3532129158254311,0.10515460027926499,0.353172507327772,0.0,3.7379783965014566,3.8454141819213423,3.375743711805458,0.3622346846959985,-0.10743578541988574,90.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2912.096695848313,0.0,0.0,0.0,0.0,2861.2453211515044,0.0,0.0,0.0,0.0,0.0,0.0,5634.490495789596,2792.888468921009,0.0,0.0,2850.150617122706,0.0,
2020-02-03,0,,,,,,,,3.6458874811658997,0.0,0.0,0.0,0.0,0.21662869717109098,0.11419269412064,0.43987249644265397,0.0,3.736707172011661,3.811358608022036,3.4301888113136716,0.3065183606979893,-0.07465143601037516,99.39,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4692.664647198939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2243.5171545782073,0.0,7979.194154653467,0.0,5703.429143446451,0.0,2345.318829379225,3065.090103521728,
2020-02-04,0,,,,,,,,3.69368227751862,0.0,0.0,0.0,0.0,0.19762610900192998,0.109378614694221,0.45158077308965705,0.0,3.7332567055393575,3.7544639501141117,3.4833825665224825,0.24987413901687505,-0.021207244574754203,104.68,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2504.5465901587218,0.0,0.0,0.0,0.0,2546.7112610249205,0.0,0.0,0.0,0.0,0.0,0.0,5878.782127011142,2542.4543273406075,3768.337379975597,0.0,0.0,2532.474768127412,
2020-02-05,0,,,,,,,,3.7013465333445494,0.0,0.0,0.0,0.0,0.194968425859675,0.109854398141291,0.455239990621511,0.0,3.726537376093293,3.674619452499232,3.535274016992056,0.19126335910123693,0.05191792359406078,105.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513.34615828816,0.0,2519.591396567664,0.0,0.0,0.0,0.0,0.0,0.0,5053.887077194026,0.0,6317.20660450143,2523.7872193256185,2542.229370921525,7629.877856265379,
2020-02-06,0,,,,,,,,3.68676571364115,0.0,0.0,0.0,0.0,0.200331114212179,0.10999036417387599,0.445111298939661,0.0,3.715459562682215,3.5717143594790577,3.585812202282553,0.12964736039966196,0.14374520320315742,106.44,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590.350885253814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4264.997327417765,2590.350886281476,4262.85747147218,2570.4332799928,2539.3868144140797,3413.227690850397,
2020-02-07,0,,,,,,,,3.7540173299073603,0.0,0.0,0.0,0.0,0.195126823861008,0.0968414049113464,0.432792496252632,0.0,3.698933644314868,3.4456379153552503,3.634946161954137,0.06398748236073093,0.2532957289596176,123.69,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5338.843942388574,0.0,0.0,0.0,0.0,2684.3547736844407,0.0,0.0,0.0,0.0,0.0,0.0,3964.914287338179,0.0,5359.2754053811495,0.0,2656.770942259156,2620.241482546362,
2020-02-08,0,,,,,,,,3.59198399413616,0.0,0.0,0.0,0.0,0.291902316308277,0.0922503699500816,0.368225209636092,0.0,3.675869999999999,3.296279364429471,3.68262493556697,-0.006754935566970932,0.3795906355705281,122.08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6003.398670929207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5919.467505357016,2961.8205029037244,5924.784170422957,0.0,2963.058723853652,5919.909733319413,
2020-02-09,0,,,,,,,,3.39273595551207,0.0,0.0,0.0,0.0,0.351383222196837,0.0944111744002241,0.336753255802484,0.0,3.677704781341107,3.296305216054362,3.7252238626578578,-0.04751908131675098,0.38139956528674457,102.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2938.7275315393513,2930.1882630608875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4397.771933232294,0.0,5936.7568336720105,0.0,0.0,8830.888485564294,
2020-02-10,0,,,,,,,,3.6442338477626097,0.0,0.0,0.0,0.0,0.221712682227953,0.111355419873366,0.43893988921336097,0.0,3.683096413994168,3.2964861774286005,3.7662777798477567,-0.08318136585358848,0.3866102365655677,105.17,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.193802755486,0.0,0.0,0.0,0.0,5086.722253447924,0.0,0.0,0.0,0.0,0.0,0.0,3766.450420919071,0.0,4205.222990222375,0.0,2519.235308079257,2479.1619853243205,
2020-02-11,0,,,,,,,,3.69114283403534,0.0,0.0,0.0,0.0,0.19804672584310898,0.11115987435874902,0.449879586550779,0.0,3.691875830903789,3.2969773583015334,3.8056410147385167,-0.11376518383472778,0.3948984726022555,109.08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4929.843617811419,0.0,0.0,0.0,0.0,0.0,0.0,6510.161365099711,0.0,7322.522223435318,0.0,0.0,0.0,
2020-02-12,0,,,,,,,,3.6699248477032405,0.0,0.0,0.0,0.0,0.20310033526694898,0.11266851729522999,0.451671897351389,0.0,3.703873965014577,3.297933868422509,3.8431678949319936,-0.13929392991741674,0.40594009659206787,109.56,6.0,2437.0690371736623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2457.685249395402,0.0,0.0,0.0,0.0,0.0,0.0,4097.26805665187,0.0,3275.896835910365,0.0,2440.1204598418053,2455.629470137605,
2020-02-13,0,,,,,,,,3.7408903795813,0.0,0.0,0.0,0.0,0.183170747811773,0.106563647270651,0.44468568929712105,0.0,3.7189217492711366,3.2995108175408743,3.8787127480300394,-0.1597909987589028,0.41941093173026234,125.53,6.0,2641.20654242567,0.0,0.0,2519.940787914521,0.0,0.0,0.0,2528.365158780486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.8916852514762,0.0,0.0,6819.480181244163,0.0,2576.0485905132946,0.0,0.0,3857.923209738573,
2020-02-14,0,,,,,,,,3.8013634290669196,0.0,0.0,0.0,0.0,0.18175253500819002,0.088610267359721,0.43842211031103795,0.0,3.736850116618076,3.301863315405976,3.9121299016345024,-0.17527978501642627,0.4349868012121001,153.33,6.0,2600.511670807872,0.0,0.0,0.0,0.0,0.0,0.0,3498.210991293921,0.0,0.0,0.0,0.0,2592.9457600757423,0.0,0.0,0.0,0.0,2650.0744736944243,0.0,5273.637160049389,0.0,4371.828004164066,0.0,2634.6221447212424,5256.1094910468955,
