,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.94239919458066,0.0,0.0,0.0,0.0,0.211459119396611,0.0637317200381947,0.38648143648835703,0.0,4.765619999999998,0.0,6.341975056987013,-1.5763550569870146,4.765619999999998,138.67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.5691247805291,0.0,0.0,0.0,0.0,1289.200677172004,0.0,0.0,0.0,0.0,0.0,0.0,4724.167037424934,1301.5644800254581,1927.6345980513674,1280.9989970146091,1287.95828868854,2558.7807509808167,
2020-02-02,0,,,,,,,,3.7252464559306495,0.0,0.0,0.0,0.0,0.262710947908663,0.0840709865651728,0.394721323531636,0.0,4.767731516034985,0.0,6.273124163819238,-1.5053926477842534,4.767731516034985,92.27,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2597.340818162159,0.0,0.0,1294.3161066891807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3850.816945227912,2573.649518164955,2983.6004805261186,0.0,1926.6690064024945,1281.7324239188094,
2020-02-03,0,,,,,,,4.0117142054800015,3.83799919463631,0.0,0.0,0.0,0.0,0.171456954403388,0.0941965391426947,0.462888944726966,0.0,4.775925189504372,0.0,6.2012719189866425,-1.4253467294822704,4.775925189504372,93.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.4136929830072,0.0,0.0,0.0,0.0,970.9852179574036,0.0,0.0,0.0,968.7965094195968,974.6324911826297,0.0,3882.9473251764225,973.9988669526593,3894.828584731873,1954.9765153736475,971.6342441629288,1617.9846879537272,
2020-02-04,0,,,,,,,4.0117142054800015,3.8619517985089,0.0,0.0,0.0,0.0,0.159578918265084,0.0921065430867174,0.46216990507647,0.0,4.792989708454812,0.0,6.126555256864908,-1.3335655484100961,4.792989708454812,104.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.2794119173834,0.0,0.0,0.0,1054.1088668461048,0.0,1053.3468709927054,0.0,0.0,0.0,0.0,0.0,0.0,6685.4418748808985,1055.2171228489817,2457.6748148278257,0.0,1057.5407904513986,2104.5588235572673,
2020-02-05,0,,,,,,,4.0117142054800015,3.86168655208143,0.0,0.0,0.0,0.0,0.15504717371662802,0.0910761105117671,0.47346250199264006,0.0,4.821713760932946,0.0,6.049111111829719,-1.2273973508967728,4.821713760932946,102.29,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.84763997628,0.0,0.0,1076.625117097628,0.0,4636.0549800677145,0.0,0.0,0.0,0.0,0.0,0.0,3940.794966411902,0.0,4636.536338757921,1074.3737053995037,1615.3215698557403,3232.88288783555,
2020-02-06,0,,,,,,,,3.90038912717194,0.0,0.0,0.0,0.0,0.148374650361792,0.0878839478279822,0.46741727108017495,0.0,4.864886034985423,0.0,5.969076418256763,-1.10419038327134,4.864886034985423,108.98,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.750677402498,0.0,0.0,0.0,0.0,1643.0826200737094,0.0,0.0,0.0,1086.4323235125464,0.0,0.0,6205.736600295357,2171.053925611822,3641.182919702806,1091.896358751104,2203.1492693435384,1111.334160159975,
2020-02-07,0,,,,,,,,3.9704309116776297,0.0,0.0,0.0,0.0,0.14779612364580802,0.0733614337244416,0.43864674901435396,0.0,4.925295218658894,0.0,5.886588110521728,-0.9612928918628345,4.925295218658894,130.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636.7392223406578,0.0,0.0,0.0,0.0,3273.998818883084,0.0,0.0,0.0,0.0,0.0,0.0,5841.179456589215,1096.6018500664138,3641.4673981387496,0.0,2720.128239707089,2558.839439337876,
2020-02-08,0,,,,,,,,3.95350609996357,0.0,0.0,0.0,0.0,0.21313260831918202,0.0622391296997804,0.3783605070167129,0.0,5.005730000000002,0.0,5.801783123000297,-0.7960531230002958,5.005730000000002,140.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.7775853540782,0.0,0.0,0.0,0.0,1702.9372592037196,0.0,0.0,0.0,0.0,0.0,0.0,3417.246710983105,0.0,3411.915891502261,0.0,0.0,2573.0623866152036,
2020-02-09,0,,,,,,,,3.7182723577502594,0.0,0.0,0.0,0.0,0.284966221306326,0.0738767403061136,0.37511550669371,0.0,5.033552520342061,0.0,5.717906242995744,-0.6843537226536824,5.033552520342061,101.24,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.6803615532044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3757.946058608826,1275.8641009759735,3746.1580376520565,0.0,3113.0600356804875,1254.3334833465233,
2020-02-10,0,,,,,,,,3.8565100524032903,0.0,0.0,0.0,0.0,0.15887491357695002,0.0943792610024206,0.46836878181392,0.0,5.060318137663296,0.0,5.632064524321383,-0.571746386658087,5.060318137663296,100.76,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.8864246388166,0.0,0.0,0.0,0.0,1051.4705378405909,0.0,0.0,0.0,1041.411335160526,0.0,0.0,3823.873020624536,1040.6472404346487,3469.5170939644177,0.0,2092.7563125228157,2592.148207624145,
