,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.95072144427338,0.0,0.0,0.0,0.0,0.258117151131855,0.0505123456880672,0.324092049121663,0.0,4.38479,0.0,4.513252434424487,-0.12846243442448735,4.38479,140.04,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2754.2338292809386,0.0,0.0,0.0,0.0,1833.074122413272,0.0,0.0,0.0,0.0,0.0,0.0,4880.586272424232,0.0,3664.018125511749,1827.7940978844354,1839.9596263903327,2751.5561097841082,
2020-02-02,0,,,,,,,4.4875246813857474,3.7321856300087597,0.0,0.0,0.0,0.0,0.327273034924503,0.05506680560390499,0.324525067948589,0.0,4.479111908477171,0.0,4.572568393450063,-0.09345648497289183,4.479111908477171,102.6,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.593949938948,0.0,0.0,0.0,0.0,1761.9650806742245,0.0,0.0,0.0,0.0,0.0,0.0,5262.139030744328,1753.875926322258,2643.209106430873,1747.7293340032418,1739.7355590502575,2624.3675918556305,
2020-02-03,0,,,,,,,13.010494083925591,3.95697104739045,0.0,0.0,0.0,0.0,0.204161991217758,0.0591094944743383,0.376716671092864,0.0,4.569422979460925,0.0,4.6290674178245785,-0.05964443836365341,4.569422979460925,95.78,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2949.4875660379594,0.0,0.0,0.0,0.0,0.0,0.0,5301.413239539531,1473.5184044116095,5073.832334731859,1436.3482446292373,3644.3984265796093,2178.3850131937324,
2020-02-04,0,,,,,,,13.010494083925591,3.9894121897915,0.0,0.0,0.0,0.0,0.18939709304841001,0.0604089163730056,0.374073002145799,0.0,4.652018190894731,0.0,4.6822427563043725,-0.030224565409641357,4.652018190894731,102.53,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.319384233262,0.0,0.0,1558.92142026315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6343.895551596527,1608.1910711519415,3174.829921634217,0.0,4758.922735456911,2118.013932056438,
2020-02-05,0,,,,,,,8.522969402539843,4.00747196754105,0.0,0.0,0.0,0.0,0.18018085890230498,0.0595628338455544,0.373969368509856,0.0,4.72319252072207,0.0,4.731587657645784,-0.008395136923714297,4.72319252072207,103.32,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.4001069842236,0.0,5906.057738070994,0.0,4307.628571986192,0.0,1612.7348997236209,2688.073484678161,
2020-02-06,0,,,,,,,,3.7580605490499,0.0,0.0,0.0,0.0,0.308650778164734,0.0644855363148347,0.330095751893999,0.0,4.77924094688641,0.0,4.776595370605151,0.0026455762812584993,4.77924094688641,93.75,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.0038856913186,0.0,1594.4077552524454,0.0,0.0,0.0,0.0,1613.692254616833,0.0,3191.88992428348,1587.2052301482763,5327.545789296312,0.0,0.0,4793.814174315297,
2020-02-07,0,,,,,,,,3.88387074756292,0.0,0.0,0.0,0.0,0.23961338093287,0.0567716440032152,0.35861608858743,0.0,4.8164584473312315,0.0,4.816759143938813,-0.00030069660758158534,4.8164584473312315,124.03,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.3269129660455,0.0,0.0,1659.443097303794,0.0,1670.5756310261786,0.0,0.0,0.0,0.0,0.0,0.0,5507.645463820462,3294.6538253886115,3294.8099775876594,0.0,2471.628624781361,3309.4756515646004,
2020-02-08,0,,,,,,,,3.95166597075622,0.0,0.0,0.0,0.0,0.25356423858259103,0.0522185255835123,0.327048677356529,0.0,4.83114,0.0,4.851572226403108,-0.02043222640310738,4.83114,148.91,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.733274011348,0.0,0.0,0.0,0.0,0.0,0.0,6103.218247111106,0.0,5495.029805312701,0.0,1864.4651930015243,2752.344756808009,
2020-02-09,0,,,,,,,,3.7475720565153905,0.0,0.0,0.0,0.0,0.328011160072633,0.0549188395831111,0.3088087965267,0.0,4.928156235449505,0.0,4.863448572791762,0.06470766265774319,4.928156235449505,124.94,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757.6366005231994,0.0,0.0,0.0,0.0,1738.159162321846,0.0,0.0,0.0,1747.6493209253613,0.0,0.0,4685.488829780672,1735.259814409571,4687.462834480428,1738.1591636429775,2625.8639840862743,4429.936105958836,
2020-02-10,0,,,,,,,,3.9535960656487594,0.0,0.0,0.0,0.0,0.205850525244997,0.0608618900058242,0.3731193000303571,0.0,5.0426001342694375,0.0,4.874111707344313,0.16848842692512456,5.0426001342694375,113.93,15.0,0.0,0.0,0.0,0.0,0.0,1552.5906201147611,0.0,2374.501023505741,0.0,0.0,1598.1543939732583,0.0,1558.8685981485974,0.0,0.0,0.0,0.0,0.0,0.0,4703.405138625672,2366.557347488469,3137.5825566689946,0.0,2612.863509847542,2617.218649657747,
2020-02-11,0,,,,,,,,3.9867011363805003,0.0,0.0,0.0,0.0,0.201204791592649,0.059180886795280996,0.365107012559287,0.0,5.172707565633353,0.0,4.883337865418487,0.2893697002148663,5.172707565633353,120.4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.0511582747574,0.0,0.0,0.0,0.0,0.0,0.0,3116.4219661533116,0.0,3662.1204192787773,1561.9870419389092,3930.916746132888,3119.9968958967106,
2020-02-12,0,,,,,,,,4.0148960523160895,0.0,0.0,0.0,0.0,0.17566948162134302,0.0581053751209621,0.377559578556424,0.0,5.316714398714812,0.0,4.890903282372,0.4258111163428122,5.316714398714812,108.72,10.0,1554.6113348285678,0.0,0.0,0.0,1541.8682952370175,0.0,0.0,1561.0748161334795,0.0,0.0,0.0,0.0,1566.3442507635598,0.0,0.0,0.0,0.0,0.0,0.0,3868.084459440932,0.0,4152.717475181418,0.0,1568.5335605883288,4677.459561805537,
2020-02-13,0,,,,,,,,3.89052263627881,0.0,0.0,0.0,0.0,0.254899093953322,0.0592552574403338,0.352148162814101,0.0,5.4728565026873675,0.0,4.8965841935625685,0.576272309124799,5.4728565026873675,100.98,10.0,1625.0320610739354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4875.260176772199,0.0,3790.9041016873493,0.0,4073.620076350174,2169.6444301390547,
