,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.8155557022579503,0.0,0.0,0.0,0.0,0.25540111900234697,0.0585918352710438,0.396333390732819,0.0,8.1598,0.0,9.015794954514412,-0.8559949545144114,8.1598,122.24,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.2073782862005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2174.614258128605,1307.90382911059,1741.8772342716074,1299.072819641723,1311.575966666241,2185.114935312064,
2020-02-02,0,,,,,,,,3.6050796446062203,0.0,0.0,0.0,0.0,0.315628821059734,0.0755175031784834,0.386562387092736,0.0,8.089099468150616,0.0,8.8949428978521,-0.8058434297014845,8.089099468150616,85.83,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.7515095030285,0.0,0.0,0.0,0.0,1306.3162806488044,0.0,0.0,0.0,1288.7024933608402,0.0,0.0,5632.937427326739,1297.293842533513,6051.103298385762,1305.770845461531,1931.1713129638165,2168.647896387076,
2020-02-03,0,,,,,,,,3.82680723473747,0.0,0.0,0.0,0.0,0.215091036287705,0.06524114394017201,0.451135959691682,0.0,8.021943308939349,0.0,8.766043567813291,-0.7441002588739423,8.021943308939349,101.13,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0682876987455,0.0,0.0,0.0,0.0,1051.1893667463012,0.0,0.0,0.0,1052.8343855378446,0.0,0.0,6329.410720672698,0.0,1404.6186485938877,0.0,1574.6435140884705,1582.8074880218976,
2020-02-04,0,,,,,,,,3.75972860061826,0.0,0.0,0.0,0.0,0.23256678891420998,0.0707051351946188,0.44811203471823796,0.0,7.959127862296059,0.0,8.629584266021658,-0.6704564037255984,7.959127862296059,97.33,17.0,0.0,0.0,0.0,1117.2021826435453,0.0,0.0,0.0,1837.9765191739095,0.0,0.0,0.0,0.0,2159.5272422927887,0.0,0.0,0.0,0.0,0.0,0.0,3819.997818423164,1117.6676835565856,4765.088165113471,1078.8623155537696,2924.8591687840417,2747.289264142428,
2020-02-05,0,,,,,,,4.907012120319934,3.79170610702915,0.0,0.0,0.0,0.0,0.225857567502575,0.068349177785098,0.452092074382817,0.0,7.9014494681506156,0.0,8.48605229410089,-0.5846028259502747,7.9014494681506156,99.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789.8391550440624,0.0,0.0,0.0,0.0,1130.4613927005587,0.0,0.0,0.0,0.0,1129.4658975834939,0.0,3339.937391406282,1114.6789024854088,3353.931191124022,1130.8800873959985,1124.8348737200677,1695.6543175363913,
2020-02-06,0,,,,,,,4.907012120319934,3.8659994581272104,0.0,0.0,0.0,0.0,0.19521288293924202,0.0622024185722683,0.458173426921578,0.0,7.849704466432882,0.0,8.335934953674673,-0.48623048724179174,7.849704466432882,109.92,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.9623248891467,0.0,0.0,0.0,0.0,1130.9231880747625,0.0,0.0,0.0,0.0,0.0,0.0,3944.691795653548,2294.3212406008693,2261.005243157744,2298.151492739657,1688.2865611153754,2269.971992179241,
2020-02-07,0,,,,,,,4.907012120319934,3.91280650686425,0.0,0.0,0.0,0.0,0.18775953481586602,0.0556695456021898,0.43872723362740396,0.0,7.8046891970727215,0.0,8.179719546366687,-0.37503034929396595,7.8046891970727215,127.38,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.4576604487481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.2047657174653,0.0,3511.344074689387,0.0,3125.9913646535383,1186.6133533762609,1175.6585412355785,3553.9069970657647,
2020-02-08,0,,,,,,,,3.81860070203018,0.0,0.0,0.0,0.0,0.255786437984327,0.0582100433498846,0.39355008275282105,0.0,7.7672,0.0,8.01789337380062,-0.25069337380061985,7.7672,125.25,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.6339964244125,0.0,0.0,0.0,0.0,1968.855069775267,0.0,0.0,0.0,0.0,0.0,0.0,6146.262826420851,1298.6652538549965,2194.7879508374563,1318.3764396958013,2190.591728367054,1976.1937617985238,
2020-02-09,0,,,,,,,,3.6490809251767002,0.0,0.0,0.0,0.0,0.313841743140826,0.0680661437456573,0.37714433892435,0.0,7.666066692534192,0.0,7.860498414622357,-0.19443172208816506,7.666066692534192,95.22,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2624.397353594385,0.0,0.0,0.0,0.0,1305.6358886785526,0.0,0.0,0.0,0.0,1293.8541967350652,0.0,3467.207429773231,1291.7835098142125,3030.9653864215284,0.0,2159.322767910047,2609.642459966589,
2020-02-10,0,,,,,,,,3.83291872871773,0.0,0.0,0.0,0.0,0.209096265542281,0.0658605563476193,0.459596130146381,0.0,7.534666800855313,0.0,7.698627579662397,-0.16396077880708404,7.534666800855313,105.21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2584.3804905241363,0.0,0.0,1109.752715804794,0.0,1110.6798282554362,0.0,0.0,0.0,1106.51997834752,0.0,0.0,4425.609755241366,0.0,3316.9748823207015,0.0,1838.426107245542,2589.615325097427,
