,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.81016607083709,0.0,0.0,0.0,0.0,0.236041860188137,0.0793784146436315,0.380580635210269,0.0,4.2796699999999985,0.0,6.400541928607721,-2.1208719286077224,4.2796699999999985,130.91,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7972.8130452106225,0.0,3989.191278018803,0.0,8078.741794233679,0.0,
2020-02-02,0,,,,,,,,3.46373956862167,0.0,0.0,0.0,0.0,0.31673620970412203,0.102843265770809,0.3634166441792329,0.0,4.299416880466471,0.0,6.389698646541822,-2.0902817660753508,4.299416880466471,83.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3634.295604832533,0.0,0.0,0.0,0.0,0.0,0.0,3695.32686998343,0.0,3678.840033943131,0.0,3657.124094510267,0.0,
2020-02-03,0,,,,,,,,3.7318250212894704,0.0,0.0,0.0,0.0,0.17634514852244396,0.115119826517298,0.464007515040604,0.0,4.3574295335276965,0.0,6.364267183016242,-2.0068376494885456,4.3574295335276965,98.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.004363789618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4808.745217380157,2877.5973401243477,2882.6388500565395,0.0,8765.35128192696,2919.3387556120533,
2020-02-04,0,,,,,,,,3.7778212381113194,0.0,0.0,0.0,0.0,0.16596054332173302,0.109187201008961,0.462628429305479,0.0,4.451865976676384,0.0,6.326615380385983,-1.8747494037095986,4.451865976676384,103.67,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3114.9439071294123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4721.007978114054,0.0,3160.5562582142065,0.0,3158.0965281734166,6311.05224749722,
2020-02-05,0,,,,,,,28.835063437139567,3.7496850316238497,0.0,0.0,0.0,0.0,0.16505721403691,0.112712846599479,0.47742210868760293,0.0,4.580884227405247,0.0,6.279111081006051,-1.6982268536008043,4.580884227405247,101.74,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161.196223361567,0.0,0.0,0.0,0.0,3188.041178233745,0.0,0.0,0.0,0.0,0.0,0.0,3181.402192281839,3169.7115720033007,6354.970471447794,3155.207901950777,0.0,3196.356725524515,
2020-02-06,0,,,,,,,28.835063437139567,3.7818934314759303,0.0,0.0,0.0,0.0,0.161551180534894,0.109582840499964,0.46610397629772904,0.0,4.742642303206997,0.0,6.224122127231449,-1.4814798240244516,4.742642303206997,107.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3122.729249964719,0.0,0.0,0.0,0.0,0.0,0.0,10930.976845821788,0.0,4191.91670896996,0.0,3172.347884249302,3163.4061676243373,
2020-02-07,0,,,,,,,28.835063437139567,3.85719880094432,0.0,0.0,0.0,0.0,0.16002515600260098,0.0960593049859449,0.435955965921603,0.0,4.935298221574344,0.0,6.164016361417182,-1.2287181398428375,4.935298221574344,128.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3273.498779141485,0.0,0.0,0.0,0.0,3257.151721312175,0.0,0.0,0.0,0.0,0.0,0.0,4912.468986891214,3256.294503658671,6492.688165949767,0.0,3352.8801503280347,3287.3009187796547,
2020-02-08,0,,,,,,,37.87878787878788,3.77737339632466,0.0,0.0,0.0,0.0,0.24141450992661398,0.0829781764433735,0.381956580588983,0.0,5.15701,0.0,6.101161625918253,-0.944151625918253,5.15701,133.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7579.210331815767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7749.5983107057555,0.0,3786.4445289624186,3836.074919504739,3861.777263463313,0.0,
2020-02-09,0,,,,,,,37.87878787878788,3.52888390345989,0.0,0.0,0.0,0.0,0.312598675853177,0.0921953590627135,0.352851569955296,0.0,5.373352290874253,0.0,6.041883455394419,-0.6685311645201661,5.373352290874253,96.95,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.829522000603,0.0,0.0,0.0,0.0,0.0,0.0,3802.6515814078807,0.0,6408.146735784354,3712.284668022205,7662.629569044231,7583.240539533197,
2020-02-10,0,,,,,,,37.87878787878788,3.7297313041216404,0.0,0.0,0.0,0.0,0.17121814920784,0.118672750248485,0.46520173098146,0.0,5.6472658348310185,0.0,5.975164352930929,-0.3278985180999108,5.6472658348310185,101.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3174.535317474199,0.0,0.0,0.0,0.0,0.0,0.0,5267.465563909846,0.0,6328.003621474186,0.0,3194.475865686677,4223.398707685213,
