,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,4.020190726860251,0.0,0.0,0.0,0.0,0.21606490229540198,0.0526460240825759,0.33902913790038897,0.0,9.44322,0.0,9.394668877825104,0.04855112217489577,9.44322,126.31,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.8384368830704,0.0,0.0,0.0,0.0,1051.0526021064793,0.0,0.0,0.0,0.0,792.7860028341523,0.0,3148.5681699229053,781.8198159293747,3154.369071068353,787.8372761834802,3162.4239928065963,1570.4047353305884,
2020-02-02,0,,,,,,,,3.83066522700499,0.0,0.0,0.0,0.0,0.260790444064207,0.0657316202631103,0.36960122205594304,0.0,9.534160761440184,0.0,9.39804744070554,0.1361133207346441,9.534160761440184,83.79,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.707914874796,0.0,0.0,787.4183495142302,0.0,787.0435763182353,0.0,0.0,0.0,784.3394534942536,0.0,0.0,4966.240030350808,786.1119736365007,2619.555676341077,781.4598858271981,2101.330470230588,1306.9993266352353,
2020-02-03,0,,,,,,,,4.00405879761958,0.0,0.0,0.0,0.0,0.16103897629074598,0.0607777947652031,0.40753758661792605,0.0,9.634286658462845,0.0,9.40097812210096,0.23330853636188387,9.634286658462845,97.83,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396.2666989482545,0.0,0.0,0.0,0.0,901.8004970160297,0.0,0.0,0.0,0.0,0.0,0.0,5781.554780173577,599.037205524496,4995.369169151085,0.0,1198.6315337443918,1793.8154531881164,
2020-02-04,0,,,,,,,,3.99583244665919,0.0,0.0,0.0,0.0,0.159073773424977,0.0622334254277298,0.413007044824031,0.0,9.742889314573308,0.0,9.403434716409802,0.3394545981635062,9.742889314573308,95.42,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.7706417613754,0.0,0.0,0.0,0.0,1589.1418333560875,0.0,0.0,0.0,0.0,0.0,0.0,3799.594325827286,949.3170120109965,3384.5112543811406,632.6950782692812,2332.1873507083264,2743.4441432544877,
2020-02-05,0,,,,,,,3.9616512162269233,3.01634213597787,0.0,0.0,0.0,0.0,0.410687744849085,0.0820995301677541,0.31789601304700205,0.0,9.85926035327692,0.0,9.4053910180305,0.45386933524642004,9.85926035327692,56.81,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.5521858956688,0.0,0.0,0.0,0.0,675.0240698155146,0.0,0.0,0.0,0.0,0.0,0.0,2659.377959077652,669.7526084605537,3554.7145219597705,990.448329696353,2313.671457350097,1322.5229587116887,
2020-02-06,0,,,,,,,3.9616512162269233,3.93342497175183,0.0,0.0,0.0,0.0,0.218590585447992,0.06127814704772099,0.37726240844116204,0.0,9.982691398079014,0.0,9.406820821361503,0.5758705767175112,9.982691398079014,95.19,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.3990524516224,0.0,0.0,0.0,0.0,0.0,0.0,3307.435256549833,1100.8002187268376,3976.2455046219093,669.5632406201339,1547.2305551819009,2204.9003701310967,
2020-02-07,0,,,,,,,3.9616512162269233,4.0960706640228395,0.0,0.0,0.0,0.0,0.14831656930858,0.0493441565265425,0.377069838827089,0.0,10.112474072484927,0.0,9.40769792080125,0.7047761516836779,10.112474072484927,124.69,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034.5137833516428,0.0,0.0,0.0,0.0,681.3505590490922,0.0,0.0,0.0,0.0,0.0,0.0,5670.078216438796,683.1040959906408,4087.922065723831,682.252345374915,1364.8027435416598,1813.5391664371589,
2020-02-08,0,,,,,,,,4.02492212214708,0.0,0.0,0.0,0.0,0.21828780161430703,0.0498091971348775,0.337685079154502,0.0,10.2479,0.0,9.407996110748176,0.8399038892518238,10.2479,122.86,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.8982614321935,0.0,0.0,775.2260181677699,0.0,0.0,0.0,0.0,0.0,0.0,777.4272190838711,0.0,3614.6564234976745,771.6966352298773,2586.3596007920805,1549.1955004857507,1552.4760031709698,1930.359048028984,
2020-02-09,0,,,,,,,,3.8132579072362405,0.0,0.0,0.0,0.0,0.278546183923348,0.0614338794561671,0.356070441949109,0.0,10.234208862973759,0.0,9.402338974459337,0.8318698885144222,10.234208862973759,86.01,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315.67348556155,0.0,0.0,0.0,0.0,768.9781387412776,0.0,0.0,0.0,771.8750852696099,0.0,0.0,6683.343310865343,0.0,3603.920623226165,0.0,2062.403615213058,1795.8682634584188,
2020-02-10,0,,,,,,,7.86256240908912,3.9869719082901,0.0,0.0,0.0,0.0,0.16469021334572304,0.0622137787158414,0.41244055833395793,0.0,10.192589271137026,0.0,9.386444595981507,0.8061446751555188,10.192589271137026,100.64,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.3119688035763,0.0,0.0,0.0,0.0,951.6825354239636,0.0,0.0,0.0,0.0,0.0,0.0,6122.9250921906205,1263.0795478515147,2962.6358196431393,633.3035041831511,1060.5266591467553,844.1797228778261,
