,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,3.022883226020977,3.7502846493921,0.0,0.0,0.0,0.0,0.27097558122448,0.068201995109216,0.38929948393252606,0.0,3.25902,0.0,4.299892845917617,-1.0408728459176166,3.25902,123.79,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.6523117761178,0.0,0.0,0.0,0.0,577.1986087358862,0.0,0.0,0.0,0.0,0.0,0.0,3475.2042463779967,574.9236138010309,3084.464635994054,0.0,964.7986379593083,1925.1918206208134,
2020-02-02,0,,,,,,,3.022883226020977,3.5476912236807996,0.0,0.0,0.0,0.0,0.32426066357052,0.0823800526812604,0.37978000653171395,0.0,3.2350730703072825,0.0,4.290670226225745,-1.0555971559184627,3.2350730703072825,84.69,43.0,0.0,0.0,0.0,0.0,0.0,572.2996906353222,0.0,760.2161619022684,0.0,0.0,573.0156616516156,0.0,567.1307031236936,0.0,0.0,0.0,572.4617515718354,0.0,0.0,4382.675767861911,573.4162524148097,2853.040647677333,0.0,1522.1812989213697,2277.7462835178007,
2020-02-03,0,,,,,,,,3.7740292336713703,0.0,0.0,0.0,0.0,0.21010659201492898,0.0836151198793386,0.451098244420864,0.0,3.2076283459483235,0.0,4.274288233210875,-1.0666598872625515,3.2076283459483235,101.78,43.0,0.0,0.0,0.0,0.0,0.0,0.0,475.91280386478434,954.4541417366192,0.0,0.0,0.0,0.0,715.5513936789371,0.0,0.0,0.0,479.4642588487823,474.8221107913409,0.0,3669.538642823323,950.4359211161274,2231.0703489710268,476.704342696775,2386.6621762342597,2381.713117373928,
2020-02-04,0,,,,,,,2.497346569270147,3.8039008527987797,0.0,0.0,0.0,0.0,0.19520233998424102,0.0821405785835744,0.46075801928603605,0.0,3.177009603947125,0.0,4.251828994315239,-1.0748193903681136,3.177009603947125,104.55,25.0,0.0,0.0,0.0,0.0,0.0,0.0,509.56117390073484,1023.7354392483153,0.0,0.0,511.5653483920681,0.0,1019.2243916570314,0.0,0.0,0.0,0.0,0.0,0.0,3762.409397037248,513.1355217408786,1536.3209200120828,0.0,1197.8757681092764,1194.748427652809,
2020-02-05,0,,,,,,,2.497346569270147,3.80581168925736,0.0,0.0,0.0,0.0,0.19523412201450602,0.0806873413525041,0.46064553191983,0.0,3.1435406213276917,0.0,4.224374636981069,-1.0808340156533771,3.1435406213276917,109.19,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.636705345246,0.0,0.0,0.0,0.0,1019.4984698273337,0.0,0.0,0.0,507.43009440729617,0.0,0.0,2892.437782520592,506.33644391519164,3401.4130525201194,514.4608991307769,1871.7592557652624,1356.071680491117,
2020-02-06,0,,,,,,,5.1458971499648625,3.82327080592421,0.0,0.0,0.0,0.0,0.18696039558643401,0.0814454093863842,0.46050295008966996,0.0,3.1075451751140233,0.0,4.193007288650602,-1.0854621135365785,3.1075451751140233,117.43,42.0,0.0,0.0,515.3190280488807,512.0853220836767,0.0,0.0,0.0,766.6486544111331,0.0,0.0,0.0,0.0,1789.9869521362828,0.0,0.0,0.0,509.3195926380608,0.0,0.0,3418.85203044783,511.774530796142,4782.665279123237,509.7431433218116,1705.4087682304348,1532.916470420948,
2020-02-07,0,,,,,,,14.54375383998041,3.86823886752533,0.0,0.0,0.0,0.0,0.18516455093397602,0.0715010401042324,0.44636676112099,0.0,3.069347042330125,0.0,4.1588090767660715,-1.0894620344359467,3.069347042330125,136.62,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0746262471871,0.0,0.0,0.0,0.0,868.2488417370657,0.0,0.0,0.0,518.6907085960108,0.0,0.0,4188.639712711957,520.1191697746303,2088.9797138819567,0.0,781.5339299794699,1042.6491322788527,
2020-02-08,0,,,,,,,18.85484195862156,3.76934170486845,0.0,0.0,0.0,0.0,0.266434209154516,0.0672296728137239,0.38724730474000896,0.0,3.02927,0.0,4.12286212876971,-1.0935921287697101,3.02927,135.42,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1735.398540350914,0.0,0.0,0.0,0.0,1351.6380227448421,0.0,0.0,0.0,0.0,578.8320046382316,0.0,2904.499473199863,577.3798901742798,2124.645578666915,0.0,1163.0465198806053,2123.842337306727,
2020-02-09,0,,,,,,,22.158406610877748,3.64023962397206,0.0,0.0,0.0,0.0,0.305707404651357,0.0740495521575211,0.37316008434551395,0.0,3.033108629737609,0.0,4.088379025947664,-1.0552703962100551,3.033108629737609,104.17,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0119408391568,0.0,0.0,0.0,0.0,889.1305250962922,0.0,0.0,0.0,0.0,0.0,0.0,2770.9956982449103,0.0,2959.380319802576,592.3808646864879,1187.8647847479108,2562.3733882351207,
2020-02-10,0,,,,,,,12.665605753994456,3.79462286307548,0.0,0.0,0.0,0.0,0.19880150248910997,0.0851279576541353,0.457708019222853,0.0,3.0447945481049565,0.0,4.0498646583457285,-1.005070110240772,3.0447945481049565,108.25,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.4790083324068,0.0,0.0,509.0409086166628,0.0,508.5811654366195,0.0,0.0,0.0,0.0,0.0,0.0,2718.021429882977,508.8992566063518,3220.7535045125733,508.7872546955764,848.4064866995031,1521.8325697501168,
2020-02-11,0,,,,,,,12.03925178178465,3.8129695424869503,0.0,0.0,0.0,0.0,0.190465445708515,0.0817559184088573,0.4631494929665171,0.0,3.0645827988338192,0.0,4.007654448161353,-0.9430716493275337,3.0645827988338192,108.96,41.0,1007.6742683288153,0.0,0.0,505.5263702129577,502.1701785311132,0.0,502.3786339853431,836.4675806730403,0.0,0.0,501.2600728518409,0.0,501.427483091184,0.0,0.0,0.0,0.0,502.7879111007974,0.0,4194.082004516023,1509.6212262000283,3680.31672853304,503.1518056028205,2682.628473067527,1671.6282836539206,
2020-02-12,0,,,,,,,6.087136548833738,3.82503713585051,0.0,0.0,0.0,0.0,0.18369492869335302,0.0807738148139018,0.464752714121067,0.0,3.0927284256559764,0.0,3.96208381759198,-0.8693553919360038,3.0927284256559764,115.45,47.0,0.0,0.0,0.0,0.0,773.1414396119451,0.0,0.0,516.3683896453681,0.0,0.0,0.0,0.0,507.45274686064454,0.0,0.0,0.0,515.407094275185,0.0,0.0,2574.1059423262327,510.4165926487476,2395.1524957909696,515.0540488785006,1544.436074159766,2051.786403632052,
2020-02-13,0,,,,,,,3.684734146431337,3.8335972460977596,0.0,0.0,0.0,0.0,0.184939584738829,0.0786681122754402,0.46043156815970704,0.0,3.1294864723032068,0.0,3.913488188835056,-0.7840017165318494,3.1294864723032068,124.25,37.0,690.6367042650431,0.0,0.0,0.0,1810.0152849180356,0.0,0.0,773.514542551703,519.5512378637982,0.0,519.767897926778,0.0,0.0,515.243560556534,0.0,0.0,0.0,0.0,0.0,3797.038969050286,516.3578384970315,3102.013413441374,517.0659847564174,1547.6580262676218,2836.939727792093,
2020-02-14,0,,,,,,,,3.9010162025147794,0.0,0.0,0.0,0.0,0.172904220816732,0.0679257385155581,0.441640553526262,0.0,3.1751119825072887,0.0,3.862202984088025,-0.6870910015807365,3.1751119825072887,147.78,50.0,794.6550528842541,0.0,0.0,0.0,704.0925012277518,0.0,0.0,792.7510866279918,0.0,0.0,0.0,0.0,524.2383805073272,0.0,0.0,0.0,525.1512993653902,0.0,0.0,2815.9850042027388,1067.9376407901543,3339.850554488041,526.4658209664542,1232.1928799691384,2106.861571840021,
2020-02-15,0,,,,,,,,3.74901339431256,0.0,0.0,0.0,0.0,0.274250752626735,0.0672323678248806,0.38053574645976795,0.0,3.22986,0.0,3.808563625548334,-0.578703625548334,3.22986,136.68,40.0,1159.5993088141975,0.0,0.0,0.0,587.3061908731677,0.0,0.0,1158.8482548425802,0.0,0.0,0.0,0.0,581.5961903052677,0.0,0.0,0.0,0.0,0.0,0.0,3882.6318374647553,775.0528176065088,2616.209655801161,579.5577690694472,1457.5118638346412,1933.660392903006,
2020-02-16,0,,,,,,,3.502504290567754,3.6382509499854,4.89236175006197,0.0,0.0,0.0,0.305962390794452,0.0750814000360613,0.37539509714802005,0.0,3.2244048104956264,0.0,3.755901853514066,-0.5314970430184394,3.2244048104956264,115.07,29.0,578.1914102694717,0.0,0.0,0.0,866.507654690918,580.6579468696531,0.0,575.9019990360912,0.0,0.0,0.0,0.0,863.9810806930092,0.0,0.0,0.0,572.1728534595642,0.0,0.0,4620.448393039708,574.0282672321378,3072.720357535235,579.7234104966487,2299.477659227728,1535.8057723497052,
2020-02-17,0,,,,,,,3.502504290567754,3.7526555741407597,5.233954198472969,0.0,0.0,0.0,0.260766382882993,0.0738368585890118,0.39392718820732703,0.0,3.2083115451895043,0.0,3.7006241255772983,-0.4923125803877939,3.2083115451895043,123.07,32.0,886.8176907023102,0.0,0.0,0.0,707.4244930075994,0.0,0.0,2124.1755008139776,0.0,0.0,528.5186864669079,0.0,529.7961607218106,0.0,0.0,0.0,0.0,534.2533328493581,0.0,3366.9150429560636,526.7613510447518,2653.898021011367,531.6023055680213,1060.0043923429707,1767.4508728147978,
2020-02-18,0,,,,,,,4.718561104742113,3.81416378920612,4.9975162990804805,0.0,0.0,0.0,0.193312898977117,0.0812225153253463,0.4586448456101911,0.0,3.181988658892128,0.0,3.6428611758227167,-0.4608725169305887,3.181988658892128,117.93,30.0,1260.7798776824927,0.0,0.0,0.0,1010.488959806578,0.0,0.0,1002.8290913568596,0.0,0.0,0.0,0.0,1499.748934762677,0.0,0.0,0.0,0.0,500.7796738478914,0.0,4025.283949724087,1004.570956590283,2677.079253614838,0.0,1842.9876171360852,1835.263146548776,
2020-02-19,0,,,,,,,1.216056814174358,3.82537978647991,5.112912533812111,0.0,0.0,0.0,0.18397796447146103,0.0813569633366045,0.464538451058688,0.0,3.145844606413994,0.0,3.582743738335012,-0.43689913192101804,3.145844606413994,118.87,36.0,503.1197449755555,0.0,0.0,0.0,1008.3065002743213,502.6997787068187,0.0,752.9378683035948,502.0711420959429,0.0,0.0,0.0,1007.0834245890396,0.0,0.0,0.0,500.40243815008296,502.68341595847977,0.0,4038.5909077427086,840.205598048992,2688.745662716615,0.0,1510.8918356693848,2011.08637268322,
2020-02-20,0,,,,,,,1.216056814174358,3.8314285974926205,5.05207445253504,0.0,0.0,0.0,0.18262415680468802,0.0803380630330782,0.461548867953956,0.0,3.100287842565597,0.0,3.5204025471988682,-0.42011470463327116,3.100287842565597,133.42,36.0,1510.4503669433348,0.0,0.0,0.0,507.90772155103133,498.2630396352887,0.0,498.2630398650445,0.0,0.0,0.0,0.0,835.6903887715365,0.0,0.0,0.0,500.30900456243126,996.9411259646573,0.0,3687.429610107039,749.9125134187764,3511.5989625079774,509.1849410277133,837.2871043201253,2172.1169318833176,
2020-02-21,0,,,,,,,3.036375781866764,3.88601925164653,4.97558590898574,0.0,0.0,0.0,0.17403304164290698,0.0714021187093099,0.44709993381861607,0.0,3.0457268221574343,0.0,3.455968336498977,-0.41024151434154277,3.0457268221574343,146.67,37.0,764.317709905711,0.0,0.0,0.0,679.1165530730302,0.0,0.0,1015.9119203944592,0.0,0.0,509.8658719583065,0.0,676.5776807080169,0.0,0.0,0.0,0.0,0.0,0.0,3396.4120494044823,1017.6413675265004,3389.424446862329,0.0,1865.762254206596,2202.7102453005455,
2020-02-22,0,,,,,,,16.04535197544033,3.80117430678006,4.8601106857697305,0.0,0.0,0.0,0.25020336000538396,0.0683340210905445,0.388392971254561,0.0,2.98257,0.0,3.389571840320025,-0.40700184032002484,2.98257,139.89,47.0,1157.4512665349514,0.0,576.5235486677228,0.0,579.0031958538867,575.1641158351588,0.0,963.0144787063176,0.0,0.0,0.0,0.0,1157.183064576838,0.0,0.0,0.0,577.2324012387962,0.0,0.0,5023.011147480725,578.9123886541469,3277.7328385830865,0.0,1930.2182246566103,1541.4597578675614,
2020-02-23,0,,,,,,,16.04535197544033,3.61997599114352,4.74432682817781,0.0,0.0,0.0,0.313846453374511,0.0735908274160926,0.3711570104798789,0.0,2.9984400583090376,0.0,3.32471345233611,-0.32627339402707234,2.9984400583090376,106.34,30.0,1865.89758296927,0.0,0.0,0.0,1672.3396955002954,0.0,0.0,1113.504635492719,0.0,0.0,0.0,0.0,1114.292095963037,0.0,0.0,0.0,0.0,0.0,0.0,4471.304264306167,837.5578001434579,2974.135489904551,0.0,1953.1637602442727,2224.563147374969,
2020-02-24,0,,,,,,,14.178115590063806,3.7987337005192994,4.64827866657106,0.0,0.0,0.0,0.19485762498976,0.0835716660235631,0.461468101504649,0.0,3.04388556851312,0.0,3.2583978982371034,-0.21451232972398326,3.04388556851312,108.69,49.0,2158.604085552679,0.0,0.0,0.0,1159.593532220234,0.0,0.0,741.2873133440401,0.0,0.0,0.0,0.0,745.0150440949919,0.0,0.0,0.0,500.2623771508861,0.0,0.0,2155.978854541693,498.4655530426842,3147.068357910157,494.39874147005514,995.8465609701018,1322.44235360379,
2020-02-25,0,,,,,,,2.4058601078519963,3.83419409157853,4.722462730055519,0.0,0.0,0.0,0.181115529546648,0.0814141605676689,0.464867364333508,0.0,3.1156595335276966,0.0,3.1906651576582403,-0.07500562413054368,3.1156595335276966,114.79,62.0,2146.936667659968,0.0,0.0,0.0,989.093039206259,498.2033901020414,492.5240965448714,987.2998197237756,0.0,0.0,497.7878742287462,0.0,657.3402845946092,0.0,0.0,0.0,0.0,0.0,0.0,4619.034952040458,0.0,3133.067872782927,496.33901112023824,1317.6858028006563,1806.1439344197088,
2020-02-26,0,,,,,,,12.652024200169931,3.84069948322094,4.51123695887369,0.0,0.0,0.0,0.17633168131853197,0.0802539172794067,0.46811568533881703,0.0,3.210514956268222,0.0,3.121555210234749,0.08895974603347279,3.210514956268222,117.92,59.0,4746.202614853359,0.0,0.0,0.0,1957.1727490424435,0.0,492.13863651475197,815.4900938082567,0.0,0.0,0.0,0.0,1141.4705843142735,494.2660537231231,0.0,0.0,0.0,492.54960876016366,0.0,4741.642283878613,480.95625893838934,2941.177553450201,481.15624030934663,1307.6758715295755,3581.9245701892346,
2020-02-27,0,,,,,,,19.525672433872312,3.85150780558513,4.19536838715002,0.0,0.0,0.0,0.17432965956085197,0.07967458075425,0.46229006887328794,0.0,3.3252048396501457,0.0,3.0511080356018616,0.27409680404828407,3.3252048396501457,131.94,90.0,6784.018049350526,0.0,0.0,0.0,1651.6529030617996,0.0,0.0,988.9481509598976,0.0,0.0,0.0,0.0,822.7382064557726,987.5813795661387,0.0,0.0,0.0,0.0,0.0,4958.994162300427,495.95108502306715,3465.4549214829767,493.3800527230884,1319.3337065868159,3126.848455765461,
2020-02-28,0,,,,,,,42.907366296611976,3.8935761542783904,4.20134938630446,0.0,0.0,0.0,0.17242332050908402,0.0702348129437885,0.44647467245555394,0.0,3.456482186588921,0.0,2.9793636133948063,0.47711857319411477,3.456482186588921,144.69,130.0,6363.081887459622,0.0,0.0,0.0,2840.3075732434795,0.0,0.0,667.1221796517431,0.0,0.0,500.4998598205538,0.0,1334.1222574188625,0.0,499.94899318670684,0.0,0.0,0.0,0.0,2843.7643716620555,1169.4815431847815,3672.388906724831,500.3647506620549,1502.136775675846,1665.321616730915,
2020-02-29,1,,,,,,,36.85776941231788,3.78560741965748,4.203550114413259,0.0,0.0,0.0,0.259233420545061,0.0655536676349385,0.390453831892697,0.0,3.6011,0.0,2.9063619232488183,0.6947380767511819,3.6011,135.49,244.0,18263.12616108384,0.0,0.0,0.0,5414.02585003274,0.0,0.0,1087.8077092076585,2708.637729931051,0.0,533.0570778641966,0.0,2522.2550090764857,547.1140078889156,0.0,0.0,542.2952566654856,533.9451369953708,0.0,4155.883763407183,807.2360872232663,3604.003450015293,548.948422212208,2346.035487769376,3057.166207605613,
2020-03-01,1,,,,,,,36.03968448560901,3.67352937521999,4.28286324251595,0.0,0.0,0.0,0.294157916054115,0.0732948054902193,0.379799214390645,0.0,3.7259498094601686,0.0,2.8355424724259435,0.8904073370342251,3.7259498094601686,104.04,127.0,12752.787762822307,0.0,0.0,0.0,4235.901075620642,0.0,0.0,1102.8062947244368,2492.2117269018772,0.0,0.0,0.0,1836.8450113292865,0.0,0.0,0.0,553.2397929406404,0.0,0.0,4435.872815123065,553.1477101688163,3316.0086921736274,554.5399512767,2769.5672470248132,2025.3666472611735,
2020-03-02,3,,,,,,,24.862622844777373,3.79321035001321,4.466868685957129,4.13980959735804,0.0,0.0,0.199415783580257,0.0825724176483217,0.459521270492469,0.0,3.8677776718692822,0.0,2.764253042791273,1.1035246290780094,3.8677776718692822,105.89,135.0,20487.90506580502,493.86325495584464,0.0,486.86325445716085,6008.703656563115,0.0,0.0,982.3807798032727,2435.319775612659,0.0,0.0,0.0,1942.6630439595733,0.0,0.0,0.0,490.9859822776329,0.0,0.0,6012.121289447326,648.3568802078242,4053.7997542067546,728.7043320353149,2759.4422504370277,2908.2620865208173,
2020-03-03,3,,,,,,,27.009703741905852,3.818296812928,4.75016117795602,4.16358077418432,0.0,0.0,0.18402719763781197,0.0813013957450068,0.46868760788140507,0.0,4.025063079280225,0.0,2.6924980110824186,1.3325650681978067,4.025063079280225,109.41,129.0,16695.99837010275,0.0,0.0,0.0,3968.0873398048448,0.0,0.0,791.9984225747622,1905.7641191170785,0.0,0.0,0.0,2537.304876918554,0.0,0.0,0.0,0.0,0.0,0.0,4128.878467884071,951.5612059357244,5390.665656226087,953.0021297327693,2064.810423028957,2215.399023930784,
2020-03-04,3,,3.0,32.0,,,,23.61656546617796,3.8304191563753505,4.83787467892704,4.10195351596145,0.0019895638583484697,3.5830664479807597,0.180915929130852,0.0802847584091175,0.46573363162061604,0.0,4.196285523745884,0.0,2.6202817540369945,1.5760037697088891,4.196285523745884,116.1,117.0,14760.896195998246,0.0,0.0,0.0,5383.8396240248185,0.0,0.0,711.7067173938929,713.1900587565856,0.0,0.0,0.0,2058.544308735855,0.0,0.0,0.0,0.0,0.0,0.0,5389.93507517322,712.6969849334773,4113.76885780238,473.2280707980314,2692.099151028252,1420.619698260889,
2020-03-05,3,,3.0,48.0,,,,18.477757262867893,3.8397574085789,4.68972807740972,4.05384669729271,0.0174875680329544,35.076766470391505,0.17768180762636498,0.0793543913502782,0.46423805630877,0.0,4.3799244973191405,0.0,2.5476086483926137,1.8323158489265268,4.3799244973191405,119.84,120.0,16615.88862972761,488.9268560778044,0.0,0.0,5417.787810909364,489.1309154923679,0.0,1147.5496034708376,1478.4388252893295,0.0,494.0748459562004,0.0,2290.761444282873,0.0,973.7911706039304,0.0,0.0,500.17097313093666,0.0,6411.460781882389,1469.7014431760833,3446.219558995876,1004.1152387386487,1640.573186987789,2617.621804844541,
2020-03-06,3,,3.0,67.0,,,,17.793418721948747,3.86319740402871,4.989614697797429,4.00267641378577,0.16330772354529402,551.850373189909,0.18864561897501603,0.0704098578811745,0.442791476604921,0.0,4.5744594920528865,0.0,2.474483070886889,2.0999764211659975,4.5744594920528865,142.8,146.0,20202.21062380093,0.0,0.0,0.0,6394.035545696535,0.0,0.0,982.5032226580554,1804.675409608162,0.0,0.0,0.0,2286.322305717653,491.97211538744085,492.2363634198688,0.0,492.44120556139865,0.0,0.0,5083.879215721758,1956.650206260313,4421.342431200594,493.67384956846234,3279.007270694326,1796.9857488626722,
