,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,16.809547823163555,3.86433341159109,0.0,0.0,0.0,0.0,0.244135827764801,0.053083819937576,0.40699828674144795,0.0,8.39862,0.0,8.075788038387406,0.322831961612593,8.39862,128.13,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101.5238268274434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7033.524934965343,2120.8310259805776,6333.742943336458,2106.0519182978164,4195.799288612543,3143.14709751569,
2020-02-02,0,,,,,,,16.809547823163555,3.6768026810939105,0.0,0.0,0.0,0.0,0.29992909841444804,0.0651484829851396,0.408160531007526,0.0,8.557820382772642,0.0,8.148205513963497,0.409614868809145,8.557820382772642,89.23,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.092858028996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2056.365289284847,0.0,6864.3798661925675,0.0,4114.404759548428,2057.222107890564,4090.9638606376575,3078.763045013443,
2020-02-03,0,,,,,,,,3.8579618883197404,0.0,0.0,0.0,0.0,0.184780283529501,0.0711219144978806,0.457712349315507,0.0,8.706607878567446,0.0,8.217007667873274,0.4896002106941726,8.706607878567446,99.52,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.432984190154,0.0,0.0,0.0,0.0,1608.1953682547107,0.0,0.0,0.0,0.0,0.0,0.0,4305.333989013578,0.0,4301.0803561723615,1620.4017924358673,1614.5319959800852,3762.1730618666743,
2020-02-04,0,,,,,,,,3.88376914176904,0.0,0.0,0.0,0.0,0.174278227790668,0.0714460390788099,0.45582098043682395,0.0,8.839850714445154,0.0,8.280196247877509,0.5596544665676451,8.839850714445154,104.33,15.0,0.0,0.0,0.0,0.0,0.0,1774.9488911991255,0.0,1773.4691523081065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1768.568627487074,0.0,4113.864855774777,1770.0430493218987,4110.202610300262,0.0,3531.3648771125017,2638.563460083037,
2020-02-05,0,,,,,,,,3.88658740858823,0.0,0.0,0.0,0.0,0.17437441630373904,0.0703637808522198,0.45356600161344496,0.0,8.95241711746652,0.0,8.335773001736987,0.6166441157295335,8.95241711746652,108.16,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.6959531748764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5857.205447278186,0.0,2925.9256378100126,0.0,3504.0135581882228,1761.4301874858365,
2020-02-06,0,,,,,,,,3.88328134524439,0.0,0.0,0.0,0.0,0.17832645121337698,0.0677854939542175,0.456671782189584,0.0,9.039175314692283,0.0,8.381739677212487,0.6574356374797965,9.039175314692283,110.72,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2339.7109774551805,0.0,0.0,0.0,0.0,1717.3767267503574,0.0,0.0,0.0,0.0,0.0,0.0,4099.775527353735,0.0,5365.7939689876175,0.0,6191.276737596736,1714.5298525802414,
2020-02-07,0,,,,,,,,3.9366017648728198,0.0,0.0,0.0,0.0,0.170472517833731,0.0587561386254808,0.444677481715744,0.0,9.094993533183196,0.0,8.416098022064778,0.6788955111184176,9.094993533183196,131.49,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2726.205131851459,0.0,0.0,0.0,0.0,0.0,0.0,3049.5614678568877,0.0,4537.615571671978,1784.5866341689825,2722.8077557196757,2737.212679496637,
2020-02-08,0,,,,,,,,3.8915384627176404,0.0,0.0,0.0,0.0,0.235671070674185,0.0532965064132127,0.39938627713955893,0.0,9.11474,0.0,8.436849784054644,0.6778902159453555,9.11474,134.71,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.201683014667,0.0,0.0,0.0,0.0,4182.152836610228,0.0,0.0,0.0,2091.076419197863,0.0,0.0,2794.279738032489,2092.813914305259,4187.936196533057,0.0,2108.875514737389,3489.9915366419373,
2020-02-09,0,,,,,,,6.329915179136598,3.70992765269359,0.0,0.0,0.0,0.0,0.299703988780653,0.0606412442358864,0.392616099074113,0.0,9.114469154518948,0.0,8.432667746930665,0.6818014075882832,9.114469154518948,97.43,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088.51727543232,0.0,0.0,0.0,0.0,2067.682528017105,0.0,0.0,0.0,2073.718298852245,0.0,0.0,6902.9435977344265,2084.573657695235,4170.081515374778,0.0,4105.209330861099,2756.7934999263225,
2020-02-10,0,,,,,,,12.261113281153204,3.85241748290661,0.0,0.0,0.0,0.0,0.18935247602498,0.071858392517199,0.45697119924123897,0.0,9.112573236151604,0.0,8.41948432157264,0.6930889145789649,9.112573236151604,101.99,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.216733506479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699.1103437715958,0.0,3961.6096505166383,0.0,0.0,1698.4237448270808,
