,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,7.594744436849696,3.9082758035706098,0.0,0.0,0.0,0.0,0.264877149805786,0.0632818854765849,0.32602187465146804,0.0,5.40744,0.0,4.470595963303262,0.9368440366967379,5.40744,144.45,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9751.950539456911,4226.460277430987,10450.47160121153,0.0,4210.689904801382,4208.66947514754,
2020-02-02,0,,,,,,,,3.6597968385892004,0.0,0.0,0.0,0.0,0.342541756390993,0.0743425765785133,0.30888400254944204,0.0,5.4069052769679296,0.0,4.5166134685005215,0.8902918084674081,5.4069052769679296,111.79,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3946.5904609535664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9455.139168653424,0.0,4023.2812693811934,0.0,3946.590460303087,4048.0430494708576,
2020-02-03,0,,,,,,,,3.9177583105280203,0.0,0.0,0.0,0.0,0.20750018086473104,0.0865162445233044,0.37290115017124,0.0,5.403162215743442,0.0,4.560454470358366,0.8427077453850762,5.403162215743442,94.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3386.5026941948468,0.0,0.0,0.0,3358.776501402857,0.0,0.0,8901.387312045601,0.0,3370.73184425963,3274.7793031927813,3335.557038903516,3274.7793038402137,
2020-02-04,0,,,,,,,,3.9447575583578303,0.0,0.0,0.0,0.0,0.19498263412667102,0.0832332756339188,0.38473218876011794,0.0,5.393002478134111,0.0,4.601732823834099,0.7912696543000122,5.393002478134111,91.64,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6106.765668037486,0.0,9168.660364579979,3683.9549888926113,3748.637498863011,0.0,
2020-02-05,0,,,,,,,,3.9799225591373597,0.0,0.0,0.0,0.0,0.18085288275600198,0.0839845614682717,0.3789906683532471,0.0,5.373217725947522,0.0,4.64006238388503,0.7331553420624921,5.373217725947522,96.65,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3783.488121218818,0.0,0.0,0.0,3639.971673695083,0.0,0.0,12995.400449362636,0.0,3783.749444271783,0.0,5517.952863980706,3639.9716746553913,
2020-02-06,0,,,,,,,,3.73434228699687,0.0,0.0,0.0,0.0,0.27474489727109197,0.09143152891686698,0.3653260357669099,0.0,5.340599620991254,0.0,4.675057005468464,0.6655426155227904,5.340599620991254,90.64,3.0,0.0,0.0,0.0,3560.6274559510352,0.0,0.0,0.0,3569.518716377611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5393.833191871595,3606.003609193809,3603.4166535532518,0.0,3569.518715789281,0.0,
2020-02-07,0,,,,,,,,3.22883704920079,0.0,0.0,0.0,0.0,0.39355477278840006,0.0938134963730041,0.298636507525778,0.0,5.291939825072887,0.0,4.706330543541707,0.5856092815311795,5.291939825072887,114.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8925.645815488913,0.0,7684.071556504538,0.0,0.0,3818.5115849342683,
2020-02-08,0,,,,,,,,3.88251676393023,0.0,0.0,0.0,0.0,0.27546422100339896,0.0682468634408369,0.32284991681004105,0.0,5.22403,0.0,4.733496853062068,0.49053314693793215,5.22403,149.69,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4249.787775653309,0.0,0.0,4185.832870799563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4298.796051524091,0.0,4192.815074853134,0.0,0.0,0.0,
2020-02-09,0,,,,,,,,3.6848752583207705,0.0,0.0,0.0,0.0,0.33832647712425606,0.0725083167819765,0.297854346739281,0.0,5.201114828758036,0.0,4.745507731170696,0.45560709758733964,5.201114828758036,137.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4264.696187897785,0.0,0.0,0.0,0.0,0.0,0.0,8250.92706781934,0.0,8345.12381157217,4284.234573651095,4125.463534317648,8568.469148996199,
2020-02-10,0,,,,,,,,3.9216539264693098,0.0,0.0,0.0,0.0,0.20236713255416397,0.09063459258866699,0.381529029859683,0.0,5.178828146517682,0.0,4.75649751129578,0.4223306352219014,5.178828146517682,99.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3592.553323404984,0.0,0.0,0.0,0.0,0.0,0.0,6052.212577117467,3595.5571307934615,5500.131593428704,0.0,3639.228159239137,3655.9010104892573,
2020-02-11,0,,,,,,,,3.93514695355407,0.0,0.0,0.0,0.0,0.18964104934600398,0.0895851248491149,0.38361878278562106,0.0,5.157207322697791,0.0,4.766164862154206,0.39104246054358516,5.157207322697791,98.71,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3566.898478496935,0.0,0.0,0.0,3550.0933984065273,0.0,0.0,4767.350442140521,3551.785880537073,7157.004406792093,3554.5328654361288,0.0,7109.488946258285,
2020-02-12,0,,,,,,,,3.96551858430044,0.0,0.0,0.0,0.0,0.178578353467038,0.08897658974377601,0.379822463564218,0.0,5.13628972671722,0.0,4.774208452462854,0.36208127425436665,5.13628972671722,103.02,0.0,3716.940895118325,0.0,0.0,0.0,0.0,0.0,0.0,3774.429183239929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11199.53606342892,0.0,3747.671343541624,3727.7239148148637,3687.661509972079,3704.556254991147,
2020-02-13,0,,,,,,,,3.9342039566753,0.0,0.0,0.0,0.0,0.18992864490310102,0.0894360465121752,0.388220934898218,0.0,5.116112727994828,0.0,4.780326950938603,0.33578577705622514,5.116112727994828,108.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3724.888392648511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5529.237024887014,0.0,0.0,0.0,3618.108227955921,3723.835756345704,
2020-02-14,0,,,,,,,,4.030778370630371,0.0,0.0,0.0,0.0,0.166348487486483,0.0700698880000207,0.37068505111895295,0.0,5.096713695949468,0.0,4.784219026298341,0.3124946696511275,5.096713695949468,163.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3737.746450619712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9328.251114830295,3730.4072125647717,6227.303573612826,0.0,7435.945041061218,0.0,
2020-02-15,0,,,,,,,,3.9131869610585,0.0,0.0,0.0,0.0,0.26447744983579,0.0677175014861892,0.312649405755601,0.0,5.078130000000002,0.0,4.785583347258946,0.2925466527410556,5.078130000000002,186.92,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062.3719429121015,4056.9223651677503,8330.230730734917,0.0,4041.0930544973403,0.0,
2020-02-16,0,,,,,,,,3.7113987897977996,9.02120124052672,0.0,0.0,0.0,0.32935813492245,0.0729168511498703,0.304421431920372,0.0,5.028262265298388,0.0,4.781205773510618,0.24705649178777023,5.028262265298388,164.58,4.0,3753.014229673412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5662.309331928444,3856.424807461393,5083.830337695217,0.0,3809.734757268202,3849.9867015386767,
2020-02-17,0,,,,,,,,3.89055959767204,8.75082601614057,0.0,0.0,0.0,0.23364345339097797,0.0847417203895332,0.35302122551350507,0.0,4.951453996587898,0.0,4.7687359690798035,0.18271802750809485,4.951453996587898,157.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3479.7968242632014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6796.480524043282,0.0,3474.4784745342517,0.0,0.0,6881.406109725915,
2020-02-18,0,,,,,,,,3.8755810334204703,8.76879586809354,0.0,0.0,0.0,0.21895744432818498,0.0947470001160723,0.3742565813787,0.0,4.85151506121418,0.0,4.749168309187756,0.10234675202642407,4.85151506121418,123.36,4.0,5069.822512509935,0.0,0.0,0.0,0.0,0.0,0.0,5688.957080871338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7950.232222645855,0.0,4558.786139119188,0.0,0.0,3376.294481242012,
2020-02-19,0,,,,,,,,3.96008822513685,8.39386619363365,0.0,0.0,0.0,0.192755532188853,0.0907170795201418,0.36567582097401596,0.0,4.732255326522879,0.0,4.723497169055723,0.008758157467156025,4.732255326522879,125.74,2.0,3544.342615380965,0.0,0.0,0.0,0.0,0.0,0.0,4790.7217353437345,0.0,0.0,3534.013557232259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5388.451925562312,3600.727512673343,0.0,0.0,
2020-02-20,0,,,,,,,,3.9634868452095096,7.7942213519061605,0.0,0.0,0.0,0.19357170088046802,0.0891749672172208,0.361526525314812,0.0,4.597484659859648,0.0,4.692716923904962,-0.09523226404531382,4.597484659859648,132.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3493.348238388513,0.0,0.0,0.0,3548.60505286466,3476.070853565413,
2020-02-21,0,,,,,,,,4.02751827100749,7.35489409012532,0.0,0.0,0.0,0.183385051773239,0.0726671298585129,0.35010741787467703,0.0,4.4510129285701385,0.0,4.657821948956721,-0.2068090203865829,4.4510129285701385,165.37,3.0,5426.727696265782,0.0,0.0,0.0,0.0,0.0,0.0,3620.641232131045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652.3474213472296,0.0,3618.3363832793852,3651.751146488576,3572.065643164085,5524.386064739643,
2020-02-22,0,,,,,,,,3.9199223110561,7.25297116103197,0.0,0.0,0.0,0.253879522340394,0.0706947564562679,0.313891097641659,0.0,4.29665,0.0,4.619806619432254,-0.32315661943225393,4.29665,164.4,3.0,4013.9672022791933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5944.478447768321,0.0,4010.5305910220427,0.0,3959.741571638852,7961.7166084692335,
2020-02-23,0,,,,,,,,3.7285649430052104,6.54935443239604,0.0,0.0,0.0,0.31753343886830104,0.075271915310791,0.30119196930882597,0.0,4.217459467596911,0.0,4.583965273811613,-0.3665058062147013,4.217459467596911,138.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4022.185887391732,0.0,0.0,7993.738075367677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6611.873520577965,8027.156710696709,11647.971546057912,0.0,4000.1997594042873,4006.87788953586,
2020-02-24,0,,,,,,,,3.92867438528584,5.88508649068336,0.0,0.0,0.0,0.205615337090712,0.0887337979229524,0.36131739738562607,0.0,4.142175847852853,0.0,4.541804278291398,-0.3996284304385451,4.142175847852853,105.01,7.0,7864.866986965794,0.0,0.0,0.0,3863.583528039795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7759.426900649734,0.0,3887.0911020730073,3787.1597383862104,3769.8882783350236,3934.466145226747,
2020-02-25,0,,,,,,,,3.9487643023684704,5.55857033325166,0.0,0.0,0.0,0.19811628131404999,0.0862612804848481,0.362636453375584,0.0,4.071613099653024,0.0,4.493958454339378,-0.42234535468635404,4.071613099653024,101.74,6.0,7689.732406344222,0.0,0.0,0.0,0.0,0.0,0.0,3811.381804126074,0.0,0.0,0.0,0.0,3817.7658832253023,0.0,0.0,0.0,0.0,0.0,0.0,3811.381803120963,0.0,3851.380604699609,0.0,3811.3818034978794,3832.0553230405562,
2020-02-26,0,,,,,,,7.3616018845700815,3.95613058371563,5.07220282011371,0.0,0.0,0.0,0.198775849627042,0.0832006067274951,0.36151639417183007,0.0,4.006585181882625,0.0,4.441062623423318,-0.4344774415406931,4.006585181882625,103.77,11.0,6212.665248320281,0.0,0.0,0.0,3631.5292832517653,0.0,0.0,0.0,3841.4778891372425,0.0,0.0,0.0,3643.5943897637158,0.0,0.0,0.0,0.0,0.0,0.0,7324.437393310614,0.0,7470.474849638475,0.0,3725.634023706285,3855.907480779799,
2020-02-27,0,,,,,,,7.3616018845700815,3.89188958388084,5.00273953693681,0.0,0.0,0.0,0.218670419592323,0.0884249938298695,0.363858792654397,0.0,3.947906053426856,0.0,4.383751607010985,-0.4358455535841288,3.947906053426856,106.26,17.0,9107.260879461724,0.0,0.0,0.0,3655.744767749493,0.0,0.0,3607.586912599743,0.0,0.0,0.0,0.0,7305.381357782769,0.0,0.0,0.0,0.0,0.0,0.0,3623.76135064445,0.0,3642.6128924162604,0.0,0.0,3618.9389744768123,
