,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,18.647378756502864,3.8938241549408104,0.0,0.0,0.0,0.0,0.272939638901585,0.0547821521297142,0.330143249862486,0.0,8.15362,7.387669379406956,6.8083434225777495,1.3452765774222506,0.7659506205930438,117.69,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831.032953144481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834.8460171090203,0.0,3627.9525056527523,0.0,4527.566163373715,0.0,1817.4520217037373,2727.0574214459425,
2020-02-02,0,,,,,,,13.489815189531903,3.6968453804627597,0.0,0.0,0.0,0.0,0.309786802566459,0.0701336637948331,0.357239062735453,0.0,8.168135614036897,7.576762082934143,6.874608097191005,1.2935275168458924,0.5913735311027546,86.9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3576.844360194145,0.0,0.0,0.0,0.0,1776.870729300001,0.0,0.0,0.0,1768.958042963541,0.0,0.0,8961.607235140236,0.0,5357.245528140456,0.0,1792.4378070926882,2673.969463257594,
2020-02-03,0,,,,,,,13.489815189531903,3.95674058759216,0.0,0.0,0.0,0.0,0.18988130654292498,0.0620654398473079,0.41354888798864203,0.0,8.18052933922358,7.756172361404183,6.937404429505863,1.243124909717718,0.4243569778193974,97.71,8.0,0.0,0.0,1426.157779186377,0.0,0.0,0.0,0.0,1436.7699252868874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5286.231504380929,1424.3750805859986,4315.423914127516,0.0,4311.742210989744,1435.9615822557105,
2020-02-04,0,,,,,,,4.540707442219496,3.94754133303144,0.0,0.0,0.0,0.0,0.19693749799326102,0.0618098122225218,0.41148582917253,0.0,8.19076061463423,7.921278624816138,6.995489151122117,1.195271463512114,0.26948198981809224,98.24,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3156.122558099956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7787.694763698145,0.0,3631.639018748077,3012.8939154154523,3024.2064077068444,1553.5337330005866,
2020-02-05,0,,,,,,,4.540707442219496,3.95147479545137,0.0,0.0,0.0,0.0,0.19403512131367,0.0608412515644263,0.413934162199521,0.0,8.19878887934302,8.067459283169077,7.047618993639553,1.1511698857034673,0.13132959617394313,99.27,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.9756947708893,0.0,0.0,0.0,0.0,1612.645956054267,0.0,0.0,0.0,0.0,0.0,0.0,5378.838314028211,1611.9756975801474,4053.386090710409,0.0,1605.262784910364,3221.2345087281146,
2020-02-06,0,,,,,,,4.540707442219496,3.94782942273301,0.0,0.0,0.0,0.0,0.196370820284647,0.0610431479749848,0.40837502656291796,0.0,8.204573572424128,8.190092746462055,7.092550688657956,1.1120228837661719,0.014480825962072785,113.86,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3141.907654055652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6310.095567965729,1564.408185930405,5521.26114822531,1576.0722374440552,3149.1258718094273,4722.741697821998,
2020-02-07,0,,,,,,,13.599891200870385,3.85313953669648,0.0,0.0,0.0,0.0,0.269077475716417,0.0625441015226774,0.35341339512236297,0.0,8.208074132951728,8.28455742469414,7.129040967777119,1.079033165174609,-0.07648329174241297,116.92,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.1576056396198,0.0,0.0,1607.4204796144431,0.0,1609.4255774668698,0.0,0.0,0.0,0.0,1646.7078066703125,0.0,7121.944768655258,0.0,2729.611728667141,1643.7985545848983,2448.1345425569434,1653.5662323392507,
2020-02-08,0,,,,,,,27.57027398935879,3.8637985680928395,0.0,0.0,0.0,0.0,0.28522625834566495,0.0563565826030225,0.33009678919277197,0.0,8.20925,8.346231727864396,7.155846562596826,1.0534034374031744,-0.136981727864395,111.41,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7306.4033261595105,0.0,6064.125692066123,0.0,2429.620909127001,1840.212556545796,
2020-02-09,0,,,,,,,27.57027398935879,3.68799383363958,0.0,0.0,0.0,0.0,0.325556998345271,0.065162076555557,0.336415193799731,0.0,8.148730437317784,8.307421082153079,7.155522862533097,0.9932075747846874,-0.1586906448352945,94.08,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820.9783362885769,0.0,0.0,0.0,0.0,1867.955572385405,0.0,0.0,0.0,0.0,0.0,0.0,3079.285947018397,0.0,5463.687768230064,0.0,3070.298460170619,3679.1277811026707,
2020-02-10,0,,,,,,,13.970382788488402,3.93483564440961,0.0,0.0,0.0,0.0,0.20088451352114003,0.0621939707859461,0.414874040765971,0.0,7.9790486005830905,8.194838774779942,7.153256962086988,0.8257916384961028,-0.21579017419685176,103.42,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4131.315410984642,3074.2103630542065,5662.328138911378,0.0,6143.30130851636,1563.7511453213954,
2020-02-11,0,,,,,,,,3.9527356853277897,0.0,0.0,0.0,0.0,0.19377234787881303,0.0615762579175474,0.41447091965608096,0.0,7.718019766763848,8.014259250386187,7.147106660876116,0.5709131058877324,-0.29623948362233943,106.79,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.7842933461789,0.0,0.0,1585.8242901895749,0.0,1540.7424895286765,0.0,0.0,0.0,0.0,0.0,0.0,5739.2251219478785,0.0,5208.461503189279,1580.5491989021314,3915.884770507787,2080.900079079628,
2020-02-12,0,,,,,,,,3.95886791358845,0.0,0.0,0.0,0.0,0.187101621758443,0.0610072431099372,0.415006408855725,0.0,7.383459212827989,7.771456953613014,7.135129758518098,0.24832945430989106,-0.3879977407850248,106.83,6.0,1549.2478429321936,0.0,0.0,0.0,0.0,0.0,0.0,1544.0100615895099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3071.2080361724284,1495.5017115642115,5622.161517658175,0.0,3062.8792903814515,1531.5685540957475,
2020-02-13,0,,,,,,,5.8326042578011075,3.9758031757627004,0.0,0.0,0.0,0.0,0.186851470394159,0.0585115198662514,0.41005802477166603,0.0,6.993182215743442,7.472206329101636,7.115384054630559,-0.12220183888711755,-0.47902411335819384,114.75,8.0,1593.85341239846,0.0,0.0,1595.941344269003,0.0,0.0,0.0,3159.1246200526207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3716.6304489610943,1578.8942632184524,6361.4210874945875,0.0,0.0,3955.556566736455,
2020-02-14,0,,,,,,,5.8326042578011075,4.0479059936446,0.0,0.0,0.0,0.0,0.181522294436447,0.0494764720988422,0.37645271594007595,0.0,6.565004052478135,7.1222818214932575,7.085927348831117,-0.520923296352982,-0.5572777690151227,137.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3344.7935408257113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.3429203372095,0.0,5838.007988026578,0.0,3906.3074059316896,0.0,2792.738946577286,1674.8293926615174,
2020-02-15,0,,,,,,,18.687727024223527,3.93491570569573,0.0,0.0,0.0,0.0,0.257731011045929,0.0577598412278159,0.328544790527896,0.0,6.11674,6.727457875429082,7.044817440737388,-0.928077440737388,-0.6107178754290823,132.93,10.0,1853.9117538005194,0.0,0.0,0.0,0.0,0.0,0.0,1816.0525592823435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859.1832671804611,0.0,6177.680945478846,1855.3196302753645,3078.066763981084,0.0,2764.0704601682423,4311.933621198748,
2020-02-16,0,,,,,,,12.855122766422422,3.7321339366600697,9.382025062855481,0.0,0.0,0.0,0.31158440041622604,0.0650137730745249,0.33699549491442604,0.0,5.922364881465581,6.516466345573645,7.00847242626836,-1.086107544802779,-0.5941014641080633,103.39,4.0,1786.99070764832,0.0,0.0,0.0,0.0,0.0,0.0,2656.950412035361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.3054412455595,0.0,5958.149539284734,0.0,5356.792827588404,0.0,0.0,2375.4468150379307,
2020-02-17,0,,,,,,,12.855122766422422,3.92192292420117,9.234029649871449,0.0,0.0,0.0,0.222326587159192,0.0630937625257552,0.385411594758772,0.0,5.7381253625797495,6.3096998918591,6.953893720419793,-1.2157683578400436,-0.5715745292793502,111.04,6.0,1613.0524183217071,0.0,1604.9803225581506,0.0,0.0,0.0,0.0,1610.3602016643595,0.0,0.0,1604.980321922475,0.0,1597.6486019650674,0.0,0.0,0.0,0.0,0.0,0.0,3795.730260988631,1633.2138490634165,3784.044100478064,0.0,1641.4003820137325,3245.7134192361714,
2020-02-18,0,,,,,,,4.674426214182208,3.94839794407865,9.43134753050647,0.0,0.0,0.0,0.194243153479008,0.0604349446613241,0.41334900291695903,0.0,5.5671188215459475,6.107321171046987,6.8836192774258125,-1.316500455879865,-0.5402023495010395,109.52,11.0,1499.4736446101974,0.0,0.0,0.0,2927.50682402935,0.0,0.0,1482.905335295054,0.0,0.0,1460.7241208442954,0.0,0.0,0.0,0.0,0.0,3035.323775293674,0.0,0.0,8985.512817161049,0.0,2233.1255696621724,1466.7952931771042,2236.4240340830534,1995.5351225700852,
2020-02-19,0,,,,,,,9.370584756494594,3.97408833193681,8.90211983893127,0.0,0.0,0.0,0.18575569684382898,0.0602599256913806,0.4093013653161721,0.0,5.412442636567624,5.909492839898839,6.800187051520543,-1.3877444149529188,-0.49705020333121475,107.78,5.0,1573.0690577316345,0.0,0.0,0.0,0.0,0.0,0.0,1551.7442496183435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8831.66864307416,0.0,5385.2168723724735,1539.0437249253484,1532.8913646133883,1554.7658804460157,
2020-02-20,0,,,,,,,9.370584756494594,3.9784451352056003,8.73387548311149,0.0,0.0,0.0,0.18354047325851,0.0610195622634293,0.405379219984234,0.0,5.277194185848226,5.716377555176193,6.706134996938107,-1.4289408110898805,-0.4391833693279663,117.06,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.117615052889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3170.6386040974544,0.0,0.0,3161.0137577589185,0.0,2362.2980742667755,1566.1364549074085,4717.92352098051,1580.951311369126,
2020-02-21,0,,,,,,,4.696158542312388,4.04956524870983,8.37964351346042,0.0,0.0,0.0,0.173628719544931,0.0514847257189051,0.38250996728498793,0.0,5.164470847591201,5.528137973640583,6.604001067912632,-1.4395302203214309,-0.363667126049382,134.81,15.0,1590.6340829304395,0.0,0.0,0.0,0.0,0.0,0.0,1594.849147736635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608.3953862208637,0.0,0.0,5340.255660920436,0.0,4781.426280798495,0.0,2662.775251229267,3190.794161778601,
2020-02-22,0,,,,,,,,3.93696609242622,8.79839806548774,0.0,0.0,0.0,0.25082392363323397,0.0570231946280468,0.33727065089712,0.0,5.077369999999998,5.344936752053551,6.496323218678239,-1.418953218678241,-0.2675667520535523,128.55,5.0,3673.303244793428,0.0,0.0,0.0,1806.5829539386764,0.0,0.0,2999.442987908321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.7612843926324,0.0,0.0,4468.910729688698,0.0,4462.618169075183,1843.5304671180004,2678.1418280855964,3613.700314276507,
2020-02-23,0,,,,,,,,3.78501856749933,8.45274794048504,0.0,0.0,0.0,0.296111235260126,0.0669326794707425,0.34091454141323,0.0,5.080783965014576,5.332470502476559,6.394634233890133,-1.313850268875557,-0.2516865374619828,103.85,6.0,1779.669684545006,0.0,0.0,0.0,1794.785033418212,0.0,0.0,3588.0818536951538,1799.890769529363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3605.280338780924,0.0,5399.598421539806,0.0,2397.0902701410555,4505.974560958638,
