,jhk_positiveTests_cumulative,covidtracking_deaths_cumulative,covidtracking_positiveTests_cumulative,covidtracking_totalTests_cumulative,covidtracking_hospitalizedCurrently,covidtracking_hospitalizedCumulative,covidtracking_hospitalized,search_intensity,Cuebiq_Mobility,Kinsa_ObservedFever,Kinsa_ForecastFever,Kinsa_AtypicalFeverDelta,Kinsa_AnomalousFeverAbsolute,Cuebiq_StayHome,Cuebiq_Stay1Mi,Cuebiq_Stay10Mi,kinsa_DetrendedFever,cdc_ili,vir_ili,idea_ili,cdc_ili-idea,cdc_ili-vir,Apple_mobility,Twitter_RelatedTweets,google_covid,google_how long does covid last,google_anosmia,google_loss smell,google_covid-19,google_loss taste,google_loss of smell,google_chest pain,google_covid symptoms,google_sars-cov 2,google_chest tightness,google_covid nhs,google_quarantine,google_covid-19 who,google_sars-cov-2 ,google_feeling exhausted,google_nose bleed,google_feeling tired,google_joints aching,google_fever,google_runny nose,google_cough,google_dry cough,google_sore throat,google_pneumonia,gleammodel_infectious_mean_merged
2020-02-01,0,,,,,,,,3.64942400409473,0.0,0.0,0.0,0.0,0.25669535516522,0.0846480919396764,0.3925980500151429,0.0,6.70286,0.0,6.258119708334887,0.44474029166511286,6.70286,133.89,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5614.188169568518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5552.100659618068,0.0,0.0,5440.81244275101,
2020-02-02,0,,,,,,,,3.43188078173755,0.0,0.0,0.0,0.0,0.323604175529158,0.10730722823990699,0.378222774155119,0.0,6.685905393586006,0.0,6.252074740236608,0.4338306533493981,6.685905393586006,104.56,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5208.76798777864,0.0,0.0,0.0,0.0,0.0,0.0,5147.590146902769,0.0,10343.92912184191,0.0,0.0,5235.7768712651205,
2020-02-03,0,,,,,,,,3.05962552068524,0.0,0.0,0.0,0.0,0.324630367889709,0.121343488058827,0.41325930999789096,0.0,6.636109271137027,0.0,6.234500241234487,0.40160902990253966,6.636109271137027,81.46,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3969.6218765878734,0.0,0.0,3984.368121803342,0.0,4058.160401758983,0.0,0.0,0.0,0.0,0.0,0.0,11938.15051423519,0.0,5967.174336483511,0.0,4046.3388739292277,3972.9312710104937,
2020-02-04,0,,,,,,,,3.5965397334196205,0.0,0.0,0.0,0.0,0.21390616053399802,0.115001709404136,0.483055105193947,0.0,6.555073177842567,0.0,6.206236819267598,0.3488363585749683,6.555073177842567,98.74,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7300.6185757511985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4380.561617991154,0.0,0.0,4395.770962825358,
2020-02-05,0,,,,,,,,3.64957855878521,0.0,0.0,0.0,0.0,0.18902141993454002,0.10575049439334899,0.486476824993483,0.0,6.444398658892128,0.0,6.168125082275018,0.2762735766171103,6.444398658892128,108.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4791.585187269833,0.0,0.0,0.0,0.0,4812.592566717423,0.0,0.0,0.0,0.0,0.0,0.0,4767.648569872818,0.0,0.0,0.0,0.0,4795.579836077011,
2020-02-06,0,,,,,,,,3.63565269528171,0.0,0.0,0.0,0.0,0.19312105214008302,0.10648298337015899,0.48611926918340204,0.0,6.305687259475219,0.0,6.121005638195815,0.18468162127940424,6.305687259475219,103.73,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4960.198044516947,0.0,0.0,0.0,0.0,0.0,0.0,9296.65094899666,0.0,9302.234612630537,0.0,0.0,0.0,
2020-02-07,0,,,,,,,,3.6772867900158595,0.0,0.0,0.0,0.0,0.19041809220366898,0.0941570641511414,0.484315261365622,0.0,6.1405405247813425,0.0,6.065719094969064,0.07482142981227824,6.1405405247813425,116.19,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4814.879232905565,0.0,0.0,0.0,0.0,9456.264769800457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4986.531152183449,0.0,5015.582930972286,9637.78660298608,
2020-02-08,0,,,,,,,,3.5894598768107198,0.0,0.0,0.0,0.0,0.27493720802144606,0.0889761339097403,0.3938892430911,0.0,5.95056,0.0,6.003106060533838,-0.052546060533837924,5.95056,126.56,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5511.026667140099,0.0,0.0,0.0,0.0,0.0,0.0,5485.84125234383,0.0,0.0,5277.631110566118,0.0,5286.508394363762,
2020-02-09,0,,,,,,,,3.3680790746747102,0.0,0.0,0.0,0.0,0.355810213461583,0.0995177997629738,0.356661407358073,0.0,5.8310399045756425,0.0,5.944892026092023,-0.11385212151638058,5.8310399045756425,106.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5284.823101388848,0.0,5622.0843435267025,0.0,5321.509337676855,5638.488919892595,
2020-02-10,0,,,,,,,,3.65155572844743,0.0,0.0,0.0,0.0,0.19316354151415302,0.10520900077945,0.476818706132036,0.0,5.707836057942358,0.0,5.874366174386734,-0.16653011644437576,5.707836057942358,105.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9193.010851615638,0.0,9243.478510029074,4543.560601551012,0.0,0.0,
2020-02-11,0,,,,,,,,3.6746783189837497,0.0,0.0,0.0,0.0,0.176779449682045,0.10250820717602901,0.485912862839913,0.0,5.581078444196092,0.0,5.792857396824095,-0.21177895262800295,5.581078444196092,110.16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14090.070334929482,0.0,0.0,0.0,0.0,4638.218921179954,0.0,0.0,0.0,4708.4318359329545,0.0,0.0,10872.15178298412,4644.026371972672,4657.650876502433,0.0,0.0,9253.294958858223,
2020-02-12,0,,,,,,,,3.65654059143146,0.0,0.0,0.0,0.0,0.183453214426878,0.10500675357013499,0.49069386430361206,0.0,5.450897047432784,0.0,5.701694584810227,-0.2507975373774425,5.450897047432784,113.02,2.0,0.0,0.0,0.0,0.0,4826.254821639197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9594.758636944742,0.0,7165.717763234273,0.0,0.0,4790.501740436521,
2020-02-13,0,,,,,,,,3.70761978874304,0.0,0.0,0.0,0.0,0.175810596967023,0.0971153563632311,0.48032133860600396,0.0,5.317421851748373,0.0,5.602206629751249,-0.2847847780028765,5.317421851748373,118.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6529.6689193040165,0.0,14898.747404001799,0.0,
2020-02-14,0,,,,,,,,3.7727484122381196,0.0,0.0,0.0,0.0,0.16790112928727302,0.0819345130603025,0.46007957461067794,0.0,5.1807828412387975,0.0,5.4957224230532855,-0.314939581814488,5.1807828412387975,145.87,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4916.3989007852115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4892.91439877198,0.0,4878.381082826303,0.0,4941.61496237229,9708.07977192133,
2020-02-15,0,,,,,,,59.101654846335705,3.65712816485475,0.0,0.0,0.0,0.0,0.258781308010267,0.08371108833311999,0.38267284309052507,0.0,5.04111,0.0,5.383570856122455,-0.3424608561224556,5.04111,151.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7381.709124408296,0.0,8421.00766513403,0.0,0.0,11232.253281780377,
2020-02-16,0,,,,,,,59.101654846335705,3.42990516226048,5.446281574844839,0.0,0.0,0.0,0.33292081175426097,0.0979293480853363,0.365153269885372,0.0,4.9431890509771765,0.0,5.276834530153223,-0.33364547917604614,4.9431890509771765,130.14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5125.644781282396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10318.896473366773,5146.240659095183,11940.657129908695,0.0,5155.148699002721,5127.007952811106,
2020-02-17,0,,,,,,,59.101654846335705,3.56534588093949,5.65256847779821,0.0,0.0,0.0,0.266887955301664,0.0985139994324514,0.40908750997862,0.0,4.849705269214334,0.0,5.1636381898255586,-0.3139329206112249,4.849705269214334,128.44,2.0,0.0,0.0,0.0,0.0,4769.794247283467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4716.723305482834,0.0,7001.271745593504,0.0,4672.308374664091,4702.994797571509,
2020-02-18,0,,,,,,,,3.6701972388572903,5.3532558526557805,0.0,0.0,0.0,0.183393346526877,0.102959540848873,0.4786171341603421,0.0,4.76134825844576,0.0,5.044350000978151,-0.28300174253239074,4.76134825844576,110.26,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4669.59291941855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6831.135848087203,0.0,4539.3035328342885,0.0,4450.067540097558,0.0,
2020-02-19,0,,,,,,,,3.6660531350544705,5.50763919330305,0.0,0.0,0.0,0.183423750871134,0.103188532493301,0.48674449329094,0.0,4.678807622405748,0.0,4.919338129449676,-0.24053050704392742,4.678807622405748,110.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4531.037604922511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9121.94210975537,0.0,4597.27538723698,0.0,
2020-02-20,0,,,,,,,,3.6938096598618104,5.80079867886096,0.0,0.0,0.0,0.17349731994581197,0.10116407094724801,0.47942337007823704,0.0,4.602772964828591,0.0,4.7889707410788205,-0.18619777625022937,4.602772964828591,122.36,1.0,0.0,0.0,0.0,0.0,4402.673288886172,0.0,0.0,4395.353799170481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4406.3421827425655,0.0,0.0,4569.661103063063,0.0,9180.469894879168,0.0,4576.8467616145945,4476.921761004423,
