,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,1739.7270708527285,,,,,,,,,,,,,,1739.7270708527285
2020-03-30,1851.485300722184,,,,,,,,,,,,,,1851.485300722184
2020-03-31,2010.1918032230249,,,,,,,,,,,,,,2010.1918032230249
2020-04-01,2167.9770520787624,,,,,,,,,,,,,,2167.9770520787624
2020-04-02,2364.6660533880554,,,,,,,,,,,,,,2364.6660533880554
2020-04-03,2513.7833892709896,,,,,,,,,,,,,,2513.7833892709896
2020-04-04,2561.4201626436984,,,,,,,,,,,,,,2561.4201626436984
2020-04-05,2592.675315039847,2106.992496157184,,,,,,,,,,,,,2592.675315039847
2020-04-06,2680.440417819936,2123.980383122037,,,,,,,,,,,,,2613.5790796563756
2020-04-07,2730.0009063905804,2150.5075314883925,,,,,,,,,,,,,2646.22100072315
2020-04-08,2829.464006376421,2183.3632390216158,,,,,,,,,,,,,2686.650277066051
2020-04-09,2917.6801138024684,2220.7139044113783,,,,,,,,,,,,,2732.6106439553337
2020-04-10,3050.7009753452417,2261.163065162895,,,,,,,,,,,,,2782.3837403407288
2020-04-11,3118.2124897595095,2304.362902873037,,,,,,,,,,,,,2835.541572202536
2020-04-12,3232.336501189729,2350.395936068747,2352.2970233905803,,,,,,,,,,,,2892.1856794125047
2020-04-13,3355.335388116609,2398.865762520825,2407.868153335384,,,,,,,,,,,,2960.511245706624
2020-04-14,3478.7138436712207,2450.113071569809,2467.5719485854925,,,,,,,,,,,,3033.917988100086
2020-04-15,3608.2438654179687,2503.397148988085,2530.854448132961,,,,,,,,,,,,3111.7248029405037
2020-04-16,3767.369074607842,2559.530044991317,2597.7477227559148,,,,,,,,,,,,3193.9711217470685
2020-04-17,3917.281766944021,2617.9783613487266,2668.4840524631304,,,,,,,,,,,,3280.9425363937303
2020-04-18,4051.623248591056,2679.278216506631,2743.4786489794915,,,,,,,,,,,,3373.149556137055
2020-04-19,4215.445904152903,2742.900651337763,2822.4589441557173,2922.5204767440746,,,,,,,,,,,3470.2570542093868
2020-04-20,4374.807752230658,2808.6928326186494,2905.1287009631706,2992.4869812984784,,,,,,,,,,,3553.336628132097
2020-04-21,4553.605088433355,2876.6702696251455,2991.753867269177,3067.085644873779,,,,,,,,,,,3641.916516816124
2020-04-22,4727.311354010034,2947.129267548555,3082.602914027691,3146.4651999519288,,,,,,,,,,,3736.1733280727026
2020-04-23,4911.558432532014,3020.184403728289,3177.615716523884,3228.2618570314153,,,,,,,,,,,3833.3002527596673
2020-04-24,5090.393083393419,3095.2196208517157,3276.8344404177337,3314.8843541259507,,,,,,,,,,,3936.1574727475454
2020-04-25,5326.841114293598,3172.625416574335,3380.1315719843114,3405.121936352895,,,,,,,,,,,4043.3073143892793
2020-04-26,,3251.6703361316213,3487.2931681198606,3498.7977936561565,1287.4992192010766,,,,,,,,,,4154.539830021786
2020-04-27,,3332.8713294628,3598.3835559034496,3596.190786657361,1278.961825111197,,,,,,,,,,4126.991119108387
2020-04-28,,3416.213600167353,3714.4438329325317,3699.2503670068404,1274.2649729786167,,,,,,,,,,4111.835180394392
2020-04-29,,3501.025317615563,3833.717773792191,3804.246308722951,1268.455990344205,,,,,,,,,,4093.090586714915
2020-04-30,,3588.119479732832,3957.214578461557,3913.1947293440544,1264.9998317100008,,,,,,,,,,4081.9381537731806
2020-05-01,,3676.1709901440704,4084.6325811051533,4025.8850222431565,1262.0655924392875,,,,,,,,,,4072.4698653740957
2020-05-02,,3766.6119557693987,4215.5542486551285,4140.943344139918,1259.1582955365332,,,,,,,,,,4063.0885153895215
2020-05-03,,,4350.478901824582,4260.099991640384,1257.3758718101824,1841.3456538063367,,,,,,,,,4057.3369388023953
2020-05-04,,,4488.520423130581,4382.50154115398,1257.5274177637145,1852.0647288659309,,,,,,,,,4080.956023627227
2020-05-05,,,4630.40769914411,4507.4999300155605,1256.9531376084794,1861.4835375012271,,,,,,,,,4101.710019552164
2020-05-06,,,4775.218165701129,4635.5654324828665,1258.7952938480153,1873.1173252926649,,,,,,,,,4127.344639997715
2020-05-07,,,4922.782405142377,4765.34065415595,1260.8140651977894,1885.0089499859266,,,,,,,,,4153.547394505326
2020-05-08,,,5073.2894248293105,4896.89126989026,1263.5184703598484,1897.4642408150642,,,,,,,,,4180.992166463336
2020-05-09,,,5225.869095348328,5030.708315467959,1266.8801649390227,1908.9882969721173,,,,,,,,,4206.384997317332
2020-05-10,,,,5166.865613823365,1271.9873024106034,1924.4230756430627,3455.1941650569843,,,,,,,,4240.394960364961
2020-05-11,,,,5304.039779667962,1275.8572009781033,1937.0399057483914,3511.3699162478947,,,,,,,,4309.336779801242
2020-05-12,,,,5440.3795817430655,1280.8985176629267,1950.8793144426456,3565.2962407313316,,,,,,,,4375.517985153793
2020-05-13,,,,5580.044614861899,1287.726050645863,1967.9923189649555,3626.344113827585,,,,,,,,4450.439127368121
2020-05-14,,,,5718.128228145754,1293.492956783067,1982.1813266938668,3681.2832335804187,,,,,,,,4517.8632880369505
2020-05-15,,,,5856.3353526403125,1300.6017762751858,1998.1160792747405,3739.4403307088746,,,,,,,,4589.236718817473
2020-05-16,,,,5992.956678396896,1307.2265372980792,2013.3033147499186,3796.098118616681,,,,,,,,4658.770118919671
2020-05-17,,,,,1315.3952685293632,2030.2626194001969,3852.390822152821,3210.0354639678176,,,,,,,4727.855468389758
2020-05-18,,,,,1323.9943955676686,2047.910445224126,3916.757392331865,3246.7681996505407,,,,,,,4781.956760171693
2020-05-19,,,,,1332.2572861735312,2065.0879230514806,3972.192565772447,3284.785926454395,,,,,,,4837.9506330067225
2020-05-20,,,,,1339.893826054106,2080.971531167706,4030.476514608669,3323.450000672415,,,,,,,4894.8964695165605
2020-05-21,,,,,1349.2351125537887,2098.6901091655614,4087.9079512715757,3360.820711159083,,,,,,,4949.937393492401
2020-05-22,,,,,1359.2889756184927,2118.146255450852,4148.797835475591,3400.7393907366163,,,,,,,5008.731057814805
2020-05-23,,,,,1368.9427837746978,2135.710453877476,4206.649953153609,3438.6542574363953,,,,,,,5064.573434595978
2020-05-24,,,,,,2154.546519293852,4267.145884138329,3478.073999975741,1410.5856979058008,,,,,,5122.632246537201
2020-05-25,,,,,,2172.3414559199728,4323.67260427786,3515.9181911928526,1399.7111578394272,,,,,,5083.140658260807
2020-05-26,,,,,,2193.0474393155123,4387.320902855452,3556.6227880475826,1389.8963183819214,,,,,,5047.497440571695
2020-05-27,,,,,,2212.0765889860377,4444.178022022753,3594.8757143334583,1379.8799338682404,,,,,,5011.122299111184
2020-05-28,,,,,,2230.9925395781847,4502.4271556883095,3634.719650666645,1369.4814010589364,,,,,,4973.3593616557
2020-05-29,,,,,,2249.6108331245764,4564.038223254823,3674.9991782790034,1360.083853788915,,,,,,4939.231567254239
2020-05-30,,,,,,2270.8670634023897,4623.708823199976,3716.117201916776,1350.0115381258404,,,,,,4902.6533082448295
2020-05-31,,,,,,,4684.171530243417,3753.4644951127343,1340.4268489941458,1114.8412566982477,,,,,4867.845896194682
2020-06-01,,,,,,,4741.97630795374,3792.1562228873054,1330.4984031498086,1099.474607716974,,,,,4800.74891827758
2020-06-02,,,,,,,4803.935877670023,3834.1011287073657,1321.5650023886565,1086.172058657654,,,,,4742.664631875119
2020-06-03,,,,,,,4864.195485166723,3873.3223468264728,1313.2932029794326,1073.1604442869802,,,,,4685.850683488658
2020-06-04,,,,,,,4921.338616539954,3910.481140018208,1303.1170578177146,1058.5740567202247,,,,,4622.160641134624
