,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,959.7537115088479,,,,,,,,,,,,,,959.7537115088479
2020-03-30,988.4522379235808,,,,,,,,,,,,,,988.4522379235808
2020-03-31,999.2902432340352,,,,,,,,,,,,,,999.2902432340352
2020-04-01,1033.4547246298478,,,,,,,,,,,,,,1033.4547246298478
2020-04-02,1082.88158913481,,,,,,,,,,,,,,1082.88158913481
2020-04-03,1114.4566415815339,,,,,,,,,,,,,,1114.4566415815339
2020-04-04,1163.3494801883298,,,,,,,,,,,,,,1163.3494801883298
2020-04-05,1211.3388923789332,175.0,,,,,,,,,,,,,1211.3388923789332
2020-04-06,1258.0796074344996,182.0,,,,,,,,,,,,,1259.7924480740905
2020-04-07,1290.891852339705,153.0,,,,,,,,,,,,,1059.0562887655817
2020-04-08,1351.7204777942286,143.0,,,,,,,,,,,,,989.8369234867855
2020-04-09,1427.349487204953,120.0,,,,,,,,,,,,,830.6323833455542
2020-04-10,1464.1833780518762,122.0,,,,,,,,,,,,,844.4762564013134
2020-04-11,1519.8317991342444,102.0,,,,,,,,,,,,,706.0375258437211
2020-04-12,1554.0886196886966,113.0,221.34128441165655,,,,,,,,,,,,782.1788276503969
2020-04-13,1647.3375595864434,102.0,230.1879691603024,,,,,,,,,,,,813.441361992698
2020-04-14,1719.0570923999226,113.0,239.6474412708133,,,,,,,,,,,,846.8693726110433
2020-04-15,1757.1961052577649,129.0,249.6775010930604,,,,,,,,,,,,882.3137338104556
2020-04-16,1816.354041810944,79.0,260.4271513068861,,,,,,,,,,,,920.3009932783474
2020-04-17,1906.2632417509835,81.0,271.7928271277079,,,,,,,,,,,,960.4651723767707
2020-04-18,1949.7498956138147,76.0,283.8838396269026,,,,,,,,,,,,1003.192556049748
2020-04-19,2005.6986275733207,66.0,296.660025444053,126.59865011858429,,,,,,,,,,,1048.3412144704546
2020-04-20,2065.943529247544,56.0,310.2274574869677,132.34720146436362,,,,,,,,,,,1095.9439597891064
2020-04-21,2121.6428179736786,80.0,324.5295244363376,138.47851044540394,,,,,,,,,,,1146.716253944349
2020-04-22,2202.005773680281,65.0,339.7943571375331,145.04089620466803,,,,,,,,,,,1201.058219283209
2020-04-23,2261.902759025022,67.0,355.84479901474106,151.97696753981933,,,,,,,,,,,1258.4946093263504
2020-04-24,2340.684257491292,61.0,372.734748430405,159.34361230732168,,,,,,,,,,,1319.496502434231
2020-04-25,2399.425347625436,50.0,390.70455350864165,167.21467959131542,,,,,,,,,,,1384.6754299184613
2020-04-26,,46.0,409.45181535838486,175.5764058479956,84.54541351274156,,,,,,,,,,1453.9174182871095
2020-04-27,,39.0,429.28586165601007,184.3972309537672,88.12655605953523,,,,,,,,,,1515.501900635968
2020-04-28,,49.0,450.01186780081224,193.77933506901687,91.94755848766307,,,,,,,,,,1581.2112248293515
2020-04-29,,56.0,471.87235353258484,203.75766486429814,96.0417749289994,,,,,,,,,,1651.6189779051497
2020-04-30,,49.0,494.7558020738186,214.31186507898587,100.38684492085287,,,,,,,,,,1726.3406296465573
2020-05-01,,40.0,518.7073918916228,225.48292989215287,104.9768990535852,,,,,,,,,,1805.275244514276
2020-05-02,,31.0,543.5782385528366,237.23250332895358,109.85642653626816,,,,,,,,,,1889.187898144082
2020-05-03,,,569.6468751925977,249.7453265980333,115.03949921705542,57.56252155962197,,,,,,,,,1978.3205824346257
2020-05-04,,,596.7568173869192,262.8691296804232,120.52221349806088,59.65325391096121,,,,,,,,,2050.1753019804373
2020-05-05,,,624.9498564673273,276.72057929280015,126.33864958443516,61.87265464278713,,,,,,,,,2126.4521228958297
2020-05-06,,,654.0790635550121,291.2828580914219,132.46768392362137,64.2003931825277,,,,,,,,,2206.4523198803436
2020-05-07,,,684.315057299023,306.6381230652742,138.97217735260332,66.67735252735265,,,,,,,,,2291.5809681909536
2020-05-08,,,715.5109803365938,322.7124297601975,145.83942130865918,69.29622583273162,,,,,,,,,2381.5869446917136
2020-05-09,,,747.6444294420761,339.59021179181883,153.08269930798582,72.05899006436606,,,,,,,,,2476.5381941465416
2020-05-10,,,,357.28371159196547,160.76546635312133,75.01590548968446,42.7658119170249,,,,,,,,2578.162071765711
2020-05-11,,,,375.7372647510482,168.82938995109257,78.10797832042219,43.96550251566797,,,,,,,,2650.4861236339784
2020-05-12,,,,395.04070378652176,177.33066185548995,81.37556377135074,45.239103585729936,,,,,,,,2727.265911651678
2020-05-13,,,,415.09005594853204,186.2575576511901,84.83236370800806,46.60259967436017,,,,,,,,2809.4650736254493
2020-05-14,,,,436.01778573667167,195.65045734049463,88.44743320764128,47.99626426587822,,,,,,,,2893.4829615024773
2020-05-15,,,,457.68809060673607,205.51206061465328,92.28880989071035,49.51478774676655,,,,,,,,2985.0280408080666
2020-05-16,,,,480.1262698128015,215.8257859358213,96.2970130010804,51.0706707147163,,,,,,,,3078.8253587183904
2020-05-17,,,,,226.5998598098924,100.49972217956196,52.70847148631914,9.294050867117212,,,,,,,3177.561139501593
2020-05-18,,,,,237.9569961052796,104.98435933111357,54.478041686069275,9.370785737532392,,,,,,,3203.796173693051
2020-05-19,,,,,249.7163850508725,109.62239806046757,56.28054840359458,9.390184318958928,,,,,,,3210.4283924514507
2020-05-20,,,,,261.97864755692933,114.50216305402105,58.19302087441929,9.455877509977649,,,,,,,3232.8883653841885
2020-05-21,,,,,274.7586792583719,119.61839327963942,60.20474067195379,9.546469379082474,,,,,,,3263.8609958268275
