,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,7544.42759520385,,,,,,,,,,,,,,7544.42759520385
2020-03-30,8859.537954556357,,,,,,,,,,,,,,8859.537954556357
2020-03-31,9838.54125822433,,,,,,,,,,,,,,9838.54125822433
2020-04-01,9842.702511210173,,,,,,,,,,,,,,9842.702511210173
2020-04-02,10379.579350276224,,,,,,,,,,,,,,10379.579350276224
2020-04-03,11117.638738490974,,,,,,,,,,,,,,11117.638738490974
2020-04-04,11634.107936473172,,,,,,,,,,,,,,11634.107936473172
2020-04-05,12301.191608875777,4048.072992944664,,,,,,,,,,,,,12301.191608875777
2020-04-06,13057.352624985908,4070.7137251667796,,,,,,,,,,,,,12369.991748032086
2020-04-07,13749.116649718912,4028.6229331377413,,,,,,,,,,,,,12242.08721206622
2020-04-08,14513.462844054467,4033.6888068454573,,,,,,,,,,,,,12257.481273204345
2020-04-09,15464.066836361873,4044.079281221872,,,,,,,,,,,,,12289.055609051095
2020-04-10,16422.172549983134,4049.9213616212733,,,,,,,,,,,,,12306.808389327722
2020-04-11,17178.507741259036,4075.868041789929,,,,,,,,,,,,,12385.654567478445
2020-04-12,18087.549618138226,4119.457467840785,2244.1610891269715,,,,,,,,,,,,12518.113118227664
2020-04-13,19234.39518613764,4109.792825513455,2211.53534399189,,,,,,,,,,,,12336.124057751484
2020-04-14,20186.67019587979,4175.83262095383,2173.843263173445,,,,,,,,,,,,12125.874564685802
2020-04-15,21145.84320432784,4174.158051410485,2152.1781010448176,,,,,,,,,,,,12005.02452786585
2020-04-16,22147.460462604082,4237.223756980862,2115.374563142904,,,,,,,,,,,,11799.731399471775
2020-04-17,23545.476707432885,4248.239947315799,2091.3466560877723,,,,,,,,,,,,11665.701779241877
2020-04-18,24551.711522397465,4255.877725652774,2080.0025954397893,,,,,,,,,,,,11602.423686105198
2020-04-19,25711.12029450237,4336.284668782285,2050.7122172585737,2676.858419503842,,,,,,,,,,,11439.039573830636
2020-04-20,26879.68030235073,4388.3117086979855,2026.1391857523386,2727.496119285783,,,,,,,,,,,11655.430043910388
2020-04-21,28233.858537357162,4430.334817202734,2007.4511588457294,2782.3887737605487,,,,,,,,,,,11890.003244448144
2020-04-22,29184.68971929448,4471.124696796759,1991.517282484633,2840.044565772689,,,,,,,,,,,12136.384181774543
2020-04-23,30512.919509993815,4517.0774861303225,1971.7933296758856,2901.683550894381,,,,,,,,,,,12399.786528704972
2020-04-24,31487.47530555337,4592.898177558804,1963.0950513792056,2967.232098838573,,,,,,,,,,,12679.89564037018
2020-04-25,32844.31456727837,4613.585273347156,1947.9323505061082,3036.2962247789806,,,,,,,,,,,12975.027898396278
2020-04-26,,4726.344832349488,1946.1164281761114,3109.1425526278717,2682.035688286881,,,,,,,,,,13286.322668788414
2020-04-27,,4721.087980917017,1933.663203828282,3185.742147091616,2721.189755231083,,,,,,,,,,13480.284877974485
2020-04-28,,4815.135410467912,1927.6417632722214,3265.659485534401,2762.2051722302244,,,,,,,,,,13683.467880730717
