,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,1562.5970855938733,,,,,,,,,,,,,,1562.5970855938733
2020-03-30,1783.6274199102413,,,,,,,,,,,,,,1783.6274199102413
2020-03-31,1969.8040823138879,,,,,,,,,,,,,,1969.8040823138879
2020-04-01,2058.161825203485,,,,,,,,,,,,,,2058.161825203485
2020-04-02,1967.09892706045,,,,,,,,,,,,,,1967.09892706045
2020-04-03,1916.6512167366254,,,,,,,,,,,,,,1916.6512167366254
2020-04-04,1897.870766200268,,,,,,,,,,,,,,1897.870766200268
2020-04-05,1877.6280735715536,1458.3708942458436,,,,,,,,,,,,,1877.6280735715536
2020-04-06,1878.4064322613958,1477.0551942836935,,,,,,,,,,,,,1901.6837965872292
2020-04-07,1886.9421881083576,1499.564439086122,,,,,,,,,,,,,1930.6640718537553
2020-04-08,1885.0819143802548,1524.0768469785528,,,,,,,,,,,,,1962.2233860112594
2020-04-09,1887.6339888688326,1550.4345750549826,,,,,,,,,,,,,1996.1585189648433
2020-04-10,1897.285259280834,1579.4411592613571,,,,,,,,,,,,,2033.5040097718786
2020-04-11,1920.593402881774,1609.4678122774985,,,,,,,,,,,,,2072.1628220678094
2020-04-12,1908.7070128135867,1642.5168381175906,885.5761142171295,,,,,,,,,,,,2114.712888697902
2020-04-13,1938.4036875175595,1676.7699769567587,912.853930554378,,,,,,,,,,,,2179.850993551722
2020-04-14,1931.59608237587,1712.9933230766912,942.0730260612738,,,,,,,,,,,,2249.6247790824564
2020-04-15,1945.8749144391734,1749.6427538713253,972.986885887193,,,,,,,,,,,,2323.445579760966
2020-04-16,1960.181543865201,1788.8189466938675,1005.926730168212,,,,,,,,,,,,2402.1043332373424
2020-04-17,1978.2963017109528,1829.999911459148,1040.573904219546,,,,,,,,,,,,2484.840107550866
2020-04-18,2006.3901325309894,1873.377281824696,1077.0205863681927,,,,,,,,,,,,2571.8730200839173
2020-04-19,1998.494753872584,1917.5807102728518,1115.5990435541576,675.9370113243019,,,,,,,,,,,2663.9965082036947
2020-04-20,2016.7597285023526,1963.2413375757867,1156.1696143457175,697.8312847139807,,,,,,,,,,,2750.286009862271
2020-04-21,2042.5743682068733,2010.011422896632,1198.8975910821976,721.1720826499844,,,,,,,,,,,2842.2765402792675
2020-04-22,2063.6918685981,2058.095534188782,1243.514397448615,745.6187427018535,,,,,,,,,,,2938.625483929841
2020-04-23,2076.2495342783714,2108.221311947404,1290.3418656073995,771.6241857129093,,,,,,,,,,,3041.1178881259234
2020-04-24,2095.2002681886775,2159.7071215895567,1339.4954838306696,799.2161462181675,,,,,,,,,,,3149.863059952646
2020-04-25,2114.1241295875607,2212.3986124837547,1390.539644935282,828.0240896066261,,,,,,,,,,,3263.400651931853
2020-04-26,,2265.977900904068,1444.4041457821006,858.6192536706548,412.09799458526174,,,,,,,,,,3383.982021007657
2020-04-27,,2320.903209675916,1499.8606747842512,890.5776258551457,420.49640408046463,,,,,,,,,,3452.946362281457
2020-04-28,,2375.495770442499,1557.817038991128,924.3547038702063,429.6058347263036,,,,,,,,,,3527.7493216070875
2020-04-29,,2431.15767553727,1618.093429868792,959.8753678438976,439.19732817090096,,,,,,,,,,3606.510785621965
2020-04-30,,2488.4325051462947,1680.2002186416253,996.7984737278116,449.3925019829844,,,,,,,,,,3690.229428601191
2020-05-01,,2545.7805515993123,1744.7857733208082,1035.6477036036417,460.12882355626687,,,,,,,,,,3778.3917580789375
2020-05-02,,2602.6291084996305,1811.5393536758493,1076.4961601011914,471.6981518797583,,,,,,,,,,3873.3944020040335
2020-05-03,,,1880.351502566491,1119.0392389668598,483.8971422189705,1268.8418329683545,,,,,,,,,3973.567575678139
2020-05-04,,,1951.0231858328955,1163.184270752398,496.4286407215032,1332.0152237034656,,,,,,,,,4171.404477448183
2020-05-05,,,2023.6593184535006,1209.2892427670672,509.83645642099884,1398.5591635286623,,,,,,,,,4379.796756751189
2020-05-06,,,2097.8367188858074,1257.176670685328,523.8767091546158,1468.6583432908212,,,,,,,,,4599.322800539418
2020-05-07,,,2173.7878629372103,1306.9259689876974,538.6042137252896,1541.7902727979626,,,,,,,,,4828.346352794574
2020-05-08,,,2251.277406983665,1358.5781080350596,553.9849950089659,1618.870927634493,,,,,,,,,5069.735927769372
2020-05-09,,,2330.433924714421,1412.043479919939,570.0709838939138,1699.307193317186,,,,,,,,,5321.634098936741
2020-05-10,,,,1466.9790561318437,586.8374082680197,1783.5168159488394,698.4756217924516,,,,,,,,5585.349100566559
2020-05-11,,,,1523.871995662172,604.370383945522,1871.2715495290308,720.1232209202639,,,,,,,,5758.453779592678
2020-05-12,,,,1582.3242145583883,622.5570939979424,1963.0085999011105,742.4561797838278,,,,,,,,5937.038926747122
2020-05-13,,,,1642.5590467235309,641.6004672093064,2058.300552161652,766.047643427009,,,,,,,,6125.687687175363
2020-05-14,,,,1704.1246812980542,661.2711184953001,2157.687771385304,790.5636403078416,,,,,,,,6321.729462801627
2020-05-15,,,,1767.1246132651943,681.6784408359769,2260.651122840325,816.0249777925985,,,,,,,,6525.330639396399
2020-05-16,,,,1831.3713326301886,702.8360467086743,2367.391616019429,842.7153492428996,,,,,,,,6738.759766373179
2020-05-17,,,,,724.6800863161966,2478.0072065617514,870.3472559226723,339.7409578115905,,,,,,,6959.717864702726
2020-05-18,,,,,747.1211120077243,2591.54875884067,899.0105797836212,343.3180576545695,,,,,,,7032.996064191445
2020-05-19,,,,,770.443046501519,2709.4289428919,928.8327148122568,346.8815975070255,,,,,,,7105.996482311395
2020-05-20,,,,,794.3368660707864,2830.1395604027434,959.7499721125323,350.91469473370285,,,,,,,7188.6159550985285
2020-05-21,,,,,818.813219289472,2953.858073148549,991.5794459026714,355.0138008505796,,,,,,,7272.587644160407
2020-05-22,,,,,844.1953851046228,3081.267901458385,1024.8915239457049,359.2442776968368,,,,,,,7359.250510694842
2020-05-23,,,,,869.9648838273943,3210.952605570481,1058.950782259656,363.7691540476315,,,,,,,7451.9442588288575
2020-05-24,,,,,,3343.2226424399305,1094.297503651329,368.4584902738002,302.4271162211174,,,,,,7548.007027701616
2020-05-25,,,,,,3477.6428832836395,1130.4164339515785,373.24535971049454,302.8256143566606,,,,,,7557.95278509662
2020-05-26,,,,,,3614.046269034128,1167.8149780739145,378.4849826732605,303.5453733165593,,,,,,7575.916603141277
2020-05-27,,,,,,3751.897529569279,1205.9874520507562,383.6464098789348,303.93573711233626,,,,,,7585.659342848951
2020-05-28,,,,,,3890.927180540257,1245.1811923177188,389.22565269396017,304.74098052741266,,,,,,7605.7566907056935
2020-05-29,,,,,,4031.180916186765,1285.25863864394,394.8354270789317,305.35199258328674,,,,,,7621.006392350753
2020-05-30,,,,,,4171.622243534126,1326.3048621118505,400.69843502099786,306.08176520209287,,,,,,7639.220132322885
2020-05-31,,,,,,,1368.214329545659,406.83959265354764,307.04593170666266,315.34995221174006,,,,,7663.283898969545
2020-06-01,,,,,,,1410.4307973097941,413.0059488098481,307.82297060176137,314.99321293966017,,,,,7654.614817840196
2020-06-02,,,,,,,1453.480095446988,419.46882077963767,308.85968425772234,314.87030878101643,,,,,7651.628137634776
2020-06-03,,,,,,,1497.3723636719376,426.3264595328704,310.1487475935808,314.9416034509518,,,,,7653.360661430534
2020-06-04,,,,,,,1541.321941059109,432.9835224377371,311.02542910439604,314.59717486341134,,,,,7644.990740868531
2020-06-05,,,,,,,1586.0104819699256,440.0396475244124,312.17425098442953,314.51447470614494,,,,,7642.98105360149
2020-06-06,,,,,,,1631.0764827218188,447.4352299995408,313.5967087716268,314.5809761343238,,,,,7644.5970973657195
2020-06-07,,,,,,,,454.84162001506036,314.87880543679887,314.6340234358392,405.017521062079,,,,7645.886193903504
2020-06-08,,,,,,,,462.29436037243414,316.03401572082487,314.24186367255766,405.554694862788,,,,7656.026915064893
2020-06-09,,,,,,,,470.2467225986288,317.6265014788418,314.53804487374214,407.0456501299842,,,,7684.173041344294
2020-06-10,,,,,,,,478.11096070049865,318.96772596294204,314.36094142682964,407.74382120764017,,,,7697.353055358587
2020-06-11,,,,,,,,486.2953797063717,320.5024939333783,314.48730688906494,409.0508162791957,,,,7722.026396765896
2020-06-12,,,,,,,,494.69302554247867,322.2272043344556,314.7078688952272,410.2316397822988,,,,7744.317882072846
2020-06-13,,,,,,,,503.0766188681732,323.7411941642394,314.7025014161603,411.1928681769034,,,,7762.463869664254
2020-06-14,,,,,,,,,325.5286658309326,314.90791780536944,412.43719712087403,510.0832084915117,,,7785.95420526364
2020-06-15,,,,,,,,,327.14402278258217,314.8957961019065,413.2288135795108,512.1124492149537,,,7816.9287111504345
2020-06-16,,,,,,,,,328.97233585163525,315.094445643306,414.46631367577993,514.5110009768043,,,7853.540412664687
2020-06-17,,,,,,,,,330.6926060164592,315.1929636185838,415.5376369428611,517.0310081506068,,,7892.0060200901635
2020-06-18,,,,,,,,,332.80793905469545,315.62440139484613,416.8313322337882,519.5427741868043,,,7930.345834078563
2020-06-19,,,,,,,,,334.73197481303464,315.9950176203836,418.3764157179937,522.516156334538,,,7975.7317963129735
2020-06-20,,,,,,,,,336.82275784241375,316.28246874242996,419.2739328698982,524.2144075746608,,,8001.654050103157
2020-06-21,,,,,,,,,,316.6006043761464,420.55048933755967,526.85551881863,1572.5495355719727,,8041.968200528467
2020-06-22,,,,,,,,,,316.84338041094236,421.5885339784816,529.151878035838,1608.3229326098467,,8224.912212717452
2020-06-23,,,,,,,,,,317.1188715438377,422.87111237673037,531.7170536548526,1645.606743643253,,8415.580433935747
2020-06-24,,,,,,,,,,317.66967923596707,424.27976042428384,534.264294163899,1682.8069812971546,,8605.821263555124
2020-06-25,,,,,,,,,,318.1594105352673,425.5646371014199,536.7065920019654,1720.734532582954,,8799.781551905196
2020-06-26,,,,,,,,,,318.43541939954207,426.68394587981714,539.136529111197,1758.8243643217804,,8994.571737319424
2020-06-27,,,,,,,,,,319.1096831888938,428.2992497274006,542.0236892775258,1797.4646990356582,,9192.177177401003
2020-06-28,,,,,,,,,,,429.69078448032684,544.4795680529623,1837.7631673581009,1440.380497691727,9398.262259904437
2020-06-29,,,,,,,,,,,430.8009100514714,546.4900631316585,1876.8334944525088,1464.7044578434572,9556.972376482503
2020-06-30,,,,,,,,,,,432.1811071257828,549.442184000346,1917.2114024798998,1490.0994901100164,9722.671074654505
2020-07-01,,,,,,,,,,,433.3916061467805,551.496365992756,1957.5805341143407,1515.1272939392913,9885.973663487048
2020-07-02,,,,,,,,,,,435.2512261174945,554.6901108372275,1998.690508659424,1540.5299516577322,10051.722116565305
