,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,8568.27014687564,,,,,,,,,,,,,,8568.27014687564
2020-03-30,8739.486644406452,,,,,,,,,,,,,,8739.486644406452
2020-03-31,8942.547404143908,,,,,,,,,,,,,,8942.547404143908
2020-04-01,9137.216734087542,,,,,,,,,,,,,,9137.216734087542
2020-04-02,9360.717269884284,,,,,,,,,,,,,,9360.717269884284
2020-04-03,9566.076976294687,,,,,,,,,,,,,,9566.076976294687
2020-04-04,9839.60110231792,,,,,,,,,,,,,,9839.60110231792
2020-04-05,10129.636719696726,8176.207810194682,,,,,,,,,,,,,10129.636719696726
2020-04-06,10442.747169090107,8352.842460372873,,,,,,,,,,,,,10348.472258121377
2020-04-07,10761.559380795608,8369.361793374219,,,,,,,,,,,,,10368.93832821645
2020-04-08,11081.005902387844,8439.715706394662,,,,,,,,,,,,,10456.100934310884
2020-04-09,11430.469426778538,8619.715828012471,,,,,,,,,,,,,10679.1060099911
2020-04-10,11809.102514970013,8670.347495564887,,,,,,,,,,,,,10741.834405688054
2020-04-11,12219.777385129817,8785.642564032974,,,,,,,,,,,,,10884.675339561833
2020-04-12,12650.74210093214,8836.768600437299,29442.776289611807,,,,,,,,,,,,10948.016216862929
2020-04-13,13074.475284534436,8911.144327508195,31059.636124562534,,,,,,,,,,,,11549.230162155187
2020-04-14,13510.412064010772,9008.89642889414,32749.45305728953,,,,,,,,,,,,12177.572510072698
2020-04-15,14114.462371316711,9196.465687116724,34527.27056520407,,,,,,,,,,,,12838.637034552969
2020-04-16,14536.136215199329,9300.160374167037,36395.30023998033,,,,,,,,,,,,13533.246094916865
2020-04-17,15092.796166278318,9337.238018986689,38345.19702710144,,,,,,,,,,,,14258.296662045035
2020-04-18,15635.854744457636,9564.389502561064,40378.47815887176,,,,,,,,,,,,15014.352904333467
2020-04-19,16239.970660519619,9660.315923796768,42516.343329137264,62359.42842447879,,,,,,,,,,,15809.297726224844
2020-04-20,16895.391910003324,9821.852216733652,44732.792789907326,66298.35519770609,,,,,,,,,,,16807.890363345683
2020-04-21,17572.331373013294,9855.860365990558,47070.45336066458,70442.81573525247,,,,,,,,,,,17858.589707583753
2020-04-22,18223.253285149018,10047.144286039224,49499.906826071056,74791.57748526438,,,,,,,,,,,18961.083283669337
2020-04-23,18910.879326962448,10218.079567064346,52030.141742832675,79313.20971324813,,,,,,,,,,,20107.40280433749
2020-04-24,19669.714733355428,10423.631101553994,54665.3219079561,84110.14847038766,,,,,,,,,,,21323.517751220435
2020-04-25,20456.824879569627,10598.774256066245,57415.46921332256,89120.12372609659,,,,,,,,,,,22593.641490639297
2020-04-26,,10726.451589216342,60258.996674604496,94303.48276166484,31245.247461710238,,,,,,,,,,23907.721306403757
2020-04-27,,10816.064709370135,63226.99164586608,99768.51345291431,32227.22004263689,,,,,,,,,,24659.09083305238
2020-04-28,,10984.440437498859,66296.09529263964,105448.05165340127,33229.60000823322,,,,,,,,,,25426.07534453584
2020-04-29,,11220.232660638985,69459.80391046678,111332.82151587158,34259.81305172619,,,,,,,,,,26214.356709893407
2020-04-30,,11384.961681604387,72754.80467991103,117450.14820853215,35317.14629490031,,,,,,,,,,27023.389460771137
2020-05-01,,11574.460254022995,76170.09780180494,123785.54060593473,36397.18315992556,,,,,,,,,,27849.794193244725
2020-05-02,,11836.139226065081,79666.68819916666,130347.02990057426,37503.45799974158,,,,,,,,,,28696.275264998738
2020-05-03,,,83286.29543053676,137102.11407260635,38631.57019282643,20979.781779487934,,,,,,,,,29559.46548129259
2020-05-04,,,87010.54270205923,144117.67970966687,39789.283131099386,21320.78309214312,,,,,,,,,30039.91931234061
2020-05-05,,,90821.04057249504,151238.4861353045,40967.7451105122,21663.25127363301,,,,,,,,,30522.439888369143
2020-05-06,,,94749.77268444236,158610.59739599974,42175.1597732219,22007.015667986405,,,,,,,,,31006.786763631764
2020-05-07,,,98772.96659053852,166092.63247280382,43400.8564310523,22358.084361235542,,,,,,,,,31501.425031500043
