,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,10050.242067210103,,,,,,,,,,,,,,10050.242067210103
2020-03-30,10227.90892960108,,,,,,,,,,,,,,10227.90892960108
2020-03-31,10463.799885576407,,,,,,,,,,,,,,10463.799885576407
2020-04-01,10714.723629617005,,,,,,,,,,,,,,10714.723629617005
2020-04-02,10990.112931203754,,,,,,,,,,,,,,10990.112931203754
2020-04-03,11258.864331281718,,,,,,,,,,,,,,11258.864331281718
2020-04-04,11506.668182566289,,,,,,,,,,,,,,11506.668182566289
2020-04-05,11833.678315868803,3116.7379798334186,,,,,,,,,,,,,11833.678315868803
2020-04-06,12153.264245078999,2935.404742392519,,,,,,,,,,,,,11145.189513237612
2020-04-07,12523.595625997299,2815.026646974831,,,,,,,,,,,,,10688.136123871203
2020-04-08,12806.274625428565,2698.85342946383,,,,,,,,,,,,,10247.047879097378
2020-04-09,13086.813571203178,2597.930819275036,,,,,,,,,,,,,9863.863372892642
2020-04-10,13436.750965641673,2413.5283282555333,,,,,,,,,,,,,9163.721181444675
2020-04-11,13743.621483374267,2312.3562249797565,,,,,,,,,,,,,8779.58939608061
2020-04-12,14102.589256787098,2224.1690722494527,5448.4432810503795,,,,,,,,,,,,8444.759069067179
2020-04-13,14405.813560791676,2118.870530073218,5448.768050799546,,,,,,,,,,,,8445.262442626039
2020-04-14,14774.722638815663,2094.3372608926265,5455.74262708556,,,,,,,,,,,,8456.072615973915
2020-04-15,15065.884622535803,1983.3464835020181,5459.236219304664,,,,,,,,,,,,8461.487473586272
2020-04-16,15357.703145085208,1896.2285753607284,5465.9984664568765,,,,,,,,,,,,8471.96854955976
2020-04-17,15638.874492845136,1837.1338312425128,5469.251582313209,,,,,,,,,,,,8477.010683287395
2020-04-18,15969.056461854994,1812.9618856395873,5478.750987001561,,,,,,,,,,,,8491.734188654827
2020-04-19,16207.751146237844,1747.8641023323403,5491.644671291944,1545.0001285609023,,,,,,,,,,,8511.718623057146
2020-04-20,16509.931897964976,1692.882802575788,5500.226780798278,1467.5880672571427,,,,,,,,,,,8085.239898772381
2020-04-21,16792.72556698758,1615.7539174689032,5507.6839617445885,1394.2732036068448,,,,,,,,,,,7681.333466181726
2020-04-22,16990.444845895305,1599.0181761577212,5526.4345853170325,1329.9768212036772,,,,,,,,,,,7327.111673329187
2020-04-23,17229.012542351535,1536.5720004428065,5536.006768847408,1258.2060750654675,,,,,,,,,,,6931.712096848683
2020-04-24,17374.177889937768,1483.1596468417574,5542.104649428272,1205.155985145156,,,,,,,,,,,6639.448407039046
2020-04-25,17548.16608221962,1453.9949381393765,5563.087016852845,1146.7153633338453,,,,,,,,,,,6317.48718527675
2020-04-26,,1389.9027659493802,5572.823915471554,1088.0449991001583,15919.425391504956,,,,,,,,,,5994.260265978967
2020-04-27,,1382.6236914078274,5592.462658059363,1038.6845692512136,16415.151701317078,,,,,,,,,,6180.919799764204
2020-04-28,,1330.9386597901864,5598.758919228602,993.794670923108,16908.073616681635,,,,,,,,,,6366.5233739407395
2020-04-29,,1265.6452883720194,5613.459587781089,944.0704435068042,17399.20908538609,,,,,,,,,,6551.454283999784
2020-04-30,,1254.3097997363784,5629.553198908604,899.6117658391272,17878.69440499035,,,,,,,,,,6731.998476314526
2020-05-01,,1220.088383280077,5633.014072423345,859.5028050185872,18350.711976786828,,,,,,,,,,6909.7307817137735
2020-05-02,,1187.1068441356324,5649.005729761187,819.7052489030575,18813.94246143745,,,,,,,,,,7084.15441949238
2020-05-03,,,5661.178828096565,785.5774586517138,19261.66532302272,7414.852188934106,,,,,,,,,7252.738856013758
