,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,892.8209466593387,,,,,,,,,,,,,,892.8209466593387
2020-03-30,924.5380251837123,,,,,,,,,,,,,,924.5380251837123
2020-03-31,943.9401281958244,,,,,,,,,,,,,,943.9401281958244
2020-04-01,968.8388879792208,,,,,,,,,,,,,,968.8388879792208
2020-04-02,973.7362591548214,,,,,,,,,,,,,,973.7362591548214
2020-04-03,988.1757367664778,,,,,,,,,,,,,,988.1757367664778
2020-04-04,998.0613711962033,,,,,,,,,,,,,,998.0613711962033
2020-04-05,1009.1974550505133,654.322217409424,,,,,,,,,,,,,1009.1974550505133
2020-04-06,1025.5185144278523,667.297509625242,,,,,,,,,,,,,1029.2099680514996
2020-04-07,1048.431853350199,680.9978296246264,,,,,,,,,,,,,1050.340731624678
2020-04-08,1057.3126243148354,696.1634135289792,,,,,,,,,,,,,1073.7314530053814
2020-04-09,1074.9393002260215,712.0700659836227,,,,,,,,,,,,,1098.2651655226725
2020-04-10,1091.191341838115,728.8759160238593,,,,,,,,,,,,,1124.185760360055
2020-04-11,1108.9836429935688,746.2937793880224,,,,,,,,,,,,,1151.0502972989434
2020-04-12,1121.1600368068277,764.6762211313305,1226.256479245021,,,,,,,,,,,,1179.4025569828796
2020-04-13,1138.4232806804873,784.1532510373703,1272.4771346076798,,,,,,,,,,,,1223.857171529509
2020-04-14,1151.42872217459,804.2956561505121,1319.7376089837153,,,,,,,,,,,,1269.311874739426
2020-04-15,1179.0275437823552,824.712739960137,1368.7790877304305,,,,,,,,,,,,1316.4795320860426
2020-04-16,1185.0857252345925,846.3316850710063,1419.5634102755566,,,,,,,,,,,,1365.323441070924
2020-04-17,1196.7993568094073,868.4965240486353,1471.7649979787757,,,,,,,,,,,,1415.5304630584023
2020-04-18,1220.6570977125764,891.6152512672058,1525.0664413659645,,,,,,,,,,,,1466.7953164440762
2020-04-19,1235.47625667154,914.7296672609912,1578.905987679594,2889.375481471639,,,,,,,,,,,1518.577712430426
2020-04-20,1244.1781717437175,938.5343319530807,1634.3620663064464,3028.661958766119,,,,,,,,,,,1591.782922836175
2020-04-21,1261.7123213689474,962.9344945803947,1689.9308840686795,3167.7549660735936,,,,,,,,,,,1664.8864506422847
2020-04-22,1274.8471090082667,987.9753963669373,1746.6322793467318,3311.3497385477503,,,,,,,,,,,1740.3559846295077
2020-04-23,1290.2533053953864,1013.0771013390978,1803.6258963939802,3452.887221203245,,,,,,,,,,,1814.7442626544425
2020-04-24,1302.5674067500247,1038.6148565327132,1860.6785796585584,3596.013551154797,,,,,,,,,,,1889.9675959041897
2020-04-25,1315.3649469626396,1063.9213363158447,1917.9273424450084,3740.6192622400763,,,,,,,,,,,1965.9684519204568
2020-04-26,,1089.4985469606147,1974.8062090458234,3881.0622557036536,2211.251371436564,,,,,,,,,,2039.7814959877423
2020-04-27,,1115.4998966936903,2030.8015015593705,4019.4856048932643,2264.173353340603,,,,,,,,,,2088.599681388675
2020-04-28,,1140.765235418635,2085.966968718495,4157.349767634713,2314.675783111173,,,,,,,,,,2135.185937062314
