,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,15210.214233718474,,,,,,,,,,,,,,15210.214233718474
2020-03-30,17574.019355949542,,,,,,,,,,,,,,17574.019355949542
2020-03-31,20234.388646333595,,,,,,,,,,,,,,20234.388646333595
2020-04-01,23376.354162029238,,,,,,,,,,,,,,23376.354162029238
2020-04-02,26862.07289421466,,,,,,,,,,,,,,26862.07289421466
2020-04-03,28179.2061400084,,,,,,,,,,,,,,28179.2061400084
2020-04-04,27446.04006706665,,,,,,,,,,,,,,27446.04006706665
2020-04-05,27267.041079790517,35469.10094769515,,,,,,,,,,,,,27267.041079790517
2020-04-06,27558.026460168792,36115.555185947735,,,,,,,,,,,,,27764.005868851043
2020-04-07,27780.028467058815,36895.133876225176,,,,,,,,,,,,,28363.310717430963
2020-04-08,28303.748499563637,37821.231993541754,,,,,,,,,,,,,29075.253076669946
2020-04-09,28759.601786018862,38882.461395538296,,,,,,,,,,,,,29891.078257635003
2020-04-10,29232.3592986423,39936.00084145773,,,,,,,,,,,,,30700.99174806791
2020-04-11,29891.840283922145,41083.29621878305,,,,,,,,,,,,,31582.980559408676
2020-04-12,30441.52695124852,42290.23775798096,15289.857598513354,,,,,,,,,,,,32510.822643106985
2020-04-13,31154.513310677714,43599.43062400292,15439.162529049077,,,,,,,,,,,,32828.28970158765
2020-04-14,31698.106792591265,44826.70485251207,15604.665246246885,,,,,,,,,,,,33180.198112186146
2020-04-15,32441.240500485255,46230.50404168179,15787.45522103651,,,,,,,,,,,,33568.8644168286
2020-04-16,33138.07378762997,47613.813310906924,15984.94267997348,,,,,,,,,,,,33988.781980505715
2020-04-17,33802.46615748654,48954.046640772685,16200.283102573258,,,,,,,,,,,,34446.66029898749
2020-04-18,34566.38627320723,50353.731635059325,16428.665343589466,,,,,,,,,,,,34932.269434630136
2020-04-19,35274.806158831765,52045.151894621034,16674.278389972616,3022.078921050077,,,,,,,,,,,35454.51642995678
2020-04-20,36063.13128384252,53577.44678336933,16931.76406231679,2968.720602607785,,,,,,,,,,,34828.52570393372
2020-04-21,36783.22017818866,55072.76084422566,17203.281493562536,2912.668038659057,,,,,,,,,,,34170.92654739983
2020-04-22,37634.725368816136,56674.73260883161,17489.392979229848,2878.4678284971124,,,,,,,,,,,33769.69549262866
2020-04-23,38252.76672758369,58277.8875473385,17786.53986014093,2844.1075780513056,,,,,,,,,,,33366.586872439155
2020-04-24,39104.83394933178,59842.583053420116,18096.03946314704,2824.2688784442216,,,,,,,,,,,33133.8426193791
2020-04-25,39760.87253944674,61517.73143637984,18415.74799724005,2807.8895509775957,,,,,,,,,,,32941.6831325
2020-04-26,,63016.985008499716,18746.580934751608,2802.874061809265,3282.178105719463,,,,,,,,,,32882.84226574293
2020-04-27,,64658.98351258777,19087.32897495176,2802.952041132305,3291.3399486269623,,,,,,,,,,32974.6311405349
2020-04-28,,66237.39687785899,19436.601528328967,2802.012624943491,3308.940751072484,,,,,,,,,,33150.9666079972
2020-04-29,,67765.47816578794,19794.510927846422,2814.5204937686817,3330.7318317207264,,,,,,,,,,33369.282812869686
2020-04-30,,69319.57398123549,20157.894555883424,2835.7262845299733,3367.81880026745,,,,,,,,,,33740.84245940787
2020-05-01,,70688.00558961995,20525.704614171093,2854.1330291813697,3398.4458494387873,,,,,,,,,,34047.68273270421
2020-05-02,,72140.69617976727,20902.026533591048,2881.757994122395,3439.8322161602605,,,,,,,,,,34462.31634642643
2020-05-03,,,21278.10936315004,2906.5240321455626,3478.649646979057,7640.644455337303,,,,,,,,,34851.212808977194
2020-05-04,,,21658.70266162161,2938.092020094424,3521.5548259994066,7874.855640946974,,,,,,,,,35919.51848916411
2020-05-05,,,22039.05433464664,2977.825088146139,3590.1142583066576,8105.881329443549,,,,,,,,,36973.29418586078
2020-05-06,,,22418.09631094684,3016.8243645754415,3628.2872288416784,8341.242676993235,,,,,,,,,38046.84609086166
2020-05-07,,,22798.32569840482,3060.347070334509,3688.3962021292627,8618.9545201451,,,,,,,,,39313.57098584065
2020-05-08,,,23175.105550894063,3113.025651195839,3753.2410876598246,8933.61021362206,,,,,,,,,40748.80758126442
2020-05-09,,,23545.55497717776,3161.0397739171003,3822.0710167988145,9170.283113355319,,,,,,,,,41828.34185915635
2020-05-10,,,,3223.097589246933,3898.632103672589,9517.126378272535,5481.208771099177,,,,,,,,43410.39537671617
2020-05-11,,,,3273.2644034381374,3964.935118886997,9786.446702196505,5471.750070213342,,,,,,,,43335.48380841956
2020-05-12,,,,3334.798575258315,4037.1806093001505,10076.187080168409,5462.788999186654,,,,,,,,43264.51339796585
2020-05-13,,,,3415.7455270768046,4137.806441293405,10433.854478899648,5460.890857677652,,,,,,,,43249.4803866671
2020-05-14,,,,3475.332804338659,4207.228591082429,10734.401977464362,5459.386068713266,,,,,,,,43237.56267168296
2020-05-15,,,,3543.217775373082,4294.7247871192885,11004.34963160234,5462.30322222553,,,,,,,,43260.66611339269
2020-05-16,,,,3622.9002540268334,4386.551300647176,11432.683187078685,5470.641078113195,,,,,,,,43326.70074841446
2020-05-17,,,,,4489.7309138053215,11744.571842972251,5479.298515972323,2570.203179805983,,,,,,,43395.26642728363
2020-05-18,,,,,4578.1661032438,12175.66961908132,5491.46642953501,2509.473437702556,,,,,,,42369.90650268912
2020-05-19,,,,,4671.875735992047,12548.587006901947,5504.5782321487195,2449.805616547995,,,,,,,41362.47603319093
2020-05-20,,,,,4789.650963842264,12931.218503414226,5523.636327406156,2391.967860827465,,,,,,,40385.94435710841
2020-05-21,,,,,4889.615138279525,13300.10960231444,5546.860903477661,2336.390007148001,,,,,,,39447.568828346135
2020-05-22,,,,,4988.139904741642,13775.536621989851,5568.798036477066,2280.9219656391188,,,,,,,38511.047366389466
2020-05-23,,,,,5109.095331863258,14220.039642846685,5597.901341140539,2229.4661106891626,,,,,,,37642.26759351347
2020-05-24,,,,,,14712.131087058156,5629.6693186154835,2178.233862592495,2556.177143085993,,,,,,36777.26319491514
2020-05-25,,,,,,15138.311919486829,5664.520794885461,2128.9044923843358,2502.652804928372,,,,,,36007.17624022937
2020-05-26,,,,,,15598.459161419973,5702.329204080246,2080.612541974159,2449.8673729059838,,,,,,35247.720374036544
2020-05-27,,,,,,16096.812754299648,5744.763225999145,2034.9055890082655,2400.191297549461,,,,,,34533.000698673335
2020-05-28,,,,,,16620.256771835546,5788.301922148123,1989.3973992216888,2350.534159478231,,,,,,33818.553485462166
2020-05-29,,,,,,17140.290361075586,5838.07781243047,1945.539711770972,2302.0686389657003,,,,,,33121.25079320195
2020-05-30,,,,,,17802.447130986784,5889.906273145687,1903.295479100681,2255.277650800545,,,,,,32448.04060839349
2020-05-31,,,,,,,5942.936378353119,1861.7294649693838,2208.5746939625747,2060.824743167296,,,,,31776.096983415613
2020-06-01,,,,,,,6009.102676827389,1822.7990003339828,2165.560332968987,2015.235180556497,,,,,31073.146202299795
2020-06-02,,,,,,,6072.702642367635,1785.5259095280387,2123.6159306440095,1970.3668264766254,,,,,30381.315819606993
2020-06-03,,,,,,,6145.272333198518,1748.6757618446952,2081.7942870325573,1926.64697333346,,,,,29707.19430675929
2020-06-04,,,,,,,6216.518120144632,1713.5009580283097,2041.980907070306,1884.2741972133606,,,,,29053.84353158397
2020-06-05,,,,,,,6293.189201028322,1678.87955640518,2002.6139573992664,1842.041702942541,,,,,28402.655778597946
2020-06-06,,,,,,,6373.184521669845,1644.2255201450198,1962.6712359728049,1799.8159962532557,,,,,27751.572684122955
2020-06-07,,,,,,,,1612.7363906515307,1926.973836871577,1762.3557582163767,2284.4898338284656,,,,27173.968906398386
2020-06-08,,,,,,,,1580.8026100103823,1889.5775771136566,1722.0099973351728,2242.4496594424104,,,,26673.901725240594
2020-06-09,,,,,,,,1550.314144679538,1854.4665092840344,1684.5900447289432,2202.828333438815,,,,26202.60670570985
2020-06-10,,,,,,,,1521.0426725681425,1819.842715166785,1647.8102079154653,2163.2636041518404,,,,25731.984903190136
2020-06-11,,,,,,,,1492.1194916932873,1785.7501138908106,1611.0324583751776,2124.0026953684123,,,,25264.97704055067
2020-06-12,,,,,,,,1464.7006829329587,1753.6531557887454,1577.418257742184,2087.3102103599895,,,,24828.52053636636
2020-06-13,,,,,,,,1437.249644834842,1720.9304218782709,1541.8541098026026,2049.233155427469,,,,24375.594595763887
2020-06-14,,,,,,,,,1690.3797012214536,1508.8095796023715,2013.683779639297,2524.2329754470124,,,23952.735356906716
2020-06-15,,,,,,,,,1659.5341941472445,1476.0620617677355,1977.942492608408,2486.498337277932,,,23594.667060262047
2020-06-16,,,,,,,,,1630.2345718963031,1443.8277729023835,1942.5096144916654,2450.183981339788,,,23250.07598411986
2020-06-17,,,,,,,,,1600.82532940709,1412.365723482581,1908.9156527998348,2414.350085297248,,,22910.044046868956
2020-06-18,,,,,,,,,1573.7429459181747,1382.8198501889829,1876.2560115644683,2380.747359622036,,,22591.183940374012
2020-06-19,,,,,,,,,1546.2396873277717,1353.1981872831884,1842.9884324136015,2344.376954642747,,,22246.06100847104
2020-06-20,,,,,,,,,1519.5589438748925,1323.8923381997947,1810.6752075927527,2311.2726346482314,,,21931.930330474264
2020-06-21,,,,,,,,,,1295.0515155049284,1778.0406216327267,2276.107923452893,2588.7640780277084,,21598.248364761555
2020-06-22,,,,,,,,,,1268.6572060420194,1749.1592462521694,2245.646660617589,2557.3034349788963,,21335.769914890207
2020-06-23,,,,,,,,,,1241.1737886031767,1718.3289152553393,2213.121600041424,2524.4808797272613,,21061.92893173232
2020-06-24,,,,,,,,,,1214.2898523503025,1687.4557215266873,2179.725409617489,2490.15592366592,,20775.553308547995
2020-06-25,,,,,,,,,,1189.0605186605733,1659.2334056339819,2150.1556637030994,2460.536399172948,,20528.43544567471
2020-06-26,,,,,,,,,,1163.2446954720087,1629.871361684445,2117.99883659571,2427.0482763475893,,20249.041583487473
2020-06-27,,,,,,,,,,1138.4728638648264,1601.3575816492553,2087.2795201779377,2394.696687752491,,19979.129909649713
2020-06-28,,,,,,,,,,,1575.7047103572515,2059.097820854608,2366.272243946928,2759.3134628412736,19741.98269250721
2020-06-29,,,,,,,,,,,1548.1490312172193,2030.0025474993704,2335.98909415486,2728.431689646593,19521.03373540846
2020-06-30,,,,,,,,,,,1520.9608584509992,1999.0683549144903,2303.0888447979637,2697.0267896539317,19296.341977670785
2020-07-01,,,,,,,,,,,1496.3341106877924,1971.5629783122965,2274.5478852439637,2668.647588155196,19093.298100141077
2020-07-02,,,,,,,,,,,1470.374593670358,1943.952429390029,2246.2671786718697,2640.364381228193,18890.94103228314
2020-07-03,,,,,,,,,,,1446.2250190830762,1917.2376186100928,2218.5589659909733,2612.636366307682,18692.556181112715
2020-07-04,,,,,,,,,,,1420.9926853975467,1888.663565338208,2187.8435705589573,2581.9627818564595,18473.09674618152
2020-07-05,,,,,,,,,,,,1863.2746198165562,2161.0781639033594,2555.440468978405,18283.33829761995
2020-07-06,,,,,,,,,,,,1837.2446216446883,2133.812666064061,2528.120867151353,18087.875508161993
2020-07-07,,,,,,,,,,,,1810.9066468595609,2106.6616815688767,2502.5448748497133,17904.887672904322
2020-07-08,,,,,,,,,,,,1785.2354914926425,2079.1237535292044,2474.2914471682393,17702.743665779697
2020-07-09,,,,,,,,,,,,1761.4705650924393,2055.2692754438094,2451.4991927357023,17539.67256182943
2020-07-10,,,,,,,,,,,,1738.0210608012512,2030.92868122047,2427.700921752981,17369.40373946493
2020-07-11,,,,,,,,,,,,1713.008988085547,2003.1472247651568,2398.1826918737456,17158.210487506796
2020-07-12,,,,,,,,,,,,,1977.3098890014471,2372.9291563753964,16977.52972490157
2020-07-13,,,,,,,,,,,,,1952.493976566715,2348.7576446255525,16804.590487282014
2020-07-14,,,,,,,,,,,,,1927.9622872408625,2323.940518657048,16627.03209170796
2020-07-15,,,,,,,,,,,,,1903.8300451223486,2300.7611354607666,16461.19120844246
2020-07-16,,,,,,,,,,,,,1882.3261544843826,2278.7638511929613,16303.807855247782
2020-07-17,,,,,,,,,,,,,1857.624007566533,2253.549308271258,16123.40607173777
2020-07-18,,,,,,,,,,,,,1833.3655117473568,2228.9826829956014,15947.639926449618
2020-07-19,,,,,,,,,,,,,,2207.8412719738308,15796.380065579295
2020-07-20,,,,,,,,,,,,,,2186.259154402488,15641.9670939112
2020-07-21,,,,,,,,,,,,,,2163.0271147440285,15475.749470931649
2020-07-22,,,,,,,,,,,,,,2142.635316688519,15329.85284494033
2020-07-23,,,,,,,,,,,,,,2118.8495136995007,15159.673226980918
2020-07-24,,,,,,,,,,,,,,2098.0305453982164,15010.720338005196
2020-07-25,,,,,,,,,,,,,,2078.0442695983893,14867.725090730326
