,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,34238.54390164387,,,,,,,,,,,,,,34238.54390164387
2020-03-30,39992.10338220399,,,,,,,,,,,,,,39992.10338220399
2020-03-31,45881.01549310841,,,,,,,,,,,,,,45881.01549310841
2020-04-01,52606.614590584446,,,,,,,,,,,,,,52606.614590584446
2020-04-02,60241.1179694012,,,,,,,,,,,,,,60241.1179694012
2020-04-03,63132.29218798098,,,,,,,,,,,,,,63132.29218798098
2020-04-04,61249.667085746085,,,,,,,,,,,,,,61249.667085746085
2020-04-05,60331.462015091754,22755.98479334627,,,,,,,,,,,,,60331.46201509176
2020-04-06,60475.997324509524,22098.238454065166,,,,,,,,,,,,,58587.621937667085
2020-04-07,60695.354771522376,21578.04972128375,,,,,,,,,,,,,57208.47939308
2020-04-08,60348.62300751029,21493.780701957763,,,,,,,,,,,,,56985.06242454689
2020-04-09,60232.66381356688,21227.97465277196,,,,,,,,,,,,,56280.348139251546
2020-04-10,60053.829385853205,20616.551924931224,,,,,,,,,,,,,54659.3228390996
2020-04-11,59707.393910130224,20399.55554796097,,,,,,,,,,,,,54084.01446227113
2020-04-12,59716.9362443145,19970.46161278904,20035.510789254247,,,,,,,,,,,,52946.38562810611
2020-04-13,58931.9608005842,19702.28581309064,20155.210661601857,,,,,,,,,,,,53262.70776571544
2020-04-14,58679.75497339237,19276.071237468008,20281.746978469,,,,,,,,,,,,53597.09607751237
2020-04-15,57906.694553649024,19194.123940333182,20409.4596015016,,,,,,,,,,,,53934.59292796889
2020-04-16,57300.03569428517,18662.079950092168,20536.98468912942,,,,,,,,,,,,54271.59419226518
2020-04-17,56916.304332143205,18390.260014556447,20667.716442956586,,,,,,,,,,,,54617.06947985726
2020-04-18,55832.27753994632,18147.674892565625,20793.312468262375,,,,,,,,,,,,54948.97295160524
2020-04-19,54906.68229846503,17727.601961079294,20914.73234594765,13633.141413422412,,,,,,,,,,,55269.840422091205
2020-04-20,53980.31885569832,17475.209401267162,21029.15368149373,13882.016042165305,,,,,,,,,,,56278.79797623087
2020-04-21,53221.54195927555,17068.596251085102,21133.909652731698,14137.098816811796,,,,,,,,,,,57312.923848002094
2020-04-22,52370.72534982343,17010.101101014763,21232.90457594765,14399.467974877236,,,,,,,,,,,58376.58929811459
2020-04-23,50957.72720353957,16495.66001956842,21320.762662242374,14667.601980411171,,,,,,,,,,,59463.625898718325
2020-04-24,49964.2006441549,16202.860197400418,21394.927464848653,14939.894816277107,,,,,,,,,,,60567.52272851076
2020-04-25,48794.92833329759,15875.388480252122,21455.05614495713,15215.700699081963,,,,,,,,,,,61685.66173021511
2020-04-26,,15452.029557316453,21499.88227931835,15491.830972740468,9039.885449374922,,,,,,,,,,62805.1158382601
2020-04-27,,15110.909069969288,21530.87919506806,15768.81205254012,9128.317361651309,,,,,,,,,,63419.50155425403
2020-04-28,,15079.816439835471,21544.00550319447,16044.479232926637,9221.317887181363,,,,,,,,,,64065.62796942205
2020-04-29,,14559.341645303508,21541.471654397792,16317.402705401382,9318.38367673835,,,,,,,,,,64739.99803652065
2020-04-30,,14328.138728893218,21521.6169966651,16584.541538884336,9418.299012910291,,,,,,,,,,65434.16549001769
2020-05-01,,14016.523735743984,21483.382528971088,16846.556107546643,9522.149015953912,,,,,,,,,,66155.6692643171
2020-05-02,,13769.979544890466,21430.35619230921,17100.68686499469,9627.981855407585,,,,,,,,,,66890.94890680852
2020-05-03,,,21357.653200907647,17345.409641160615,9734.397605828271,6743.712282752543,,,,,,,,,67630.27835623742
2020-05-04,,,21270.761234584443,17579.693163037267,9841.841914730965,6752.0946789982845,,,,,,,,,67714.34240992513
2020-05-05,,,21169.957914800183,17801.640695366,9948.688772112491,6762.866261022949,,,,,,,,,67822.36675321277
2020-05-06,,,21052.96492467528,18011.216683530816,10055.615897852438,6776.78589481937,,,,,,,,,67961.96178170716
2020-05-07,,,20923.984780411,18205.85668158041,10160.168291734084,6791.815420076663,,,,,,,,,68112.68751467066
2020-05-08,,,20782.0079766632,18386.048912063226,10262.594046755405,6808.615620385002,,,,,,,,,68281.17071437648
2020-05-09,,,20627.93671254913,18549.7083475385,10362.231368216622,6827.120779052001,,,,,,,,,68466.75233162256
2020-05-10,,,,18697.450031396886,10458.71222674646,6847.097442824868,3157.26335131114,,,,,,,,68667.09114723948
2020-05-11,,,,18827.93564065391,10550.364788907284,6867.267866382759,3089.146209114737,,,,,,,,67185.6163725909
2020-05-12,,,,18941.32498172852,10637.629693921514,6888.577023709796,3025.0352269754326,,,,,,,,65791.2712818431
2020-05-13,,,,19038.001107524065,10718.969487058012,6909.736206047266,2962.4847224245204,,,,,,,,64430.86490474452
