,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,4283.147846419548,,,,,,,,,,,,,,4283.147846419548
2020-03-30,4308.910356565164,,,,,,,,,,,,,,4308.910356565164
2020-03-31,4254.645085326996,,,,,,,,,,,,,,4254.645085326996
2020-04-01,4157.9331848930815,,,,,,,,,,,,,,4157.9331848930815
2020-04-02,4110.259113335612,,,,,,,,,,,,,,4110.259113335612
2020-04-03,4037.888851658491,,,,,,,,,,,,,,4037.888851658491
2020-04-04,4093.446571086807,,,,,,,,,,,,,,4093.446571086807
2020-04-05,3987.689355666259,16394.857868203515,,,,,,,,,,,,,3987.689355666259
2020-04-06,4004.5724897039368,17105.834383942827,,,,,,,,,,,,,4160.618789195591
2020-04-07,3874.458372994085,17602.29103664705,,,,,,,,,,,,,4281.3709741460825
2020-04-08,3803.9394501272186,18203.22669352607,,,,,,,,,,,,,4427.535383843363
2020-04-09,3694.441631560941,18876.32842973444,,,,,,,,,,,,,4591.252608496114
2020-04-10,3650.406539331663,19601.21605603647,,,,,,,,,,,,,4767.565614360282
2020-04-11,3626.7122438929905,20375.014535054976,,,,,,,,,,,,,4955.775111692811
2020-04-12,3545.0702388204004,21188.70130803796,46764.90985974501,,,,,,,,,,,,5153.68656109693
2020-04-13,3455.876846427895,22040.82983757791,49115.00661406714,,,,,,,,,,,,5412.6769471866755
2020-04-14,3362.4336686027727,22932.78822257196,51571.97966097624,,,,,,,,,,,,5683.445542930994
2020-04-15,3282.288290431425,23856.69938331587,54136.31127212871,,,,,,,,,,,,5966.04549666187
2020-04-16,3302.4507509053874,24813.986782982018,56783.03336234201,,,,,,,,,,,,6257.725222084205
2020-04-17,3064.7756526869184,25802.16518067129,59520.956937997726,,,,,,,,,,,,6559.455728557681
2020-04-18,3167.3579845860827,26816.74963141019,62318.203932808865,,,,,,,,,,,,6867.723921278743
2020-04-19,3071.5554237207316,27856.346538822472,65158.711436072874,36145.464394517956,,,,,,,,,,,7180.759601026047
2020-04-20,3060.7284985479964,28914.824116783057,68031.3443672718,37290.89807792372,,,,,,,,,,,7408.314677637595
2020-04-21,2865.407568655095,29986.86703510917,70922.03782179383,38441.8876163806,,,,,,,,,,,7636.973496037182
2020-04-22,2959.327886002833,31071.202706538705,73802.57869940107,39602.82782114317,,,,,,,,,,,7867.609141787256
2020-04-23,2865.64865812171,32157.782840586016,76628.42481337416,40759.59598261976,,,,,,,,,,,8097.415957685963
2020-04-24,2786.763646670314,33247.52184608413,79434.17766415396,41909.519755942565,,,,,,,,,,,8325.863048186984
2020-04-25,2763.135268220822,34330.26641714189,82147.43756467753,43051.41791305527,,,,,,,,,,,8552.715747202925
2020-04-26,,35403.009921925324,84796.3210769795,44173.10544782715,19400.212745541885,,,,,,,,,,8775.553347150486
2020-04-27,,36455.19989700357,87279.31316053617,45277.12934423691,19546.445533263315,,,,,,,,,,8841.700747005512
2020-04-28,,37483.323779768725,89649.34906231749,46350.54926439528,19701.793241066483,,,,,,,,,,8911.971218523797
2020-04-29,,38485.14924550006,91869.21476321877,47397.268062952324,19851.959424252567,,,,,,,,,,8979.89786287414
2020-04-30,,39448.36341881524,93890.18531032918,48401.18035840909,20000.13450712032,,,,,,,,,,9046.923846634201
