,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,7871.312739443075,,,,,,,,,,,,,,7871.312739443075
2020-03-30,8377.397844317004,,,,,,,,,,,,,,8377.397844317004
2020-03-31,8918.318204052848,,,,,,,,,,,,,,8918.318204052848
2020-04-01,9596.903682443404,,,,,,,,,,,,,,9596.903682443404
2020-04-02,9943.114721457408,,,,,,,,,,,,,,9943.114721457408
2020-04-03,10763.504936475072,,,,,,,,,,,,,,10763.504936475072
2020-04-04,11507.955920786717,,,,,,,,,,,,,,11507.955920786717
2020-04-05,12167.072717370891,10184.000600096026,,,,,,,,,,,,,12167.072717370891
2020-04-06,12963.053577806304,10709.298613562034,,,,,,,,,,,,,12794.659004833515
2020-04-07,13683.507023375683,11329.050077663747,,,,,,,,,,,,,13535.091122478081
2020-04-08,14428.248656857308,11951.180877035344,,,,,,,,,,,,,14278.365889724158
2020-04-09,15370.097080382136,12447.711300547217,,,,,,,,,,,,,14871.582839181032
2020-04-10,16201.483324378665,13107.809968971866,,,,,,,,,,,,,15660.218741194496
2020-04-11,17259.546951701646,13765.769011311353,,,,,,,,,,,,,16446.298379987995
2020-04-12,18222.461496801418,14497.811611019717,17959.704220343712,,,,,,,,,,,,17320.887443030755
2020-04-13,19146.99979722157,15159.672758066377,18776.17202490537,,,,,,,,,,,,18108.313937931027
2020-04-14,20272.50634158848,15908.252778018566,19607.935780313233,,,,,,,,,,,,18910.492315139094
2020-04-15,21137.831996131034,16656.35068497391,20439.78040185413,,,,,,,,,,,,19712.748682116424
2020-04-16,22196.67157724904,17384.887807086398,21299.94706873624,,,,,,,,,,,,20542.319694897105
2020-04-17,23416.977178510937,18075.164353231885,22153.228526602557,,,,,,,,,,,,21365.25040175063
2020-04-18,24416.574599231168,18900.63563250114,23018.607014222274,,,,,,,,,,,,22199.847853678733
2020-04-19,25801.948517400586,19674.883498455714,23879.791717067492,8020.195862684626,,,,,,,,,,,23030.40069144459
2020-04-20,26510.53475647316,20317.483070353745,24730.106355539898,8122.523720633562,,,,,,,,,,,23324.24034459146
2020-04-21,27741.762773297596,21152.831139363767,25599.70471464334,8224.760245300658,,,,,,,,,,,23617.817729570164
2020-04-22,28710.439336352392,22012.783091335565,26447.6224016525,8328.438967831882,,,,,,,,,,,23915.536459131457
2020-04-23,30007.867780825585,22783.222232295942,27293.94149497188,8432.33377580054,,,,,,,,,,,24213.875689026267
2020-04-24,31119.688656340088,23645.275181617715,28115.95865716441,8537.150797278051,,,,,,,,,,,24514.863101957453
2020-04-25,32104.366538950762,24301.302022200216,28924.703364259527,8641.899862146152,,,,,,,,,,,24815.655374025355
2020-04-26,,25006.955155981752,29718.223924084214,8748.466196813233,5583.93624741688,,,,,,,,,,25121.666028829975
2020-04-27,,25716.86906408645,30487.582280802017,8854.207659492558,5562.022903052635,,,,,,,,,,25023.079710093265
2020-04-28,,26539.985750255848,31239.823722462803,8960.809060108444,5539.242942750296,,,,,,,,,,24920.594558130775
2020-04-29,,27176.473694629483,31946.387802371108,9068.855904130724,5517.754885505693,,,,,,,,,,24823.921570870756
2020-04-30,,27862.42468581139,32630.572324028373,9176.528779674834,5498.6533217473825,,,,,,,,,,24737.98521986269
2020-05-01,,28585.294068459047,33292.065350709105,9285.056457441613,5481.493481183145,,,,,,,,,,24660.784520452456
2020-05-02,,28987.52748741505,33913.06739020293,9392.389893177042,5460.119303274143,,,,,,,,,,24564.623866877813
2020-05-03,,,34503.913625082285,9500.107256323266,5444.555893229235,21857.7865621338,,,,,,,,,24494.60537596134
2020-05-04,,,35055.605372234764,9608.59150706107,5427.717405063002,22422.358321973883,,,,,,,,,25127.28437227161
2020-05-05,,,35571.9534017613,9716.429503657011,5411.950085090206,22982.84300897581,,,,,,,,,25755.383250827097
2020-05-06,,,36051.46020283984,9824.139953473936,5397.146720273556,23539.32908072488,,,,,,,,,26379.001140313052
2020-05-07,,,36487.92678816751,9931.22837182292,5386.048968789233,24089.289320954613,,,,,,,,,26995.305953181585
2020-05-08,,,36896.47933624835,10035.015383221496,5373.478814256977,24632.173387205283,,,,,,,,,27603.6809562912
2020-05-09,,,37265.584628232624,10141.797178783034,5365.10078661761,25168.27175702658,,,,,,,,,28204.451669013673
