,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,1370.1803490203536,,,,,,,,,,,,,,1370.1803490203536
2020-03-30,1534.4605046998636,,,,,,,,,,,,,,1534.4605046998636
2020-03-31,1636.31162717669,,,,,,,,,,,,,,1636.31162717669
2020-04-01,1621.4547929391895,,,,,,,,,,,,,,1621.4547929391895
2020-04-02,1550.4466400192427,,,,,,,,,,,,,,1550.4466400192427
2020-04-03,1558.9361247797995,,,,,,,,,,,,,,1558.9361247797995
2020-04-04,1568.926185698288,,,,,,,,,,,,,,1568.926185698288
2020-04-05,1579.4616575749842,1818.877457249092,,,,,,,,,,,,,1579.4616575749842
2020-04-06,1577.8397345990784,1883.1730644812264,,,,,,,,,,,,,1635.294141489127
2020-04-07,1592.0827850227836,1952.0459040587507,,,,,,,,,,,,,1695.101364305301
2020-04-08,1622.1166941762585,2009.6202473964047,,,,,,,,,,,,,1745.0972930576518
2020-04-09,1658.100153851604,2105.6458418736593,,,,,,,,,,,,,1828.4831990284997
2020-04-10,1651.943582323149,2168.816327029212,,,,,,,,,,,,,1883.338658804502
2020-04-11,1665.6993936364165,2195.0042924096288,,,,,,,,,,,,,1906.0795460717661
2020-04-12,1694.4333007710488,2269.716760869749,1038.4151077953536,,,,,,,,,,,,1970.957737180921
2020-04-13,1693.8254450716377,2316.331769499744,1057.738187717874,,,,,,,,,,,,2007.6337962959649
2020-04-14,1689.5128092537507,2367.847190716395,1073.7097411616428,,,,,,,,,,,,2037.948510131001
2020-04-15,1716.2132026778693,2446.8600240899677,1090.8111098309957,,,,,,,,,,,,2070.4076631635544
2020-04-16,1724.759600031545,2507.548051335113,1110.737151622779,,,,,,,,,,,,2108.22817053684
2020-04-17,1759.6386170843207,2590.682173105941,1126.2260597285194,,,,,,,,,,,,2137.626802203811
2020-04-18,1779.5002885008234,2671.091341290593,1142.9540709819005,,,,,,,,,,,,2169.377306371166
2020-04-19,1806.2954432512013,2753.0405387725077,1175.1216311683513,3310.335599429101,,,,,,,,,,,2230.4327563157685
2020-04-20,1835.3163517388766,2840.503668704583,1191.197560373266,3484.0540945195758,,,,,,,,,,,2347.480532950409
2020-04-21,1877.5944678952883,2950.032839704908,1213.0317323403744,3654.372797124991,,,,,,,,,,,2462.237602707879
2020-04-22,1899.5792592942944,3048.069957412067,1240.7019336327098,3837.345717031421,,,,,,,,,,,2585.520811258826
2020-04-23,1931.1914332088068,3140.188288804308,1264.581534921634,4027.789414491385,,,,,,,,,,,2713.837668655958
2020-04-24,1975.3985864960198,3241.9700189976365,1294.9514447546746,4223.881155619452,,,,,,,,,,,2845.9600561052735
2020-04-25,1993.8594686566832,3355.923615728009,1318.247556539228,4430.297306156505,,,,,,,,,,,2985.038808020895
2020-04-26,,3479.9534813915,1355.813409270505,4635.75370242961,800.748652415441,,,,,,,,,,3123.4708982056954
2020-04-27,,3597.561110117714,1383.5908464155912,4855.62967525609,789.6731715843163,,,,,,,,,,3080.2688997317655
2020-04-28,,3714.387258836836,1414.0042808761973,5079.685817455294,780.7472970840115,,,,,,,,,,3045.4518455180123
2020-04-29,,3833.06900096104,1441.9123655686694,5306.399823945495,771.7930557412617,,,,,,,,,,3010.5241410938793
2020-04-30,,3970.731569823427,1486.5938044897516,5545.818740097279,763.1695411019484,,,,,,,,,,2976.8864984517145
