,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,1267.161425890593,,,,,,,,,,,,,,1267.161425890593
2020-03-30,1343.903040243324,,,,,,,,,,,,,,1343.903040243324
2020-03-31,1336.9531624779727,,,,,,,,,,,,,,1336.9531624779727
2020-04-01,1357.8808654962766,,,,,,,,,,,,,,1357.8808654962766
2020-04-02,1401.2536664698155,,,,,,,,,,,,,,1401.2536664698155
2020-04-03,1435.4920935363928,,,,,,,,,,,,,,1435.4920935363928
2020-04-04,1490.3508270833552,,,,,,,,,,,,,,1490.3508270833552
2020-04-05,1552.2315283183511,2787.985193798138,,,,,,,,,,,,,1552.2315283183511
2020-04-06,1616.9068413633133,2884.3556685382628,,,,,,,,,,,,,1605.886508130794
2020-04-07,1689.8378057648947,2987.495552084172,,,,,,,,,,,,,1663.310406730822
2020-04-08,1747.0052109452006,3096.942264900745,,,,,,,,,,,,,1724.245679515843
2020-04-09,1829.0883828715505,3213.5694384059393,,,,,,,,,,,,,1789.1787272867289
2020-04-10,1895.461711358466,3336.8536483938683,,,,,,,,,,,,,1857.8181297171204
2020-04-11,1988.3127698890562,3467.0235514852557,,,,,,,,,,,,,1930.2911930841942
2020-04-12,2056.638132833036,3603.677674844025,2450.241268346689,,,,,,,,,,,,2006.374394395322
2020-04-13,2166.1574604093303,3747.139043351745,2527.522627151712,,,,,,,,,,,,2069.656056276358
2020-04-14,2245.911685749909,3897.707360958035,2609.626417668583,,,,,,,,,,,,2136.8865552088164
2020-04-15,2364.4378806618724,4054.98122313105,2696.510337957915,,,,,,,,,,,,2208.0312523474877
2020-04-16,2463.086280655324,4218.4288021067405,2786.722762510292,,,,,,,,,,,,2281.9014875020607
2020-04-17,2536.4692007606573,4388.930214494993,2882.0061604996918,,,,,,,,,,,,2359.924077524759
2020-04-18,2678.888805683244,4564.598659463569,2981.6605108906488,,,,,,,,,,,,2441.525811810064
2020-04-19,2769.774114263049,4747.460830198914,3086.439530669917,1477.4713342802775,,,,,,,,,,,2527.3238697689917
2020-04-20,2912.7469239562597,4935.381308853424,3195.0155729037183,1515.0629863103811,,,,,,,,,,,2591.627167758872
2020-04-21,3020.385397251881,5127.247151604391,3307.6615722278807,1554.5901611988681,,,,,,,,,,,2659.2413205903854
2020-04-22,3142.967052038912,5324.96630234894,3424.7423302736297,1597.1306107588941,,,,,,,,,,,2732.0099023619778
2020-04-23,3276.334014970913,5526.382936989496,3546.352887634401,1641.668177276171,,,,,,,,,,,2808.1947002317584
2020-04-24,3360.8455313309632,5731.087624619941,3671.1985296263842,1689.0371671433775,,,,,,,,,,,2889.22285692121
2020-04-25,3529.785050720885,5937.919168751828,3799.187444093729,1738.7962861342114,,,,,,,,,,,2974.339506054353
2020-04-26,,6146.174148001342,3930.558336718645,1790.968891830354,627.9887244484732,,,,,,,,,,3063.58460250026
2020-04-27,,6354.904266713899,4065.3200239560942,1845.7377065093574,619.3052908800415,,,,,,,,,,3021.223279213055
2020-04-28,,6564.345746430314,4201.477408026509,1902.9336852191834,611.2413043305272,,,,,,,,,,2981.8838706121155
2020-04-29,,6772.113644202848,4340.806802574067,1962.4687754719168,603.4325106489497,,,,,,,,,,2943.789396689845
2020-04-30,,6977.970754071556,4480.457583551186,2024.5395868488158,596.2124090250695,,,,,,,,,,2908.566802235092
2020-05-01,,7181.291941961222,4621.39692572757,2088.9745898880333,589.9452376677912,,,,,,,,,,2877.992989483516
2020-05-02,,7379.476768136856,4762.802550550221,2155.2656303556646,583.7635932551792,,,,,,,,,,2847.836411979291
2020-05-03,,,4904.12390948981,2223.8807335542533,578.4990033761833,291.66632978264187,,,,,,,,,2822.1535997505594
2020-05-04,,,5044.470545967712,2294.5031119369078,573.0560801519291,282.3557671048348,,,,,,,,,2732.0649083460426
2020-05-05,,,5183.554837043842,2366.641208695809,568.209517344123,273.68019563034665,,,,,,,,,2648.1203704733784
2020-05-06,,,5319.894509980683,2440.206905875769,563.838677473963,265.3519629382717,,,,,,,,,2567.536670980142
2020-05-07,,,5453.674879003174,2515.543923705877,560.2195180331552,257.4945150583301,,,,,,,,,2491.5082694990556
2020-05-08,,,5584.064424757788,2591.706493970103,556.5181133642483,249.9095693142341,,,,,,,,,2418.1165895215777
2020-05-09,,,5710.8868309026475,2669.0512885594017,553.1961256868593,242.31798111449382,,,,,,,,,2344.660637366637
2020-05-10,,,,2746.742391132849,550.5137005781398,235.36357695435737,238.52154644574,,,,,,,,2277.370056553708
2020-05-11,,,,2824.94340361971,547.8868018749365,228.39743470408746,231.1840255601152,,,,,,,,2207.3124428778688
2020-05-12,,,,2902.669084089429,545.3022770802642,221.84007958329968,224.36493521905587,,,,,,,,2142.2047308616047
2020-05-13,,,,2980.8062979096203,543.4830187361597,215.4878095149465,217.75460618963098,,,,,,,,2079.0902423807725
2020-05-14,,,,3058.3515848707825,541.8878360222768,209.56141529730937,211.5160534576303,,,,,,,,2019.5254215090376
2020-05-15,,,,3134.6543299913965,540.6731909250196,203.7048387076977,205.39278826034126,,,,,,,,1961.0613497451236
2020-05-16,,,,3209.5153690404773,539.300638288885,198.13706745002503,199.5314282951617,,,,,,,,1905.0979121677174
