,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,1564.317278006464,,,,,,,,,,,,,,1564.317278006464
2020-03-30,1647.9473160931382,,,,,,,,,,,,,,1647.9473160931382
2020-03-31,1695.5921422510903,,,,,,,,,,,,,,1695.5921422510903
2020-04-01,1709.498721710062,,,,,,,,,,,,,,1709.498721710062
2020-04-02,1740.083967048172,,,,,,,,,,,,,,1740.083967048172
2020-04-03,1779.9672126801672,,,,,,,,,,,,,,1779.9672126801672
2020-04-04,1822.5620352706887,,,,,,,,,,,,,,1822.5620352706887
2020-04-05,1863.698051087435,3079.8147418749786,,,,,,,,,,,,,1863.698051087435
2020-04-06,1920.9535588687768,3161.261899421963,,,,,,,,,,,,,1912.9844275447783
2020-04-07,1973.3507506072933,3249.023287723891,,,,,,,,,,,,,1966.091754461285
2020-04-08,2026.0047226599106,3341.992577931033,,,,,,,,,,,,,2022.3505555554536
2020-04-09,2092.250301049924,3439.512575708125,,,,,,,,,,,,,2081.3631407373045
2020-04-10,2145.2132465650247,3542.62752262831,,,,,,,,,,,,,2143.761415217976
2020-04-11,2208.013428719521,3648.764346728837,,,,,,,,,,,,,2207.988327809588
2020-04-12,2280.0338360066557,3760.6050903272935,2475.1568524113154,,,,,,,,,,,,2275.6668712760425
2020-04-13,2353.8979988925157,3876.689719268861,2526.311720110272,,,,,,,,,,,,2322.698814974324
2020-04-14,2428.830875342682,3998.3165760552397,2578.429534410504,,,,,,,,,,,,2370.616094758355
2020-04-15,2502.743327383208,4123.5363089764915,2634.6677490650663,,,,,,,,,,,,2422.3216833817264
2020-04-16,2583.6989888973176,4253.947975448598,2692.659692407893,,,,,,,,,,,,2475.6396555892743
2020-04-17,2665.184991851518,4388.979741387863,2752.973305033195,,,,,,,,,,,,2531.09217772122
2020-04-18,2746.1839338577083,4527.896139216773,2816.1482742230346,,,,,,,,,,,,2589.175439935146
2020-04-19,2841.8933468047044,4670.183770683293,2881.061546006789,1025.667466167047,,,,,,,,,,,2648.8569029343566
2020-04-20,2932.21301475096,4816.7465021515445,2948.946638456741,1007.0309887529784,,,,,,,,,,,2600.726915903457
2020-04-21,3022.973102912236,4966.840824791944,3018.8530208120947,990.459812547445,,,,,,,,,,,2557.9307115490337
2020-04-22,3123.610335364843,5119.863032228647,3090.7309824731956,973.651518540963,,,,,,,,,,,2514.522134135534
2020-04-23,3222.280061898728,5275.378213144308,3164.7424138800875,958.8001276678308,,,,,,,,,,,2476.167393900393
