,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,11966.456211807537,,,,,,,,,,,,,,11966.456211807537
2020-03-30,11677.876525657664,,,,,,,,,,,,,,11677.876525657664
2020-03-31,11456.616813309864,,,,,,,,,,,,,,11456.616813309864
2020-04-01,11209.640874830164,,,,,,,,,,,,,,11209.640874830164
2020-04-02,10956.47015100292,,,,,,,,,,,,,,10956.47015100292
2020-04-03,10722.868206561294,,,,,,,,,,,,,,10722.868206561294
2020-04-04,10518.945456432171,,,,,,,,,,,,,,10518.945456432171
2020-04-05,10275.160628191545,10901.001990837458,,,,,,,,,,,,,10275.160628191545
2020-04-06,10069.935166115349,10824.899946749852,,,,,,,,,,,,,10203.42770604447
2020-04-07,9860.2354694547,10656.329496969613,,,,,,,,,,,,,10044.535115242787
2020-04-08,9625.764859548412,10362.069230938658,,,,,,,,,,,,,9767.168731629261
2020-04-09,9423.569767125551,10215.562659882553,,,,,,,,,,,,,9629.073302240995
2020-04-10,9189.652373688506,9968.651723465931,,,,,,,,,,,,,9396.337858777135
2020-04-11,8988.407099698481,9752.196025083804,,,,,,,,,,,,,9192.309176676796
2020-04-12,8755.47085429779,9490.307996470081,10738.100401239046,,,,,,,,,,,,8945.456496265562
2020-04-13,8559.885578289248,9298.077887868323,10621.806064834273,,,,,,,,,,,,8848.5766117237
2020-04-14,8350.749221446662,9168.855395337165,10423.57039056584,,,,,,,,,,,,8683.43487026899
2020-04-15,8148.720602916827,8955.143434167303,10255.244942715573,,,,,,,,,,,,8543.210071217452
2020-04-16,7965.202794590743,8684.283070776997,10076.67234736828,,,,,,,,,,,,8394.44880773363
2020-04-17,7741.677772641733,8548.492556662679,9925.506137524026,,,,,,,,,,,,8268.518642868428
2020-04-18,7568.390593799558,8286.034772005056,9697.897615436941,,,,,,,,,,,,8078.907626354337
2020-04-19,7365.48849635543,8178.479702916722,9548.99471544827,13527.144850788527,,,,,,,,,,,7954.862929038717
2020-04-20,7155.668923788392,7857.606075762133,9331.865740423904,13271.688173182129,,,,,,,,,,,7804.637373159638
2020-04-21,6989.825522884447,7749.315185144294,9145.813357914512,13262.239140448712,,,,,,,,,,,7799.080712013812
2020-04-22,6829.151102106594,7452.098071632187,8984.36683815614,13191.806985529003,,,,,,,,,,,7757.66190971937
2020-04-23,6640.239059140056,7322.399635009599,8854.807296148236,13041.650055974158,,,,,,,,,,,7669.359625266158
2020-04-24,6471.485002982907,7173.7587176857605,8670.174517467794,12892.531951852,,,,,,,,,,,7581.668239418334
2020-04-25,6308.607264398932,6870.7912113007715,8481.36082173219,12712.82218506146,,,,,,,,,,,7475.986916596917
2020-04-26,,6802.329312289117,8336.27357378634,12587.654777288086,6519.3250462771875,,,,,,,,,,7402.380136821639
2020-04-27,,6625.671361845522,8149.504072309598,12495.859059736631,6350.8613893865695,,,,,,,,,,7211.0977542603405
2020-04-28,,6423.252942722746,7944.209532022629,12339.504693510691,6206.192233709007,,,,,,,,,,7046.8328837719655
2020-04-29,,6217.529706856718,7826.404658720558,12147.902570932683,5998.751311328097,,,,,,,,,,6811.293690297745
2020-04-30,,6048.7800502008495,7642.335683987619,12107.845219420227,5851.138210424933,,,,,,,,,,6643.686111552428
2020-05-01,,5968.282955248318,7480.801754204743,11869.66632367813,5658.071716586897,,,,,,,,,,6424.468390557126
2020-05-02,,5776.671855291171,7346.18380160376,11709.887443491547,5509.616940277647,,,,,,,,,,6255.905129856476
2020-05-03,,,7194.190246161635,11585.642798531577,5359.097482568105,2365.321455900577,,,,,,,,,6084.997522696969
2020-05-04,,,7063.534394745058,11421.315983638158,5211.113387455728,2267.2852960861483,,,,,,,,,5832.790877330709
2020-05-05,,,6960.374442782868,11324.550947971455,5046.86651737271,2169.043044992604,,,,,,,,,5580.054044019069
2020-05-06,,,6762.008729007032,11193.979915229816,4903.21865159903,2068.0070243062664,,,,,,,,,5320.129992661981
2020-05-07,,,6691.247500997831,11079.640429478659,4774.76066574336,1980.042305414104,,,,,,,,,5093.833015053183
2020-05-08,,,6558.981804812218,10951.345351047066,4661.191879294782,1892.108707206272,,,,,,,,,4867.616098142511
2020-05-09,,,6391.612200413698,10841.054316880269,4525.442766795717,1810.1736060558687,,,,,,,,,4656.830842600025
2020-05-10,,,,10700.871889261278,4420.665389631239,1736.3811502204487,2944.530216849861,,,,,,,,4466.993258439063
2020-05-11,,,,10526.25240493288,4294.65911971724,1655.6156909217002,2847.799308791546,,,,,,,,4320.24784156185
2020-05-12,,,,10477.026440405567,4146.517456902741,1584.8354718442981,2764.386983308244,,,,,,,,4193.707351852338
2020-05-13,,,,10264.32529092131,4095.189951946865,1524.6566040135226,2682.740669051965,,,,,,,,4069.845985692077
2020-05-14,,,,10162.5792317297,3978.6834216309417,1455.954190801529,2604.043577789312,,,,,,,,3950.458731957211
2020-05-15,,,,10077.808323998705,3824.72246051386,1397.8356222570267,2522.7835385635362,,,,,,,,3827.1833635045928
2020-05-16,,,,10014.578855606616,3743.979279660428,1340.2734023851508,2448.53834080337,,,,,,,,3714.549845271946
2020-05-17,,,,,3663.694154741273,1283.1331804238664,2377.992353651141,1217.05850216592,,,,,,,3607.528206568551
2020-05-18,,,,,3580.900613926894,1236.7484590677366,2316.5221955875118,1163.1333904129458,,,,,,,3447.686784529256
2020-05-19,,,,,3460.352783744604,1177.9171798509212,2238.388632948851,1103.7121193553464,,,,,,,3271.5539930250216
2020-05-20,,,,,3334.3030477237517,1134.6174431834165,2173.348462442841,1056.812807788434,,,,,,,3132.538005670933
2020-05-21,,,,,3298.609697175088,1090.1897655023276,2120.5426011566133,1009.3004935798452,,,,,,,2991.7049944707333
2020-05-22,,,,,3241.0451779664845,1044.57921646442,2058.8294721622447,963.7916482216976,,,,,,,2856.8105395322787
2020-05-23,,,,,3143.1132731322505,1006.5764318156952,2006.1898799723288,919.7404881414022,,,,,,,2726.2368635430635
2020-05-24,,,,,,964.8955681691536,1955.3321149557667,885.7799140662254,1042.1215006648044,,,,,,2625.5730674564898
2020-05-25,,,,,,924.6564740152285,1894.0505687855082,845.7541926248068,996.008285795319,,,,,,2509.3931259257583
2020-05-26,,,,,,890.4239629654504,1852.368016375016,809.7938479075852,957.5588472727424,,,,,,2412.5216860991154
2020-05-27,,,,,,856.3827810811338,1803.794781909109,775.1127119102417,919.6209523487718,,,,,,2316.9390548178035
2020-05-28,,,,,,826.05110876591,1763.2958378270416,743.5532854666211,884.5485610093477,,,,,,2228.5759166872285
2020-05-29,,,,,,793.093507139415,1721.9090124560644,713.2910509768359,850.6248777650106,,,,,,2143.106891224808
2020-05-30,,,,,,768.0712548438125,1673.802267030424,682.9826944211808,816.5157892353927,,,,,,2057.170746407027
2020-05-31,,,,,,,1637.5919759629169,651.83207998125,782.2747944005646,709.4592266920665,,,,,1970.9022702419252
2020-06-01,,,,,,,1596.5027885181134,629.0176331842836,756.0145569348331,684.9422802566379,,,,,1902.7933450619882
2020-06-02,,,,,,,1555.9086297709866,602.3226444023906,726.7306023119072,657.6907652099957,,,,,1827.0876936979369
2020-06-03,,,,,,,1526.378501292524,577.0226609227632,698.3860999252182,629.0211945033573,,,,,1747.4426346632752
2020-06-04,,,,,,,1497.0683975522754,556.6730592209441,675.7333388645751,607.9995629391733,,,,,1689.0438150902055
2020-06-05,,,,,,,1459.9174822621853,535.2130066277361,650.1981928868055,583.6188419016297,,,,,1621.3133287773026
2020-06-06,,,,,,,1432.0503902600228,512.0079373601402,626.0425267892714,560.0863514708129,,,,,1555.9392564281468
2020-06-07,,,,,,,,492.2070672219362,603.2115585508758,538.6163427250092,736.6695983835046,,,,1496.294829536247
2020-06-08,,,,,,,,471.71005899223525,580.3730646202397,515.889081623494,711.8922971548371,,,,1445.9681324665294
2020-06-09,,,,,,,,455.7795256928257,561.3106701555173,497.7511990340972,689.8101934390409,,,,1401.1158164652547
2020-06-10,,,,,,,,438.501814380128,541.4206327770994,479.5825064629544,666.3619061064655,,,,1353.488561079391
2020-06-11,,,,,,,,422.25697373643516,523.071021634696,461.8186699153135,646.7180691064355,,,,1313.5887582371186
