,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,223.26001318310315,,,,,,,,,,,,,,223.26001318310315
2020-03-30,235.5934454509831,,,,,,,,,,,,,,235.5934454509831
2020-03-31,245.5309730746088,,,,,,,,,,,,,,245.5309730746088
2020-04-01,258.3278461228228,,,,,,,,,,,,,,258.3278461228228
2020-04-02,265.40262781204143,,,,,,,,,,,,,,265.40262781204143
2020-04-03,269.43031160234995,,,,,,,,,,,,,,269.43031160234995
2020-04-04,277.21028866695184,,,,,,,,,,,,,,277.21028866695184
2020-04-05,283.5098089602362,745.553947974514,,,,,,,,,,,,,283.5098089602362
2020-04-06,285.8699279259999,770.4243382914667,,,,,,,,,,,,,292.9672058752168
2020-04-07,295.59308878664035,796.92054973437,,,,,,,,,,,,,303.0428494483688
2020-04-08,305.19807180955934,825.4576907400218,,,,,,,,,,,,,313.89459185649866
2020-04-09,314.01491899054537,855.1909598134836,,,,,,,,,,,,,325.2011826909806
2020-04-10,322.94616877519445,886.584183555891,,,,,,,,,,,,,337.1390000548826
2020-04-11,331.42339746253174,919.6706193572418,,,,,,,,,,,,,349.7206906470928
2020-04-12,348.3040738001325,953.8077198513373,494.15203801613364,,,,,,,,,,,,362.7019146964466
2020-04-13,356.7060977846558,989.532560499102,510.84060679856276,,,,,,,,,,,,374.9511323162528
2020-04-14,367.26703678707855,1026.4835621572454,528.5202797472937,,,,,,,,,,,,387.9278089995175
2020-04-15,384.521427670789,1065.2437961821613,547.1253140761903,,,,,,,,,,,,401.5836902970537
2020-04-16,397.7737176174605,1104.865310435492,566.4681986638112,,,,,,,,,,,,415.7811452015166
2020-04-17,409.616964777738,1146.1927960497414,586.8690480486811,,,,,,,,,,,,430.7551341038644
2020-04-18,430.39311425598464,1188.8637157466976,608.3118896784238,,,,,,,,,,,,446.49393333428753
2020-04-19,443.54034502142684,1232.5284931216577,630.6288211530417,521.3760014830874,,,,,,,,,,,462.8743044615418
2020-04-20,461.8987268858741,1277.3950831483114,653.8220356856625,535.2563618900012,,,,,,,,,,,475.19720031932934
2020-04-21,480.4473917277792,1323.0743334959684,678.1397028070969,549.8687935800112,,,,,,,,,,,488.17002441511687
2020-04-22,501.395352315849,1370.3873374201278,703.4806929558157,565.2804676545655,,,,,,,,,,,501.8524108263731
2020-04-23,521.3972824148882,1418.4606373100414,729.7555814997223,581.1195667515276,,,,,,,,,,,515.9142624592614
2020-04-24,542.1553469116875,1467.5186574658621,756.9993466783493,597.6893753086309,,,,,,,,,,,530.6248333123752
2020-04-25,564.6555692184152,1517.0675706855145,785.1047609956564,614.8957717243964,,,,,,,,,,,545.900562825398
2020-04-26,,1567.449616649829,814.305810820441,632.6083858525825,402.63550355751687,,,,,,,,,,561.6257092100764
2020-04-27,,1618.5281510633133,844.3053300030646,650.9862777649896,406.4162019172282,,,,,,,,,,566.8993062446681
2020-04-28,,1669.736869089119,875.3475444534166,670.0789052122218,410.05740884959664,,,,,,,,,,571.9783303438927
2020-04-29,,1721.2593060662048,907.0694409735727,689.3454153947284,413.78529996752434,,,,,,,,,,577.1782679412114
2020-04-30,,1773.0389414660865,939.6726190321828,709.3947364043829,417.82516362662085,,,,,,,,,,582.8133678581465
2020-05-01,,1824.683139233108,973.0616008327684,730.0037154140355,421.85449368821367,,,,,,,,,,588.4337747360519
2020-05-02,,1876.5378563282238,1007.3315563614248,751.0649290435274,426.0537262621983,,,,,,,,,,594.2911741746617
2020-05-03,,,1042.104360387032,772.5506496828833,430.3846831989544,194.6792438458244,,,,,,,,,600.332312473874
2020-05-04,,,1077.697570810124,794.7098307792605,434.7767326067842,193.3909770323421,,,,,,,,,596.3596845760912
2020-05-05,,,1113.663540135822,816.960017969823,439.09350863816917,192.36161310246888,,,,,,,,,593.1854354050425
2020-05-06,,,1150.3693245631814,839.7871145642782,443.97272014783636,191.49710753848208,,,,,,,,,590.5195599160986
2020-05-07,,,1187.3893636583982,862.8337200288962,448.59453280200125,190.6574268708384,,,,,,,,,587.9302369508556
2020-05-08,,,1224.5936210290981,886.0989208670869,453.25369680875633,189.92528756191442,,,,,,,,,585.6725392338486
2020-05-09,,,1262.2636449494314,909.6948555614744,458.1440922091258,189.26133668987026,,,,,,,,,583.6251141745086
2020-05-10,,,,933.3294184457347,463.1622673882953,188.792938932811,87.28170672041003,,,,,,,,582.1807161837519
2020-05-11,,,,957.1242664194637,468.19212307125395,188.26981465925263,84.58909531652316,,,,,,,,564.2206361804947
2020-05-12,,,,981.3400582061827,473.42415861771934,188.08107135463524,82.21794369959446,,,,,,,,548.4047361666948
2020-05-13,,,,1005.2205220399803,478.7307083446052,187.73622002918617,79.84871371602766,,,,,,,,532.6016537057236
