,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,905.6849293330632,,,,,,,,,,,,,,905.6849293330632
2020-03-30,953.2870636378984,,,,,,,,,,,,,,953.2870636378984
2020-03-31,975.2647201018884,,,,,,,,,,,,,,975.2647201018884
2020-04-01,1008.8685662117418,,,,,,,,,,,,,,1008.8685662117418
2020-04-02,1049.1346229790327,,,,,,,,,,,,,,1049.1346229790327
2020-04-03,1090.7168701287924,,,,,,,,,,,,,,1090.7168701287924
2020-04-04,1143.1592615102375,,,,,,,,,,,,,,1143.1592615102375
2020-04-05,1208.2273825351913,3319.264878874022,,,,,,,,,,,,,1208.2273825351913
2020-04-06,1264.7729075860484,3456.5243952564697,,,,,,,,,,,,,1258.1904654040306
2020-04-07,1340.4309084178046,3603.9156464732014,,,,,,,,,,,,,1311.841545436724
2020-04-08,1407.9351535842145,3762.0237408567277,,,,,,,,,,,,,1369.3936047045693
2020-04-09,1479.0126587558696,3930.847190631479,,,,,,,,,,,,,1430.8461016505507
2020-04-10,1576.0231670473493,4111.146500205874,,,,,,,,,,,,,1496.4758633084605
2020-04-11,1665.6055388787595,4303.185602341008,,,,,,,,,,,,,1566.3789623934156
2020-04-12,1762.1728450306268,4507.217643410383,10638.594919682011,,,,,,,,,,,,1640.6475453268113
2020-04-13,1875.8639033986933,4724.458230390737,11147.846442419168,,,,,,,,,,,,1719.1825649455138
2020-04-14,1992.80811013426,4954.65485581437,11683.307934385964,,,,,,,,,,,,1801.7595959392474
2020-04-15,2119.3143231485346,5198.6734822337985,12245.295013662493,,,,,,,,,,,,1888.4273118435935
2020-04-16,2251.5625599883247,5456.436971103606,12831.238980002161,,,,,,,,,,,,1978.7895765347437
2020-04-17,2384.590503334373,5728.793591037449,13444.372605620532,,,,,,,,,,,,2073.34493703325
2020-04-18,2544.0128665447965,6015.5659170344425,14080.886894530086,,,,,,,,,,,,2171.50598306884
2020-04-19,2706.1578642664826,6317.635091612216,14742.560631977549,14117.047111383765,,,,,,,,,,,2273.5470327888575
2020-04-20,2872.7078827447644,6634.752248471786,15424.93932182934,14717.59952694305,,,,,,,,,,,2370.2658544840806
2020-04-21,3080.2798485585936,6966.471475263539,16128.28506331766,15335.796998987877,,,,,,,,,,,2469.826408270978
2020-04-22,3283.842255278051,7313.526377675149,16849.342426683022,15971.651052823621,,,,,,,,,,,2572.2305502972013
2020-04-23,3494.6375544535645,7675.268136301021,17586.052769131722,16621.958246632294,,,,,,,,,,,2676.9623670305114
2020-04-24,3745.0717857176337,8051.186253969237,18336.127670300084,17289.349308653902,,,,,,,,,,,2784.4455366195307
2020-04-25,3974.493754725229,8441.184809431561,19093.57941607495,17966.676550096803,,,,,,,,,,,2893.528925508117
2020-04-26,,8844.436039168137,19857.131371203508,18652.28006953844,50063.09906373915,,,,,,,,,,3003.9452069724734
2020-04-27,,9259.907395932634,20621.92194294239,19344.23191534009,52574.27420719449,,,,,,,,,,3154.6237042514167
2020-04-28,,9687.302605396617,21381.62100339385,20037.846549258265,55051.701878870335,,,,,,,,,,3303.277245864503
2020-04-29,,10124.553101609888,22133.418450106583,20729.690286980815,57488.45594262798,,,,,,,,,,3449.4902416096525
2020-04-30,,10570.176157133492,22872.87420138589,21417.69759284634,59852.626687100594,,,,,,,,,,3591.3480072921398
2020-05-01,,11023.327016161404,23591.796861317114,22093.64697097568,62130.60548236348,,,,,,,,,,3728.0339818240523
2020-05-02,,11482.131427366108,24288.849904781557,22758.60440314561,64295.320459402334,,,,,,,,,,3857.9237669421955
2020-05-03,,,24955.323486423007,23403.412404418883,66327.82433557799,16380.643993401229,,,,,,,,,3979.8804654122087
2020-05-04,,,25588.478656345917,24024.207306727418,68197.03933710314,16668.329591658534,,,,,,,,,4049.7772468297103
2020-05-05,,,26181.923513081103,24617.813012992734,69895.25757510758,16949.364529317903,,,,,,,,,4118.058167832537
2020-05-06,,,26732.846779207,25180.350273883243,71397.76519175716,17220.720044266185,,,,,,,,,4183.987353129501
2020-05-07,,,27235.78966312559,25708.501555665327,72701.30904268172,17486.032795977455,,,,,,,,,4248.448374209368
2020-05-08,,,27688.40315573648,26194.322183394692,73768.69646848147,17740.395723980128,,,,,,,,,4310.2489999168
2020-05-09,,,28087.648970650807,26640.197223519808,74624.383093528,17986.007020026307,,,,,,,,,4369.923308180416
2020-05-10,,,,27040.117659525247,75227.28327136893,18218.71067281154,5983.268291523033,,,,,,,,4426.4615445478685
2020-05-11,,,,27390.061238500308,75609.70521203139,18441.37316889664,5894.244159077806,,,,,,,,4360.600901232938
2020-05-12,,,,27693.315469415298,75750.29475240057,18648.4032941904,5804.175901579874,,,,,,,,4293.967807282616
2020-05-13,,,,27943.382473765465,75659.95509946923,18840.915793229247,5720.037099234845,,,,,,,,4231.72136356017
2020-05-14,,,,28142.91244587083,75357.82726911354,19018.661109896653,5633.5169687090565,,,,,,,,4167.713197464015
2020-05-15,,,,28290.23064164252,74826.75075632006,19179.586557167968,5544.441685161306,,,,,,,,4101.814712224362
2020-05-16,,,,28385.528163423613,74104.4612846226,19326.645458449988,5459.703410031946,,,,,,,,4039.1247745622236
2020-05-17,,,,,73200.2754754098,19453.715371860977,5377.9136686005395,6439.079930263785,,,,,,,3978.6161816753624
2020-05-18,,,,,72142.29213443628,19564.817149592804,5294.871635010535,6384.741872640543,,,,,,,3945.041466392742
2020-05-19,,,,,70932.56960082236,19657.69332873616,5211.705771583596,6329.537836590413,,,,,,,3910.9316753198673
2020-05-20,,,,,69581.69017388104,19733.77204052778,5129.412635464712,6274.267060457364,,,,,,,3876.780646496143
2020-05-21,,,,,68134.12147906794,19787.967532531773,5049.290708177029,6218.222424150706,,,,,,,3842.1514604446124
2020-05-22,,,,,66594.62784202196,19825.419211871165,4969.519778579289,6163.374437176668,,,,,,,3808.2616670470197
2020-05-23,,,,,64969.52504389732,19846.168444392948,4888.852522951523,6107.031062631626,,,,,,,3773.4478948741503
2020-05-24,,,,,,19848.8006101275,4815.4529777492135,6052.057728204026,4144.1646504376295,,,,,,3739.480651062449
2020-05-25,,,,,,19829.80985059748,4734.000140141965,5995.049516583975,4061.7902672589385,,,,,,3665.150252050096
2020-05-26,,,,,,19795.545115803427,4655.873221751912,5938.68729827352,3981.7557243150172,,,,,,3592.9312043045347
2020-05-27,,,,,,19743.81734155828,4582.583115525605,5882.988117885582,3905.11311804507,,,,,,3523.7728654428784
2020-05-28,,,,,,19675.437851867697,4504.920685835965,5825.974240852711,3827.2527347666105,,,,,,3453.515667355114
2020-05-29,,,,,,19591.823824798,4433.259011832859,5768.4309893875525,3751.043640459799,,,,,,3384.7485073521398
2020-05-30,,,,,,19490.993531717362,4357.712658816738,5711.997340007567,3677.823969149343,,,,,,3318.6788486300406
2020-05-31,,,,,,,4287.389377209814,5653.653467865694,3604.590840447423,3385.885912345763,,,,,3252.5970466512804
2020-06-01,,,,,,,4215.454654338807,5596.655480375787,3533.3317661735637,3312.2763536871003,,,,,3181.885203636878
2020-06-02,,,,,,,4142.598530795954,5537.156429325298,3461.953200951128,3238.61911342943,,,,,3111.127556058433
2020-06-03,,,,,,,4071.589489865836,5477.917641524052,3391.9715242656816,3166.5346867211492,,,,,3041.8808066136276
2020-06-04,,,,,,,4006.019607319533,5419.631508526166,3324.608360764643,3097.411757673269,,,,,2975.47897244159
2020-06-05,,,,,,,3934.224239445767,5359.1157908907035,3256.1324080724685,3026.7704739363676,,,,,2907.618555167484
2020-06-06,,,,,,,3867.670232654079,5301.100715007575,3192.2212408770856,2961.3762994144104,,,,,2844.798689281644
2020-06-07,,,,,,,,5239.713045959089,3125.6997968251912,2893.089168359716,2842.120922622337,,,,2779.19975105903
2020-06-08,,,,,,,,5180.713426651029,3064.4636114903115,2831.140267724052,2779.9151796181513,,,,2718.37116910265
2020-06-09,,,,,,,,5119.933637601887,3001.509784000177,2766.6720151965465,2714.752979040208,,,,2654.651582021329
2020-06-10,,,,,,,,5059.806975696239,2940.623895200597,2704.5216412333098,2651.995871709588,,,,2593.2838422878917
2020-06-11,,,,,,,,4998.13055955195,2880.532464395797,2643.958433942973,2591.388302317513,,,,2534.0180522836677
2020-06-12,,,,,,,,4937.780339065865,2822.5584718184355,2585.1513329745253,2532.07381262435,,,,2476.0167147341967
2020-06-13,,,,,,,,4875.725600141039,2764.5744961061537,2526.892064603969,2473.796495072515,,,,2419.029587570371
2020-06-14,,,,,,,,,2708.276565632397,2469.761448190246,2416.130714467248,2354.554499013563,,,2362.6404586536073
2020-06-15,,,,,,,,,2652.574569955361,2413.4817001206184,2359.367200231884,2297.886720098809,,,2305.778072490056
2020-06-16,,,,,,,,,2598.89633869222,2359.9682067611234,2305.8432125803274,2244.905483397321,,,2252.6148887825307
