,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,13682.366112091699,,,,,,,,,,,,,,13682.366112091699
2020-03-30,14694.887363286203,,,,,,,,,,,,,,14694.887363286203
2020-03-31,15645.991754817329,,,,,,,,,,,,,,15645.991754817329
2020-04-01,16711.941048240795,,,,,,,,,,,,,,16711.941048240795
2020-04-02,17818.394684168794,,,,,,,,,,,,,,17818.394684168794
2020-04-03,19155.12728495619,,,,,,,,,,,,,,19155.12728495619
2020-04-04,20410.99987770956,,,,,,,,,,,,,,20410.99987770956
2020-04-05,21877.80919325164,22173.516368003307,,,,,,,,,,,,,21877.80919325164
2020-04-06,23322.630144928346,23409.343978922963,,,,,,,,,,,,,23097.155742474086
2020-04-07,24907.708985523263,24669.626164642203,,,,,,,,,,,,,24340.630739006738
2020-04-08,26408.05399362963,25949.93481709257,,,,,,,,,,,,,25603.865128262092
2020-04-09,28062.191568699054,27274.159887784248,,,,,,,,,,,,,26910.430264106693
2020-04-10,29829.306311429933,28640.538195622714,,,,,,,,,,,,,28258.58647932137
2020-04-11,31547.14730648003,30009.149083713575,,,,,,,,,,,,,29608.94550098135
2020-04-12,33281.091010647615,31400.525601712136,37257.941898563535,,,,,,,,,,,,30981.766548917127
2020-04-13,35131.827585649095,32798.31132386563,38741.98297468744,,,,,,,,,,,,32215.817916935583
2020-04-14,37022.79607479745,34199.01585418523,40194.487057841216,,,,,,,,,,,,33423.64476196468
2020-04-15,38719.86338297128,35592.8367265884,41614.27925173985,,,,,,,,,,,,34604.27010136482
2020-04-16,40659.75167038855,36942.407889374736,42991.812455703934,,,,,,,,,,,,35749.755062793745
2020-04-17,42186.976886292105,38267.83278711556,44304.4793758255,,,,,,,,,,,,36841.30059653296
2020-04-18,44188.74125933466,39568.65188014996,45558.86133803451,,,,,,,,,,,,37884.37939090487
2020-04-19,45583.550663132686,40777.6313970182,46729.21433416001,47135.549099531396,,,,,,,,,,,38857.58406776287
2020-04-20,47117.257888950735,41944.403212683996,47821.702752218036,48257.268275690745,,,,,,,,,,,39782.306448656214
2020-04-21,48820.38791382336,43008.6983224059,48811.1075802128,49284.59414454458,,,,,,,,,,,40629.21291472244
2020-04-22,50364.79637036656,44037.069518153214,49716.505044774814,50235.91065525512,,,,,,,,,,,41413.45881821088
2020-04-23,51655.436585733914,44933.389816524446,50500.80498208368,51076.047908052766,,,,,,,,,,,42106.050811996916
2020-04-24,52683.17748372701,45731.654339827364,51182.232035826884,51819.15501191103,,,,,,,,,,,42718.65313256289
2020-04-25,53573.40743839042,46448.83244661203,51755.28534006213,52459.12403079077,,,,,,,,,,,43246.2305221754
2020-04-26,,47053.101650900986,52202.628976712804,52982.42710153352,77989.73287346112,,,,,,,,,,43677.63088671485
2020-04-27,,47544.30667680874,52542.874912878935,53410.95818585845,78466.2069100259,,,,,,,,,,43944.47700003525
2020-04-28,,47926.932348390284,52770.9747546191,53736.83514743757,78718.06963080293,,,,,,,,,,44085.53104070073
2020-04-29,,48187.42724536604,52892.61576615416,53945.73675758634,78785.17443882179,,,,,,,,,,44123.11264186004
2020-04-30,,48358.766264857724,52910.06500552697,54063.638709847735,78651.2351753875,,,,,,,,,,44048.10084871781
2020-05-01,,48409.86865993573,52816.588727193914,54080.1824385661,78299.71546789382,,,,,,,,,,43851.23457584282
2020-05-02,,48353.522716977146,52637.897563494014,53995.5399088124,77791.62722240013,,,,,,,,,,43566.68313519923
2020-05-03,,,52358.518374705476,53823.53089339081,77122.24708099426,21493.776229540785,,,,,,,,,43191.80124162153
2020-05-04,,,52001.255183525114,53573.84775059956,76293.62223189326,21217.52427381309,,,,,,,,,42636.67219231093
2020-05-05,,,51566.94370395492,53249.174546138536,75313.59027465394,20935.633531643783,,,,,,,,,42070.211986453935
2020-05-06,,,51057.70475955298,52844.98146114122,74204.5210882463,20647.259484671915,,,,,,,,,41490.72356212892
2020-05-07,,,50489.33539093504,52387.461652852246,73031.326412916,20351.55429579728,,,,,,,,,40896.5031883988
2020-05-08,,,49862.823899723975,51862.2142267931,71737.67485800468,20057.537851204943,,,,,,,,,40305.67635085375
2020-05-09,,,49165.98653008272,51277.654140610284,70296.60175996248,19753.76360744176,,,,,,,,,39695.241189585504
2020-05-10,,,,50660.69024274148,68839.86159805831,19448.346459426717,18201.139280434654,,,,,,,,39081.50460779685
2020-05-11,,,,49981.590138233805,67294.65247673451,19146.266687624662,17898.276327420874,,,,,,,,38431.196969831435
2020-05-12,,,,49266.02805721066,65682.73232781638,18837.209923360908,17590.916301072324,,,,,,,,37771.23321146902
2020-05-13,,,,48528.249017339935,64054.51071282943,18527.459133501718,17282.78351418045,,,,,,,,37109.61018088912
2020-05-14,,,,47752.7860745283,62358.71440619202,18223.140825140657,16985.086973272362,,,,,,,,36470.39586820425
2020-05-15,,,,46946.43556878512,60607.62659275122,17919.45884313499,16688.16428723106,,,,,,,,35832.8431774693
2020-05-16,,,,46106.55745372618,58854.106430746375,17613.67235992083,16386.80431948564,,,,,,,,35185.76275098696
2020-05-17,,,,,57058.145883175246,17310.673048040117,16094.36832064587,15955.800528493122,,,,,,,34557.84387953326
2020-05-18,,,,,55244.59023519724,17010.512774390976,15803.83825791577,15671.779804982063,,,,,,,33942.69807070219
2020-05-19,,,,,53434.894369167894,16714.583520245327,15516.303868770194,15393.802752496133,,,,,,,33340.64193664942
2020-05-20,,,,,51599.507492107645,16422.47298351955,15237.83753504921,15121.126928476931,,,,,,,32750.06745940202
2020-05-21,,,,,49740.298798623466,16130.780605182945,14959.686346575369,14850.186366845628,,,,,,,32163.25129729424
2020-05-22,,,,,47887.18811715074,15848.630333943463,14691.242832279077,14586.816208062857,,,,,,,31592.83147953017
2020-05-23,,,,,46078.396829151134,15567.609850167319,14423.190111143538,14327.2368385493,,,,,,,31030.621936362586
2020-05-24,,,,,,15292.175698795612,14162.33208021128,14071.66781188407,10037.337072796146,,,,,,30477.09818754349
2020-05-25,,,,,,15016.344201410986,13898.840390698679,13820.721100270595,9824.73122451482,,,,,,29831.547553314278
2020-05-26,,,,,,14752.49705266069,13654.70992998066,13578.042263396323,9618.554473190388,,,,,,29205.518054799788
2020-05-27,,,,,,14489.598334063632,13405.537032907618,13338.13073807553,9418.738837784784,,,,,,28598.803276218925
2020-05-28,,,,,,14234.604568770883,13169.178474495659,13103.519025499349,9223.583108977467,,,,,,28006.237711708567
2020-05-29,,,,,,13981.673084409087,12932.263044706944,12873.975481681875,9033.879043103498,,,,,,27430.225428740912
2020-05-30,,,,,,13736.045975944422,12705.455482535117,12651.4814651165,8851.255357786235,,,,,,26875.711821354926
2020-05-31,,,,,,,12476.29285420288,12429.688183738856,8672.341088134239,6696.9220221526375,,,,,26332.461383137103
2020-06-01,,,,,,,12262.227482755601,12216.602108487854,8499.654286771733,6541.199590696061,,,,,25720.15696936995
2020-06-02,,,,,,,12046.294502696872,12006.344673917249,8332.320719095265,6393.590554578715,,,,,25139.754624754816
2020-06-03,,,,,,,11841.960884106054,11804.377966756136,8172.469135441092,6252.722834077546,,,,,24585.85929822162
2020-06-04,,,,,,,11636.316925285539,11601.96512854954,8013.371923054083,6112.81620826278,,,,,24035.74301953033
2020-06-05,,,,,,,11438.988339184802,11407.0877173948,7860.757575842421,5979.596326663155,,,,,23511.919182835783
2020-06-06,,,,,,,11243.059388594567,11214.9237008191,7711.688841597746,5849.253375922161,,,,,22999.40750872671
2020-06-07,,,,,,,,11029.954190741135,7570.547149590144,5725.867256126089,5646.0659780336255,,,,22514.25026424967
2020-06-08,,,,,,,,10847.12929854598,7430.310516952225,5604.766234946214,5524.98445297085,,,,22031.425627016193
2020-06-09,,,,,,,,10670.261162597648,7297.181507981506,5489.289905377784,5409.110081119708,,,,21569.365031688558
2020-06-10,,,,,,,,10495.266486521137,7164.570472755047,5374.540880502933,5293.9348396915275,,,,21110.09228853465
2020-06-11,,,,,,,,10328.458687653136,7041.874292866595,5269.844839412662,5189.911501055671,,,,20695.28886815625
2020-06-12,,,,,,,,10160.133291608814,6916.304106501657,5161.321016346054,5080.3554998290865,,,,20258.42340481202
2020-06-13,,,,,,,,9998.077907305986,6799.875824423781,5064.092521465587,4984.68036070759,,,,19876.909261224475
2020-06-14,,,,,,,,,6685.030489499344,4966.124868152489,4886.361701553238,4177.0460949149,,,19484.85381829154
2020-06-15,,,,,,,,,6572.047414608186,4870.3577253257645,4790.665363532737,4087.3617390680683,,,19066.499190701834
2020-06-16,,,,,,,,,6464.344632499524,4778.945133416528,4698.819493050909,4001.5403854860187,,,18666.164482624303
2020-06-17,,,,,,,,,6358.373081952986,4689.941554091205,4609.710667775505,3918.503306925461,,,18278.817706820188
2020-06-18,,,,,,,,,6256.821137919952,4604.912904809775,4525.407092637185,3838.5633435509503,,,17905.918182802925
2020-06-19,,,,,,,,,6156.29124177209,4522.352734935418,4443.278828370906,3763.720488913274,,,17556.795369977353
2020-06-20,,,,,,,,,6061.218868430905,4444.0599189779905,4365.952990116248,3691.517124032383,,,17219.98510312259
2020-06-21,,,,,,,,,,4364.4597815388215,4286.207262219257,3616.3793919612976,3287.9144307608744,,16869.48676233929
2020-06-22,,,,,,,,,,4291.8090736941085,4214.848473200793,3551.2660610572498,3225.723564070473,,16550.400598612894
2020-06-23,,,,,,,,,,4218.26728015162,4140.999180537964,3482.285690715695,3158.630945567564,,16206.164742260764
2020-06-24,,,,,,,,,,4147.783276707147,4071.26883134242,3418.4197186704573,3097.2499040665834,,15891.233594000993
2020-06-25,,,,,,,,,,4078.711133829338,4002.5208440738543,3355.178080258809,3036.3576823127337,,15578.810460602024
2020-06-26,,,,,,,,,,4016.692024165139,3941.994088836471,3299.029194863272,2981.647337326854,,15298.105028651738
2020-06-27,,,,,,,,,,3948.878698832785,3873.8655601388537,3235.7139604249364,2920.1877273995697,,14982.770764965646
2020-06-28,,,,,,,,,,,3815.7918256430617,3183.108124273567,2869.6668011673682,2700.0834048842903,14723.560218510513
2020-06-29,,,,,,,,,,,3753.8994021901367,3125.702594645073,2814.045802641372,2645.173094941909,14424.13418834002
2020-06-30,,,,,,,,,,,3695.583427428913,3073.296947232102,2764.537748764519,2597.181630432613,14162.436636183327
2020-07-01,,,,,,,,,,,3641.338281426517,3023.5524675749157,2716.406115976243,2549.467755539007,13902.252780757353
2020-07-02,,,,,,,,,,,3587.4698699233263,2974.261902712053,2668.853788878392,2502.729721936789,13647.390189849159
2020-07-03,,,,,,,,,,,3533.660564561068,2925.05038583984,2621.356273077933,2455.852824746106,13391.770375514749
2020-07-04,,,,,,,,,,,3480.5271813434997,2877.468395685527,2576.43708276238,2412.3123043997,13154.343830799156
2020-07-05,,,,,,,,,,,,2835.8277058824933,2536.36615543737,2372.7760574901113,12938.752597160143
2020-07-06,,,,,,,,,,,,2790.0618975099237,2492.512198652742,2329.7337949358803,12704.04305318392
2020-07-07,,,,,,,,,,,,2745.098024189418,2449.327534028791,2287.242840044089,12472.339790995946
2020-07-08,,,,,,,,,,,,2706.102420285748,2412.253579260728,2251.003009490692,12274.723922354131
2020-07-09,,,,,,,,,,,,2662.572079796043,2370.5513103979515,2210.054260261443,12051.430310734984
2020-07-10,,,,,,,,,,,,2623.4090682743395,2332.9170693276515,2172.9965944877513,11849.354784997748
2020-07-11,,,,,,,,,,,,2586.3192821504044,2297.804955373304,2138.6882339398694,11662.271226167179
2020-07-12,,,,,,,,,,,,,2261.440571799937,2103.088965931547,11468.148346367512
2020-07-13,,,,,,,,,,,,,2229.2117994751857,2071.5913389318,11296.391723208371
2020-07-14,,,,,,,,,,,,,2191.6147554560503,2034.688697876048,11095.16154756877
2020-07-15,,,,,,,,,,,,,2160.9072679031146,2005.1390190428235,10934.027089665877
2020-07-16,,,,,,,,,,,,,2129.561201114744,1974.6008531137954,10767.50240964838
2020-07-17,,,,,,,,,,,,,2099.3093888102553,1945.1911452729807,10607.131213847637
2020-07-18,,,,,,,,,,,,,2068.721026794936,1915.2684601105486,10443.962751683972
2020-07-19,,,,,,,,,,,,,,1885.4114944428327,10281.152658056715
2020-07-20,,,,,,,,,,,,,,1860.9188294642777,10147.594106838918
2020-07-21,,,,,,,,,,,,,,1832.6871422790548,9993.646660034181
2020-07-22,,,,,,,,,,,,,,1803.78924201042,9836.06635195033
2020-07-23,,,,,,,,,,,,,,1778.1312632361335,9696.153342268817
2020-07-24,,,,,,,,,,,,,,1754.4899052253186,9567.236969652351
2020-07-25,,,,,,,,,,,,,,1731.4705825508565,9441.71255697174
