,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,14761.898918923338,,,,,,,,,,,,,,14761.898918923338
2020-03-30,14606.17144377149,,,,,,,,,,,,,,14606.17144377149
2020-03-31,14440.388677809942,,,,,,,,,,,,,,14440.388677809942
2020-04-01,14303.110926971909,,,,,,,,,,,,,,14303.110926971909
2020-04-02,14164.570451869742,,,,,,,,,,,,,,14164.570451869742
2020-04-03,14031.984689880594,,,,,,,,,,,,,,14031.984689880594
2020-04-04,13924.772201227555,,,,,,,,,,,,,,13924.772201227555
2020-04-05,13832.65921578752,33085.547749279016,,,,,,,,,,,,,13832.65921578752
2020-04-06,13724.964587851153,33590.274160998,,,,,,,,,,,,,14043.679099859657
2020-04-07,13643.598111735171,34076.17211211616,,,,,,,,,,,,,14246.827036910612
2020-04-08,13541.87780143984,34513.33308083171,,,,,,,,,,,,,14429.598643066582
2020-04-09,13447.084371369014,34925.213253000686,,,,,,,,,,,,,14601.80066016867
2020-04-10,13363.790395686203,35290.30608792397,,,,,,,,,,,,,14754.441468955933
2020-04-11,13253.720560073416,35609.34534676245,,,,,,,,,,,,,14887.827845914624
2020-04-12,13174.72409100912,35858.7027236797,50217.95861848311,,,,,,,,,,,,14992.081087963918
2020-04-13,13101.982021407439,36064.98466358498,50782.30267800017,,,,,,,,,,,,15160.560495222746
2020-04-14,13001.42587833292,36228.86777430011,51192.2269130365,,,,,,,,,,,,15282.939372036037
2020-04-15,12960.83547216377,36318.317238771575,51488.019859748914,,,,,,,,,,,,15371.245467392293
2020-04-16,12868.830468514252,36369.05050074359,51726.610934955126,,,,,,,,,,,,15442.474502676883
2020-04-17,12767.150705036973,36348.88831368267,51805.05518053156,,,,,,,,,,,,15465.893266061925
2020-04-18,12687.859392740449,36284.72117189036,51868.555593264275,,,,,,,,,,,,15484.850694101575
2020-04-19,12592.224016255625,36134.74727058879,51704.172705196994,20932.586652009904,,,,,,,,,,,15435.7757883273
2020-04-20,12482.002538882012,35971.04715216325,51569.370192791925,20634.64772679544,,,,,,,,,,,15216.074395246762
2020-04-21,12405.640021871804,35720.76937461134,51263.00931157807,20321.41043122076,,,,,,,,,,,14985.091920724506
2020-04-22,12308.889068919274,35436.411097297765,50907.03443824111,20005.47499948336,,,,,,,,,,,14752.119829460351
2020-04-23,12185.830338434902,35116.58387305928,50475.496202053466,19692.95444588274,,,,,,,,,,,14521.665883427844
2020-04-24,12110.217943145346,34750.57570526127,49955.614663297325,19362.087687705087,,,,,,,,,,,14277.683370423385
2020-04-25,11993.23035881615,34347.56741362944,49411.767346308894,19055.05363152413,,,,,,,,,,,14051.275190231527
2020-04-26,,33913.288133839436,48798.86838927531,18723.677613293075,9815.974521594124,,,,,,,,,,13806.917146761916
2020-04-27,,33456.50921932391,48162.13078014203,18394.107090957263,9484.169760241028,,,,,,,,,,13340.208432428444
2020-04-28,,32976.366300944865,47466.20290242657,18061.603489779984,9154.095832727939,,,,,,,,,,12875.93426795767
2020-04-29,,32464.69138654268,46734.81292427106,17746.52171925147,8850.650266477176,,,,,,,,,,12449.114925409485
2020-04-30,,31956.319878242954,46006.744242969326,17417.561927150968,8550.962961829588,,,,,,,,,,12027.58186457044
2020-05-01,,31436.99303637775,45227.84670952652,17105.081781112334,8283.154612188922,,,,,,,,,,11650.888986388518
2020-05-02,,30915.710275956724,44524.35085523282,16783.823116812073,7976.433978057699,,,,,,,,,,11219.463010971018
2020-05-03,,,43760.4916679164,16474.31961003824,7720.122905737105,7826.217762697,,,,,,,,,10858.941930609306
2020-05-04,,,42999.716441471006,16162.299022785228,7464.54786199633,7562.618002833858,,,,,,,,,10493.19508173936
2020-05-05,,,42292.880470020216,15852.530039635296,7205.747011120363,7290.395920457491,,,,,,,,,10115.484689007353
2020-05-06,,,41510.09311731654,15552.577347565706,6968.4565500334065,7044.6480469820835,,,,,,,,,9774.50748027702
2020-05-07,,,40836.8082340513,15274.461216463003,6750.7328816144445,6817.26812231917,,,,,,,,,9459.015952572581
2020-05-08,,,40176.34970701351,14983.637563326038,6531.276838589022,6595.613676450192,,,,,,,,,9151.468574089828
2020-05-09,,,39486.3638132286,14694.247622308852,6296.321323259376,6360.490360350584,,,,,,,,,8825.233026667736
2020-05-10,,,,14419.608914674192,6097.861973450656,6141.451527211145,4511.183149652803,,,,,,,,8521.314832499074
2020-05-11,,,,14152.728823646614,5900.951189222469,5942.749300219768,4326.776303541012,,,,,,,,8172.982977892878
2020-05-12,,,,13885.938877445984,5705.622132288423,5736.512211700088,4145.922434579742,,,,,,,,7831.362452862073
2020-05-13,,,,13637.839807365795,5516.1825316751465,5541.56821724521,3987.754850153796,,,,,,,,7532.594759669857
2020-05-14,,,,13392.460301508947,5337.504086421439,5358.010027026519,3828.031533945017,,,,,,,,7230.8883960941375
2020-05-15,,,,13156.002924223723,5167.58769500219,5178.656368200687,3666.276852508887,,,,,,,,6925.344923257318
2020-05-16,,,,12914.55603516282,5004.071440730669,5009.531360088481,3518.961037898963,,,,,,,,6647.075477204381
