,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,1484.4311439636795,,,,,,,,,,,,,,1484.4311439636795
2020-03-30,1536.5404891834073,,,,,,,,,,,,,,1536.5404891834073
2020-03-31,1577.0289422296923,,,,,,,,,,,,,,1577.0289422296923
2020-04-01,1646.738171176303,,,,,,,,,,,,,,1646.738171176303
2020-04-02,1694.0509022926615,,,,,,,,,,,,,,1694.0509022926615
2020-04-03,1779.9239079761076,,,,,,,,,,,,,,1779.9239079761076
2020-04-04,1869.8596819268148,,,,,,,,,,,,,,1869.8596819268148
2020-04-05,1944.019519121841,2712.8617215223035,,,,,,,,,,,,,1944.019519121841
2020-04-06,1999.6637754765995,2859.764974399317,,,,,,,,,,,,,2049.2894592554476
2020-04-07,2107.0827926337824,3057.073387671941,,,,,,,,,,,,,2190.6794179274666
2020-04-08,2189.7217966470525,3118.848819328771,,,,,,,,,,,,,2234.947300801963
2020-04-09,2303.072614633269,3319.922269766389,,,,,,,,,,,,,2379.0352612486026
2020-04-10,2401.020583336565,3426.0637222934724,,,,,,,,,,,,,2455.0955535457
2020-04-11,2467.6583254318202,3733.3130120479614,,,,,,,,,,,,,2675.2684476451013
2020-04-12,2592.776702922483,3894.439923894452,1696.7618013018678,,,,,,,,,,,,2790.730971665542
2020-04-13,2670.275599428701,4086.5944262209705,1683.224162673656,,,,,,,,,,,,2768.4650841532352
2020-04-14,2788.8230840122587,4331.008988972387,1668.7325038928072,,,,,,,,,,,,2744.6300821161235
2020-04-15,2895.8250941988676,4556.742973261138,1637.5979674661478,,,,,,,,,,,,2693.4218836361356
2020-04-16,2998.9368926051147,4808.2139534021835,1680.422335859883,,,,,,,,,,,,2763.8568092259943
2020-04-17,3121.6954903786714,5101.8398515087765,1659.121154619958,,,,,,,,,,,,2728.8219173668604
2020-04-18,3288.6127091550293,5384.248920587674,1684.3682930333225,,,,,,,,,,,,2770.346880424164
2020-04-19,3400.5320713182646,5742.090572660759,1673.0066583046814,1983.160414852212,,,,,,,,,,,2751.6599522403485
2020-04-20,3573.8745165369164,6045.067270377618,1699.5430393310426,2002.8580139507667,,,,,,,,,,,2778.9906180749717
2020-04-21,3709.6669943299357,6416.852671891538,1704.1762931619705,2019.5012677552304,,,,,,,,,,,2802.0833415005386
2020-04-22,3893.715392660415,6735.075361948089,1685.9484778591052,2035.7253987962977,,,,,,,,,,,2824.5945268344444
2020-04-23,4049.684556123751,7184.97846847763,1727.9631058943066,2059.9837399606895,,,,,,,,,,,2858.2532794950635
2020-04-24,4186.480416819592,7528.900063212938,1751.6502781006836,2077.2316813776997,,,,,,,,,,,2882.1850145681997
2020-04-25,4387.245105161548,7870.469073616806,1703.6061595911553,2098.8533452595,,,,,,,,,,,2912.1853444249177
2020-04-26,,8290.661943868517,1716.2627241766986,2119.444783382064,15751.849019460302,,,,,,,,,,2940.756223117611
2020-04-27,,8775.512294236341,1784.9430468679957,2140.3325762892778,16806.07806651587,,,,,,,,,,3137.5731572368945
2020-04-28,,9186.162576156185,1803.049067133096,2167.2130586359813,17907.549135953395,,,,,,,,,,3343.2098350663136
2020-04-29,,9547.833717717165,1814.4750434910352,2187.1805863525647,19048.70565839357,,,,,,,,,,3556.2554997861353
2020-04-30,,10096.642593134458,1835.8778734433624,2212.526940401184,20233.709757627752,,,,,,,,,,3777.4871897888497
2020-05-01,,10434.703217484906,1818.6613288219119,2239.4948672843934,21454.073374907744,,,,,,,,,,4005.320245930307
2020-05-02,,10889.694847299668,1849.3761066479328,2267.1321645354515,22710.21896269277,,,,,,,,,,4239.833537027552
2020-05-03,,,1858.3751962433605,2295.6845649804377,23992.987143821065,12331.776694895276,,,,,,,,,4479.317073646641
2020-05-04,,,1927.3666743019328,2320.256229263544,25305.472202243305,12869.877159298929,,,,,,,,,4674.773304907966
2020-05-05,,,1948.685706615787,2352.557176977105,26627.523725450683,13422.367385697538,,,,,,,,,4875.456382890931
2020-05-06,,,1949.690989200335,2380.63727196533,27962.22977639939,13985.309636902695,,,,,,,,,5079.935988684
2020-05-07,,,1948.693144305941,2411.791442198439,29295.71451603532,14555.350159671409,,,,,,,,,5286.993926034206
2020-05-08,,,2005.9727291356753,2440.636744511944,30627.13512212576,15133.516257016403,,,,,,,,,5497.003346032309
2020-05-09,,,2041.6979284621048,2471.3847292808427,31937.806331835898,15716.223433788653,,,,,,,,,5708.66223918538
2020-05-10,,,,2502.6408943801034,33226.39500417045,16303.702620705644,8293.833180307458,,,,,,,,5922.054487316068
2020-05-11,,,,2535.1364065961425,34482.61665008872,16890.124844238333,8496.612899386086,,,,,,,,6066.845504834672
2020-05-12,,,,2568.723249109117,35686.522010479894,17478.268361688282,8710.07966618313,,,,,,,,6219.267406351195
2020-05-13,,,,2603.056711797197,36839.687887697444,18062.377348204027,8920.76187071695,,,,,,,,6369.701043926589
2020-05-14,,,,2635.5486792714732,37938.65553404248,18641.48318150935,9134.1450789427,,,,,,,,6522.063282027977
2020-05-15,,,,2670.2177024284874,38956.121484075615,19211.51716413989,9336.476295321574,,,,,,,,6666.534054688998
2020-05-16,,,,2702.3455500931727,39901.937957726805,19769.871276704333,9552.01636137176,,,,,,,,6820.436356266468
2020-05-17,,,,,40765.8687430724,20320.111222953128,9764.404986880994,6829.428996011475,,,,,,,6972.088431417711
2020-05-18,,,,,41531.101147679416,20851.49707188369,9972.521541900438,6933.89258041713,,,,,,,7078.734147884557
2020-05-19,,,,,42209.635003724725,21367.30454806763,10186.618056438521,7038.392090763643,,,,,,,7185.4165407465725
2020-05-20,,,,,42791.41145018036,21861.669419272104,10395.635960751031,7141.673629728463,,,,,,,7290.855520113103
2020-05-21,,,,,43271.10673505538,22335.516174512217,10601.007607161187,7244.696342172184,,,,,,,7396.030266350545
2020-05-22,,,,,43651.14378222136,22784.012781366582,10817.048914135943,7344.795359011939,,,,,,,7498.220244123552
2020-05-23,,,,,43938.12810210089,23204.633682980268,11009.915633865225,7444.8684401439405,,,,,,,7600.3837444197325
2020-05-24,,,,,,23603.73919868679,11208.813329571267,7543.225942820822,5291.166505368845,,,,,,7700.795829669776
2020-05-25,,,,,,23975.266579940417,11407.919900510195,7640.638823528091,5328.5446185865885,,,,,,7755.196162393393
2020-05-26,,,,,,24315.2855259311,11610.95178417928,7735.669925920319,5363.69985814517,,,,,,7806.361311308867
2020-05-27,,,,,,24625.874112776124,11798.150298990187,7828.805883951651,5398.19289713777,,,,,,7856.562689503511
2020-05-28,,,,,,24899.82242847563,11987.417254865442,7917.644626920426,5430.753117183321,,,,,,7903.9510312775765
2020-05-29,,,,,,25151.446100196117,12170.048758017398,8009.1852887385585,5466.152058917303,,,,,,7955.470865817498
2020-05-30,,,,,,25363.597432719707,12342.050599224134,8096.382031054883,5499.28047550942,,,,,,8003.686164292281
2020-05-31,,,,,,,12516.192236760051,8179.005900934717,5528.5447812640405,5102.891439326975,,,,,8046.277612413352
2020-06-01,,,,,,,12684.859043728133,8260.734263553459,5558.7566890453945,5123.527617150562,,,,,8078.816892858951
2020-06-02,,,,,,,12837.517097639091,8339.799652367208,5588.262563199146,5143.761112957049,,,,,8110.721221270465
2020-06-03,,,,,,,12992.420638943106,8416.816962966997,5618.163829093561,5166.413453241939,,,,,8146.439601853362
2020-06-04,,,,,,,13137.875778121122,8490.2732118637,5644.913459685859,5183.255825263236,,,,,8172.996780767748
2020-06-05,,,,,,,13279.309644402945,8559.201878667907,5670.40623104459,5200.40016626888,,,,,8200.030106648474
2020-06-06,,,,,,,13412.772345692532,8626.461954913393,5694.4230350515845,5216.583284773438,,,,,8225.547769657866
2020-06-07,,,,,,,,8691.02681164088,5717.904881183487,5232.1986045902895,4265.717550491988,,,,8250.170123424728
2020-06-08,,,,,,,,8750.786218501646,5740.59507327769,5247.713098745033,4260.7801821134135,,,,8240.620937712572
2020-06-09,,,,,,,,8807.344433192678,5760.800415270417,5261.168030227071,4256.612699405484,,,,8232.560760047296
2020-06-10,,,,,,,,8863.091141142533,5782.56048108623,5275.974267062826,4253.565846358353,,,,8226.667951702073
2020-06-11,,,,,,,,8910.919108432581,5798.237409145865,5284.342127037467,4250.301884240468,,,,8220.355240550849
2020-06-12,,,,,,,,8957.62436249417,5813.690834701954,5292.806695604178,4239.388541861701,,,,8199.248139535774
2020-06-13,,,,,,,,9001.610092710775,5830.587502461703,5305.6505517587375,4234.722045571316,,,,8190.222837738292
2020-06-14,,,,,,,,,5844.089212352299,5313.620373758847,4228.664882731524,3622.905365194265,,,8178.507898035403
2020-06-15,,,,,,,,,5856.630552982361,5319.279120736714,4222.352577394251,3610.5343411051977,,,8150.580997379581
2020-06-16,,,,,,,,,5867.733100216247,5326.618903214518,4212.997294320042,3590.795648922204,,,8106.021994688974
2020-06-17,,,,,,,,,5878.310437428967,5333.748322928333,4207.468273788944,3580.17726409711,,,8082.051579952029
2020-06-18,,,,,,,,,5889.303728395035,5341.4702515982235,4197.6177362069675,3561.083654211853,,,8038.948814765612
2020-06-19,,,,,,,,,5897.57025599913,5347.624491300029,4192.075178542334,3549.478216533855,,,8012.75018296542
2020-06-20,,,,,,,,,5901.733005633217,5347.246596577818,4178.287627639001,3528.368821033863,,,7965.096893570106
2020-06-21,,,,,,,,,,5352.87020860055,4170.096275179533,3510.936255021856,2910.4054308791706,,7925.743842788837
2020-06-22,,,,,,,,,,5348.797719878135,4159.310146393965,3497.125215774105,2892.3993887406077,,7876.708998330894
2020-06-23,,,,,,,,,,5353.652154963809,4148.410957174124,3477.883670411658,2870.1048101954107,,7815.995423253903
2020-06-24,,,,,,,,,,5350.783882539139,4135.658463924496,3459.169087087653,2849.890639252546,,7760.947305494208
2020-06-25,,,,,,,,,,5348.092289059693,4121.281188120172,3438.5983506572297,2828.0125145350207,,7701.367835764003
2020-06-26,,,,,,,,,,5346.094967538578,4110.336761763684,3422.3043452259058,2808.2380485906624,,7647.51714196029
2020-06-27,,,,,,,,,,5339.833994365808,4094.337716115045,3399.2811507395368,2785.6049348514366,,7585.881652980454
2020-06-28,,,,,,,,,,,4081.9243056734654,3381.146119399601,2763.170131717203,2050.3893486927427,7524.786212146419
2020-06-29,,,,,,,,,,,4071.421895184519,3366.9088543916546,2745.46455734265,2030.3086820480248,7451.091563081244
2020-06-30,,,,,,,,,,,4052.647075958445,3341.896465279437,2722.4825158495305,2008.218378734144,7370.021687301602
2020-07-01,,,,,,,,,,,4036.2672806339215,3321.276923658365,2700.0282400115907,1986.0244516556825,7288.57151951768
2020-07-02,,,,,,,,,,,4023.179179626409,3302.9126866802208,2680.1389021333466,1966.3871298106533,7216.5039150126295
2020-07-03,,,,,,,,,,,4008.8789684253493,3284.7889757902576,2657.774481625136,1945.2839433933482,7139.056689544678
2020-07-04,,,,,,,,,,,3992.6873374400507,3267.149312193717,2640.2012090166018,1926.0510059183305,7068.473147534299
2020-07-05,,,,,,,,,,,,3248.9747952048087,2620.4020716960767,1904.9804891481824,6991.145817397759
2020-07-06,,,,,,,,,,,,3226.7644134305187,2597.4891886200035,1885.8908586164453,6921.088201895723
2020-07-07,,,,,,,,,,,,3206.8186725769488,2577.0188079879003,1863.8637083749445,6840.250093496556
2020-07-08,,,,,,,,,,,,3187.546946378525,2556.8988327867346,1843.7928244759805,6766.591346427465
2020-07-09,,,,,,,,,,,,3167.0736402143652,2537.552684061301,1825.4625477578888,6699.320506574018
2020-07-10,,,,,,,,,,,,3145.2449947135083,2513.325008393361,1803.7615514092954,6619.679360263027
2020-07-11,,,,,,,,,,,,3124.2802403582978,2493.2614172407743,1784.0348534623947,6547.283751684268
2020-07-12,,,,,,,,,,,,,2470.487193520809,1763.7926691876266,6472.996344157686
2020-07-13,,,,,,,,,,,,,2453.0774355468297,1746.9501710733844,6411.185548237899
2020-07-14,,,,,,,,,,,,,2433.270524523176,1728.363518723084,6342.973827656796
2020-07-15,,,,,,,,,,,,,2409.729857639833,1707.6182884171267,6266.840276205411
2020-07-16,,,,,,,,,,,,,2388.7986471124977,1688.6525701258884,6197.237410002291
2020-07-17,,,,,,,,,,,,,2368.915501934393,1671.0530272899045,6132.648312640502
2020-07-18,,,,,,,,,,,,,2349.26708106996,1653.0293394087653,6066.5026324815135
2020-07-19,,,,,,,,,,,,,,1633.5620272051597,5995.058951528607
2020-07-20,,,,,,,,,,,,,,1615.2646463779922,5927.90883730545
2020-07-21,,,,,,,,,,,,,,1598.4790696934115,5866.306939071054
2020-07-22,,,,,,,,,,,,,,1580.0323171380815,5798.608641001118
2020-07-23,,,,,,,,,,,,,,1562.3454917010406,5733.699222567912
2020-07-24,,,,,,,,,,,,,,1545.7823619284757,5672.913689019344
2020-07-25,,,,,,,,,,,,,,1528.2054035413626,5608.4074750131385
