,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,2614.620426423095,,,,,,,,,,,,,,2614.620426423095
2020-03-30,2970.418023583415,,,,,,,,,,,,,,2970.418023583415
2020-03-31,3242.4106228787014,,,,,,,,,,,,,,3242.4106228787014
2020-04-01,3482.136007071193,,,,,,,,,,,,,,3482.136007071193
2020-04-02,3658.444343563832,,,,,,,,,,,,,,3658.444343563832
2020-04-03,3635.5698559599823,,,,,,,,,,,,,,3635.5698559599823
2020-04-04,3268.033083842415,,,,,,,,,,,,,,3268.033083842415
2020-04-05,3068.669480041793,2835.8653732846,,,,,,,,,,,,,3068.6694800417927
2020-04-06,2774.0672164288208,2846.0344217809647,,,,,,,,,,,,,3079.673334123101
2020-04-07,2749.2155100564546,2867.543406599639,,,,,,,,,,,,,3102.948051562632
2020-04-08,2577.725783454155,2895.654350115346,,,,,,,,,,,,,3133.366700922533
2020-04-09,2416.308991301929,2927.7766977024125,,,,,,,,,,,,,3168.1260617145986
2020-04-10,2276.2828891378313,2961.714643023421,,,,,,,,,,,,,3204.850067728072
2020-04-11,2161.2354074856544,2997.683646166961,,,,,,,,,,,,,3243.771866771821
2020-04-12,2079.973896489156,3035.026409847375,4131.349304257881,,,,,,,,,,,,3284.1802021907106
2020-04-13,1960.469982518864,3073.558350394182,4157.557794527449,,,,,,,,,,,,3305.0144136150298
2020-04-14,1814.6952366751443,3113.8961606356042,4187.264854890938,,,,,,,,,,,,3328.629782911086
2020-04-15,1734.1785285603257,3154.486531473573,4212.560099157281,,,,,,,,,,,,3348.738017366953
2020-04-16,1656.448739152724,3196.446695758321,4239.018841036059,,,,,,,,,,,,3369.771164131764
2020-04-17,1630.9219553669714,3239.757626363945,4269.314313646575,,,,,,,,,,,,3393.854286626617
2020-04-18,1485.1720863038101,3284.2522637562897,4296.505528072376,,,,,,,,,,,,3415.469706072923
2020-04-19,1427.3573118215177,3328.874511609148,4323.344815002216,2573.030687570088,,,,,,,,,,,3436.8053638167626
2020-04-20,1329.04645478695,3374.200624687849,4351.191043133281,2601.8844031650324,,,,,,,,,,,3475.3453645255754
2020-04-21,1287.060942822411,3421.283329801344,4379.511608062619,2632.454707006377,,,,,,,,,,,3516.1782176753604
2020-04-22,1243.973076302572,3468.3437299713496,4406.1091565146335,2663.43547967838,,,,,,,,,,,3557.559335362255
2020-04-23,1181.5384899965213,3517.3906614258044,4435.579087051108,2696.84479179658,,,,,,,,,,,3602.1842609972045
2020-04-24,1102.520998046494,3565.494839968796,4460.995849687235,2730.1349340306438,,,,,,,,,,,3646.650011034683
2020-04-25,1076.036332061256,3615.375451358383,4490.886632837767,2765.3330660585034,,,,,,,,,,,3693.6642691755055
2020-04-26,,3666.21488777692,4523.31525666649,2801.262536165413,1138.8701334885825,,,,,,,,,,3741.655377940375
2020-04-27,,3716.948357910047,4549.43809832974,2837.6327110012453,1115.3907648322656,,,,,,,,,,3664.516024277244
2020-04-28,,3768.461325553919,4576.883329845241,2874.4053079755395,1093.39825297039,,,,,,,,,,3592.2616048639097
2020-04-29,,3820.395358733925,4607.852568853316,2912.0381528420753,1072.9423616681522,,,,,,,,,,3525.055614074487
