,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,4487.267388578203,,,,,,,,,,,,,,4487.267388578203
2020-03-30,5003.985168101562,,,,,,,,,,,,,,5003.985168101562
2020-03-31,5532.834392031778,,,,,,,,,,,,,,5532.834392031778
2020-04-01,6144.0750279220765,,,,,,,,,,,,,,6144.0750279220765
2020-04-02,6915.922343251435,,,,,,,,,,,,,,6915.922343251435
2020-04-03,7745.9869100269225,,,,,,,,,,,,,,7745.9869100269225
2020-04-04,8673.334292810125,,,,,,,,,,,,,,8673.334292810125
2020-04-05,9786.002657327017,16623.312967232883,,,,,,,,,,,,,9786.002657327017
2020-04-06,9976.667155667668,17566.997200742044,,,,,,,,,,,,,10341.541522233289
2020-04-07,9504.177641339418,17348.121611397935,,,,,,,,,,,,,10212.691328341883
2020-04-08,9145.29833266927,17426.56300564047,,,,,,,,,,,,,10258.869108548211
2020-04-09,8961.83762295158,17685.036568663112,,,,,,,,,,,,,10411.03029203638
2020-04-10,8890.652128865342,17885.349250156694,,,,,,,,,,,,,10528.952660294528
2020-04-11,8760.13888237535,18276.57217334839,,,,,,,,,,,,,10759.262260643614
2020-04-12,8725.668412669918,18654.80614051103,8531.263311550914,,,,,,,,,,,,10981.925373287944
2020-04-13,8506.422346479048,18962.987144523082,8534.057182008077,,,,,,,,,,,,10985.521801594365
2020-04-14,8470.870097612878,19319.121065323863,8546.846966521229,,,,,,,,,,,,11001.985536674923
2020-04-15,8578.814511600816,19700.8899041231,8552.224170908798,,,,,,,,,,,,11008.907378745049
2020-04-16,8474.954182580323,19950.835552032462,8551.774114014532,,,,,,,,,,,,11008.328040018054
2020-04-17,8358.112262963592,20279.75588999124,8571.85217276984,,,,,,,,,,,,11034.17365453481
2020-04-18,8404.234127475189,20553.19482328037,8591.886361308278,,,,,,,,,,,,11059.962796823458
2020-04-19,8408.257129953008,20845.173854683337,8603.625353532854,4711.46522615179,,,,,,,,,,,11075.07389254985
2020-04-20,8340.263241374472,21035.44689713492,8614.206782460076,4764.143075644989,,,,,,,,,,,11198.901841528328
2020-04-21,8352.847291309514,21233.719294321883,8640.913439334954,4820.316603195511,,,,,,,,,,,11330.946956702688
2020-04-22,8357.709944004326,21429.61061822553,8657.069665472347,4879.147771880005,,,,,,,,,,,11469.23929445555
2020-04-23,8339.039938288139,21670.21163406892,8676.694113785119,4941.188764329101,,,,,,,,,,,11615.07685087578
2020-04-24,8246.888550231308,21752.78770911728,8693.347607397525,5005.799033780104,,,,,,,,,,,11766.953915449143
2020-04-25,8293.028819608147,21920.495576010537,8706.090245357136,5072.025767223727,,,,,,,,,,,11922.630744491433
2020-04-26,,21986.04236916498,8735.436670146057,5140.829136605302,2828.491713816837,,,,,,,,,,12084.36438007633
2020-04-27,,22016.77713757144,8752.871800055618,5211.72293955997,2810.468261289712,,,,,,,,,,12007.361514322523
2020-04-28,,22046.35912764862,8755.501509102922,5283.633387773377,2793.4696649979273,,,,,,,,,,11934.737214051005
2020-04-29,,22006.53655522186,8776.274195689668,5356.586891858368,2777.312879926169,,,,,,,,,,11865.709443149659
2020-04-30,,21988.65060884061,8794.344720551171,5431.324339982763,2762.626296963197,,,,,,,,,,11802.962920274653
2020-05-01,,21969.702600190638,8803.590562953867,5505.646701867248,2749.9039819649824,,,,,,,,,,11748.608477783084
2020-05-02,,21882.97606554492,8814.988767753786,5580.555079805306,2736.200106453157,,,,,,,,,,11690.060445170806
2020-05-03,,,8826.428499655776,5654.869181219399,2724.552794020165,2125.986090700233,,,,,,,,,11640.298811858847
2020-05-04,,,8831.25292133438,5730.09866399705,2714.914195999263,2133.116521238291,,,,,,,,,11679.339679756935
2020-05-05,,,8835.506012620499,5803.077142064296,2705.075366742904,2141.852108422353,,,,,,,,,11727.169176649848
2020-05-06,,,8842.759507849787,5875.884038554229,2697.2275173768885,2151.9200857096052,,,,,,,,,11782.293838362015
2020-05-07,,,8841.715636748477,5947.216508165167,2688.802593962651,2162.6856748052933,,,,,,,,,11841.238096985186
2020-05-08,,,8833.879396431168,6015.90936978696,2681.549424705923,2175.22926694476,,,,,,,,,11909.9173613116
2020-05-09,,,8830.151651688935,6082.938408824982,2675.4731759118336,2188.559430597007,,,,,,,,,11982.903298896932
2020-05-10,,,,6148.477664518774,2670.0765201421696,2202.498899012231,3309.421324998847,,,,,,,,12059.22533051391
2020-05-11,,,,6209.4361756833305,2663.0421753212554,2217.860311832272,3358.8077612666557,,,,,,,,12239.184938172742
2020-05-12,,,,6269.083980254422,2659.09778186036,2233.837711807972,3409.2425300782343,,,,,,,,12422.96457269583
2020-05-13,,,,6325.974799562773,2654.614977607236,2250.975602703215,3460.8667714363496,,,,,,,,12611.078535203933
2020-05-14,,,,6378.7283597161695,2651.464619708284,2268.7619770853244,3513.735554691712,,,,,,,,12803.727493319515
2020-05-15,,,,6427.880348618243,2647.307891002412,2287.056148995772,3567.120928168497,,,,,,,,12998.258858439794
2020-05-16,,,,6473.7197986316805,2644.119793845565,2305.7422660246793,3621.4166233669207,,,,,,,,13196.107351748491
2020-05-17,,,,,2641.741966880641,2325.3171299130136,3676.414765895469,1839.169347531168,,,,,,,13396.515498182283
2020-05-18,,,,,2639.6404224897447,2345.418902589993,3732.489821560957,1820.6968663798245,,,,,,,13261.961885505973
2020-05-19,,,,,2637.0243501435643,2365.5331270942065,3788.3127159756746,1801.1114836863458,,,,,,,13119.301894383772
2020-05-20,,,,,2634.746634342004,2385.98346477064,3844.592421458131,1782.6943110066193,,,,,,,12985.151148794275
2020-05-21,,,,,2633.2667338880424,2406.8234954080544,3901.252999929117,1764.468672801773,,,,,,,12852.395540941612
2020-05-22,,,,,2632.2538360325616,2427.990388718957,3958.147531363905,1747.3640495314949,,,,,,,12727.805409511659
2020-05-23,,,,,2631.048320312611,2449.064680707797,4014.862592968689,1729.0621890936834,,,,,,,12594.494598666626
2020-05-24,,,,,,2469.8814529351466,4071.012954405842,1711.27423015669,1422.4900965867373,,,,,,12464.927048021906
2020-05-25,,,,,,2490.784285445844,4126.7706455378775,1693.1052951798777,1400.1314220035508,,,,,,12269.003541602691
2020-05-26,,,,,,2511.6546630297703,4182.409152157753,1677.6913738276098,1379.54272053849,,,,,,12088.589869555844
2020-05-27,,,,,,2532.1080113585845,4236.966072835358,1659.9862672769505,1357.7011424563761,,,,,,11897.19755121177
2020-05-28,,,,,,2552.271495811733,4290.475437868859,1642.7367809338125,1335.1849497342455,,,,,,11699.893752504131
2020-05-29,,,,,,2571.8771771618995,4343.237049844729,1626.8805493205716,1315.160717492849,,,,,,11524.426383922393
2020-05-30,,,,,,2591.0440002499595,4394.598624024032,1610.0367151940945,1294.2581600447168,,,,,,11341.262469928728
2020-05-31,,,,,,,4445.052926709923,1594.302959179208,1273.8775831447415,1421.8251760902215,,,,,11162.672541700498
2020-06-01,,,,,,,4493.869304904569,1578.5160440943055,1254.2849330786028,1401.9607256612658,,,,,11006.717815980264
2020-06-02,,,,,,,4541.180515294002,1562.5663849184405,1234.1112175409962,1381.6551924054993,,,,,10847.300172847781
2020-06-03,,,,,,,4586.927688404549,1547.5589056387646,1215.7163640168585,1363.2253278141561,,,,,10702.608302932551
2020-06-04,,,,,,,4630.430799633983,1531.7912854510867,1196.1491479052056,1343.6268674195453,,,,,10548.741850582826
2020-06-05,,,,,,,4672.30590433755,1516.711289026868,1177.2476748608838,1323.4987193578515,,,,,10390.716849013086
2020-06-06,,,,,,,4712.477014933104,1502.8035150928845,1159.5933926764224,1306.2467842516894,,,,,10255.272839764137
2020-06-07,,,,,,,,1487.94860790368,1141.5264657082996,1287.7752653726802,843.3431474368781,,,,10110.253944289792
2020-06-08,,,,,,,,1473.662502042751,1123.767635442885,1269.6167342328813,824.9633336332416,,,,9889.911150768208
2020-06-09,,,,,,,,1459.1282720477654,1105.496381557816,1250.286278116148,807.9983749007242,,,,9686.530069815053
2020-06-10,,,,,,,,1445.1842483691019,1088.6989631722213,1232.9879499296594,790.9557288767566,,,,9482.217650002749
2020-06-11,,,,,,,,1431.4980548532392,1071.4146781547315,1214.9548996825386,774.189964590658,,,,9281.224572608653
2020-06-12,,,,,,,,1418.188808701882,1055.3112640184042,1198.8716321259005,758.1990460972826,,,,9089.520582054125
