,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,308.98081751380806,,,,,,,,,,,,,,308.98081751380806
2020-03-30,312.1301537865895,,,,,,,,,,,,,,312.1301537865895
2020-03-31,316.44874198979187,,,,,,,,,,,,,,316.44874198979187
2020-04-01,329.0684786840414,,,,,,,,,,,,,,329.0684786840414
2020-04-02,338.2448902651549,,,,,,,,,,,,,,338.2448902651549
2020-04-03,348.7299565480495,,,,,,,,,,,,,,348.7299565480495
2020-04-04,357.53163291836427,,,,,,,,,,,,,,357.53163291836427
2020-04-05,371.0809781965282,1092.0099976773583,,,,,,,,,,,,,371.0809781965282
2020-04-06,379.4812493073671,1175.6857632879774,,,,,,,,,,,,,399.515227901361
2020-04-07,396.79226057541877,1299.1113890288348,,,,,,,,,,,,,441.4570617965193
2020-04-08,407.0997019252465,1376.7526953100028,,,,,,,,,,,,,467.84071391010053
2020-04-09,427.4227170425285,1461.7816159680758,,,,,,,,,,,,,496.734785502763
2020-04-10,440.90713109022096,1618.5684123532062,,,,,,,,,,,,,550.0132334058416
2020-04-11,454.7614468738925,1640.7427910710494,,,,,,,,,,,,,557.5484118044085
2020-04-12,476.2277528827653,1826.4840223822016,115.70205513290657,,,,,,,,,,,,620.666000428111
2020-04-13,490.84514578664283,2002.223626354844,121.0272107149875,,,,,,,,,,,,649.2319840918498
2020-04-14,509.94525876597913,2119.046429801043,126.73359678780895,,,,,,,,,,,,679.8430204874294
2020-04-15,532.9605538983055,2270.6409105857524,132.81810961885154,,,,,,,,,,,,712.4824601158675
2020-04-16,552.9524351763682,2359.2823655608113,139.26557648236377,,,,,,,,,,,,747.0689112076147
2020-04-17,573.6016150122313,2580.707663565985,146.15058478595742,,,,,,,,,,,,784.0024865170342
2020-04-18,598.4705382643433,2704.3894187799688,153.4535604087319,,,,,,,,,,,,823.1781836626443
2020-04-19,620.3522825346421,2912.9436909982282,161.20608179764272,156.63466091699595,,,,,,,,,,,864.7654003993
2020-04-20,645.5434123411902,3134.009468804249,169.42317951417354,164.667699160924,,,,,,,,,,,909.115057702255
2020-04-21,668.9614872753881,3359.6236262724083,178.17446507175686,173.23197554546786,,,,,,,,,,,956.397631389665
2020-04-22,691.8342004109079,3475.6138644528637,187.40966378722268,182.27201133155444,,,,,,,,,,,1006.3068285010363
2020-04-23,719.944206713457,3708.461802042204,197.21990855400205,191.917307199976,,,,,,,,,,,1059.5576102551802
2020-04-24,750.4778208485782,4032.528863118175,207.6187071619339,202.17801766067402,,,,,,,,,,,1116.2060387574058
2020-04-25,778.3706022414682,4186.583654789446,218.5828760922572,212.99649225854856,,,,,,,,,,,1175.9338312049426
2020-04-26,,4409.284887985908,230.19634392712868,224.50699190615887,186.05310065703603,,,,,,,,,,1239.4822296136224
2020-04-27,,4622.976129708887,242.45743278625503,236.69374948240127,195.49850675751117,,,,,,,,,,1302.4073460007128
