,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,861.6490197334457,,,,,,,,,,,,,,861.6490197334457
2020-03-30,1001.9672166660547,,,,,,,,,,,,,,1001.9672166660547
2020-03-31,1053.5281386192553,,,,,,,,,,,,,,1053.5281386192553
2020-04-01,1031.7603922132978,,,,,,,,,,,,,,1031.7603922132978
2020-04-02,1015.0870118450757,,,,,,,,,,,,,,1015.0870118450757
2020-04-03,1020.835732169741,,,,,,,,,,,,,,1020.835732169741
2020-04-04,1034.606435361826,,,,,,,,,,,,,,1034.606435361826
2020-04-05,1060.494245110714,522.649422111634,,,,,,,,,,,,,1060.494245110714
2020-04-06,1070.0833978578974,524.5337542965116,,,,,,,,,,,,,1064.3176941635531
2020-04-07,1089.9739934215722,528.032942932449,,,,,,,,,,,,,1071.417806120007
2020-04-08,1138.6968924144776,537.6045206495459,,,,,,,,,,,,,1090.8392436193544
2020-04-09,1154.4721673250203,542.8745034989203,,,,,,,,,,,,,1101.532427706335
2020-04-10,1201.8290074003376,548.7274133315286,,,,,,,,,,,,,1113.4084136579797
2020-04-11,1227.874332705878,554.9475139475686,,,,,,,,,,,,,1126.0294568051606
2020-04-12,1273.7698985873876,567.0344760736867,679.4049989339337,,,,,,,,,,,,1150.5547948871026
2020-04-13,1311.2585163410702,576.0319352879496,689.532863287844,,,,,,,,,,,,1167.7060712430934
2020-04-14,1360.3203215664164,582.8733703505927,704.4214124293545,,,,,,,,,,,,1192.9194441658071
2020-04-15,1408.2895031621454,591.0001345081951,719.8788943852608,,,,,,,,,,,,1219.09629009593
2020-04-16,1453.512303438973,603.9447788693641,737.1986463681218,,,,,,,,,,,,1248.4268421545762
2020-04-17,1520.2622338401093,610.7669303088983,754.002651130577,,,,,,,,,,,,1276.8839896337465
