,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,1503.4556100030525,,,,,,,,,,,,,,1503.4556100030525
2020-03-30,1594.8870124993928,,,,,,,,,,,,,,1594.8870124993928
2020-03-31,1688.8909395264636,,,,,,,,,,,,,,1688.8909395264636
2020-04-01,1709.9763030155405,,,,,,,,,,,,,,1709.9763030155405
2020-04-02,1689.7869051092914,,,,,,,,,,,,,,1689.7869051092914
2020-04-03,1679.872823264534,,,,,,,,,,,,,,1679.872823264534
2020-04-04,1701.2958241155031,,,,,,,,,,,,,,1701.2958241155031
2020-04-05,1685.5844514151404,3085.202613415391,,,,,,,,,,,,,1685.5844514151402
2020-04-06,1701.7186020776096,3164.0512076386135,,,,,,,,,,,,,1728.662972048012
2020-04-07,1713.82317860315,3248.514127682285,,,,,,,,,,,,,1774.8088504832463
2020-04-08,1685.3491011176175,3338.3576155671867,,,,,,,,,,,,,1823.8943742609044
2020-04-09,1719.9396187059854,3432.888271564503,,,,,,,,,,,,,1875.5407080343475
2020-04-10,1748.398832198763,3532.2684386638566,,,,,,,,,,,,,1929.8365470542253
2020-04-11,1745.2842100676196,3635.9526606653008,,,,,,,,,,,,,1986.4838841538258
2020-04-12,1759.8115579330054,3744.5365851066276,3475.474620619512,,,,,,,,,,,,2045.808148277057
2020-04-13,1784.8448893625473,3856.72333400085,3569.282679751467,,,,,,,,,,,,2101.0274528887535
2020-04-14,1796.1530859186582,3973.5258357254456,3666.833288697837,,,,,,,,,,,,2158.449777157172
2020-04-15,1800.8210023700901,4094.5156904198257,3767.991507360769,,,,,,,,,,,,2217.995689758004
2020-04-16,1824.4436823174105,4219.071848106926,3872.341258026056,,,,,,,,,,,,2279.42027013479
2020-04-17,1844.2086407198444,4347.9333740414795,3981.25548548368,,,,,,,,,,,,2343.531690392087
2020-04-18,1875.7341474860384,4479.556281420131,4090.987229421664,,,,,,,,,,,,2408.1243346718384
2020-04-19,1877.1070784703575,4614.751759179462,4206.355597835275,1739.6850809568678,,,,,,,,,,,2476.0349293151457
2020-04-20,1900.6478499945365,4752.981420230453,4323.489822838169,1747.8442527988684,,,,,,,,,,,2487.647602606548
2020-04-21,1946.5678270331039,4893.420841461416,4443.6677260240285,1756.4507610523597,,,,,,,,,,,2499.896954680868
2020-04-22,1945.8670849445907,5035.264473124047,4564.907085244382,1766.980154761211,,,,,,,,,,,2514.8830845804746
2020-04-23,1966.8339791418384,5178.543230910217,4687.391346238174,1778.580013481887,,,,,,,,,,,2531.3927711219703
2020-04-24,2004.076958321413,5323.414959448343,4813.14261217679,1790.923012215016,,,,,,,,,,,2548.960143705812
2020-04-25,2021.7994902394726,5468.600740434549,4940.127453018447,1804.9238263388627,,,,,,,,,,,2568.8870288581675
2020-04-26,,5614.035390309474,5066.9283088646525,1819.4349943277475,898.3950371352241,,,,,,,,,,2589.5402834034535
2020-04-27,,5758.658365702434,5194.45345495621,1835.074287562534,880.8822036608011,,,,,,,,,,2539.061166885662
2020-04-28,,5900.785027067571,5321.602019312978,1851.1168924261826,863.8527064970874,,,,,,,,,,2489.975222408317
2020-04-29,,6042.283942615616,5447.339563785396,1869.5605731312921,849.2994605486148,,,,,,,,,,2448.0268421523215
2020-04-30,,6181.519195667606,5574.088099424116,1887.5312430853344,834.1542563728758,,,,,,,,,,2404.372197266362
2020-05-01,,6316.818474778514,5696.8536081905395,1906.0910545312963,820.031456885994,,,,,,,,,,2363.664538971267
2020-05-02,,6447.900908364321,5817.984979656361,1925.6444699029964,807.0446381533568,,,,,,,,,,2326.2312397305896
2020-05-03,,,5936.534663403549,1945.577386731877,794.2594515090575,495.28418237072725,,,,,,,,,2289.3791262640925
2020-05-04,,,6051.693328346649,1966.0207723189121,782.4980721251462,478.6529951441052,,,,,,,,,2212.503881229276
2020-05-05,,,6163.065647453971,1987.05547552793,770.963917776816,461.8481898543921,,,,,,,,,2134.8261119392314
2020-05-06,,,6268.867480453599,2008.0340373396805,760.3494071357584,445.6899894465834,,,,,,,,,2060.1371797093307
2020-05-07,,,6371.488546641237,2029.2727820965272,749.834346427041,430.5454690653528,,,,,,,,,1990.1338360287155
2020-05-08,,,6468.563200886169,2050.997909740269,740.2734431989179,416.26202826765746,,,,,,,,,1924.110707535191
2020-05-09,,,6558.60903525054,2072.2656077859524,731.423494660074,402.9431972131524,,,,,,,,,1862.5463473400614
2020-05-10,,,,2093.847158757027,722.359290124619,388.69731377465536,564.0932331375025,,,,,,,,1796.6968222791654
2020-05-11,,,,2115.283968688293,714.5117055890953,376.9850259215892,552.0089266452883,,,,,,,,1758.207023432888
2020-05-12,,,,2136.168286641213,706.4088426150281,364.2639492223114,536.8599705419049,,,,,,,,1709.9559902829108
2020-05-13,,,,2156.844873283421,698.9410700429321,353.16465234048974,526.2761439256883,,,,,,,,1676.2453791076218
2020-05-14,,,,2177.601271958174,692.244592877717,342.0007413219489,511.7945027982957,,,,,,,,1630.1198149872112
2020-05-15,,,,2197.294230079539,686.0515349052029,331.7522649142043,500.02421472212563,,,,,,,,1592.6301981269958
2020-05-16,,,,2216.6142373337607,679.4295218563295,320.939004620551,487.3560748405572,,,,,,,,1552.280827965603
2020-05-17,,,,,673.7055324348933,311.3385436034896,473.63296061391884,546.0690788056572,,,,,,,1508.5712525366687
2020-05-18,,,,,667.8666288257773,302.2448569665097,463.83386735565256,533.33609229122,,,,,,,1473.3950849781072
2020-05-19,,,,,662.5517552676441,293.88354563273623,454.41034302587684,520.4357372028164,,,,,,,1437.7565447471802
2020-05-20,,,,,657.2980488992072,284.49271247801005,441.1176382269565,508.5211319465101,,,,,,,1404.8412384743947
2020-05-21,,,,,652.3780258712196,276.1230830408247,430.33330624684197,496.56850648170285,,,,,,,1371.8208975168302
2020-05-22,,,,,648.049079664914,268.10493783996424,419.01266221457263,485.0865896660538,,,,,,,1340.1009369763249
2020-05-23,,,,,644.3356442001627,261.9550216595594,415.2238782875406,473.9431555375177,,,,,,,1309.3160692126837
2020-05-24,,,,,,253.32165591927605,400.35206046039855,462.83976278142563,481.99726475370437,,,,,,1278.6418198043489
2020-05-25,,,,,,247.11498735905042,393.62356011060837,452.42528490899406,471.0643153496346,,,,,,1249.638903513959
2020-05-26,,,,,,240.87932152087254,385.30309130942294,441.9600205768513,460.11028726774964,,,,,,1220.5800697299821
2020-05-27,,,,,,233.77090793487056,372.7218115997599,431.5599435350576,449.20930188741966,,,,,,1191.6619475670107
2020-05-28,,,,,,228.0673457213058,365.73612504241515,421.6247396760131,438.6848754006602,,,,,,1163.7427604274246
2020-05-29,,,,,,222.71067237771146,359.6087163466912,412.3169952056027,428.9294665484764,,,,,,1137.8636224325946
2020-05-30,,,,,,217.17033721825229,352.5152030473688,403.0230057538692,419.4435291045861,,,,,,1112.6993378966565
2020-05-31,,,,,,,343.3712573412696,393.59985419241065,409.4085207373372,372.5930448108495,,,,,1086.0784786123045
2020-06-01,,,,,,,335.15999805514844,384.57254510666303,399.8487586189509,362.7824996613591,,,,,1057.4815359191714
2020-06-02,,,,,,,331.11841386183005,376.22515969921835,391.1584330954112,354.52782865917413,,,,,1033.4198400599546
2020-06-03,,,,,,,321.94079347363106,367.8176753003952,382.3845142723349,345.75301598057325,,,,,1007.8419734389582
2020-06-04,,,,,,,314.7774982542669,359.3619185777311,373.2853860366414,336.6427974916465,,,,,981.2864261090228
2020-06-05,,,,,,,310.56989192342155,351.45429304218226,365.0153916817308,328.63852814228005,,,,,957.9546307402279
2020-06-06,,,,,,,304.18459440527437,343.9405381368648,357.2794945264892,320.8585886499166,,,,,935.2767386935543
2020-06-07,,,,,,,,336.0267352345647,348.6026515596652,312.11490497188373,265.4123142330962,,,,909.7896105821691
2020-06-08,,,,,,,,328.7705964519558,341.1804878399014,305.1349870327699,258.6951390772961,,,,886.7642427243671
2020-06-09,,,,,,,,321.32363184860776,333.2657092929194,297.35143301977524,251.38156834553791,,,,861.6945292589709
2020-06-10,,,,,,,,314.4150810251995,325.9256376588609,290.1721180934976,244.64467111222424,,,,838.6015573743067
2020-06-11,,,,,,,,307.31973683013007,318.28033454414435,282.64153445979025,237.74555499929986,,,,814.9525259423056
2020-06-12,,,,,,,,300.85324719103664,311.55651052661597,275.9482708993999,230.91495105033212,,,,791.5383429013687
2020-06-13,,,,,,,,294.2424336256504,304.43275328821926,269.0048715817662,224.72442287312043,,,,770.3182339704128
2020-06-14,,,,,,,,,297.6889371351042,262.5179977985401,218.4272357626873,234.65667648655014,,,748.7325158189466
2020-06-15,,,,,,,,,291.24274677663516,256.15305864749047,212.67074874978385,228.50878844324143,,,729.1160968422481
2020-06-16,,,,,,,,,284.73456950405875,249.8480935312885,206.77304586557,222.68035658624385,,,710.518985040832
2020-06-17,,,,,,,,,278.0436781828355,243.27036395360105,200.7354760151693,216.0998810331709,,,689.5222842867421
2020-06-18,,,,,,,,,272.700384963087,238.2426225960696,195.8669085874726,211.25245958970055,,,674.0553386751933
2020-06-19,,,,,,,,,266.3599153527317,231.9397980922361,189.95649499534719,205.03998231160728,,,654.232831122712
2020-06-20,,,,,,,,,260.44029684774443,226.37241854407398,185.14127681841163,200.05040267404488,,,638.312293208142
2020-06-21,,,,,,,,,,221.54054106360184,180.84886690322966,195.6205586304696,219.60074127039937,,624.1777357555575
2020-06-22,,,,,,,,,,215.79270055657048,175.34231599931564,189.77392221874882,213.61462055297253,,607.163206324793
2020-06-23,,,,,,,,,,210.79275671931183,170.88605217781247,185.01606937786758,208.52743532167145,,592.7037480339269
2020-06-24,,,,,,,,,,205.65097305411538,165.87106479939206,179.78024947963002,203.29273087229006,,577.8249914702538
2020-06-25,,,,,,,,,,201.35695271859768,162.30384304021314,176.20366019780772,199.15490991545155,,566.0639395682424
2020-06-26,,,,,,,,,,195.82024454881767,156.98644535022575,170.59645424237098,193.55801598851917,,550.155721051461
2020-06-27,,,,,,,,,,191.01166418563,152.63974486180211,166.02456150558774,188.52623268328742,,535.8537333072351
2020-06-28,,,,,,,,,,,149.31379341746333,162.5345179709466,184.852216787868,175.8405528759528,525.4109683626983
2020-06-29,,,,,,,,,,,144.75493892153773,157.8249653237849,179.86575550176482,170.883142686413,510.5982437342977
2020-06-30,,,,,,,,,,,141.31727174137737,154.06546835489854,175.74045155840224,166.71080612254758,498.1313164043881
2020-07-01,,,,,,,,,,,137.60387120302164,150.03359754251827,171.27456585123025,162.43094815121572,485.34311547807147
2020-07-02,,,,,,,,,,,134.03912606611817,146.4649027218843,167.49909763774426,158.65690418232455,474.0662850546744
2020-07-03,,,,,,,,,,,129.76760321405405,141.980391430394,163.10094370958046,154.30638284789342,461.0669422419924
2020-07-04,,,,,,,,,,,126.75327639705853,138.7271521491607,159.34504111196685,150.71742238598327,450.34314070209444
2020-07-05,,,,,,,,,,,,135.0976357818193,155.6918200642954,147.10067387336989,439.5363085620869
2020-07-06,,,,,,,,,,,,131.6421818418474,151.70326505614358,143.15822950842698,427.7562983333771
2020-07-07,,,,,,,,,,,,128.4681276341943,148.62965888819383,140.13440296803518,418.72111501096754
2020-07-08,,,,,,,,,,,,125.17819103872549,144.78916397971184,136.44184577527724,407.6877667949263
2020-07-09,,,,,,,,,,,,121.78425672450486,141.3758092553491,132.93430145181947,397.20723639723633
2020-07-10,,,,,,,,,,,,118.81198859235776,138.02859849684356,129.77948208683642,387.78064696462417
2020-07-11,,,,,,,,,,,,115.94559899655516,134.63959749032142,126.45860430228664,377.8578755443969
2020-07-12,,,,,,,,,,,,,131.57606794527928,123.30509560097627,368.4352023703394
2020-07-13,,,,,,,,,,,,,128.3445322207377,120.20484211254576,359.1716555895509
2020-07-14,,,,,,,,,,,,,126.27665872628906,118.28475485027435,353.4344414412162
2020-07-15,,,,,,,,,,,,,122.55315050781252,114.63133093435492,342.5180233220306
2020-07-16,,,,,,,,,,,,,119.95080762529793,112.07855236924068,334.890329732723
2020-07-17,,,,,,,,,,,,,117.01901237822972,109.2531644781736,326.44808041328963
2020-07-18,,,,,,,,,,,,,114.25381200983118,106.56076464188385,318.4031989450056
2020-07-19,,,,,,,,,,,,,,104.4409015473864,312.0690552957759
2020-07-20,,,,,,,,,,,,,,101.30415490188436,302.69646708693244
2020-07-21,,,,,,,,,,,,,,99.35408543451395,296.8696662126858
2020-07-22,,,,,,,,,,,,,,97.20309996346322,290.44252900915274
2020-07-23,,,,,,,,,,,,,,94.51928345641242,282.42329449916963
2020-07-24,,,,,,,,,,,,,,92.31837274798956,275.8469808577534
2020-07-25,,,,,,,,,,,,,,90.51720074993506,270.46508511068305
