,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,29107.208879260717,,,,,,,,,,,,,,29107.208879260717
2020-03-30,30727.62717015799,,,,,,,,,,,,,,30727.62717015799
2020-03-31,32240.30866223678,,,,,,,,,,,,,,32240.30866223678
2020-04-01,33957.62439384492,,,,,,,,,,,,,,33957.62439384492
2020-04-02,35604.13251169806,,,,,,,,,,,,,,35604.13251169806
2020-04-03,37523.96678176831,,,,,,,,,,,,,,37523.96678176831
2020-04-04,38932.9545113687,,,,,,,,,,,,,,38932.9545113687
2020-04-05,40818.068410231535,10533.206830383508,,,,,,,,,,,,,40818.068410231535
2020-04-06,42630.500826053605,10709.11606869616,,,,,,,,,,,,,41499.748304974106
2020-04-07,44346.05079988518,10886.287065770028,,,,,,,,,,,,,42186.31774154965
2020-04-08,45877.00127060245,11063.998209284355,,,,,,,,,,,,,42874.980342601426
2020-04-09,47561.94423887426,11241.470703545401,,,,,,,,,,,,,43562.718134931296
2020-04-10,48861.44287634044,11417.760226097393,,,,,,,,,,,,,44245.8716994068
2020-04-11,50495.01652616228,11593.492158301176,,,,,,,,,,,,,44926.86450113032
2020-04-12,51916.27847377264,11767.177214436899,51484.902318909,,,,,,,,,,,,45599.92529043647
2020-04-13,53411.41820324872,11939.182719598071,51513.48902152458,,,,,,,,,,,,45625.244392636494
2020-04-14,54526.30455054423,12109.911581861934,51482.874545061924,,,,,,,,,,,,45598.129301092646
2020-04-15,55790.81581416085,12278.100772930571,51382.09302014209,,,,,,,,,,,,45508.867599117686
2020-04-16,56803.601729597474,12444.298680897831,51218.480262004356,,,,,,,,,,,,45363.95658226405
2020-04-17,57989.73344444963,12608.283618076648,50997.10591795241,,,,,,,,,,,,45167.88641226626
2020-04-18,58854.78130942301,12770.102125051542,50718.92363223298,,,,,,,,,,,,44921.50172715305
2020-04-19,59514.80472323272,12929.851763810595,50391.00418122082,71027.50497423905,,,,,,,,,,,44631.06507885541
2020-04-20,60248.29719711224,13087.813734789685,50019.66056465839,70723.42358976995,,,,,,,,,,,44439.991549460974
2020-04-21,60811.762828386316,13243.470178585017,49604.014980224856,70337.94119709183,,,,,,,,,,,44197.7686280644
2020-04-22,61703.58230634232,13398.185758082443,49154.92321328877,69895.1528700114,,,,,,,,,,,43919.53677057128
2020-04-23,61676.05420521385,13551.04037445184,48671.833897954864,69394.03448825891,,,,,,,,,,,43604.652457567216
2020-04-24,62125.026153045575,13702.356216761797,48155.185537456,68821.62087799831,,,,,,,,,,,43244.96885188757
2020-04-25,62343.41507108628,13852.364560664098,47619.38141563896,68215.30037398242,,,,,,,,,,,42863.97940444474
2020-04-26,,14001.327065807462,47054.552769873866,67556.20784839438,41486.11012888734,,,,,,,,,,42449.82996454571
2020-04-27,,14149.033947209065,46474.23280576732,66880.38141425114,40897.191649515735,,,,,,,,,,41847.23094442461
2020-04-28,,14295.915859252516,45876.229827601346,66164.99084402727,40308.31561462212,,,,,,,,,,41244.67535476417
2020-04-29,,14442.061390691353,45257.67678048469,65413.40209644543,39717.71348844767,,,,,,,,,,40640.35357682656
2020-04-30,,14587.340569328877,44630.154718799335,64637.37435219781,39127.581905919964,,,,,,,,,,40036.513273236225
2020-05-01,,14731.908663099563,43986.93046550819,63826.65249634742,38532.5682696788,,,,,,,,,,39427.67750611917
2020-05-02,,14876.060749794846,43341.77130087184,63025.86582038891,37940.97573358623,,,,,,,,,,38822.342311100794
2020-05-03,,,42671.735145325336,62164.7966022747,37350.295499188906,31990.422767416905,,,,,,,,,38217.94061049101
2020-05-04,,,42000.810106772944,61292.632213908924,36764.68931113121,31467.301338759215,,,,,,,,,37592.984077785295
2020-05-05,,,41317.85831019915,60413.16066752956,36180.64610247965,30944.33913906755,,,,,,,,,36968.217770860945
2020-05-06,,,40629.57012762529,59498.79120244143,35605.4764565972,30450.899193829413,,,,,,,,,36378.72076236368
2020-05-07,,,39924.269330374,58549.25558474668,35028.31492622742,29951.56084755745,,,,,,,,,35782.1771217526
2020-05-08,,,39228.22024548988,57634.72968054088,34456.975668613035,29461.878081986066,,,,,,,,,35197.16869630441
2020-05-09,,,38519.26312656555,56669.99654824731,33884.959302998424,28987.137320143804,,,,,,,,,34630.011007474284
2020-05-10,,,,55685.53646805958,33318.5641545713,28524.8468970495,18455.688313288883,,,,,,,,34077.72734235774
2020-05-11,,,,54679.16841311884,32755.189052264825,28069.21514654539,18068.55868023617,,,,,,,,33362.9071819079
2020-05-12,,,,53661.133605684845,32200.23745883391,27619.79591226561,17703.269050217325,,,,,,,,32688.413757362494
2020-05-13,,,,52613.59711391142,31640.343291719408,27183.004035769463,17343.10860143668,,,,,,,,32023.39117111679
2020-05-14,,,,51568.74554502245,31083.707544610683,26755.7321037918,16997.386470782287,,,,,,,,31385.028390782216
2020-05-15,,,,50508.73981474112,30542.156947178722,26343.541574360555,16674.229560844353,,,,,,,,30788.33143325209
2020-05-16,,,,49408.90080529264,29994.129581393576,25924.397917968272,16351.916834619851,,,,,,,,30193.193228878437
2020-05-17,,,,,29437.49934358436,25507.83017420248,16035.814848647737,10020.421669353884,,,,,,,29609.522920435957
2020-05-18,,,,,28900.40404401665,25107.488787868522,15737.79443277362,9710.598191042243,,,,,,,28694.01999200987
2020-05-19,,,,,28353.236069856714,24712.441994158544,15447.296993458513,9425.489619905256,,,,,,,27851.547584115913
2020-05-20,,,,,27816.2577757501,24323.62841147379,15165.560119041646,9150.792121195467,,,,,,,27039.8390400424
2020-05-21,,,,,27281.29784233792,23939.651042539586,14899.217051523296,8897.777141236229,,,,,,,26292.20055779879
2020-05-22,,,,,26739.82813554826,23561.4635874212,14637.736397925784,8631.782247081486,,,,,,,25506.207495323044
2020-05-23,,,,,26206.83408212285,23189.50651634155,14375.905409360921,8384.889972266117,,,,,,,24776.66110383914
2020-05-24,,,,,,22818.72219119643,14135.745609545289,8167.272953479694,6373.182359161837,,,,,,24133.620689148782
2020-05-25,,,,,,22445.906227358613,13884.704615014067,7928.87318182573,6128.325240615222,,,,,,23206.409056243443
2020-05-26,,,,,,22091.34152858261,13656.855548770249,7722.9668108960805,5926.216280501782,,,,,,22441.073827094668
2020-05-27,,,,,,21714.62489819171,13414.30732274015,7521.206281387436,5725.882619109396,,,,,,21682.46120268703
2020-05-28,,,,,,21357.321070122118,13187.149030365947,7308.8385682575345,5516.55272851973,,,,,,20889.782146339363
2020-05-29,,,,,,21002.79901961949,12967.081027974344,7128.081115946182,5330.019678418083,,,,,,20183.42892695099
2020-05-30,,,,,,20649.780732100346,12752.059146024316,6947.645078270226,5154.404414719566,,,,,,19518.418587927485
2020-05-31,,,,,,,12540.261308983008,6770.848563853143,4982.731035883522,4326.571635517376,,,,,18868.33516433022
2020-06-01,,,,,,,12332.491529814455,6597.129858811623,4815.899733164216,4164.139889275086,,,,,18159.96445245583
2020-06-02,,,,,,,12132.05109644474,6440.510700818097,4661.189557553529,4014.9327315294,,,,,17509.2666486447
2020-06-03,,,,,,,11930.244477540464,6295.4497034522765,4525.050400465684,3879.3667952948767,,,,,16918.058704520754
2020-06-04,,,,,,,11732.871548725454,6142.249677504037,4372.697565186079,3734.607586881565,,,,,16286.758568393718
2020-06-05,,,,,,,11541.200225688077,5988.068968067927,4227.720164669218,3590.9373794309204,,,,,15660.207604796082
2020-06-06,,,,,,,11348.36057500852,5852.504262114725,4097.450093155374,3467.1082772712016,,,,,15120.184417969022
2020-06-07,,,,,,,,5716.315222937233,3974.278066583177,3349.753028037897,2970.2463855143046,,,,14608.393937568777
2020-06-08,,,,,,,,5584.7684127792945,3854.6575389530153,3236.7843330051005,2858.1566234447278,,,,14057.109233152849
2020-06-09,,,,,,,,5457.989325949698,3734.4337737721785,3119.22579391574,2742.5496455361904,,,,13488.526006032012
2020-06-10,,,,,,,,5339.231789275446,3627.753797190421,3021.5715908753364,2647.7015779974104,,,,13022.040147626123
2020-06-11,,,,,,,,5219.340792906407,3517.0612191294013,2912.180941067015,2537.973700719919,,,,12482.371766908529
2020-06-12,,,,,,,,5104.008150174354,3416.4797643524685,2822.3051672715283,2451.638049559173,,,,12057.752042038697
2020-06-13,,,,,,,,4999.321097662151,3321.392220234006,2728.574725362101,2358.337301208787,,,,11598.876275631053
2020-06-14,,,,,,,,,3223.6414033760107,2639.320889396845,2271.756581004483,2627.8178539511696,,,11173.051241616615
