,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,275.5754495778364,,,,,,,,,,,,,,275.5754495778364
2020-03-30,297.65396429946657,,,,,,,,,,,,,,297.65396429946657
2020-03-31,315.8789431662985,,,,,,,,,,,,,,315.8789431662985
2020-04-01,328.65619610336563,,,,,,,,,,,,,,328.65619610336563
2020-04-02,338.8698628879105,,,,,,,,,,,,,,338.8698628879105
2020-04-03,356.38780528446733,,,,,,,,,,,,,,356.38780528446733
2020-04-04,370.0637568902925,,,,,,,,,,,,,,370.0637568902925
2020-04-05,383.51393981063234,1016.233367260616,,,,,,,,,,,,,383.51393981063234
2020-04-06,397.09534673968665,1057.2623567218516,,,,,,,,,,,,,398.99777443135883
2020-04-07,416.1153484777961,1100.9133011598167,,,,,,,,,,,,,415.4711025242808
2020-04-08,435.8722373473852,1147.9745624011932,,,,,,,,,,,,,433.23144212008657
2020-04-09,457.1837583036232,1196.8428280223372,,,,,,,,,,,,,451.6737228834096
2020-04-10,475.9277772284513,1249.463254390612,,,,,,,,,,,,,471.53202283808616
2020-04-11,501.9707240285941,1304.1645511573793,,,,,,,,,,,,,492.1756176182145
2020-04-12,526.5006564061931,1362.5463076884225,458.1893704423436,,,,,,,,,,,,514.2081725230403
2020-04-13,554.8497159157588,1423.2911679064985,478.2280740178353,,,,,,,,,,,,536.6968329110733
2020-04-14,578.1649187366075,1487.8253814563266,499.48263008958196,,,,,,,,,,,,560.5499974331792
2020-04-15,601.5975531216001,1555.3859929790176,522.1229759477842,,,,,,,,,,,,585.9583801239355
2020-04-16,638.3181927745018,1626.15712511103,546.1413572597988,,,,,,,,,,,,612.9132785963493
2020-04-17,663.9129299406729,1700.4702662482944,571.5492202755156,,,,,,,,,,,,641.4275385330527
2020-04-18,702.7548044147629,1778.238621771757,598.44905503829,,,,,,,,,,,,671.616180537524
2020-04-19,733.5389637246542,1859.214827947329,626.9856419717796,2271.099731673765,,,,,,,,,,,703.6416860680173
2020-04-20,774.3066883008697,1943.4148354659108,657.0852867505903,2401.901638198649,,,,,,,,,,,744.1672837617172
2020-04-21,811.8563665631655,2031.4330255493305,688.9749615097791,2539.4978032436225,,,,,,,,,,,786.7979072515031
2020-04-22,857.9030971594092,2122.608056949156,722.5688193680278,2683.5958691082824,,,,,,,,,,,831.4429770430548
2020-04-23,902.086460793629,2217.6923293803507,758.037045724764,2834.6550596249795,,,,,,,,,,,878.2447717986305
2020-04-24,942.2729486910753,2315.428161924276,795.3212735847444,2991.7318414531696,,,,,,,,,,,926.9109620439484
2020-04-25,988.9684357130687,2416.4869134620217,834.6022027940112,3155.489762930404,,,,,,,,,,,977.6471311202024
2020-04-26,,2520.6495361247603,875.984224031602,3326.6245747180405,3203.2574156894048,,,,,,,,,,1030.6688394282032
2020-04-27,,2628.308707559585,919.3445375578236,3503.110948932029,3364.0891476382976,,,,,,,,,,1082.417491815329
2020-04-28,,2737.2008609944173,964.7677010976337,3686.287473389109,3531.224995520551,,,,,,,,,,1136.1945343720467
2020-04-29,,2849.7160248771806,1012.3653938933844,3875.3650362474377,3704.6901681355107,,,,,,,,,,1192.0080781929685
2020-04-30,,2963.6042185187603,1062.0553128686192,4069.220952609215,3882.852306139504,,,,,,,,,,1249.3329010770835
2020-05-01,,3078.885493237424,1114.0797669230813,4268.886508927087,4066.7438827228693,,,,,,,,,,1308.5012079666528
2020-05-02,,3196.322855181245,1167.963652606611,4472.47326872121,4255.008923873429,,,,,,,,,,1369.0767054328126
2020-05-03,,,1224.2590236783635,4680.985718259766,4447.957843226581,2907.3916004773573,,,,,,,,,1431.1592710750865
2020-05-04,,,1282.7293865454085,4892.336306542484,4645.15211529636,3018.3762875188745,,,,,,,,,1485.7913212539324
2020-05-05,,,1343.224071654462,5106.421828126234,4845.982546159117,3132.104369041661,,,,,,,,,1541.773803361329
2020-05-06,,,1405.7725717263986,5321.877205134839,5049.370036570253,3247.381308540449,,,,,,,,,1598.5187085463633
2020-05-07,,,1470.40269797965,5539.5103829518885,5255.400987414871,3364.6653962474866,,,,,,,,,1656.251629506839
2020-05-08,,,1536.743349855135,5756.30762250556,5462.224461208391,3483.165384751065,,,,,,,,,1714.5830758594195
2020-05-09,,,1605.1980558797634,5973.762556023618,5671.999989746011,3605.833997646829,,,,,,,,,1774.9665214836239
2020-05-10,,,,6189.063596095266,5881.933199198892,3729.791492124021,2308.911794156793,,,,,,,,1835.9844171847549
2020-05-11,,,,6402.04590797429,6090.629481465671,3854.023583666797,2360.4494981581083,,,,,,,,1876.9658101003952
2020-05-12,,,,6610.913894477069,6297.642820979823,3980.550926944896,2412.369101497441,,,,,,,,1918.2508790747343
2020-05-13,,,,6814.8669229638745,6502.326445650099,4105.998193229312,2463.701211655785,,,,,,,,1959.068789308654
2020-05-14,,,,7013.689795537819,6704.368125047186,4233.398080846225,2516.748917730244,,,,,,,,2001.250895167606
2020-05-15,,,,7206.723782481646,6903.11789783561,4361.001497775912,2569.2585682525823,,,,,,,,2043.0051537559198
2020-05-16,,,,7391.751860579114,7096.408700531544,4488.294553256117,2622.8186766906865,,,,,,,,2085.5947081615686
2020-05-17,,,,,7284.893498492346,4615.353148760765,2675.919012188341,2640.99913420946,,,,,,,2127.8186635191096
2020-05-18,,,,,7465.9836594889,4741.49256933672,2728.090731468018,2684.6402835711247,,,,,,,2162.9797701269586
2020-05-19,,,,,7640.447760651997,4867.015399846642,2781.403601463909,2726.4614064600078,,,,,,,2196.6745050701143
2020-05-20,,,,,7806.785822769398,4989.42565356867,2833.9383534845056,2756.1571564210662,,,,,,,2220.5999847023713
2020-05-21,,,,,7965.2173229646105,5111.1787848583535,2887.829716342981,2793.8728719963115,,,,,,,2250.9870463524344
2020-05-22,,,,,8115.089600060302,5231.590860240409,2941.020803701441,2834.2134512990674,,,,,,,2283.4889265786355
2020-05-23,,,,,8254.830212778395,5348.259695988857,2993.34670715421,2874.691535517581,,,,,,,2316.1015927275903
2020-05-24,,,,,,5459.923174036075,3044.427539578785,2903.589531750433,1336.853820038552,,,,,,2339.384332553619
2020-05-25,,,,,,5570.847218370865,3097.256513603504,2955.3872834951385,1338.4121524668876,,,,,,2342.1112862512596
2020-05-26,,,,,,5677.654327592741,3148.48511391935,2974.3564962756386,1341.8718351068915,,,,,,2348.1654465807705
2020-05-27,,,,,,5781.0179157549255,3201.215297588927,3014.854129663593,1342.4550531310824,,,,,,2349.186030198668
2020-05-28,,,,,,5878.385264327437,3249.113356945399,3047.270455961449,1344.0343922869424,,,,,,2351.9497439433026
2020-05-29,,,,,,5974.2496318350795,3300.23194889824,3076.9207654705406,1346.2001989295954,,,,,,2355.7397275983717
2020-05-30,,,,,,6062.8892010897325,3349.6279398252614,3115.464029233825,1346.8311422586146,,,,,,2356.8438265780146
2020-05-31,,,,,,,3398.4401566629917,3149.3824922637114,1347.7883512841688,1078.286683559064,,,,,2358.5188637165525
2020-06-01,,,,,,,3446.690933139881,3170.325666996859,1349.2658090025336,1073.7505206508133,,,,,2348.596988624218
2020-06-02,,,,,,,3491.886496610742,3199.3625954404906,1350.8753320637406,1070.2427737803114,,,,,2340.9245511459817
2020-06-03,,,,,,,3538.705676911229,3247.219323357972,1351.7255194609932,1065.2884100842907,,,,,2330.087952296213
2020-06-04,,,,,,,3582.900040080776,3271.8804517507597,1352.0386729662753,1060.1993633761658,,,,,2318.9567634922946
2020-06-05,,,,,,,3626.9686336653385,3286.030513695738,1353.1902485760456,1056.576854248248,,,,,2311.0333084015024
2020-06-06,,,,,,,3670.297011530332,3313.2895792626123,1353.4216050216342,1050.680383518222,,,,,2298.1360542128327
2020-06-07,,,,,,,,3349.855022471002,1354.5246823777652,1046.8637288215286,849.614054611367,,,,2289.7879476882
2020-06-08,,,,,,,,3377.977409994145,1355.9653264636074,1043.9577615358753,844.8538144861128,,,,2276.958663135116
2020-06-09,,,,,,,,3387.040853421936,1355.0122607890194,1037.3649838365654,836.6207630511467,,,,2254.769832987872
2020-06-10,,,,,,,,3419.5151982853536,1355.2135833589819,1032.6904950721487,829.4258045345005,,,,2235.378758645218
2020-06-11,,,,,,,,3447.333274490191,1355.6279539274374,1027.879317562594,822.2367896735593,,,,2216.0037030008475
2020-06-12,,,,,,,,3468.8807298498077,1355.333431839697,1022.5751932474872,815.5809087624025,,,,2198.065492340495
2020-06-13,,,,,,,,3477.2218670160414,1356.3996167377811,1019.9378297155175,809.7273846582245,,,,2182.289707003022
2020-06-14,,,,,,,,,1354.7540217446513,1013.6211352937432,803.1935593741734,749.7841934473965,,,2164.680447473336
