,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,138436.24186499044,,,,,,,,,,,,,,138436.24186499044
2020-03-30,135977.88218065354,,,,,,,,,,,,,,135977.88218065354
2020-03-31,133493.83864563634,,,,,,,,,,,,,,133493.83864563634
2020-04-01,130941.7037533066,,,,,,,,,,,,,,130941.7037533066
2020-04-02,128361.90889931766,,,,,,,,,,,,,,128361.90889931766
2020-04-03,125509.1255563686,,,,,,,,,,,,,,125509.1255563686
2020-04-04,122864.34268664768,,,,,,,,,,,,,,122864.34268664768
2020-04-05,120123.24282307588,170053.38415514238,,,,,,,,,,,,,120123.24282307588
2020-04-06,117444.46450043796,165609.5669797399,,,,,,,,,,,,,116984.19485720166
2020-04-07,114375.07244945553,161058.20456405374,,,,,,,,,,,,,113769.17849424292
2020-04-08,111418.45595106187,156450.99249602106,,,,,,,,,,,,,110514.71074733358
2020-04-09,108318.76867968518,151775.5131210782,,,,,,,,,,,,,107212.0199654897
2020-04-10,105620.53335749057,147050.75706682028,,,,,,,,,,,,,103874.52085246038
2020-04-11,102453.5480675322,142391.65340821142,,,,,,,,,,,,,100583.39763899725
2020-04-12,99384.36992602552,137748.66935986164,124117.56639878664,,,,,,,,,,,,97303.66108430004
2020-04-13,96533.33079242708,133195.2438911798,119630.13260214259,,,,,,,,,,,,93785.6760805983
2020-04-14,93531.0752398216,128731.38586660492,115228.66570587653,,,,,,,,,,,,90335.08600238174
2020-04-15,90824.09555065898,124385.15783926465,110964.1272046706,,,,,,,,,,,,86991.84280931872
2020-04-16,87868.36984087773,120151.55122238904,106863.59141076037,,,,,,,,,,,,83777.17177820364
2020-04-17,85418.3345259605,116109.0249480082,102887.60066295447,,,,,,,,,,,,80660.13953672553
2020-04-18,82612.17678119363,112149.83393003019,99059.5342580548,,,,,,,,,,,,77659.07460387172
2020-04-19,79789.315111461,108356.27690786553,95380.92254702316,49740.825543858526,,,,,,,,,,,74775.17671917666
2020-04-20,77520.61522875755,104737.68220076652,91871.8799104986,47042.33645217834,,,,,,,,,,,70718.54926076748
2020-04-21,75087.17882127209,101264.85268800537,88507.21621942264,44487.5050021355,,,,,,,,,,,66877.8817391515
2020-04-22,72703.22370029846,97908.83851432649,85270.74030558753,42030.99145347227,,,,,,,,,,,63185.015110864835
2020-04-23,70277.33522374368,94730.97154413412,82237.06861773983,39764.36044669658,,,,,,,,,,,59777.59812018032
2020-04-24,68411.06940847759,91680.2956439486,79321.21483435117,37619.56751890964,,,,,,,,,,,56553.33980826514
2020-04-25,66130.51360594729,88769.54960910871,76581.47546009746,35652.4767408064,,,,,,,,,,,53596.22040087538
2020-04-26,,86007.73037214356,73965.86099176385,33764.412031080814,26688.106751779687,,,,,,,,,,50757.90055428403
2020-04-27,,83338.47771890866,71477.02359018201,31970.157688972362,25283.252954450683,,,,,,,,,,48086.0201544734
2020-04-28,,80786.47151038599,69113.40714696085,30279.589178265083,23964.040053677665,,,,,,,,,,45577.01950297908
2020-04-29,,78365.13476813832,66865.13439103914,28688.67767880085,22729.48803487001,,,,,,,,,,43229.03471775069
2020-04-30,,76006.14799686779,64739.452559736426,27236.81200275383,21564.724847057656,,,,,,,,,,41013.780761891576
2020-05-01,,73768.90940953561,62722.723533168966,25823.724415784516,20477.522977311048,,,,,,,,,,38946.04006749593
2020-05-02,,71598.21529576971,60814.79783362983,24536.80906205125,19456.864909968503,,,,,,,,,,37004.85850808667
2020-05-03,,,59009.74633497856,23324.706684522247,18498.396037506373,13415.141536011335,,,,,,,,,35181.954089826824
2020-05-04,,,57274.474528530685,22180.51278723223,17596.787568625678,12683.365590660913,,,,,,,,,33262.83101205325
2020-05-05,,,55631.625658988174,21054.497828327567,16758.963487079713,12004.993147081526,,,,,,,,,31483.761585037
2020-05-06,,,54075.082791677,20064.903090863947,15965.14238959805,11365.000956133406,,,,,,,,,29805.34650314297
2020-05-07,,,52604.002644488566,19089.72461941137,15224.338718410363,10762.66517866355,,,,,,,,,28225.687457972334
2020-05-08,,,51177.450803857064,18182.78061252115,14525.07470233482,10196.582941441837,,,,,,,,,26741.105336528515
2020-05-09,,,49803.01117945209,17338.126629044516,13871.921655626511,9667.39075161106,,,,,,,,,25353.26941416098
2020-05-10,,,,16515.594061487645,13259.575930867173,9161.578761057195,9484.157819462183,,,,,,,,24026.749363516697
2020-05-11,,,,15828.618383537707,12683.035497324949,8691.062752027277,8991.14629743415,,,,,,,,22777.77560131446
2020-05-12,,,,15090.370886499499,12144.716864632986,8248.956937733106,8527.32153609884,,,,,,,,21602.74229827012
2020-05-13,,,,14437.31471723456,11636.389723076736,7829.510444976498,8087.215196853494,,,,,,,,20487.796205255567
2020-05-14,,,,13818.296218866672,11161.728287984035,7437.503161764782,7675.459298423621,,,,,,,,19444.671875310032
2020-05-15,,,,13190.091271666728,10712.67947677642,7074.109621930902,7295.91376423525,,,,,,,,18483.14786911175
2020-05-16,,,,12654.50586656544,10288.5330295219,6724.592808307077,6927.458755857064,,,,,,,,17549.720114475636
2020-05-17,,,,,9892.053762939184,6396.270155249722,6582.772498339373,6565.757955083549,,,,,,,16676.50707056872
2020-05-18,,,,,9521.528474546378,6089.8421253934775,6260.8961263134925,6260.8394986789135,,,,,,,15902.038253873801
2020-05-19,,,,,9170.57642893672,5799.07597801042,5954.5077985734815,5971.45037368312,,,,,,,15167.012713463573
2020-05-20,,,,,8836.889419439078,5526.186020575339,5668.5343052845665,5695.9902745125855,,,,,,,14467.365799443496
2020-05-21,,,,,8526.841644253695,5268.851726923802,5397.553270296527,5440.765351251881,,,,,,,13819.114635379934
2020-05-22,,,,,8228.852245986325,5025.233964370138,5141.646686067027,5195.2120845489535,,,,,,,13195.428715736478
2020-05-23,,,,,7954.382405858086,4793.575658297395,4896.1975857894095,4967.565272763626,,,,,,,12617.22377849978
2020-05-24,,,,,,4579.2701280156925,4671.128514154674,4751.735835169614,3715.5077766033546,,,,,,12069.034039143538
2020-05-25,,,,,,4374.779993983268,4455.591184249342,4548.892001856239,3535.811824048265,,,,,,11485.330088437147
2020-05-26,,,,,,4180.807857534414,4251.367121418256,4355.84943632564,3365.9151423740936,,,,,,10933.456977802018
2020-05-27,,,,,,4002.59158601282,4064.508041436479,4177.567262542952,3209.465602518807,,,,,,10425.264037442206
2020-05-28,,,,,,3833.3440332976393,3886.19277699557,4004.601578241431,3056.4699692040417,,,,,,9928.290375337732
2020-05-29,,,,,,3669.862214045404,3713.197849287336,3843.2662906740784,2916.041645093177,,,,,,9472.138935034924
2020-05-30,,,,,,3515.5656449930034,3551.3270580514404,3690.4973130704793,2783.4725597312085,,,,,,9041.516554469112
2020-05-31,,,,,,,3396.332433523129,3545.867297402437,2657.0402509182763,2265.3480983045088,,,,,8630.828182796331
2020-06-01,,,,,,,3252.926108462121,3409.206812590931,2538.5830843526464,2157.05915548262,,,,,8218.254388820962
2020-06-02,,,,,,,3118.0258329746434,3281.377215559738,2428.694017745921,2057.4058562992705,,,,,7838.581832650006
2020-06-03,,,,,,,2987.8534067120227,3156.0125952399303,2319.900621997015,1957.8983435950336,,,,,7459.464713435312
2020-06-04,,,,,,,2864.775990703835,3041.5814485641913,2222.2370027961333,1869.9625929414303,,,,,7124.435251259273
2020-06-05,,,,,,,2750.353769666632,2930.560673802147,2126.846184660916,1783.2882051419376,,,,,6794.211499109937
2020-06-06,,,,,,,2640.365826747445,2825.9630065028114,2037.8821315526584,1703.1248479061908,,,,,6488.794347822818
2020-06-07,,,,,,,,2727.6277173172657,1954.430380332074,1628.1365997598734,1477.6908423511154,,,,6203.094023901667
2020-06-08,,,,,,,,2633.604892729359,1874.469393772741,1556.0297523038407,1409.2421062474098,,,,5915.757908863587
2020-06-09,,,,,,,,2542.655668648692,1797.1926170956726,1486.443792991854,1343.2260454772213,,,,5638.633749798261
2020-06-10,,,,,,,,2458.401001248746,1726.7172801853808,1423.4967449267194,1284.0292507671813,,,,5390.135706110222
2020-06-11,,,,,,,,2377.5604243696635,1658.0517067985031,1361.3628200615688,1224.8764873827824,,,,5141.822498414341
2020-06-12,,,,,,,,2301.4858957163324,1595.2398955200867,1306.3676801977153,1173.8174030432235,,,,4927.485174357655
2020-06-13,,,,,,,,2227.6626585920853,1532.975743522216,1250.0780588251366,1120.3405379808535,,,,4702.9984193625505
2020-06-14,,,,,,,,,1475.2193305528353,1199.0005428512295,1072.6276474030333,1025.0793768049598,,,4502.707845770415
2020-06-15,,,,,,,,,1419.9030746729388,1149.665670438211,1026.0220075876794,979.3983091811896,,,4302.051675870847
2020-06-16,,,,,,,,,1368.4397162226292,1104.5834224877954,984.1073658762452,938.6082613328745,,,4122.879533076968
2020-06-17,,,,,,,,,1318.7372661534484,1060.2270033453492,942.4961873567747,898.0156303465552,,,3944.5745528399693
2020-06-18,,,,,,,,,1270.9463840239796,1017.9018953557428,902.5136801600256,858.7925482626739,,,3772.285378527576
2020-06-19,,,,,,,,,1225.9080180224719,978.390134193777,865.6454942419051,822.9816860472324,,,3614.9845353832584
2020-06-20,,,,,,,,,1183.873516409073,941.5008369599852,831.3158737563485,789.552297082006,,,3468.1444219452183
2020-06-21,,,,,,,,,,907.2510655663568,799.688637687553,758.9013475742964,716.3515025349449,,3333.5087303572714
2020-06-22,,,,,,,,,,872.3981250414332,767.2173039319698,727.2969254352486,685.8865899809864,,3191.7416626414647
