,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,2324.511297964408,,,,,,,,,,,,,,2324.511297964408
2020-03-30,2479.707347279481,,,,,,,,,,,,,,2479.707347279481
2020-03-31,2410.4464654831004,,,,,,,,,,,,,,2410.4464654831004
2020-04-01,2386.5286618009713,,,,,,,,,,,,,,2386.5286618009713
2020-04-02,2417.043542933211,,,,,,,,,,,,,,2417.043542933211
2020-04-03,2467.656495257777,,,,,,,,,,,,,,2467.656495257777
2020-04-04,2509.331149821787,,,,,,,,,,,,,,2509.331149821787
2020-04-05,2574.799859921996,4876.105057904178,,,,,,,,,,,,,2574.799859921996
2020-04-06,2622.1193419587053,5048.349811589863,,,,,,,,,,,,,2665.7527336594667
2020-04-07,2694.7093004397743,5233.760259284843,,,,,,,,,,,,,2763.6576780944215
2020-04-08,2775.102241753893,5430.58321529853,,,,,,,,,,,,,2867.588933380233
2020-04-09,2850.426062656553,5641.045356014674,,,,,,,,,,,,,2978.7222834618506
2020-04-10,2938.4188395048213,5864.041189823197,,,,,,,,,,,,,3096.4739797101997
2020-04-11,3025.813682005844,6099.243159600334,,,,,,,,,,,,,3220.6710574277677
2020-04-12,3127.4806886323577,6349.405334506626,3786.227281533319,,,,,,,,,,,,3352.767787350021
2020-04-13,3212.669573479965,6612.271937219168,3898.693225642397,,,,,,,,,,,,3452.3582679378956
2020-04-14,3317.5486629903717,6889.535096343422,4018.221945886728,,,,,,,,,,,,3558.202955300687
2020-04-15,3460.293008921295,7182.101804915955,4145.400550258717,,,,,,,,,,,,3670.8217434168237
2020-04-16,3555.138194532208,7488.256607852843,4278.074115232793,,,,,,,,,,,,3788.3064113466976
2020-04-17,3689.6844697425267,7809.729331895309,4419.344820906862,,,,,,,,,,,,3913.4039916188494
2020-04-18,3826.704384334679,8146.665344702796,4568.063226465027,,,,,,,,,,,,4045.096635104199
2020-04-19,3974.317396671722,8497.476094229309,4723.461577461559,5293.110442722989,,,,,,,,,,,4182.704482358811
2020-04-20,4102.509120227644,8864.898018866348,4887.858650502855,5466.924922993039,,,,,,,,,,,4320.05559444904
2020-04-21,4266.915256935796,9244.487134181298,5057.835115354554,5646.716045214098,,,,,,,,,,,4462.129549062289
2020-04-22,4422.269414117618,9639.981722589615,5236.672158165794,5833.04175113916,,,,,,,,,,,4609.367241112127
2020-04-23,4588.199797348123,10048.776067866043,5423.836382640859,6026.18527832852,,,,,,,,,,,4761.9924896603
2020-04-24,4765.888598420073,10472.06428821356,5618.189208904859,6226.523645514368,,,,,,,,,,,4920.303221220553
2020-04-25,4955.145621380107,10908.982009749288,5821.757630106847,6434.360113704772,,,,,,,,,,,5084.539077718271
2020-04-26,,11356.01044833549,6031.059224908687,6646.860765852613,4239.137763576202,,,,,,,,,,5252.460650460989
2020-04-27,,11814.789222710271,6249.180182599431,6865.815944299498,4296.268430407277,,,,,,,,,,5323.247823749661
2020-04-28,,12284.281109062837,6475.6319087596285,7094.6122693107445,4358.7643250973915,,,,,,,,,,5400.682728200196
2020-04-29,,12762.818133561997,6708.585282657946,7328.234323570877,4417.853326665718,,,,,,,,,,5473.896356282628
2020-04-30,,13249.773788748676,6948.776512708922,7568.053148427221,4479.319725909827,,,,,,,,,,5550.055674842459
2020-05-01,,13743.062016103548,7195.20009406366,7813.443945631002,4538.6668184656955,,,,,,,,,,5623.5890879453145
2020-05-02,,14243.399256457173,7448.812065997061,8065.723947014093,4604.201362942823,,,,,,,,,,5704.789000594912
2020-05-03,,,7709.383131418707,8324.087143219482,4667.406263676865,4772.562573790342,,,,,,,,,5783.102391793075
2020-05-04,,,7974.902488088254,8588.81671796634,4730.016274107594,4839.458940062178,,,,,,,,,5864.163358476572
2020-05-05,,,8245.519694481582,8857.027489805494,4792.948966572069,4909.392953577704,,,,,,,,,5948.905162188143
2020-05-06,,,8520.774815000419,9131.099922583797,4859.674834278688,4976.8049332881865,,,,,,,,,6030.5909180209
2020-05-07,,,8799.948668310995,9410.132933576391,4927.980652728282,5045.104062987038,,,,,,,,,6113.351668500725
2020-05-08,,,9083.21829485516,9694.47395444716,4993.932644618798,5115.177549621782,,,,,,,,,6198.262477294339
2020-05-09,,,9368.532613440562,9981.074828386993,5058.8045943880325,5185.623678069319,,,,,,,,,6283.624830876633
2020-05-10,,,,10273.154308740084,5129.48814654193,5254.769251260767,2512.0334175211456,,,,,,,,6367.411250336355
2020-05-11,,,,10566.27287971885,5193.779010722936,5327.32553392577,2496.0624509436484,,,,,,,,6326.928623172639
2020-05-12,,,,10862.628534216956,5261.872934171724,5394.876990203705,2480.172844116836,,,,,,,,6286.652223755826
2020-05-13,,,,11160.307834581079,5331.491764969926,5467.70165540473,2460.377434788361,,,,,,,,6236.4755377356505
2020-05-14,,,,11461.208216455852,5400.424229488741,5540.454929217197,2445.314728346465,,,,,,,,6198.295135440969
2020-05-15,,,,11762.889851478796,5469.1563473401975,5611.847416374971,2427.215529990342,,,,,,,,6152.4179435091155
2020-05-16,,,,12065.42499607346,5538.7776360063135,5679.4702463691,2411.38521997432,,,,,,,,6112.291847498897
2020-05-17,,,,,5607.184604611277,5753.662743499358,2390.3573166821616,2443.58689263924,,,,,,,6058.991080455121
2020-05-18,,,,,5677.915070276863,5820.984684710144,2373.315669452989,2406.084572432177,,,,,,,5966.002276040008
2020-05-19,,,,,5751.928450401313,5893.306205906072,2355.536307278101,2393.222906711564,,,,,,,5934.111158062688
2020-05-20,,,,,5818.7626212063415,5964.825293064906,2337.885428050396,2380.199998790429,,,,,,,5901.820232303743
2020-05-21,,,,,5886.127296963929,6037.257640095911,2323.286582838213,2356.247761458952,,,,,,,5842.429509270515
2020-05-22,,,,,5961.279374964838,6107.780705990513,2303.4673841875533,2348.289839242293,,,,,,,5822.697458867505
2020-05-23,,,,,6030.36597422995,6178.726717680479,2289.5707705405107,2320.701094098891,,,,,,,5754.289840031296
2020-05-24,,,,,,6253.36647066564,2272.283914306365,2293.558577695844,1759.843020210168,,,,,,5686.988666791844
2020-05-25,,,,,,6320.552564996289,2252.870505112815,2288.768529445251,1743.7244964578015,,,,,,5634.901144863793
2020-05-26,,,,,,6391.556663863344,2238.7759106942835,2266.642345085945,1710.9165580994613,,,,,,5528.881249065131
2020-05-27,,,,,,6460.913487421979,2220.056615919464,2251.1026729980645,1688.1470572749756,,,,,,5455.3008832880205
2020-05-28,,,,,,6531.239805918486,2202.9125162770447,2224.836907461904,1667.6758684892611,,,,,,5389.147585929594
2020-05-29,,,,,,6599.196365094634,2188.2752151607006,2204.7237302616327,1645.5618588448856,,,,,,5317.685460739661
2020-05-30,,,,,,6672.393494880866,2172.646457936238,2200.265258491852,1622.6030070550644,,,,,,5243.493201298433
2020-05-31,,,,,,,2156.846188788975,2181.855005243923,1595.554891254204,2586.277291247186,,,,,5156.086355204174
2020-06-01,,,,,,,2137.5019027203753,2172.5452092085475,1572.6400891472385,2575.47115518186,,,,,5134.54289159048
2020-06-02,,,,,,,2122.2115602315043,2144.325323604898,1554.4233818538955,2563.0034999095224,,,,,5109.6869693548215
2020-06-03,,,,,,,2107.7789879580328,2121.3441491572094,1529.9300117528103,2551.288979217013,,,,,5086.332520663329
2020-06-04,,,,,,,2089.7390857129435,2111.568048206685,1512.5212813770893,2539.3765663385616,,,,,5062.583547686606
2020-06-05,,,,,,,2071.7705723477425,2111.432827918844,1486.9247975616656,2527.460809615833,,,,,5038.827908313395
2020-06-06,,,,,,,2056.375815390091,2062.7068918767186,1466.1803750682675,2514.045241642544,,,,,5012.082196549042
2020-06-07,,,,,,,,2072.6655087128506,1447.8324990558747,2504.2188182313407,2003.0516313507694,,,,4992.491919882872
2020-06-08,,,,,,,,2031.5641493071,1423.526827326836,2493.679613135189,1983.5607072706641,,,,4943.911903542827
2020-06-09,,,,,,,,2013.98767848796,1399.6719476446797,2481.394985138773,1966.5969932753985,,,,4901.630814165487
2020-06-10,,,,,,,,2001.6164318289664,1380.5037890538188,2470.8074936332064,1949.6090510320505,,,,4859.289337261989
2020-06-11,,,,,,,,1998.5161744510647,1366.1457965030506,2457.510801779704,1931.2182809579433,,,,4813.451392019665
2020-06-12,,,,,,,,1987.3422148176198,1334.939107290342,2446.821745562097,1914.0455601783524,,,,4770.649365155936
2020-06-13,,,,,,,,1967.0844434829007,1316.8973267038898,2434.2704661049147,1896.4453376662768,,,,4726.781814612357
