,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,473.590443271554,,,,,,,,,,,,,,473.590443271554
2020-03-30,547.8079881119817,,,,,,,,,,,,,,547.8079881119817
2020-03-31,581.5335214938666,,,,,,,,,,,,,,581.5335214938666
2020-04-01,551.5932485658494,,,,,,,,,,,,,,551.5932485658494
2020-04-02,543.9268750705899,,,,,,,,,,,,,,543.9268750705899
2020-04-03,535.1695577241835,,,,,,,,,,,,,,535.1695577241835
2020-04-04,546.9661965953469,,,,,,,,,,,,,,546.9661965953469
2020-04-05,544.6425804300726,319.8212078554282,,,,,,,,,,,,,544.6425804300726
2020-04-06,552.1131740080084,327.6619211377439,,,,,,,,,,,,,557.9949979984008
2020-04-07,562.5846069283551,334.7132485757385,,,,,,,,,,,,,570.0031234039642
2020-04-08,563.381508666294,346.50341496519684,,,,,,,,,,,,,590.0812998610966
2020-04-09,574.0444542832244,348.32530827462836,,,,,,,,,,,,,593.1839104727281
2020-04-10,576.8427738724142,362.78994420973083,,,,,,,,,,,,,617.8166003856403
2020-04-11,596.6436109066351,373.32182126954245,,,,,,,,,,,,,635.7519610113216
2020-04-12,600.7524212350596,382.0283834629535,207.02779186489377,,,,,,,,,,,,650.5788842522527
2020-04-13,617.0340112467777,390.2157859999562,206.82166514235803,,,,,,,,,,,,649.9311369524631
2020-04-14,631.5039209800468,395.9347184431916,207.25332271838118,,,,,,,,,,,,651.2876084757233
2020-04-15,640.1017913816022,411.99111396483056,218.5887027620856,,,,,,,,,,,,686.908714390919
2020-04-16,657.001248157725,419.90742773998323,215.409778392289,,,,,,,,,,,,676.9190359472914
2020-04-17,669.6688385697919,427.33903236404365,219.92862864179818,,,,,,,,,,,,691.1193929474146
2020-04-18,690.2100330294096,441.8189960615123,225.81157481514882,,,,,,,,,,,,709.6063821728623
2020-04-19,695.5346285531945,450.3523384679354,233.93177218335742,124.76121562340929,,,,,,,,,,,735.1238689611328
2020-04-20,712.0568134723151,466.39072246374536,234.26476574722162,130.60390251613902,,,,,,,,,,,769.5504218946718
2020-04-21,724.8364911148459,483.05387531264165,239.0061628903561,136.81777455322091,,,,,,,,,,,806.1640892936606
2020-04-22,744.0676770137262,487.2511779508736,241.5874257991396,143.40624742306082,,,,,,,,,,,844.9849972370536
2020-04-23,762.9538930187889,502.38923633883087,246.49164379810315,150.4957365309079,,,,,,,,,,,886.7580164872802
2020-04-24,778.2718775648112,519.2023283920174,255.36417788329646,157.9976236660326,,,,,,,,,,,930.9609866789867
2020-04-25,805.2613619042019,533.6765943544067,258.6429122123297,165.92795350421397,,,,,,,,,,,977.6884470011025
2020-04-26,,547.3864429701024,264.4919604628495,174.409412059081,362.1542670970926,,,,,,,,,,1027.663293720354
2020-04-27,,562.422165973558,269.4914739376593,183.36989043267607,381.6818066370024,,,,,,,,,,1083.0754134302622
2020-04-28,,578.5969918930729,271.1986332457916,192.87939376557324,402.2771238347897,,,,,,,,,,1141.5175013182375
2020-04-29,,587.0193519921579,271.88971866245055,202.9413136096949,424.0069843805878,,,,,,,,,,1203.1790143512787
2020-04-30,,593.123408927771,285.2787851655688,213.6139883688277,446.8232429169474,,,,,,,,,,1267.9233333559866
2020-05-01,,616.3066658162795,286.85151446257413,224.8970633961117,471.08146182412736,,,,,,,,,,1336.7594162268767
2020-05-02,,633.4406217583927,293.72408361960294,236.7837735179067,496.3806725107538,,,,,,,,,,1408.5494586061743
2020-05-03,,,307.008604645193,249.2913354468337,522.9399769221925,488.11754983753485,,,,,,,,,1483.9151928529648
2020-05-04,,,305.91309639427897,262.4971923087186,550.7752388326595,512.0561644455083,,,,,,,,,1556.6904371039595
2020-05-05,,,314.09905756039194,276.315100970539,579.7890819259114,537.1856194054817,,,,,,,,,1633.085928345015
2020-05-06,,,318.1106600391072,290.90679570704333,610.253563536793,563.475630800765,,,,,,,,,1713.0096011216303
2020-05-07,,,335.94006645722254,306.16535617024743,641.9031930034267,590.7888043284418,,,,,,,,,1796.043766101437
2020-05-08,,,330.4328313404519,322.18964776916215,675.0899340852711,619.4170491165256,,,,,,,,,1883.075849663872
2020-05-09,,,337.66073691989595,338.87353794136817,709.1824908602257,648.8857143365336,,,,,,,,,1972.6628764930088
2020-05-10,,,,356.3595564203255,744.8779541730376,679.8320742214809,635.3046826857765,,,,,,,,2066.7422096619416
2020-05-11,,,,374.53488731059457,781.6304767210142,711.7556254671512,660.9296501717538,,,,,,,,2150.1041041478957
2020-05-12,,,,393.51852523191286,819.8017686626587,745.05592895415,687.3103421593796,,,,,,,,2235.9244847256405
2020-05-13,,,,413.2123051706548,859.0628549483027,779.471786059332,714.2848226952283,,,,,,,,2323.6765492491704
2020-05-14,,,,433.6706824630599,899.3940324310444,814.7067558117316,741.882587462239,,,,,,,,2413.4562516357073
2020-05-15,,,,454.794878928007,940.7836005325585,851.2601480995801,770.4002687043567,,,,,,,,2506.228581434385
2020-05-16,,,,476.6229406108702,983.096698921435,888.6959666685439,799.8159307693869,,,,,,,,2601.922178651295
2020-05-17,,,,,1026.0935877577986,926.9019105657457,829.464332902514,350.3698139396251,,,,,,,2698.372914506916
2020-05-18,,,,,1069.961604679501,966.3171286471196,860.1778889002361,359.5638296587242,,,,,,,2769.1806211212847
2020-05-19,,,,,1114.7672255252292,1006.6977227172392,891.8714636573444,369.1469819133426,,,,,,,2842.9852625334415
2020-05-20,,,,,1159.8648604991713,1047.7598306376854,923.856395709337,378.93128721234604,,,,,,,2918.3390839977724
2020-05-21,,,,,1205.2633947350873,1089.1630257017043,956.212494378991,388.84111076857107,,,,,,,2994.6595842457423
2020-05-22,,,,,1251.4956887377393,1131.7202714107,989.9440865232408,399.4093378179165,,,,,,,3076.050778605959
2020-05-23,,,,,1297.5708823168375,1174.521922552976,1023.476166939038,409.829847060654,,,,,,,3156.3043243660886
2020-05-24,,,,,,1217.7866295527874,1058.4130413494584,420.6297948744997,326.8977407882425,,,,,,3239.4801160568395
2020-05-25,,,,,,1261.3895996445324,1093.5006351194572,431.68760446169404,332.4323779098279,,,,,,3294.3270748083232
2020-05-26,,,,,,1305.0013913443495,1128.8068378132734,442.8936715279865,338.1160306419418,,,,,,3350.650743389998
2020-05-27,,,,,,1348.7883516994227,1164.866789019224,454.2578749657583,343.7630597089617,,,,,,3406.6114800206497
2020-05-28,,,,,,1392.412478521258,1201.1559328000073,466.0371431168559,349.539407198131,,,,,,3463.853731953863
2020-05-29,,,,,,1435.7982804265478,1237.795442199906,477.7306724983308,355.25946731935755,,,,,,3520.538189242194
2020-05-30,,,,,,1478.8779872732348,1274.56878362639,489.85305968338344,361.1530528109021,,,,,,3578.942242344865
2020-05-31,,,,,,,1311.7467633719334,501.98964732984354,366.9967883633629,219.28576303110984,,,,,3636.8522942162667
