,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,3834.4341916062976,,,,,,,,,,,,,,3834.4341916062976
2020-03-30,3960.175399663873,,,,,,,,,,,,,,3960.175399663873
2020-03-31,4089.962864908734,,,,,,,,,,,,,,4089.962864908734
2020-04-01,4214.362443986372,,,,,,,,,,,,,,4214.362443986372
2020-04-02,4320.395640451811,,,,,,,,,,,,,,4320.395640451811
2020-04-03,4485.166370641526,,,,,,,,,,,,,,4485.166370641526
2020-04-04,4632.211964318609,,,,,,,,,,,,,,4632.211964318609
2020-04-05,4807.903524003107,9187.982980035971,,,,,,,,,,,,,4807.903524003107
2020-04-06,4990.921596558753,9761.343135751986,,,,,,,,,,,,,5107.932411646868
2020-04-07,5161.725183944865,10440.230505265466,,,,,,,,,,,,,5463.1817610826765
2020-04-08,5350.270113497306,11040.08833742112,,,,,,,,,,,,,5777.076398391935
2020-04-09,5564.903174845636,11712.187227647695,,,,,,,,,,,,,6128.773460720002
2020-04-10,5800.529123986773,12458.348743842827,,,,,,,,,,,,,6519.226141246847
2020-04-11,6038.386553540714,13300.988210798909,,,,,,,,,,,,,6960.1639696521825
2020-04-12,6277.7474544553515,14049.812894566856,9149.937172287397,,,,,,,,,,,,7352.010237083376
2020-04-13,6563.012569960555,14943.936888160128,9495.431124760633,,,,,,,,,,,,7629.61597662078
2020-04-14,6809.711723300473,15787.529720737612,9873.886534527923,,,,,,,,,,,,7933.706375767546
2020-04-15,7107.6089878440125,16781.905630760946,10265.059997508872,,,,,,,,,,,,8248.015780319702
2020-04-16,7449.016652317277,17768.338913604155,10666.778102462105,,,,,,,,,,,,8570.79784586033
2020-04-17,7738.901796289283,18802.77812526269,11076.605793820481,,,,,,,,,,,,8900.095995735363
2020-04-18,8077.777166357326,19886.706891126534,11501.072603536533,,,,,,,,,,,,9241.15673435838
2020-04-19,8433.110174890655,21018.717237457528,11946.252176308284,9452.8753280851,,,,,,,,,,,9598.860258954288
2020-04-20,8769.01123724175,22167.234639130904,12395.454633553809,9677.033648456749,,,,,,,,,,,9826.48035532186
2020-04-21,9170.169333117408,23352.265130660195,12860.326665040748,9935.59709928519,,,,,,,,,,,10089.036915779321
