,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,6865.484732455554,,,,,,,,,,,,,,6865.484732455554
2020-03-30,7964.843843092307,,,,,,,,,,,,,,7964.843843092307
2020-03-31,9063.780498281196,,,,,,,,,,,,,,9063.780498281196
2020-04-01,9777.55800753895,,,,,,,,,,,,,,9777.55800753895
2020-04-02,10040.96995778803,,,,,,,,,,,,,,10040.96995778803
2020-04-03,10434.22618099478,,,,,,,,,,,,,,10434.22618099478
2020-04-04,10596.078891387115,,,,,,,,,,,,,,10596.078891387115
2020-04-05,10767.98521782122,5100.113930518157,,,,,,,,,,,,,10767.98521782122
2020-04-06,10970.272946254454,5137.240645576447,,,,,,,,,,,,,10846.371686119843
2020-04-07,11197.39697262181,5197.9664685851285,,,,,,,,,,,,,10974.583481661257
2020-04-08,11365.298337686949,5274.163875200641,,,,,,,,,,,,,11135.46077955111
2020-04-09,11706.559354689736,5360.318197609656,,,,,,,,,,,,,11317.360337637534
2020-04-10,11941.712389873059,5455.553363752301,,,,,,,,,,,,,11518.432485282003
2020-04-11,12302.908543662466,5556.519610455345,,,,,,,,,,,,,11731.604792177273
2020-04-12,12516.823031635122,5666.107756489146,3309.312848186104,,,,,,,,,,,,11962.980708993413
2020-04-13,12840.344673493226,5780.361855162879,3327.5312926553484,,,,,,,,,,,,12028.83936598104
2020-04-14,13123.07156624186,5899.248332091014,3349.354210672949,,,,,,,,,,,,12107.7279930873
2020-04-15,13424.333150105436,6025.700056803979,3374.3835237811268,,,,,,,,,,,,12198.207558969565
2020-04-16,13751.045473670956,6156.138777038144,3402.051988254541,,,,,,,,,,,,12298.22750931193
2020-04-17,13915.545695904118,6291.470226331048,3434.7137355084083,,,,,,,,,,,,12416.297897409024
2020-04-18,14272.9393068951,6430.867266209597,3466.2041281729803,,,,,,,,,,,,12530.133904231827
2020-04-19,14568.344432835132,6574.4928990997,3504.1807758908753,2162.6627460287114,,,,,,,,,,,12667.417360007377
2020-04-20,14813.581653426356,6720.784154415124,3540.094749568467,2230.2124136782727,,,,,,,,,,,13063.077679314243
2020-04-21,15076.408168548845,6871.910928090653,3582.4226754533875,2301.820110696953,,,,,,,,,,,13482.507193227246
2020-04-22,15297.141412631967,7024.046933284414,3627.70247056198,2377.5676777876497,,,,,,,,,,,13926.185269295733
2020-04-23,15539.27740028859,7178.830931803961,3670.837696930383,2457.411355908881,,,,,,,,,,,14393.855596616524
2020-04-24,15745.445306992151,7334.691342708496,3719.429584267641,2541.216846863827,,,,,,,,,,,14884.731547078996
2020-04-25,15913.806589481484,7490.8800241778845,3768.345326589118,2629.7208948265684,,,,,,,,,,,15403.128470340776
2020-04-26,,7646.641071578748,3819.589340564711,2722.71707844776,2362.428327783918,,,,,,,,,,15947.837289587194
2020-04-27,,7803.557262710774,3874.17460834428,2819.7692242292346,2425.394588800917,,,,,,,,,,16372.898094024273
2020-04-28,,7958.626467875974,3927.9762898757135,2921.1155207298198,2491.97223948254,,,,,,,,,,16822.337989282172
2020-04-29,,8110.305822878798,3985.0785126532173,3027.512676175572,2562.318774091745,,,,,,,,,,17297.220158040407
2020-04-30,,8259.585878486323,4039.924735167701,3138.5775439716595,2636.449849797316,,,,,,,,,,17797.650295772248
2020-05-01,,8406.712294506899,4099.860826297067,3253.5596780402448,2713.4972740195253,,,,,,,,,,18317.767571131124
2020-05-02,,8549.441957667956,4157.849137082561,3372.9332292754298,2793.924866583803,,,,,,,,,,18860.703051849603
2020-05-03,,,4218.962356894547,3496.9461327274976,2878.0930057388623,916.6683914821924,,,,,,,,,19428.889511699315
2020-05-04,,,4278.9725585085025,3625.582254092796,2966.190793400712,909.3319804613265,,,,,,,,,19273.393456134072
2020-05-05,,,4339.928277040728,3757.9396025733586,3057.1515329634003,902.1993221534905,,,,,,,,,19122.21596220568
2020-05-06,,,4401.232159871765,3894.495635740855,3151.385688519023,895.7772101957387,,,,,,,,,18986.098577971265
2020-05-07,,,4464.265698242536,4034.70390877464,3248.652144208513,890.2014664537069,,,,,,,,,18867.920063127614
2020-05-08,,,4524.0770737814,4178.641779337351,3349.25987478046,885.3965099870586,,,,,,,,,18766.07847115553
2020-05-09,,,4583.844748127343,4326.0045006893015,3452.532798101845,881.1195502666636,,,,,,,,,18675.42782952145
2020-05-10,,,,4475.951906808728,3558.128952837213,877.4587634179985,326.71872594656844,,,,,,,,18597.837041108214
2020-05-11,,,,4629.144053207686,3666.755391694101,874.4354837549838,313.4257525797999,,,,,,,,17841.160019456926
2020-05-12,,,,4784.683063136943,3777.419905276935,872.0359194797645,301.31999063584436,,,,,,,,17152.06273175217
2020-05-13,,,,4941.931757652715,3889.7214783930244,870.1215264291029,289.59154803131884,,,,,,,,16484.443623992094
2020-05-14,,,,5101.247597967367,4004.1717220666137,868.6583500397662,277.8864322350314,,,,,,,,15818.15235006537
2020-05-15,,,,5261.016344009566,4119.270257761277,867.8837096017046,267.4761712884594,,,,,,,,15225.568205771719
2020-05-16,,,,5422.277690520064,4236.186627690955,867.8115068670979,257.404964047584,,,,,,,,14652.284043591
2020-05-17,,,,,4352.535357210584,867.757907384445,247.34235898312173,205.9280813724397,,,,,,,14079.489543809239
2020-05-18,,,,,4469.755014353181,868.5659038616127,238.26532918989102,197.30174821114483,,,,,,,13489.699328038692
2020-05-19,,,,,4586.123389907842,869.3579060059468,229.6226700018104,188.96863639743717,,,,,,,12919.956921531755
2020-05-20,,,,,4702.404573047037,871.0461801876462,220.89841287775687,180.59955036551773,,,,,,,12347.754925124384
2020-05-21,,,,,4817.455850441532,872.8945683994258,212.569599748876,172.95849760328838,,,,,,,11825.329223138986
2020-05-22,,,,,4930.987280375381,875.2878890441873,204.79669156639,165.6408220613441,,,,,,,11325.013114762025
2020-05-23,,,,,5041.845942172854,878.0580251172438,197.9699319485876,158.87096880215717,,,,,,,10862.152112315945
2020-05-24,,,,,,880.9471826079741,190.4525197721364,151.52543645088159,140.53881727446327,,,,,,10359.931408640035
2020-05-25,,,,,,884.359400993392,183.6348770869686,145.03537640843558,134.08963299095586,,,,,,9884.524626979603
2020-05-26,,,,,,888.1738152315886,177.24351094289946,139.20499146829349,128.34841860915793,,,,,,9461.306413312937
2020-05-27,,,,,,892.148463743453,170.9929877701421,133.25387173412534,122.64365846848844,,,,,,9040.775453210581
2020-05-28,,,,,,896.6360940827852,165.39537663149417,127.86290882597451,117.38841161781244,,,,,,8653.380725089672
2020-05-29,,,,,,901.0204586367496,159.96565136659066,122.84336772130628,112.507971767138,,,,,,8293.615194985357
2020-05-30,,,,,,905.9481314383687,154.28737858557014,117.26314486442276,106.99337652679002,,,,,,7887.102392726284
2020-05-31,,,,,,,149.38272937806101,112.42586041286371,102.2622722237342,118.82652165656741,,,,,7538.345252049207
2020-06-01,,,,,,,144.46877240157684,107.77523653819668,97.79980743560421,113.89583667134536,,,,,7225.542981735132
2020-06-02,,,,,,,139.85316896709585,103.23163826844448,93.28954231894473,108.9708998860054,,,,,6913.105376772569
2020-06-03,,,,,,,135.38796290339934,99.20526828819632,89.47140334835804,104.72148937623163,,,,,6643.523105964841
2020-06-04,,,,,,,131.15218791462928,94.77801823858766,85.09189116501302,100.18123476325607,,,,,6355.489707968569
2020-06-05,,,,,,,126.89334298270654,91.02166097223378,81.50417553651076,96.13016675086685,,,,,6098.490269701877
2020-06-06,,,,,,,123.06763964014375,87.24225838671906,77.82035035825865,92.02248815109027,,,,,5837.899460193329
2020-06-07,,,,,,,,83.662602240651,74.37803053024078,88.25369822768354,82.32009305510846,,,,5598.807721842223
2020-06-08,,,,,,,,80.55872030240462,71.5869583928865,85.00118528132904,79.28974490671126,,,,5392.705712193637
2020-06-09,,,,,,,,77.19780042814955,68.26026580032402,81.42428604025902,75.75355387591073,,,,5152.199987353149
2020-06-10,,,,,,,,73.87149623170886,64.96219318618718,77.74975013722424,72.08616686082415,,,,4902.771275880423
2020-06-11,,,,,,,,71.16710957157609,62.52188546706482,74.98194725266323,69.47006806831573,,,,4724.843462912659
2020-06-12,,,,,,,,68.069338976981,59.55237663781071,71.6341655734345,66.23381158026895,,,,4504.73708131505
2020-06-13,,,,,,,,65.39695608062074,56.983629181560275,68.77397005946608,63.40177939670498,,,,4312.123066080289
2020-06-14,,,,,,,,,54.32386766123386,65.8881291418451,60.63015203188218,61.50988260815782,,,4123.617342673844
2020-06-15,,,,,,,,,52.08471854437973,63.28781844479754,58.14389824447986,58.99341734497187,,,3954.913723653546
2020-06-16,,,,,,,,,49.915207412048645,60.797620445378044,55.75855428252935,56.519064076245115,,,3789.0332891903186
2020-06-17,,,,,,,,,47.532892999561824,58.12584085357479,53.12337610398928,53.863837778613565,,,3611.0271421230673
2020-06-18,,,,,,,,,45.90249431896623,56.18978255210936,51.33528186478226,52.02223258005472,,,3487.5660849216933
2020-06-19,,,,,,,,,43.66984576129303,53.663396782461135,48.853058927132025,49.50572518699583,,,3318.859641518267
2020-06-20,,,,,,,,,41.95728724640049,51.759618735327024,47.05181970884862,47.695163857294006,,,3197.479762667013
2020-06-21,,,,,,,,,,49.52088212045182,44.90156251238077,45.468640541381404,45.4954395970392,,3048.213827339944
2020-06-22,,,,,,,,,,47.59842658212099,43.08627055995068,43.66121369438941,43.67925459302642,,2926.5286586444977
2020-06-23,,,,,,,,,,45.49817441570956,41.060549532716365,41.57263381826432,41.577113042514156,,2785.6842795583284
