,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,1832.279603278638,,,,,,,,,,,,,,1832.279603278638
2020-03-30,1962.7745757251068,,,,,,,,,,,,,,1962.7745757251068
2020-03-31,2064.6803600918647,,,,,,,,,,,,,,2064.6803600918647
2020-04-01,2163.9668019550704,,,,,,,,,,,,,,2163.9668019550704
2020-04-02,2216.87053544637,,,,,,,,,,,,,,2216.87053544637
2020-04-03,2335.909057527569,,,,,,,,,,,,,,2335.909057527569
2020-04-04,2448.407996956341,,,,,,,,,,,,,,2448.407996956341
2020-04-05,2567.4915925998785,580.7314415504364,,,,,,,,,,,,,2567.4915925998785
2020-04-06,2686.3394444440314,605.0422639188598,,,,,,,,,,,,,2674.9729989337134
2020-04-07,2785.233620925696,630.9584288846904,,,,,,,,,,,,,2789.5518402042226
2020-04-08,2901.350538963899,658.5646335138044,,,,,,,,,,,,,2911.602573499479
2020-04-09,3090.360416886521,687.8887837951833,,,,,,,,,,,,,3041.248574939607
2020-04-10,3216.9269390884388,719.130120307166,,,,,,,,,,,,,3179.370713844209
2020-04-11,3331.8824296840367,752.3039002863862,,,,,,,,,,,,,3326.036444502791
2020-04-12,3539.339874882344,787.535382698183,1408.9278900118618,,,,,,,,,,,,3481.7995536012377
2020-04-13,3678.925437023832,824.9406677759417,1480.1245867899347,,,,,,,,,,,,3657.7437085981906
2020-04-14,3838.94070783538,864.5995815920475,1555.4568685218985,,,,,,,,,,,,3843.907888302168
2020-04-15,4041.703029442469,906.644930848223,1635.3055036676587,,,,,,,,,,,,4041.233063122744
2020-04-16,4184.614282292813,951.1785404421112,1719.873940288186,,,,,,,,,,,,4250.2220021319845
2020-04-17,4386.3846227292825,998.2399105521383,1808.940368698791,,,,,,,,,,,,4470.326560271074
2020-04-18,4548.170775337488,1048.1361095961356,1903.257413917968,,,,,,,,,,,,4703.40665490839
2020-04-19,4731.500254831119,1100.7973647262068,2002.7613704350765,1077.2427815802941,,,,,,,,,,,4949.304854410927
2020-04-20,4917.047859362923,1156.3858451123688,2107.51572956958,1114.9057928444797,,,,,,,,,,,5122.344514243331
2020-04-21,5146.295280552578,1215.0541949422936,2218.062345857133,1154.829735662764,,,,,,,,,,,5305.771841282729
2020-04-22,5373.195338917869,1276.8335872033267,2334.0461959457457,1196.810320567802,,,,,,,,,,,5498.648244090193
