,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,7068.911790330936,,,,,,,,,,,,,,7068.911790330936
2020-03-30,7607.894452412518,,,,,,,,,,,,,,7607.894452412518
2020-03-31,8405.452864144092,,,,,,,,,,,,,,8405.452864144092
2020-04-01,9032.818857617704,,,,,,,,,,,,,,9032.818857617704
2020-04-02,9879.266434662371,,,,,,,,,,,,,,9879.266434662371
2020-04-03,10556.367782165204,,,,,,,,,,,,,,10556.367782165204
2020-04-04,11448.892654494684,,,,,,,,,,,,,,11448.892654494684
2020-04-05,12312.737270193697,11455.155962657422,,,,,,,,,,,,,12312.737270193697
2020-04-06,13512.48304966145,11957.855042174902,,,,,,,,,,,,,12853.070523817163
2020-04-07,14523.61009480703,12505.776849415828,,,,,,,,,,,,,13442.012069367467
2020-04-08,15597.731921736528,13067.181670736674,,,,,,,,,,,,,14045.446024319926
2020-04-09,16818.808662893985,13669.053623750027,,,,,,,,,,,,,14692.376651184357
2020-04-10,18087.97503502292,14300.287250586422,,,,,,,,,,,,,15370.867090658476
2020-04-11,19580.792150077006,14956.639223829276,,,,,,,,,,,,,16076.356341931636
2020-04-12,20805.715479646522,15638.051341854869,16361.731365967502,,,,,,,,,,,,16808.781846160997
2020-04-13,22590.62349200767,16362.594492393846,16915.367455012743,,,,,,,,,,,,17377.544896645963
2020-04-14,24131.283977958432,17120.951840856334,17483.11078949749,,,,,,,,,,,,17960.80064388404
2020-04-15,25958.100010747457,17896.96464766417,18067.997705461537,,,,,,,,,,,,18561.668385519417
2020-04-16,27783.86650267481,18706.639846685783,18669.65856706705,,,,,,,,,,,,19179.76838617924
2020-04-17,29454.15459930087,19536.900982222967,19284.21317774667,,,,,,,,,,,,19811.114430947608
2020-04-18,31481.36130061416,20403.93968979213,19912.69947517615,,,,,,,,,,,,20456.77281700123
2020-04-19,33524.448057819674,21286.647053786764,20552.486366731344,31700.070119260043,,,,,,,,,,,21114.040562550043
2020-04-20,35770.46885650308,22197.267087418066,21202.484999451903,32808.697550655685,,,,,,,,,,,21852.44916755251
2020-04-21,37728.052380458685,23143.07196705879,21860.319086901818,33931.84786769305,,,,,,,,,,,22600.53083622238
2020-04-22,40096.746733090615,24100.932300287,22526.790222378087,35060.327827880916,,,,,,,,,,,23352.162348827616
2020-04-23,42266.35244939391,25074.973197904,23195.667217442817,36189.906466947155,,,,,,,,,,,24104.525643738565
2020-04-24,44337.615368191015,26071.601930086534,23868.012381514083,37314.731997150826,,,,,,,,,,,24853.72309917519
2020-04-25,46754.68990701245,27067.807248113262,24541.565351512618,38437.25422768229,,,,,,,,,,,25601.386426689583
2020-04-26,,28093.136276245987,25212.076827736928,39543.730750967385,38194.461175177756,,,,,,,,,,26338.36240517351
2020-04-27,,29099.979965989583,25880.0976467748,40637.31042998935,39183.986830668335,,,,,,,,,,27020.725358377455
2020-04-28,,30124.629751017706,26539.22034984944,41708.98468190003,40158.81962007359,,,,,,,,,,27692.95631809808
2020-04-29,,31144.130551588638,27193.27036715165,42767.41635285563,41134.454803187844,,,,,,,,,,28365.740597217613
2020-04-30,,32160.85365383846,27837.251045638262,43793.940309434845,42092.4688760633,,,,,,,,,,29026.373606933914
2020-05-01,,33165.69707890036,28468.616959492887,44795.70308130966,43028.04755495917,,,,,,,,,,29671.535484995104
2020-05-02,,34166.376353774445,29082.2842114043,45751.77208889888,43946.48456763918,,,,,,,,,,30304.87671149765
2020-05-03,,,29683.409343470077,46678.8250207863,44855.535706471055,43431.001360520335,,,,,,,,,30931.745571607396
2020-05-04,,,30265.85120513605,47567.943921696926,45738.602256404,44494.15759290666,,,,,,,,,31688.930003300833
2020-05-05,,,30826.716541517035,48401.696077656525,46596.16413138653,45546.1798782882,,,,,,,,,32438.18479015139
2020-05-06,,,31366.38415790977,49201.066039242665,47431.43325255845,46583.70820580737,,,,,,,,,33177.11691800536
2020-05-07,,,31882.855390350454,49940.32653490383,48233.770639615555,47598.0443960258,,,,,,,,,33899.531506134816
2020-05-08,,,32380.343952980962,50648.651588549445,49019.21509254632,48603.899921498014,,,,,,,,,34615.90612843363
