,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,736.7951978230063,,,,,,,,,,,,,,736.7951978230063
2020-03-30,754.9761043547757,,,,,,,,,,,,,,754.9761043547757
2020-03-31,783.0835801498756,,,,,,,,,,,,,,783.0835801498756
2020-04-01,823.0561127319861,,,,,,,,,,,,,,823.0561127319861
2020-04-02,863.7731681885565,,,,,,,,,,,,,,863.7731681885565
2020-04-03,893.3911366977313,,,,,,,,,,,,,,893.3911366977313
2020-04-04,933.1346862707297,,,,,,,,,,,,,,933.1346862707297
2020-04-05,976.103414463768,1836.5274675175021,,,,,,,,,,,,,976.103414463768
2020-04-06,1029.4937410353773,1909.2446143694795,,,,,,,,,,,,,1014.752145064146
2020-04-07,1078.1697889072639,1984.6713531593368,,,,,,,,,,,,,1054.841007646837
2020-04-08,1135.896472345107,2065.97631589951,,,,,,,,,,,,,1098.0541112606963
2020-04-09,1198.7327929792382,2150.9517655451073,,,,,,,,,,,,,1143.2180568110348
2020-04-10,1259.0762905405052,2240.577814053532,,,,,,,,,,,,,1190.8537679677127
2020-04-11,1317.9684239261187,2334.947739860521,,,,,,,,,,,,,1241.0108216639521
2020-04-12,1383.580787032086,2433.182858744063,2984.809590648786,,,,,,,,,,,,1293.2222024673629
2020-04-13,1448.2554499449884,2536.9325238645906,3125.910733815891,,,,,,,,,,,,1354.3567993638983
2020-04-14,1531.7079321111364,2644.573918398025,3268.5500204074156,,,,,,,,,,,,1416.157824441739
2020-04-15,1616.7271328855081,2756.4527348712154,3418.279004158753,,,,,,,,,,,,1481.030587765317
2020-04-16,1677.4728283551003,2872.880932016956,3574.1575060947334,,,,,,,,,,,,1548.5677399583801
2020-04-17,1782.5403023371473,2992.6047441589685,3733.5352646175093,,,,,,,,,,,,1617.6210077269063
2020-04-18,1870.791462132596,3116.6272943162244,3897.8710769475774,,,,,,,,,,,,1688.8224410885432
2020-04-19,1963.836971235644,3243.753387130041,4067.802915319743,9037.875994731796,,,,,,,,,,,1762.4484529378324
2020-04-20,2039.8857692328838,3373.667761059068,4241.765545769029,9563.354489443736,,,,,,,,,,,1864.92040105894
2020-04-21,2138.823439226692,3507.4123210165667,4420.767350619521,10139.66183507962,,,,,,,,,,,1977.3043273625021
2020-04-22,2277.700326228677,3642.475183241429,4600.577888140713,10697.561047410476,,,,,,,,,,,2086.0985401001967
2020-04-23,2383.0483449015687,3779.344678924048,4785.030163053462,11244.421513419817,,,,,,,,,,,2192.7401208048705
2020-04-24,2491.7056826364856,3917.349060589797,4966.906790179918,11816.58371762972,,,,,,,,,,,2304.3157158038553
2020-04-25,2624.0879990493727,4055.113678324784,5151.673487479087,12364.40715047792,,,,,,,,,,,2411.145081715625
2020-04-26,,4194.159555934167,5336.200816891432,12919.701084219936,2325.085599860608,,,,,,,,,,2519.4312470734867
2020-04-27,,4329.572127915737,5515.761402050779,13457.81908503582,2346.0096245039663,,,,,,,,,,2542.1042366202687
2020-04-28,,4464.923656332941,5696.703949674481,13966.119211593423,2368.555428030439,,,,,,,,,,2566.534563786882
2020-04-29,,4596.243635104431,5872.231049753432,14463.654007038855,2390.169658760968,,,,,,,,,,2589.955451296234
2020-04-30,,4723.098240302514,6036.074015299987,14911.001313844705,2411.761067278972,,,,,,,,,,2613.351608965375
2020-05-01,,4847.149849814307,6200.299272965158,15353.568320713544,2432.7359795999278,,,,,,,,,,2636.0797397099855
2020-05-02,,4965.009030480445,6353.466476814074,15751.127736407605,2452.521178379723,,,,,,,,,,2657.5187129840724
2020-05-03,,,6497.006181427049,16096.755627843235,2472.6091054755325,1368.6983887382553,,,,,,,,,2679.2857185589
2020-05-04,,,6633.532381741208,16417.58827048946,2492.7006372862884,1355.0626382253447,,,,,,,,,2652.593152898212
2020-05-05,,,6754.4719905841575,16661.030814456044,2509.9512121665466,1337.6121739857035,,,,,,,,,2618.4331217297713
2020-05-06,,,6861.664442578267,16863.491146073233,2528.6046027337657,1323.0852151268637,,,,,,,,,2589.9959775606585
2020-05-07,,,6960.136812263573,17020.558955861376,2545.869372123885,1308.5843651943765,,,,,,,,,2561.60994273315
2020-05-08,,,7039.256503830714,17087.47391558978,2560.5412444914245,1292.2276792475684,,,,,,,,,2529.5910294204546
2020-05-09,,,7108.6555527104665,17134.966636457062,2575.4062735866105,1277.35566528637,,,,,,,,,2500.4784251094493
2020-05-10,,,,17107.798416597117,2586.43913234511,1260.2723383720681,4088.088898665268,,,,,,,,2467.037080980188
2020-05-11,,,,17044.614260802235,2599.092125300519,1246.5480885092466,4149.908349452133,,,,,,,,2504.3432358113164
2020-05-12,,,,16895.163725632352,2608.549048742821,1229.8297548804676,4208.754826627687,,,,,,,,2539.8552916583767
2020-05-13,,,,16736.456838978444,2618.8177822872517,1216.8596235928771,4266.2599859542715,,,,,,,,2574.5579030552753
2020-05-14,,,,16485.57304261189,2625.7880464706195,1201.0425659388825,4321.246533591441,,,,,,,,2607.740609042973
