,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,5214.864998877561,,,,,,,,,,,,,,5214.864998877561
2020-03-30,5797.383905680242,,,,,,,,,,,,,,5797.383905680242
2020-03-31,6534.0425918034925,,,,,,,,,,,,,,6534.0425918034925
2020-04-01,6993.834166830931,,,,,,,,,,,,,,6993.834166830931
2020-04-02,7187.196583567665,,,,,,,,,,,,,,7187.196583567665
2020-04-03,7380.369291635468,,,,,,,,,,,,,,7380.369291635468
2020-04-04,7709.923406742515,,,,,,,,,,,,,,7709.923406742515
2020-04-05,7962.808698709974,2810.9333054253084,,,,,,,,,,,,,7962.808698709974
2020-04-06,8363.286869684413,2855.1287253188216,,,,,,,,,,,,,8088.005434360719
2020-04-07,8515.519697495307,2822.7795409310884,,,,,,,,,,,,,7996.366701295923
2020-04-08,8605.37331977787,2740.788207803976,,,,,,,,,,,,,7764.101745246169
2020-04-09,8684.678070473996,2692.424813567239,,,,,,,,,,,,,7627.097976574696
2020-04-10,8848.81798893644,2645.724625167445,,,,,,,,,,,,,7494.805735523104
2020-04-11,9024.307526561179,2587.2547562114264,,,,,,,,,,,,,7329.172356660359
2020-04-12,9162.765729106783,2558.248764755155,3310.5468072331146,,,,,,,,,,,,7247.004216762869
2020-04-13,9321.26566245894,2514.700200455493,3370.239737954289,,,,,,,,,,,,7377.675959479849
2020-04-14,9467.9472650861,2467.6703595447675,3433.1689397763416,,,,,,,,,,,,7515.432112018013
2020-04-15,9646.133474477396,2448.3212040650424,3501.5353569228364,,,,,,,,,,,,7665.090685720435
2020-04-16,9762.785801347958,2397.2135672765053,3574.594841155249,,,,,,,,,,,,7825.022691258012
2020-04-17,9956.770896760869,2376.404998309461,3652.088404753903,,,,,,,,,,,,7994.661187516217
2020-04-18,10178.26937061514,2338.4290929310714,3733.5048280288147,,,,,,,,,,,,8172.887081044714
2020-04-19,10381.722557178402,2324.844057307354,3820.4233524508577,2323.170496767048,,,,,,,,,,,8363.15743506149
2020-04-20,10439.069667246751,2290.396622625203,3911.848691868307,2394.016228997723,,,,,,,,,,,8618.194253526543
2020-04-21,10617.632329234604,2263.014180007615,4006.3925579664,2468.959880536312,,,,,,,,,,,8887.983129309798
2020-04-22,10805.668943697416,2236.786624007952,4105.6563623471975,2548.034597080236,,,,,,,,,,,9172.643383264465
2020-04-23,11008.144063637219,2211.969453767957,4210.976937649559,2631.7862674029034,,,,,,,,,,,9474.140154738001
2020-04-24,11181.362269162451,2188.2148512774093,4318.721451878725,2719.7331038262437,,,,,,,,,,,9790.739061252845
2020-04-25,11392.845620040349,2178.7467630695432,4431.6287295021475,2811.846909770241,,,,,,,,,,,10122.338598232329
2020-04-26,,2155.2187946479216,4548.556418134949,2908.779726656859,1740.5914004254507,,,,,,,,,,10471.286042845157
2020-04-27,,2121.9151754097243,4668.445927201582,3010.40291633216,1768.717940443303,,,,,,,,,,10640.493500638222
2020-04-28,,2099.1800165044,4793.047240974781,3116.443283660626,1798.27350063599,,,,,,,,,,10818.297851997482
2020-04-29,,2081.440635497654,4921.122148705087,3227.350342492125,1829.9569996227826,,,,,,,,,,11008.903746435319
2020-04-30,,2076.5465173375746,5052.127143775972,3343.107287839616,1863.2796163297448,,,,,,,,,,11209.370467774632
2020-05-01,,2059.921209051596,5187.015509262813,3463.177123698303,1897.923927996984,,,,,,,,,,11417.788421084333
2020-05-02,,2048.9558275402505,5324.501742375125,3588.2264014405073,1935.0077556513986,,,,,,,,,,11640.882345849233
2020-05-03,,,5464.432646493037,3718.1145547569126,1973.364232859293,5653.657690445312,,,,,,,,,11871.632448568093
2020-05-04,,,5606.827645312332,3852.3817132688396,2013.701688547021,5910.693123388139,,,,,,,,,12411.359180045438
2020-05-05,,,5751.07169747006,3991.38134977148,2055.757654860138,6177.88268518505,,,,,,,,,12972.407698619094
2020-05-06,,,5897.762186221853,4134.636723815172,2099.183253450901,6454.062493437504,,,,,,,,,13552.334067141574
2020-05-07,,,6044.773499034671,4282.418830673673,2144.8107997864226,6740.179371303109,,,,,,,,,14153.126438616893
2020-05-08,,,6193.237514378308,4434.1449344016355,2191.7637294612205,7035.746150274812,,,,,,,,,14773.761849545503
