,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,4070.7628517783087,,,,,,,,,,,,,,4070.7628517783087
2020-03-30,4729.533863331239,,,,,,,,,,,,,,4729.533863331239
2020-03-31,5067.355165037169,,,,,,,,,,,,,,5067.355165037169
2020-04-01,4999.054543336149,,,,,,,,,,,,,,4999.054543336149
2020-04-02,5076.796658599336,,,,,,,,,,,,,,5076.796658599336
2020-04-03,5234.695549283432,,,,,,,,,,,,,,5234.695549283432
2020-04-04,5357.2622388119535,,,,,,,,,,,,,,5357.2622388119535
2020-04-05,5520.671123270478,7553.384910152935,,,,,,,,,,,,,5520.671123270478
2020-04-06,5738.576103950643,7746.781235126097,,,,,,,,,,,,,5662.021990375218
2020-04-07,5949.528538557718,7954.950500454685,,,,,,,,,,,,,5814.17020809774
2020-04-08,6116.789519205449,8174.562381448978,,,,,,,,,,,,,5974.681685290256
2020-04-09,6340.89960358821,8405.624719090745,,,,,,,,,,,,,6143.562152824705
2020-04-10,6550.158131488313,8646.563142340508,,,,,,,,,,,,,6319.660923315451
2020-04-11,6747.965200837858,8897.658188002191,,,,,,,,,,,,,6503.183037476143
2020-04-12,7013.317663780205,9158.511466315971,3143.873459637456,,,,,,,,,,,,6693.837317395284
2020-04-13,7187.1431445497265,9427.53226269772,3238.879254268004,,,,,,,,,,,,6896.120692229362
2020-04-14,7476.912650904752,9705.195542388985,3339.5911301300102,,,,,,,,,,,,7110.553277257044
2020-04-15,7711.2334208037855,9989.869648719365,3445.6521126727544,,,,,,,,,,,,7336.375013398453
2020-04-16,7988.363235733715,10281.069227131773,3556.8348961528386,,,,,,,,,,,,7573.101928354086
2020-04-17,8322.199168826462,10579.358567853436,3673.9458436018895,,,,,,,,,,,,7822.450905141586
2020-04-18,8456.023545372987,10882.456827794871,3796.733476893509,,,,,,,,,,,,8083.886504377463
2020-04-19,8836.226698813787,11187.987128583472,3925.191455875551,1982.9818925746758,,,,,,,,,,,8357.39522680751
2020-04-20,9037.661196899915,11498.193994122938,4059.254642412161,2057.189665001911,,,,,,,,,,,8670.14830105276
2020-04-21,9430.109236034916,11811.191758224211,4199.65692650885,2135.5897958616047,,,,,,,,,,,9000.570319469256
2020-04-22,9618.90694914245,12122.7742301489,4345.292310341997,2218.5263415947243,,,,,,,,,,,9350.111328408033
2020-04-23,9844.758786200782,12435.564953606528,4496.17351909827,2305.93140236338,,,,,,,,,,,9718.485159960444
2020-04-24,10198.987481031363,12744.278291929584,4653.336913791631,2397.8992178635112,,,,,,,,,,,10106.08899293481
2020-04-25,10454.42507082739,13053.081970533889,4815.928649622664,2494.59370656472,,,,,,,,,,,10513.613671478815
2020-04-26,,13355.140178146456,4983.231265936563,2596.178310498109,1713.1770908944784,,,,,,,,,,10941.748031761717
2020-04-27,,13651.879349210596,5155.903846782577,2702.749188789295,1775.5085847202454,,,,,,,,,,11339.847856648332
2020-04-28,,13942.102991924108,5333.8708613294175,2814.429683983419,1841.4755763313508,,,,,,,,,,11761.166939455583
2020-04-29,,14224.486715242818,5516.84055369152,2931.3612177787654,1910.93329326559,,,,,,,,,,12204.780645006053
2020-04-30,,14496.920111878535,5703.8276323626815,3053.446652401241,1984.0523767989887,,,,,,,,,,12671.77882784894
2020-05-01,,14759.586760098326,5895.3455874525525,3180.938866253275,2061.1156223767234,,,,,,,,,,13163.967650652481
2020-05-02,,15010.492430198128,6090.487889747318,3313.784745203036,2142.0611555307237,,,,,,,,,,13680.95193253151
2020-05-03,,,6289.259217365942,3451.8616159820235,2226.9716701015577,1368.2150139377427,,,,,,,,,14223.259823886872
2020-05-04,,,6491.005014971556,3595.227646408025,2315.8670011824524,1408.3667160007046,,,,,,,,,14640.656274733587
