,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,14253.245795797557,,,,,,,,,,,,,,14253.245795797557
2020-03-30,16375.688676330716,,,,,,,,,,,,,,16375.688676330716
2020-03-31,17723.805519053843,,,,,,,,,,,,,,17723.805519053843
2020-04-01,18278.765415339607,,,,,,,,,,,,,,18278.765415339607
2020-04-02,18693.983276315048,,,,,,,,,,,,,,18693.983276315048
2020-04-03,18918.025967924976,,,,,,,,,,,,,,18918.025967924976
2020-04-04,19327.092158942207,,,,,,,,,,,,,,19327.092158942207
2020-04-05,19939.836411824217,22102.36287839971,,,,,,,,,,,,,19939.836411824217
2020-04-06,20483.225161713828,22789.823435142407,,,,,,,,,,,,,20560.034854698733
2020-04-07,21160.453967347,23555.012473061783,,,,,,,,,,,,,21250.356714138685
2020-04-08,21775.25848687884,24321.876459472875,,,,,,,,,,,,,21942.18964273929
2020-04-09,22529.774329999327,25114.434696876226,,,,,,,,,,,,,22657.202860448746
2020-04-10,23334.247773263927,25938.659240660592,,,,,,,,,,,,,23400.784108304026
2020-04-11,24086.898273162406,26793.37589015286,,,,,,,,,,,,,24171.874071087783
2020-04-12,24900.9087620353,27742.85694908764,12385.13122710985,,,,,,,,,,,,25028.456559369504
2020-04-13,25833.648616757328,28630.394547547618,12641.490972357185,,,,,,,,,,,,25546.52040785335
2020-04-14,26732.19000437892,29706.677079296234,12917.029519281421,,,,,,,,,,,,26103.341682143095
2020-04-15,27591.40801056772,30588.411695279083,13210.640971286453,,,,,,,,,,,,26696.685534306394
2020-04-16,28593.16812035882,31725.675478383775,13524.979674845468,,,,,,,,,,,,27331.91599272369
2020-04-17,29666.76822594165,32813.84936428061,13857.191305323535,,,,,,,,,,,,28003.264903725732
2020-04-18,30610.827005297357,33914.03462494831,14210.287406917976,,,,,,,,,,,,28716.81813767895
2020-04-19,31723.075849130786,35012.026355491915,14583.091448655012,5740.104294269074,,,,,,,,,,,29470.1981053735
2020-04-20,32778.17945460698,36237.271320220345,14975.96379611067,5659.133915633809,,,,,,,,,,,29054.48909091696
2020-04-21,33918.37485427892,37377.92879996665,15389.765776342756,5586.533580602986,,,,,,,,,,,28681.75261328693
2020-04-22,35021.825726949035,38697.00610282132,15822.802117975149,5523.4312610416455,,,,,,,,,,,28357.779778814576
2020-04-23,36291.148149954846,39976.742925154904,16276.495048054936,5460.186975617529,,,,,,,,,,,28033.07807917084
2020-04-24,37572.034280151725,41235.209148096495,16751.709448343947,5408.637450637922,,,,,,,,,,,27768.418303754617
2020-04-25,38760.31109820689,42606.25671026851,17247.335133590866,5357.0456022797525,,,,,,,,,,,27503.54123640662
2020-04-26,,43957.71837020525,17762.294992840198,5313.433318827229,2700.0094034761028,,,,,,,,,,27279.631954051463
2020-04-27,,45369.60241942684,18296.976108862484,5275.205232525135,2600.191326015633,,,,,,,,,,26271.116794075755
2020-04-28,,46688.12257598773,18851.782196514254,5242.506251091313,2506.108842334236,,,,,,,,,,25320.5513905452
2020-04-29,,48081.2772001102,19424.895583723333,5209.732534725882,2416.2652604264654,,,,,,,,,,24412.813867586105
2020-04-30,,49487.63407065259,20015.712356642307,5183.869170053301,2330.031556341517,,,,,,,,,,23541.54886145562
2020-05-01,,50958.50057861124,20622.34453616072,5163.1496951309855,2249.022255164664,,,,,,,,,,22723.068778343928
2020-05-02,,52486.09061232869,21246.965248125944,5146.604881589771,2171.4029214029,,,,,,,,,,21938.839340174738
2020-05-03,,,21885.79846764245,5134.178807557763,2097.7757200867104,4425.75014837234,,,,,,,,,21194.94454072454
2020-05-04,,,22538.31714219542,5124.019641390913,2027.126456412976,4396.945068009519,,,,,,,,,21056.996834615184
2020-05-05,,,23201.52631255754,5116.759926761887,1960.4502424123002,4370.097390025223,,,,,,,,,20928.42314047349
2020-05-06,,,23875.50471237606,5114.945640351493,1896.9280765966746,4346.072758881521,,,,,,,,,20813.36903492499
2020-05-07,,,24560.48932500645,5115.7328698343135,1836.1423153625608,4324.674443019596,,,,,,,,,20710.892369330748
2020-05-08,,,25250.51065429853,5119.622767778946,1778.7563880428086,4305.93783851254,,,,,,,,,20621.16265570139
2020-05-09,,,25944.289256192213,5125.676358484589,1723.3287068928546,4289.118912677239,,,,,,,,,20540.61671696491
2020-05-10,,,,5135.596043506655,1670.6650506461694,4274.6906833811545,3305.427497783883,,,,,,,,20471.519838582873
2020-05-11,,,,5148.232774033132,1621.2106433152735,4263.1607520103935,3250.2605013763487,,,,,,,,20129.853817425537
2020-05-12,,,,5162.163234130991,1573.6441103172324,4253.3028211556375,3195.454109833245,,,,,,,,19790.421132089676
2020-05-13,,,,5178.871213197037,1528.6338444746011,4245.8665642072165,3142.952584264955,,,,,,,,19465.26318415474
2020-05-14,,,,5199.978265329011,1486.3875353502533,4240.668826206667,3092.136815461537,,,,,,,,19150.545641607077
2020-05-15,,,,5221.59975996698,1445.7761861794922,4238.0178735660575,3043.971591621619,,,,,,,,18852.2437317846
2020-05-16,,,,5245.354240302887,1406.2788206925732,4235.880226296492,2994.5964780318714,,,,,,,,18546.44860602175
2020-05-17,,,,,1370.5514704563093,4237.529930237339,2949.816740938023,6073.657681756338,,,,,,,18269.114047360927
2020-05-18,,,,,1334.9489469163682,4239.295479946658,2903.868740567935,6086.990175867858,,,,,,,18309.217205658893
2020-05-19,,,,,1300.926343155945,4243.347887281587,2859.7324629707814,6102.847412514578,,,,,,,18356.914603167002
2020-05-20,,,,,1270.448325494909,4250.220824708847,2818.7834200154853,6118.9088972560385,,,,,,,18405.226363869795
2020-05-21,,,,,1239.9079324093088,4257.651823128443,2776.983842948379,6136.383472047688,,,,,,,18457.78859515206
2020-05-22,,,,,1211.5746753377741,4267.296193965973,2737.5366293067136,6154.774878713167,,,,,,,18513.108589045074
2020-05-23,,,,,1183.7331158416314,4277.650683414243,2698.7139754188142,6173.531979688404,,,,,,,18569.528564432192
2020-05-24,,,,,,4290.625798355785,2661.42956030228,6193.018457059848,3598.9649119810874,,,,,,18628.14245018831
2020-05-25,,,,,,4304.860795925657,2625.284827111941,6214.664366391489,3558.1010596291053,,,,,,18416.632285101103
2020-05-26,,,,,,4320.598460525522,2590.8807457939747,6236.629597372322,3518.9242538837475,,,,,,18213.854226404732
2020-05-27,,,,,,4337.449394041033,2556.608622511226,6259.137966790853,3478.760162186141,,,,,,18005.966003033973
2020-05-28,,,,,,4355.296323998235,2523.2297556074586,6282.092109584185,3440.261993257525,,,,,,17806.700549657016
2020-05-29,,,,,,4374.49280348797,2491.290068838405,6306.405418017453,3401.693132694693,,,,,,17607.06919834429
2020-05-30,,,,,,4395.538779851407,2460.529875425032,6332.032666931285,3364.850810441542,,,,,,17416.37436138083
2020-05-31,,,,,,,2429.9598568436504,6358.0340500014245,3327.502400789613,3236.620716502526,,,,,17223.060030094075
2020-06-01,,,,,,,2401.283046810026,6384.133589483762,3290.729842813271,3195.2573760549762,,,,,17002.952900475506
2020-06-02,,,,,,,2373.325570193298,6412.460119785202,3255.641341983324,3155.6800351925685,,,,,16792.34962712029
2020-06-03,,,,,,,2346.15584509561,6440.629211613586,3220.625760222892,3116.098715412031,,,,,16581.725180710888
2020-06-04,,,,,,,2320.472901636765,6470.956633370896,3186.502130736095,3076.9684066057857,,,,,16373.500703208825
2020-06-05,,,,,,,2294.023406320625,6499.527128635874,3151.735966006897,3037.7243585394813,,,,,16164.670983920543
2020-06-06,,,,,,,2269.275231191032,6529.923748380096,3118.7301523908345,3000.023256628886,,,,,15964.051758412856
2020-06-07,,,,,,,,6561.930550071814,3085.9730559581035,2962.411061045464,3200.206091702636,,,,15763.905630973826
2020-06-08,,,,,,,,6593.1399960308445,3053.1666401352245,2924.830229141561,3162.0768931328503,,,,15576.08488730448
2020-06-09,,,,,,,,6626.848794016962,3022.385493202684,2889.489293730257,3125.8727870340613,,,,15397.746962920544
2020-06-10,,,,,,,,6659.718827272592,2991.3146268150817,2853.979685068181,3089.651648510494,,,,15219.325138459808
2020-06-11,,,,,,,,6692.604174753666,2960.3227310313177,2818.3234417740086,3053.4582361787325,,,,15041.039890537773
2020-06-12,,,,,,,,6727.330063481069,2930.3234087461406,2783.68532808395,3018.0545095721777,,,,14866.644558106667
2020-06-13,,,,,,,,6761.006914651877,2900.134842002461,2748.729263231261,2981.718192023593,,,,14687.655372910713
2020-06-14,,,,,,,,,2871.361868338101,2715.179763744013,2946.9228683936017,2775.483094187495,,,14516.256974687381
