,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,612.0886048392049,,,,,,,,,,,,,,612.0886048392049
2020-03-30,710.9412185677576,,,,,,,,,,,,,,710.9412185677576
2020-03-31,825.8651950781892,,,,,,,,,,,,,,825.8651950781892
2020-04-01,880.2572590276442,,,,,,,,,,,,,,880.2572590276442
2020-04-02,865.3374609323183,,,,,,,,,,,,,,865.3374609323183
2020-04-03,875.2325619456924,,,,,,,,,,,,,,875.2325619456924
2020-04-04,889.7151182779878,,,,,,,,,,,,,,889.7151182779878
2020-04-05,915.9980569780107,2716.3080756603767,,,,,,,,,,,,,915.9980569780107
2020-04-06,939.8638802336296,2864.716404525823,,,,,,,,,,,,,966.0445675701691
2020-04-07,975.9858379880033,3033.0655258414254,,,,,,,,,,,,,1022.8155463118043
2020-04-08,1006.9756354875467,3200.2833201313697,,,,,,,,,,,,,1079.2050170181046
2020-04-09,1044.7048715433084,3399.165359583741,,,,,,,,,,,,,1146.2723586567759
2020-04-10,1076.3367358093292,3591.0219636123547,,,,,,,,,,,,,1210.970570941067
2020-04-11,1124.138755620264,3811.552314752591,,,,,,,,,,,,,1285.3381932881841
2020-04-12,1167.899858813023,4032.486542587951,1100.7892233180607,,,,,,,,,,,,1359.842011625479
2020-04-13,1213.9781077384648,4266.1895929784005,1132.9582148052084,,,,,,,,,,,,1399.5814505382145
2020-04-14,1260.6667266184845,4537.586566930822,1167.1844066237493,,,,,,,,,,,,1441.8622183245434
2020-04-15,1317.7706235577327,4803.513312420447,1203.4793484082327,,,,,,,,,,,,1486.6985826371151
2020-04-16,1370.5836771712416,5099.435477693482,1242.3786394417625,,,,,,,,,,,,1534.7521873139444
2020-04-17,1430.3992328002835,5408.686918225092,1283.6498048170447,,,,,,,,,,,,1585.7358482702944
2020-04-18,1493.5511029303327,5744.335859451108,1327.4796945959959,,,,,,,,,,,,1639.880387682369
2020-04-19,1556.241781259776,6069.429471883944,1373.8127887006638,638.5140392613232,,,,,,,,,,,1697.11721972748
2020-04-20,1636.1893873400797,6415.61271991801,1422.7504190192367,660.4374599541648,,,,,,,,,,,1755.3878488528699
2020-04-21,1704.5652953346598,6801.425389460208,1474.3661441797242,683.6408302686801,,,,,,,,,,,1817.060477636465
2020-04-22,1785.8756105256502,7172.818114746093,1529.0833448192984,708.4006181216472,,,,,,,,,,,1882.869934810941
2020-04-23,1860.7261851635308,7595.6401622030935,1586.540897242773,734.8273076011436,,,,,,,,,,,1953.1098778949317
2020-04-24,1947.9145602735293,7987.735936327664,1647.005315839132,762.8066643783394,,,,,,,,,,,2027.4766815417408
2020-04-25,2035.3625524846009,8435.404094215313,1710.1597048438375,792.5778591682367,,,,,,,,,,,2106.606041623231
2020-04-26,,8857.78469316617,1776.5253204252185,823.9731811294175,882.3688938167619,,,,,,,,,,2190.052196669168
2020-04-27,,9333.16481813047,1846.2136915203075,857.3995660764904,915.1998234079497,,,,,,,,,,2271.5390328141457
2020-04-28,,9762.425887278408,1918.7692704396616,892.75883072003,949.9548514164462,,,,,,,,,,2357.8015087113445
2020-04-29,,10238.198581348586,1994.1601260326395,929.947254279853,986.2536879290253,,,,,,,,,,2447.8957393647397
2020-04-30,,10699.110496329562,2072.8192974008944,969.4111920608512,1024.8040149952471,,,,,,,,,,2543.578201728635
2020-05-01,,11154.287670929822,2154.5298471260708,1010.8498035471538,1065.1374430690726,,,,,,,,,,2643.6863462601023
2020-05-02,,11637.6063106717,2239.147260759752,1054.5288526195702,1107.774080803307,,,,,,,,,,2749.5110900637283
2020-05-03,,,2326.809290026285,1100.3717520177663,1152.278574312385,359.86471467263374,,,,,,,,,2859.971878577705
2020-05-04,,,2416.811684365956,1148.5838460516268,1199.118918382946,363.2319893986261,,,,,,,,,2886.732799087915
2020-05-05,,,2509.1881967840504,1199.0885062025638,1248.2112114840836,366.87482746159,,,,,,,,,2915.683718679369
2020-05-06,,,2604.820716400849,1251.8136463444987,1299.4296426816354,370.8521198315741,,,,,,,,,2947.292664672821
2020-05-07,,,2702.072918565989,1307.0359285642485,1353.2620911274946,375.1422297840886,,,,,,,,,2981.3876823834607
2020-05-08,,,2801.3119162695666,1364.588049122966,1409.229257530331,379.8344315045898,,,,,,,,,3018.6782652666843
2020-05-09,,,2902.333436272443,1424.563543191832,1467.8355379261252,384.8094342129004,,,,,,,,,3058.2163673964237
2020-05-10,,,,1486.7949258822393,1528.7169899918686,390.26846289181645,567.2739626757544,,,,,,,,3101.6011947203583
2020-05-11,,,,1551.1657021972712,1591.8629894970268,395.8734793517276,577.7106544507459,,,,,,,,3158.6643737274726
2020-05-12,,,,1617.935341903196,1657.5986100659838,402.00120791501837,588.8506771253293,,,,,,,,3219.5730526199836
2020-05-13,,,,1686.7716317265451,1725.7178751139518,408.36122456134086,600.2302842223168,,,,,,,,3281.791672351767
2020-05-14,,,,1757.4719379795765,1795.8526301131021,415.14997913509313,612.2128968952263,,,,,,,,3347.307257813973
2020-05-15,,,,1830.2818706855007,1868.6443832198263,422.3190125056144,624.6581466901779,,,,,,,,3415.3523368628034
2020-05-16,,,,1904.6368615197955,1943.3168691425617,429.8694107464048,637.6036250571331,,,,,,,,3486.1324427921936
2020-05-17,,,,,2020.3734577228354,437.74182097688026,650.9058054313881,434.8563030398236,,,,,,,3558.862836315927
2020-05-18,,,,,2099.016833951036,445.8406972646172,664.6107458071162,438.659634523855,,,,,,,3589.9892911427064
2020-05-19,,,,,2179.543990749273,454.518388172212,679.0258792296576,442.86298588394163,,,,,,,3624.389507579308
2020-05-20,,,,,2261.9803270723073,463.56522662711785,693.8732412308879,447.0823837217482,,,,,,,3658.9210483472166
2020-05-21,,,,,2345.7625786914764,472.89233534118085,709.1871984821197,451.4401971062956,,,,,,,3694.585381584317
2020-05-22,,,,,2430.6041734422,482.5963122301956,725.012593411097,456.0675393791332,,,,,,,3732.455538531789
2020-05-23,,,,,2516.4754130791794,492.5891101449077,741.208903326481,460.64892868333374,,,,,,,3769.9496165052233
2020-05-24,,,,,,503.16633572170446,758.199969824779,465.653610580848,678.5926476390279,,,,,,3810.9079199450966
2020-05-25,,,,,,513.877245389734,775.3341654911984,470.701091993204,688.9012657555472,,,,,,3868.8000803753853
2020-05-26,,,,,,525.130681361984,793.3240459937633,475.95337046536935,699.3338827917703,,,,,,3927.3886062420042
2020-05-27,,,,,,536.562633148354,811.4628814218747,481.25231733273387,709.6818213922694,,,,,,3985.501586547569
2020-05-28,,,,,,548.401708720456,830.2477272799382,486.8727028659235,720.8154347840634,,,,,,4048.026837300012
2020-05-29,,,,,,560.668609321208,849.6000174423046,492.7498012666635,731.9208425283356,,,,,,4110.393687978564
2020-05-30,,,,,,573.0738503691613,869.1952011790142,498.43385726410287,742.9638866873921,,,,,,4172.410311047604
2020-05-31,,,,,,,889.4203338739914,504.52017500975165,754.5116735160959,522.2689845515398,,,,,4237.261518080951
2020-06-01,,,,,,,909.91524844137,510.6417632767288,766.036715295291,524.6271719464344,,,,,4256.39391344881
2020-06-02,,,,,,,930.8844297882263,517.0335320611657,778.0092055709137,527.4660347528086,,,,,4279.42611425026
2020-06-03,,,,,,,952.0316555063324,523.2952689605497,789.6411756147197,529.6589750403052,,,,,4297.21783033242
2020-06-04,,,,,,,973.9348064005458,530.1368105504786,802.1779244593996,532.4865589929178,,,,,4320.158523779565
2020-06-05,,,,,,,996.1007414155816,536.950758827868,814.6347806677459,534.9754197894318,,,,,4340.35109578532
2020-06-06,,,,,,,1018.361176647912,543.7193369046123,827.2298524639853,537.6171380619992,,,,,4361.783827785617
2020-06-07,,,,,,,,551.0175518634882,840.2489790042856,540.391621528602,345.25462333181883,,,,4384.293707509152
2020-06-08,,,,,,,,558.2602763419835,853.3585025943846,543.1374937202271,343.7566960065852,,,,4365.271939508044
2020-06-09,,,,,,,,565.5928707744453,866.4226134673155,545.6329612489188,342.6303546106584,,,,4350.968839242467
2020-06-10,,,,,,,,573.1741839740049,880.0912410878096,548.424515137779,340.9454489525244,,,,4329.572684707546
2020-06-11,,,,,,,,580.9171766667182,893.7014631115994,551.0665171637764,339.8900408493252,,,,4316.17034685887
2020-06-12,,,,,,,,588.7554871051208,907.623415641771,553.8870231271002,338.35596953253486,,,,4296.689596228603
2020-06-13,,,,,,,,596.8687343363684,921.918315958734,556.6113954864252,337.0509318011247,,,,4280.11728024144
2020-06-14,,,,,,,,,936.1961441607707,559.6445665782499,336.0215708842195,424.13391864364206,,,4267.045708462933
2020-06-15,,,,,,,,,950.4756469983173,562.0952816209732,334.4443103499527,423.5523668284581,,,4261.194942777498
2020-06-16,,,,,,,,,964.9881577404041,564.8404110469161,333.02629791479563,423.22627574453315,,,4257.9142677381615
2020-06-17,,,,,,,,,980.1036849664447,568.0938589042985,331.9532429554454,423.16525619586264,,,4257.30037389039
2020-06-18,,,,,,,,,994.6470097024218,570.4725597677295,330.40759537642737,422.5124645025254,,,4250.732891613841
2020-06-19,,,,,,,,,1010.0710162956868,573.5555933395757,329.2972375520992,422.32648588521965,,,4248.861833379739
2020-06-20,,,,,,,,,1025.3072423862598,576.5555989803576,328.04066805777086,422.1380402962136,,,4246.965955906844
2020-06-21,,,,,,,,,,579.2165503965292,326.617091105951,421.55848601109017,441.65926479125085,,4241.135286591205
2020-06-22,,,,,,,,,,582.247117276426,325.65809550193495,421.69751148702494,442.04055054049826,,4244.796671224836
2020-06-23,,,,,,,,,,585.0370289341217,324.35132081459125,421.29859846600914,441.76511096586336,,4242.1516989748825
2020-06-24,,,,,,,,,,588.0099368826719,323.0422313021364,420.8192568952202,441.0886085630792,,4235.655428114885
2020-06-25,,,,,,,,,,590.9817542157264,321.89674894992754,420.54994575444425,440.8809170688172,,4233.661022483077
2020-06-26,,,,,,,,,,593.6042076256381,320.48905308210925,420.1288321900717,440.6383085859338,,4231.33131838852
2020-06-27,,,,,,,,,,596.9835721026844,319.5010142867015,420.23381641548485,440.82258115391465,,4233.10083836176
2020-06-28,,,,,,,,,,,318.12507977293563,419.5833372773113,440.2323952332296,386.47006117266494,4227.433441494064
2020-06-29,,,,,,,,,,,316.9218357186058,419.3353552812599,440.0495457350057,385.3002554316777,4214.637428539023
2020-06-30,,,,,,,,,,,315.55611801197745,418.6485401357348,439.1583028287932,383.8314279222516,4198.570542234056
2020-07-01,,,,,,,,,,,314.6033531459305,418.60925610982,439.3180148038181,383.17075881772996,4191.343760791421
