,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,2054.496659044356,,,,,,,,,,,,,,2054.496659044356
2020-03-30,2082.3471978249827,,,,,,,,,,,,,,2082.3471978249827
2020-03-31,2152.950287429583,,,,,,,,,,,,,,2152.950287429583
2020-04-01,2209.5833034907314,,,,,,,,,,,,,,2209.5833034907314
2020-04-02,2249.770477370274,,,,,,,,,,,,,,2249.770477370274
2020-04-03,2321.0729137762605,,,,,,,,,,,,,,2321.0729137762605
2020-04-04,2359.892009202951,,,,,,,,,,,,,,2359.892009202951
2020-04-05,2434.136651342963,156.91961576751387,,,,,,,,,,,,,2434.136651342963
2020-04-06,2479.308432378589,163.05780723745912,,,,,,,,,,,,,2529.3522606654506
2020-04-07,2568.485666902687,169.5662883702251,,,,,,,,,,,,,2630.3118022265994
2020-04-08,2602.9870287981853,176.4665337815918,,,,,,,,,,,,,2737.348390207756
2020-04-09,2654.220929752856,183.72622447982087,,,,,,,,,,,,,2849.9606924973164
2020-04-10,2733.8354931979784,191.4433560032167,,,,,,,,,,,,,2969.6688156178984
2020-04-11,2789.742720563791,199.4614040282214,,,,,,,,,,,,,3094.044754689835
2020-04-12,2849.3389046639313,208.0131746206654,137.30470305859436,,,,,,,,,,,,3226.6997967706498
2020-04-13,2871.772052514909,216.94456134455243,144.24882338025012,,,,,,,,,,,,3389.8886106387054
2020-04-14,2937.068487761465,226.31083525487998,151.5822427096429,,,,,,,,,,,,3562.2260625443964
2020-04-15,2976.4009392618336,236.11934072320253,159.37836843022262,,,,,,,,,,,,3745.43724699638
2020-04-16,3039.3784413707453,246.40996647954057,167.64296925637538,,,,,,,,,,,,3939.6577304328243
2020-04-17,3046.9222614474293,257.14763964443125,176.41044518135502,,,,,,,,,,,,4145.695922535033
2020-04-18,3120.897578034437,268.3026852320129,185.61786522563688,,,,,,,,,,,,4362.072927283281
2020-04-19,3142.6855554918952,280.01530803959184,195.42499144383137,299.24318271968787,,,,,,,,,,,4592.54319865955
2020-04-20,3177.218144593521,292.1771695064458,205.76790879008263,314.46360513305063,,,,,,,,,,,4826.133975231035
2020-04-21,3163.9951220128632,304.7941098630965,216.66714554884945,330.4482883787035,,,,,,,,,,,5071.4540111140805
2020-04-22,3252.580736885837,317.9131001120007,228.1688457851269,347.320678220406,,,,,,,,,,,5330.3978524019485
2020-04-23,3257.95332034399,331.57866096617374,240.2920765746648,365.07906856217807,,,,,,,,,,,5602.939315308535
2020-04-24,3285.554634664588,345.6927947970555,253.05627926198414,383.7832065754264,,,,,,,,,,,5889.99535126842
2020-04-25,3296.786987407072,360.2861330227832,266.4170091422627,403.2431609358668,,,,,,,,,,,6188.651047388263
2020-04-26,,375.3635364753311,280.4451188756735,423.6815173424597,298.25504659473893,,,,,,,,,,6502.322469586723
2020-04-27,,390.8731574492015,295.09870146025503,444.96372985214106,312.81249050852875,,,,,,,,,,6819.692437810602
2020-04-28,,406.9417035812304,310.5134492275309,467.30269654437006,328.2108702075375,,,,,,,,,,7155.3958280977085
2020-04-29,,423.44986261017095,326.5717199745264,490.5134570340044,344.409209375302,,,,,,,,,,7508.539306952761
2020-04-30,,440.46833345606063,343.3372668295432,514.6344205061114,361.47517027719863,,,,,,,,,,7880.5979939873905
2020-05-01,,457.890472942608,360.795571501624,539.6735275970386,379.38375424286795,,,,,,,,,,8271.02688780818
2020-05-02,,475.8476977089482,378.9750210938311,565.5846840138878,398.1524643976137,,,,,,,,,,8680.20757781739
2020-05-03,,,397.7865954904032,592.2856912696119,417.7813731784988,129.673599460871,,,,,,,,,9108.141643231016
2020-05-04,,,417.3444009266016,619.8276166217465,438.33531706769617,130.0216652851092,,,,,,,,,9132.589432461129
2020-05-05,,,437.6221607945519,648.2398499122696,459.8357964873917,130.50375322620513,,,,,,,,,9166.45079877047
2020-05-06,,,458.5206746040132,677.3068042999414,482.10432697997885,130.9180610028721,,,,,,,,,9195.551355317553
2020-05-07,,,480.1312032729959,707.0858598555736,505.368053479832,131.67204878998248,,,,,,,,,9248.510690068957
2020-05-08,,,502.3693812780569,737.4821752523945,529.4452738900779,132.31340912237678,,,,,,,,,9293.55918703429
2020-05-09,,,525.269414241478,768.4698018937695,554.436309646394,133.12160769291472,,,,,,,,,9350.326232037445
