,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,3449.9468967773573,,,,,,,,,,,,,,3449.9468967773573
2020-03-30,3623.1467950425817,,,,,,,,,,,,,,3623.1467950425817
2020-03-31,3594.333334030716,,,,,,,,,,,,,,3594.333334030716
2020-04-01,3637.5372157997895,,,,,,,,,,,,,,3637.5372157997895
2020-04-02,3719.374643776946,,,,,,,,,,,,,,3719.374643776946
2020-04-03,3817.1184884743598,,,,,,,,,,,,,,3817.1184884743598
2020-04-04,3938.0975397224406,,,,,,,,,,,,,,3938.0975397224406
2020-04-05,4081.063034124676,7236.53329543716,,,,,,,,,,,,,4081.063034124676
2020-04-06,4213.344998091096,7630.459150060793,,,,,,,,,,,,,4303.218613026544
2020-04-07,4400.554426976822,8078.136669770813,,,,,,,,,,,,,4555.687592620565
2020-04-08,4560.353651320829,8534.015338059482,,,,,,,,,,,,,4812.781632714591
2020-04-09,4761.272329247378,9050.58645768,,,,,,,,,,,,,5104.103349165332
2020-04-10,4971.379794259558,9587.087788321454,,,,,,,,,,,,,5406.664763429822
2020-04-11,5183.427061790906,10168.158296557887,,,,,,,,,,,,,5734.3610890832915
2020-04-12,5435.864413395933,10760.006449207105,5326.285346072382,,,,,,,,,,,,6068.135497212478
2020-04-13,5657.854242630288,11381.031520643037,5512.443880114882,,,,,,,,,,,,6280.222371109561
2020-04-14,5968.810011545295,12118.065093117442,5707.621538091898,,,,,,,,,,,,6502.584561206358
2020-04-15,6234.663270977159,12821.491318568667,5910.027684245147,,,,,,,,,,,,6733.182030272149
2020-04-16,6547.0098250332985,13612.10825339078,6123.591267244377,,,,,,,,,,,,6976.490954730194
2020-04-17,6888.599699219376,14432.815300656215,6355.65826233441,,,,,,,,,,,,7240.880464330104
2020-04-18,7233.694305146178,15247.871159822984,6587.048996488357,,,,,,,,,,,,7504.499522719647
2020-04-19,7588.444747642827,16224.564556018522,6836.277643745247,9112.849651434311,,,,,,,,,,,7788.440975923424
2020-04-20,7985.758526392429,17202.70466757199,7092.156867268461,9500.003375152332,,,,,,,,,,,8119.328024555041
2020-04-21,8403.061869781297,18191.84094306964,7361.173009523982,9890.793042104284,,,,,,,,,,,8453.322589534724
2020-04-22,8826.439772405261,19255.228233079368,7644.087881393645,10306.301385669332,,,,,,,,,,,8808.44336214077
2020-04-23,9278.354015496667,20348.57312252373,7930.514766955123,10719.902302618124,,,,,,,,,,,9161.933922443875
2020-04-24,9765.859073635194,21541.062175311654,8229.280620265134,11160.990274069109,,,,,,,,,,,9538.916728288266
2020-04-25,10231.340626578723,22672.762136793768,8536.508487563364,11609.755118857744,,,,,,,,,,,9922.460695257545
2020-04-26,,23831.847075274745,8856.626625112638,12065.742258925176,9875.25608906024,,,,,,,,,,10312.177311029469
2020-04-27,,25149.96292575497,9185.691987741238,12536.973074982492,10177.581072984709,,,,,,,,,,10627.878373530211
2020-04-28,,26366.95314494982,9520.475311001917,13011.893435062837,10498.597753321605,,,,,,,,,,10963.0981286006
2020-04-29,,27645.56787728577,9866.574816771405,13506.478344129744,10812.247680674787,,,,,,,,,,11290.625195776165
2020-04-30,,28962.063180732974,10211.295636778963,14003.510633447288,11143.299716391299,,,,,,,,,,11636.324310887498
2020-05-01,,30262.921550117953,10569.082369780908,14513.133366569846,11479.9768194176,,,,,,,,,,11987.897369009714
2020-05-02,,31592.912195138862,10934.730138877116,15036.923122417267,11813.837340645205,,,,,,,,,,12336.529228376452
